IKhuroshiya	<i>name</i><br><ol><li>Croatia</li></ol>
lichwa|líchwa|émáchwa	<i>noun</i><br><ol><li>ice</li><li>snow</li><li>cold</li></ol>
licici|emacici	<i>noun</i><br><ol><li>earring</li></ol>
licoco|émácoco|lícoco	<i>noun</i><br><ol><li>frog</li></ol>
licolo|emacolo	<i>noun</i><br><ol><li>bark (of a tree)</li></ol>
lidada|lídada|émádada	<i>noun</i><br><ol><li>duck</li></ol>
lidilozi|émádílozí|lídílozí	<i>noun</i><br><ol><li>panty</li></ol>
lidina|émádína|lídína	<i>noun</i><br><ol><li>noon meal, dinner</li><li>noontime</li></ol>
lidlabha|émádlabhá|lídlabhá	<i>noun</i><br><ol><li>untidy person</li></ol>
lidladla|lídladla|émádladla	<i>noun</i><br><ol><li>kitchen</li><li>hut or shelter where Swazis cook</li></ol>
lidloti|émádloti|lídloti	<i>noun</i><br><ol><li>ancestor</li></ol>
lidolobha|lídólôbha|émádólôbha	<i>noun</i><br><ol><li>town, city</li></ol>
liduku|émádúku|lídúku	<i>noun</i><br><ol><li>handkerchief, headscarf</li></ol>
lidvolo|émádvolo|lídvolo	<i>noun</i><br><ol><li>knee</li></ol>
lidvuba|émádvúba|lídvúba	<i>noun</i><br><ol><li>zebra</li></ol>
lidvube|lídvúbe|émádvúbe	<i>noun</i><br><ol><li>zebra</li></ol>
lidvwala|lídvwalá|émádvwalá	<i>noun</i><br><ol><li>rock</li></ol>
lidzakwa|lídzakwá|émádzakwá	<i>noun</i><br><ol><li>drunkard</li></ol>
lidzela|lídzéla|émádzéla	<i>noun</i><br><ol><li>desperate person</li></ol>
lidziya|émádzîyá|lídzîyá	<i>noun</i><br><ol><li>grasshopper</li></ol>
lifa|émâfá|lîfá	<i>noun</i><br><ol><li>inheritance</li><li>growth under the skin</li></ol>
lifasitelo|lífásítelo|émáfásítelo	<i>noun</i><br><ol><li>window</li></ol>
lifu|lífu|émáfu	<i>noun</i><br><ol><li>cloud</li></ol>
lifulaha|lífúláha|émáfúláha	<i>noun</i><br><ol><li>load (on a sledge, car, truck)</li></ol>
ligabha|lígabha|émágabha	<i>noun</i><br><ol><li>tin can</li></ol>
ligadze|lígádze|émágádze	<i>noun</i><br><ol><li>clod</li></ol>
ligagu|émágágu|lígágu	<i>noun</i><br><ol><li>a good singer</li></ol>
ligama|lígâma|émágâma	<i>noun</i><br><ol><li>name</li></ol>
liganu|emaganu	<i>noun</i><br><ol><li>marula fruit</li></ol>
ligati|émágati|lígati	<i>noun</i><br><ol><li>blood</li></ol>
ligayiza|lígáyíza|émágáyíza	<i>noun</i><br><ol><li>miner</li><li>uncouth person</li></ol>
ligciyane|émágcíyáne|lígcíyáne	<i>noun</i><br><ol><li>germ, microbe, bacterium</li></ol>
ligeyithi|émágéyíthi|lígéyíthi	<i>noun</i><br><ol><li>gate</li></ol>
ligilo|lígîlo|émágîlo	<i>noun</i><br><ol><li>Adam's apple</li></ol>
ligotjwa|émágotjwá|lígotjwá	<i>noun</i><br><ol><li>pocket knife</li></ol>
ligundvwane|émágúndvwane|lígúndvwane	<i>noun</i><br><ol><li>mouse, rat</li></ol>
ligusha|émágúsha|lígúsha	<i>noun</i><br><ol><li>local leafy vegetable</li></ol>
ligwalagwala|lígwálágwala|émágwálágwala	<i>noun</i><br><ol><li>loury</li></ol>
ligwayi|émágwayí|lígwayí	<i>noun</i><br><ol><li>tobacco</li></ol>
lihansi|líhánsi|émáhánsi	<i>noun</i><br><ol><li>goose</li></ol>
lihawu|líhawu|émáhawu	<i>noun</i><br><ol><li>shield</li></ol>
lihembe|émáhémbe|líhémbe	<i>noun</i><br><ol><li>shirt</li></ol>
lihhabhula|émáhhábhula|líhhábhula	<i>noun</i><br><ol><li>apple</li></ol>
lihhashi|émáhháshi|líhháshi	<i>noun</i><br><ol><li>horse</li></ol>
lihheke|émáhhéke|líhhéke	<i>noun</i><br><ol><li>gate</li></ol>
lihhoko|émáhhóko|líhhóko	<i>noun</i><br><ol><li>chicken coop</li></ol>
lihhotela|émáhhótéla|líhhótéla	<i>noun</i><br><ol><li>hotel</li></ol>
lihhovisi|líhhóvisi|émáhhóvisi	<i>noun</i><br><ol><li>office</li></ol>
lihhuka|líhhúka|émáhhúka	<i>noun</i><br><ol><li>hook</li></ol>
lihhwabayi|líhhwabâyí|émáhhwabâyí	<i>noun</i><br><ol><li>loury</li></ol>
lihiya|émáhíya|líhíya	<i>noun</i><br><ol><li>Swazi national dress</li></ol>
lihlatsi|émáhlâtsi|líhlâtsi	<i>noun</i><br><ol><li>forest</li></ol>
lihlo|émêhlo|lîhló	<i>noun</i><br><ol><li>eye</li></ol>
lihlobo|líhlobo	<i>noun</i><br><ol><li>summer</li></ol>
lihlombe|líhlômbe|émáhlômbe	<i>noun</i><br><ol><li>shoulder</li><li>applause</li></ol>
lihlosi|líhlôsi|émáhlôsi	<i>noun</i><br><ol><li>cheetah</li><li>a person who likes meat</li></ol>
lihuzu|émáhúzu|líhúzu	<i>noun</i><br><ol><li>conman</li></ol>
lijabhane|líjábhane|émájábhane	<i>noun</i><br><ol><li>cannibal</li></ol>
lijaha|émájahá|líjahá	<i>noun</i><br><ol><li>young man</li></ol>
lijazi|líjázi|émájázi	<i>noun</i><br><ol><li>overcoat</li></ol>
lijele|líjêle|émájêle	<i>noun</i><br><ol><li>jail, prison</li><li>older boy</li></ol>
lijezi|émájezí|líjezí	<i>noun</i><br><ol><li>jersey</li></ol>
lijika|líjiká|émájiká	<i>noun</i><br><ol><li>bend</li></ol>
lijiva|líjíva|émájíva	<i>noun</i><br><ol><li>solid bracelet</li></ol>
lijobo|émájobo|líjobo	<i>noun</i><br><ol><li>skin apron</li></ol>
lijoti|émájóti|líjóti	<i>noun</i><br><ol><li>cooking melon</li></ol>
likamo|émákámo|líkámo	<i>noun</i><br><ol><li>crab</li></ol>
likasi|émákási|líkási	<i>noun</i><br><ol><li>carton, box</li></ol>
likati|líkáti|émákáti	<i>noun</i><br><ol><li>cat (domestic)</li></ol>
likewu|émákéwu|líkéwu	<i>noun</i><br><ol><li>goose</li></ol>
likhabethe|líkhábethe|émákhábethe	<i>noun</i><br><ol><li>cupboard</li></ol>
likhala|líkhala|émákhala	<i>noun</i><br><ol><li>nose, nostril</li></ol>
likhandlela|émákhándlela|líkhándlela	<i>noun</i><br><ol><li>candle</li></ol>
likhata|émákhátane|líkhátane	<i>noun</i><br><ol><li>tick</li><li>person who lives off others</li></ol>
likhaya|émákhâya|líkhâya	<i>noun</i><br><ol><li>home</li><li>household</li></ol>
likhefi|émákhefí|líkhefí	<i>noun</i><br><ol><li>café</li></ol>
likhefu|líkhefú|émákhefú	<i>noun</i><br><ol><li>break, recess</li></ol>
likhehla|líkhehlá|émákhehlá	<i>noun</i><br><ol><li>old man</li></ol>
likhekhe|líkhékhe|émákhékhe	<i>noun</i><br><ol><li>cake</li></ol>
likhikhi|émákhikhi|líkhikhi	<i>noun</i><br><ol><li>pocket</li></ol>
likhishi|émákhishi|líkhishi	<i>noun</i><br><ol><li>kitchen</li></ol>
likhofi|émákhofí|líkhofí	<i>noun</i><br><ol><li>coffee</li></ol>
likholwa|émákhólwa|líkhólwa	<i>noun</i><br><ol><li>Christian</li></ol>
likhona|émákhóna|líkhóna	<i>noun</i><br><ol><li>corner</li><li>corn (on toes)</li></ol>
likhuba|líkhuba|émákhuba	<i>noun</i><br><ol><li>plow</li></ol>
likhulu|líkhûlu|émákhûlu	<i>noun</i><br><ol><li>hundred</li></ol>
likhwa|émâkhwá|lîkhwá	<i>noun</i><br><ol><li>handsome fellow</li></ol>
likhwapha|émákhwaphá|líkhwaphá	<i>noun</i><br><ol><li>armpit</li></ol>
likhwela|émákhwela|líkhwela	<i>noun</i><br><ol><li>whistling of a group</li></ol>
likinobho|líkínóbho|émákínóbho	<i>noun</i><br><ol><li>button, light switch</li></ol>
liklabishi|líklábishi|émáklábishi	<i>noun</i><br><ol><li>cabbage</li></ol>
likotapeni|émákótápéni|líkótápéni	<i>noun</i><br><ol><li>avocado</li></ol>
likululu|émákúlúlu|líkúlúlu	<i>noun</i><br><ol><li>flea</li></ol>
lila	<i>verb</i><br><ol><li>(intransitive) to cry, to weep</li></ol>
lilahla|émálâhla|lílâhla	<i>noun</i><br><ol><li>coal</li></ol>
lilandza|émálandza|lílandza	<i>noun</i><br><ol><li>tickbird</li></ol>
lilanga|lílanga|émálanga	<i>noun</i><br><ol><li>sun</li></ol>
lilawu|émálawu|lílawu	<i>noun</i><br><ol><li>boys' hut</li></ol>
lilayisi|líláyisi|émáláyisi	<i>noun</i><br><ol><li>rice</li></ol>
lilobolo|émálóbólo|lílóbólo	<i>noun</i><br><ol><li>lobola</li></ol>
lilulwane|lílúlwane|émálúlwane	<i>noun</i><br><ol><li>bat</li></ol>
lilunga|émálunga|lílunga	<i>noun</i><br><ol><li>joint</li><li>member</li><li>butcher-bird</li></ol>
lima	<i>verb</i><br><ol><li>to plough</li></ol>
limata	<i>verb</i><br><ol><li>to hurt, to damage</li></ol>
limbuka|límbuká|émámbuká	<i>noun</i><br><ol><li>deserter</li></ol>
lincele|líncêle|émáncêle	<i>noun</i><br><ol><li>lefthanded person, lefty</li></ol>
lincusa|émáncusa|líncusa	<i>noun</i><br><ol><li>delegate</li></ol>
lindza	<i>verb</i><br><ol><li>to wait</li></ol>
linga	<i>verb</i><br><ol><li>to try, to tempt, to test</li></ol>
lingana	<i>verb</i><br><ol><li>(intransitive) to be equal [+ na- (object) = to]</li></ol>
lingce|lîngcé|émângcé	<i>noun</i><br><ol><li>vulture</li></ol>
lingcina|língcina|émángcina	<i>noun</i><br><ol><li>steen buck</li></ol>
lintjwele|líntjwêle|émántjwêle	<i>noun</i><br><ol><li>chicken</li></ol>
lintongomane|émántóngománe|líntóngománe	<i>noun</i><br><ol><li>peanut</li></ol>
lipasi|émápási|lípási	<i>noun</i><br><ol><li>pass</li></ol>
liphahla|líphâhla|émáphâhla	<i>noun</i><br><ol><li>twin</li></ol>
liphalishi|líphálishi|émáphálishi	<i>noun</i><br><ol><li>mealie porridge</li></ol>
liphaphu|líphaphu|émáphaphu	<i>noun</i><br><ol><li>lung</li></ol>
liphela|líphela|émáphela	<i>noun</i><br><ol><li>cockroach</li></ol>
liphepha|líphepha|émáphepha	<i>noun</i><br><ol><li>paper, newspaper</li></ol>
liphephandzaba|émáphéphándzaba|líphéphándzaba	<i>noun</i><br><ol><li>newspaper</li></ol>
liphilisi|líphílisi|émáphílisi	<i>noun</i><br><ol><li>pill, tablet</li></ol>
liphisi|émáphîsi|líphîsi	<i>noun</i><br><ol><li>expert hunter</li></ol>
liphiva|líphiva|émáphiva	<i>noun</i><br><ol><li>water buck</li></ol>
liphoyisa|émáphóyîsá|líphóyîsá	<i>noun</i><br><ol><li>policeman</li></ol>
liphunga|émáphúnga|líphúnga	<i>noun</i><br><ol><li>scent, bad smell</li></ol>
liphupho|líphupho|émáphupho	<i>noun</i><br><ol><li>dream</li></ol>
lipipi|lípípi|émápípi	<i>noun</i><br><ol><li>pipe</li></ol>
lipitikoti|lípítíkôti|émápítíkôti	<i>noun</i><br><ol><li>petticoat</li></ol>
liposi|lípósi|émápósi	<i>noun</i><br><ol><li>mail, post office</li></ol>
lipulango|lípúlángo|émápúlángo	<i>noun</i><br><ol><li>board, plank</li></ol>
lipulazi|lípúlazi|émápúlazi	<i>noun</i><br><ol><li>farm</li></ol>
lipulede|émápúlede|lípúlede	<i>noun</i><br><ol><li>plate</li></ol>
lisaha|lísáha|émásáha	<i>noun</i><br><ol><li>saw</li></ol>
lisaka|émásaka|lísaka	<i>noun</i><br><ol><li>sack (for food, flour, sand)</li></ol>
lisela|líséla|émáséla	<i>noun</i><br><ol><li>thief</li></ol>
lisenti|lísénti|émásénti	<i>noun</i><br><ol><li>cent</li></ol>
lishashati|líshásháti|émáshásháti	<i>noun</i><br><ol><li>sore throat</li></ol>
lishidi|líshídi|émáshídi	<i>noun</i><br><ol><li>sheet</li></ol>
lishiya|líshîya|émáshîya	<i>noun</i><br><ol><li>eyebrow</li></ol>
lishongololo|émáshóngólôlo|líshóngólôlo	<i>noun</i><br><ol><li>millipede</li><li>kudu</li></ol>
lishumi|émáshûmi|líshûmi	<i>noun</i><br><ol><li>ten</li><li>the tenth one</li><li>(in the possessive) tenth</li></ol>
lisilaha|lísíláha	<i>noun</i><br><ol><li>butchery</li></ol>
liso|émêhlo|lîsó	<i>noun</i><br><ol><li>eye</li></ol>
lisobho|émásóbho|lísóbho	<i>noun</i><br><ol><li>soup, gravy</li></ol>
lisoka|lísoka|émásoka	<i>noun</i><br><ol><li>a young man with many lovers</li></ol>
lisokisi|lísókisi|émásókisi	<i>noun</i><br><ol><li>sock, stocking</li></ol>
lisondvo|émásôndvo|lísôndvo	<i>noun</i><br><ol><li>wheel</li></ol>
lisongo|émásóngo|lísóngo	<i>noun</i><br><ol><li>armring</li></ol>
lisu|lísu|émásu	<i>noun</i><br><ol><li>plan for solving a problem</li></ol>
lisusu|lísúsu|émásúsu	<i>noun</i><br><ol><li>susu</li></ol>
liswidi|émáswídi|líswídi	<i>noun</i><br><ol><li>candy</li></ol>
lita	<i>verb</i><br><ol><li>to joke</li></ol>
litabhane|lítábhane|émátábhane	<i>noun</i><br><ol><li>a local edible tuber</li></ol>
litafula|lítáfula|émátáfula	<i>noun</i><br><ol><li>table</li></ol>
litfole|lítfole|émátfole	<i>noun</i><br><ol><li>calf (of a cow)</li></ol>
litfonga|émátfônga|lítfônga	<i>noun</i><br><ol><li>badly behaved person</li></ol>
litfuba|émátfuba|lítfuba	<i>noun</i><br><ol><li>chance</li></ol>
litfumba|émátfûmbá|lítfûmbá	<i>noun</i><br><ol><li>boil</li></ol>
litfunti|lítfûnti|émátfûnti	<i>noun</i><br><ol><li>bad omen</li></ol>
lithekisi|émáthékisi|líthékisi	<i>noun</i><br><ol><li>taxi</li></ol>
litiya|lítíya|émátíya	<i>noun</i><br><ol><li>tea</li></ol>
litje|émátje|lítje	<i>noun</i><br><ol><li>stone</li></ol>
litjitji|émátjîtji|lítjîtji	<i>noun</i><br><ol><li>young girl</li></ol>
litomu|lítómu|émátómu	<i>noun</i><br><ol><li>bridle</li></ol>
litotoyi|émátótôyí|lítótôyí	<i>noun</i><br><ol><li>cockroach</li></ol>
litsambo|lítsâmbo|émátsâmbo	<i>noun</i><br><ol><li>bone</li></ol>
litsanga|lítsanga|lítsângá|émátsanga|émátsângá	<i>noun</i><br><ol><li>pumpkin</li><li>thigh</li></ol>
litsendzele|lítsendzêle|émátsendzêle	<i>noun</i><br><ol><li>partridge</li></ol>
lituba|lítuba|émátuba	<i>noun</i><br><ol><li>dove</li></ol>
litulu|lítulu	<i>noun</i><br><ol><li>rain, thunder</li></ol>
live|émáve|líve	<i>noun</i><br><ol><li>country</li></ol>
livi|lívi|émávi	<i>noun</i><br><ol><li>voice</li><li>kneecap</li></ol>
liviki|émávíki|lívíki	<i>noun</i><br><ol><li>week</li></ol>
livila|lívila|émávila	<i>noun</i><br><ol><li>lazy person</li></ol>
livondvo|lívóndvo|émávóndvo	<i>noun</i><br><ol><li>cane rat</li></ol>
livosi|émávósi|lívósi	<i>noun</i><br><ol><li>sausage</li></ol>
livuvumanti|émávúvúmânti|lívúvúmânti	<i>noun</i><br><ol><li>a kind of snake that is found around water bodies</li></ol>
liwa|lîwá|émawá	<i>noun</i><br><ol><li>cliff</li></ol>
liwashi|émáwáshi|líwáshi	<i>noun</i><br><ol><li>watch</li></ol>
liwayiwayi|émáwáyíwayi|líwáyíwayi	<i>noun</i><br><ol><li>crow</li></ol>
lizambane|émázámbane|lízámbane	<i>noun</i><br><ol><li>potato</li><li>sock with a hole</li></ol>
lizembe|lízembe|émázembe	<i>noun</i><br><ol><li>axe</li></ol>
lizubela|lízubelá|émázubelá	<i>noun</i><br><ol><li>flying piece from an explosion or collision</li></ol>
loba	<i>pron</i><br><ol><li>that over there, yonder; class 14 remote demonstrative.</li></ol>
lobo	<i>pron</i><br><ol><li>that; class 14 distal demonstrative.</li></ol>
lobu	<i>pron</i><br><ol><li>this; class 14 proximal demonstrative.</li></ol>
logwaja|bólógwaja|lógwaja	<i>noun</i><br><ol><li>rabbit</li></ol>
lohheya|lóhheya|bólóhheya	<i>noun</i><br><ol><li>hawk</li></ol>
loko	<i>pron</i><br><ol><li>that; class 15 distal demonstrative.</li></ol>
loku	<i>pron</i><br><ol><li>this; class 15 proximal demonstrative.</li></ol>
lokwa	<i>pron</i><br><ol><li>that over there, yonder; class 15 remote demonstrative.</li></ol>
lolo	<i>pron</i><br><ol><li>that; class 11 distal demonstrative.</li></ol>
lolu	<i>pron</i><br><ol><li>this; class 11 proximal demonstrative.</li></ol>
lolwa	<i>pron</i><br><ol><li>that over there, yonder; class 11 remote demonstrative.</li></ol>
lona|loná	<i>pron</i><br><ol><li>he, she, him, her, it; class 5 absolute pronoun.</li><li>he, she, him, her, it; class 11 absolute pronoun.</li></ol>
lowo	<i>pron</i><br><ol><li>that; class 1 distal demonstrative.</li><li>that; class 3 distal demonstrative.</li></ol>
lubambo	<i>noun</i><br><ol><li>rib</li></ol>
lubatsa|lúbatsá	<i>noun</i><br><ol><li>fashion of walking with toes pointed outward</li></ol>
lubhambo|tímbambo|lúbhambo	<i>noun</i><br><ol><li>rib</li></ol>
lubisi|lúbîsi	<i>noun</i><br><ol><li>milk</li></ol>
lubondza|tímbondza|lúbondza	<i>noun</i><br><ol><li>wall</li></ol>
lucetu|lúcetú|tíngcetú	<i>noun</i><br><ol><li>piece, slice, chip</li></ol>
lucici|tíngcîcí|lúcîcí	<i>noun</i><br><ol><li>earring</li></ol>
lucingo|lúcîngo|tíngcîngo	<i>noun</i><br><ol><li>wire</li><li>fence</li><li>telegram, telephone</li></ol>
lucolo|lúcolo	<i>noun</i><br><ol><li>peace</li></ol>
lucotfo|tíngcôtfo|lúcôtfo|lúcotfo|tingcôtfo	<i>noun</i><br><ol><li>cord</li><li>thread</li></ol>
lucwephe|tíngcwephé|lúcwephé	<i>noun</i><br><ol><li>wooden spoon</li></ol>
ludvonga|lúdvongá|tíndvongá	<i>noun</i><br><ol><li>wall</li></ol>
ludzaka|tíndzaka|lúdzaka	<i>noun</i><br><ol><li>mud</li><li>weak person</li></ol>
ludziwo|lúdzíwo|tíndzíwo	<i>noun</i><br><ol><li>clay pot</li></ol>
lufa|lûfá|tîmfá	<i>noun</i><br><ol><li>crack</li></ol>
lufala|lúfalá	<i>noun</i><br><ol><li>smallpox</li></ol>
lufu|lûfú|tîmfú	<i>noun</i><br><ol><li>disease</li></ol>
lufudvu|tímfûdvu|lúfûdvu	<i>noun</i><br><ol><li>tortoise, turtle</li></ol>
lugagane|tíngágáne|lúgágáne	<i>noun</i><br><ol><li>a kind of thorny vine</li></ol>
lugalo|tíngalo|lúgalo	<i>noun</i><br><ol><li>fingernail, toenail</li></ol>
lugcwigcwi|lúgcwîgcwí|tíngcwîgcwí	<i>noun</i><br><ol><li>a kind of grasshopper</li></ol>
lugebhuta|tíngébhúta|lúgébhúta	<i>noun</i><br><ol><li>rind, shell, pad</li></ol>
lugibe|tíngíbe|lúgíbe	<i>noun</i><br><ol><li>trap made from rope and hair</li></ol>
lugidzi|tíngídzi|lúgídzi	<i>noun</i><br><ol><li>bank</li></ol>
luhambo|lúhámbo|tíhámbo	<i>noun</i><br><ol><li>journey, trip</li></ol>
luhlanya|lúhlanya|tinhlânya	<i>noun</i><br><ol><li>mad person</li></ol>
luhlata|uluhlata|leniluhlata|baluhlata|luluhlata|laluhlata|lobuluhlata|aluhlata|leliluhlata|labaluhlata|liluhlata|niluhlata|buluhlata|letiluhlata|tiluhlata|kuluhlata|lengiluhlata|lokuluhlata|siluhlata|ngiluhlata|leluhlata|loluluhlata|iluhlata|lesiluhlata|loluhlata	<i>conj</i><br><ol><li>green, blue</li></ol>
luhlavu|tínhlâvu|lúhlâvu	<i>noun</i><br><ol><li>uttering, single saying (syllable, word, phrase etc.)</li></ol>
luhleko|lúhleko	<i>noun</i><br><ol><li>laughter</li></ol>
luhlobo|lúhlóbo|tínhlóbo	<i>noun</i><br><ol><li>kind, type, special breed</li></ol>
luhlu|lúhlu|tínhlu	<i>noun</i><br><ol><li>row, column, queue</li><li>list</li></ol>
luhlupho|lúhlupho	<i>noun</i><br><ol><li>trouble</li></ol>
luhwabha|tíhwabhá|lúhwabhá	<i>noun</i><br><ol><li>watermelon</li></ol>
luju|lúju	<i>noun</i><br><ol><li>honey</li></ol>
lukeke|tínkêké|lúkêké	<i>noun</i><br><ol><li>sideways (like a crab)</li></ol>
lukhalo|tínkhâlo|lúkhâlo	<i>noun</i><br><ol><li>waist</li><li>ridge (of a hill)</li></ol>
lukhasi|tínkhasi|lúkhasi	<i>noun</i><br><ol><li>a kind of grass</li></ol>
lukhula|lúkhula	<i>noun</i><br><ol><li>weeds</li></ol>
lukhuni|lolukhuni|tínkhûni|lobulukhuni|lolulukhuni|ngilukhuni|bulukhuni|lalukhuni|lenilukhuni|nilukhuni|lulukhuni|balukhuni|ulukhuni|tilukhuni|kulukhuni|lúkhûni|lilukhuni|lelukhuni|silukhuni|ilukhuni|lelilukhuni|lokulukhuni|lengilukhuni|letilukhuni|lesilukhuni|labalukhuni|alukhuni	<i>noun</i><br><ol><li>firewood</li></ol><br><i>conj</i><br><ol><li>hard, difficult</li></ol>
lukhwekhwe|lúkhwekhwe|tínkhwekhwe	<i>noun</i><br><ol><li>rash, scab, eczema</li></ol>
lula|lokulula|silula|nilula|lulula|lobulula|ilula|tilula|lesilula|kulula|lelula|lolula|labalula|balula|lengilula|lilula|lalula|lenilula|alula|bulula|lolulula|ngilula|ulula|letilula|lelilula	<i>conj</i><br><ol><li>light in weight</li><li>easy</li></ol>
lulaka|tílâka|lúlâka	<i>noun</i><br><ol><li>violent temper</li></ol>
lulata|lúlâta|tílâta	<i>noun</i><br><ol><li>cream</li></ol>
lulimi|lúlîmi	<i>noun</i><br><ol><li>tongue</li></ol>
lulwembulwembu|lúlwémbúlwêmbu	<i>noun</i><br><ol><li>snow</li></ol>
luma	<i>verb</i><br><ol><li>to bite</li></ol>
lumba	<i>verb</i><br><ol><li>to practice witchcraft</li><li>to make, to invent to do wonders</li></ol>
lunga	<i>verb</i><br><ol><li>to be right</li></ol>
lungisa	<i>verb</i><br><ol><li>to fix up, to straighten up</li></ol>
luntfu|lúntfu	<i>noun</i><br><ol><li>common people, the masses</li></ol>
lunwabu|lúnwâbu|tínwâbu	<i>noun</i><br><ol><li>chameleon</li><li>fickle person</li></ol>
lunwele|tínwéle|lúnwéle	<i>noun</i><br><ol><li>hair</li></ol>
lunya|lúnya	<i>noun</i><br><ol><li>meanness</li><li>strictness</li><li>callousness</li></ol>
lunyawo|tínyawo|lúnyawo	<i>noun</i><br><ol><li>foot</li></ol>
luphiko|lúphiko|tímphiko	<i>noun</i><br><ol><li>wing</li></ol>
luphondvo|tímphondvo|lúphondvo	<i>noun</i><br><ol><li>horn</li></ol>
luphuya|lúphuya|tímphuya	<i>noun</i><br><ol><li>poor person</li></ol>
lusapho|lúsapho|tínsapho	<i>noun</i><br><ol><li>offspring</li></ol>
lusekwane|tínsékwane|lúsékwane	<i>noun</i><br><ol><li>mimosa plant</li></ol>
lusiba|tínsîba|lúsîba	<i>noun</i><br><ol><li>plume, long feather</li><li>pen</li></ol>
lusizi|tínsîzi|lúsîzi	<i>noun</i><br><ol><li>sorrow</li></ol>
lusuku|lúsûku|tínsûku	<i>noun</i><br><ol><li>day (period of time)</li></ol>
luswane|tínswáne|lúswáne	<i>noun</i><br><ol><li>newborn baby</li></ol>
luswayi|lúswáyi	<i>noun</i><br><ol><li>salt</li></ol>
lutfo|lûtfó	<i>noun</i><br><ol><li>something</li></ol>
lutfuli|lútfuli	<i>noun</i><br><ol><li>dust</li><li>trouble</li></ol>
lutfutfu|lútfutfú|tintfûtfú	<i>noun</i><br><ol><li>hot ash</li></ol>
lutfutfuva|lulutfutfuva|nilutfutfuva|kulutfutfuva|ilutfutfuva|letilutfutfuva|silutfutfuva|lokulutfutfuva|lolulutfutfuva|lelutfutfuva|lesilutfutfuva|alutfutfuva|lenilutfutfuva|lilutfutfuva|lengilutfutfuva|lelilutfutfuva|lolutfutfuva|labalutfutfuva|balutfutfuva|tilutfutfuva|lobulutfutfuva|ngilutfutfuva|ulutfutfuva|lalutfutfuva|bulutfutfuva	<i>conj</i><br><ol><li>dusty, dirty</li></ol>
lutsandvo|lútsândvo	<i>noun</i><br><ol><li>love</li></ol>
lutsi|tîntsí|lûtsí	<i>noun</i><br><ol><li>stick</li></ol>
lutwane|tíntwane|lútwane	<i>noun</i><br><ol><li>toe</li></ol>
luvalo|lúvalo|tímvalo	<i>noun</i><br><ol><li>fright</li></ol>
luvivane|tímvíváne|lúvíváne	<i>noun</i><br><ol><li>butterfly, moth</li></ol>
lwa	<i>verb</i><br><ol><li>(intransitive) to fight, to struggle</li></ol>
lwandle|lwândlé	<i>noun</i><br><ol><li>sea, ocean</li></ol>
ma	<i>verb</i><br><ol><li>to stand</li><li>to stop, to wait</li></ol>
mabhalane|bómábhálâne	<i>noun</i><br><ol><li>secretary, clerk</li></ol>
make|bómáke|máke	<i>noun</i><br><ol><li>my mother</li></ol>
makoti|bómakotí|makotí	<i>noun</i><br><ol><li>bride, daughter-in-law</li></ol>
malume|málûme|bómálûme	<i>noun</i><br><ol><li>maternal uncle</li></ol>
mamatseka	<i>verb</i><br><ol><li>to grin</li></ol>
mamba|bómamba	<i>noun</i><br><ol><li>mamba snake</li></ol>
mandla|kumandla|lokumandla|lobumandla|umandla|simandla|ngimandla|letimandla|nimandla|amandla|lomandla|lolumandla|lemandla|imandla|lenimandla|lelimandla|lesimandla|limandla|lengimandla|lumandla|labamandla|bamandla|timandla|bumandla|lamandla	<i>conj</i><br><ol><li>strong</li></ol>
mangala	<i>verb</i><br><ol><li>to be amazed, to be surprised</li></ol>
mangoza|mángoza|bómángoza	<i>noun</i><br><ol><li>mango</li></ol>
mankanjane|bómánkánjane|mánkánjane	<i>noun</i><br><ol><li>distilled beer</li></ol>
manti|lelimanti|ngimanti|lengimanti|lokumanti|lamanti|kumanti|labamanti|amanti|lomanti|lemanti|timanti|bumanti|lesimanti|lobumanti|simanti|bamanti|nimanti|letimanti|lenimanti|limanti|imanti|lumanti|lolumanti|umanti	<i>conj</i><br><ol><li>wet</li></ol>
matalasi|mátálási|bómátálási	<i>noun</i><br><ol><li>mattress</li></ol>
mayaba|bómáyaba	<i>noun</i><br><ol><li>long-tailed bird</li></ol>
mba	<i>verb</i><br><ol><li>(intransitive) to dig</li></ol>
mbalwa|bumbalwa|bambalwa|simbalwa|lelimbalwa|lolumbalwa|kumbalwa|ambalwa|ngimbalwa|nimbalwa|lobumbalwa|timbalwa|lombalwa|lembalwa|lambalwa|umbalwa|lengimbalwa|lenimbalwa|imbalwa|letimbalwa|labambalwa|lumbalwa|limbalwa|lokumbalwa|lesimbalwa	<i>conj</i><br><ol><li>few</li></ol>
mbatsa	<i>verb</i><br><ol><li>to drape clothes around oneself</li></ol>
mbonya	<i>verb</i><br><ol><li>to cover up</li></ol>
mdzaka|lemdzaka|umdzaka|lumdzaka|labamdzaka|lenimdzaka|kumdzaka|lomdzaka|bumdzaka|lolumdzaka|lokumdzaka|imdzaka|bamdzaka|lamdzaka|lesimdzaka|nimdzaka|letimdzaka|lelimdzaka|simdzaka|amdzaka|timdzaka|lengimdzaka|ngimdzaka|lobumdzaka|limdzaka	<i>conj</i><br><ol><li>fawn-colored</li></ol>
memeta	<i>verb</i><br><ol><li>to shout</li></ol>
memetela	<i>verb</i><br><ol><li>to announce</li></ol>
