a	<i>romanization</i><br><ol><li>Romanization of 𒀀 (a)</li></ol>
me7	<i>romanization</i><br><ol><li>Romanization of 𒃙 (me₇)</li></ol>
me9	<i>romanization</i><br><ol><li>Romanization of 𒇞 (me₉)</li></ol>
men	<i>romanization</i><br><ol><li>Romanization of 𒃞 (men)</li></ol>
men3	<i>romanization</i><br><ol><li>Romanization of 𒁺 (men₃)</li></ol>
men4	<i>romanization</i><br><ol><li>Romanization of 𒇙 (men₄)</li></ol>
menX	<i>romanization</i><br><ol><li>Romanization of 𒃉 (menₓ(G̃A₂×EN))</li></ol>
mes	<i>romanization</i><br><ol><li>Romanization of 𒈩 (mes)</li></ol>
mesz	<i>romanization</i><br><ol><li>Romanization of 𒎌 (meš)</li></ol>
mesz3	<i>romanization</i><br><ol><li>Romanization of 𒈩 (meš₃)</li></ol>
mete	<i>romanization</i><br><ol><li>Romanization of 𒋼 (mete)</li></ol>
mi	<i>romanization</i><br><ol><li>Romanization of 𒈪 (mi)</li></ol>
mi2	<i>romanization</i><br><ol><li>Romanization of 𒊩 (mi₂)</li></ol>
min	<i>romanization</i><br><ol><li>Romanization of 𒈫 (min)</li></ol>
min3	<i>romanization</i><br><ol><li>Romanization of 𒎙 (min₃)</li></ol>
min4	<i>romanization</i><br><ol><li>Romanization of 𒎏 (min₄)</li></ol>
min5	<i>romanization</i><br><ol><li>Romanization of 𒐀 (min₅)</li></ol>
min6	<i>romanization</i><br><ol><li>Romanization of 𒋰 (min₆)</li></ol>
mu	<i>romanization</i><br><ol><li>Romanization of 𒈬 (mu)</li></ol>
mu11	<i>romanization</i><br><ol><li>Romanization of 𒅿 (mu₁₁)</li></ol>
mu2	<i>romanization</i><br><ol><li>Romanization of 𒊬 (mu₂)</li></ol>
mu3	<i>romanization</i><br><ol><li>Romanization of 𒅡 (mu₃)</li></ol>
mu4	<i>romanization</i><br><ol><li>Romanization of 𒌆 (mu₄)</li></ol>
mu5	<i>romanization</i><br><ol><li>Romanization of 𒉌 (mu₅)</li></ol>
mu7	<i>romanization</i><br><ol><li>Romanization of 𒅲 (mu₇)</li></ol>
mud	<i>romanization</i><br><ol><li>Romanization of 𒄷𒄭 (mud)</li></ol>
mud2	<i>romanization</i><br><ol><li>Romanization of 𒁁 (mud₂)</li></ol>
mug	<i>romanization</i><br><ol><li>Romanization of 𒈮 (mug)</li></ol>
muh	<i>romanization</i><br><ol><li>Romanization of 𒌋𒅗 (muḫ)</li></ol>
muh3	<i>romanization</i><br><ol><li>Romanization of 𒊣 (muḫ₃)</li></ol>
muhaldim	<i>romanization</i><br><ol><li>Romanization of 𒈬 (muḫaldim)</li></ol>
mul	<i>romanization</i><br><ol><li>Romanization of 𒀯 (mul)</li></ol>
mul2	<i>romanization</i><br><ol><li>Romanization of 𒋼 (mul₂)</li></ol>
mun	<i>romanization</i><br><ol><li>Romanization of 𒁵 (mun)</li></ol>
mun4	<i>romanization</i><br><ol><li>Romanization of 𒋀 (mun₄)</li></ol>
munsub	<i>romanization</i><br><ol><li>Romanization of 𒈰 (munsub)</li></ol>
munsub2	<i>romanization</i><br><ol><li>Romanization of 𒋁𒋦 (munsub₂)</li><li>Romanization of 𒋠𒇴𒋦 (munsub₂)</li></ol>
munszub	<i>romanization</i><br><ol><li>Romanization of 𒈰 (munšub)</li></ol>
munszub2	<i>romanization</i><br><ol><li>Romanization of 𒋁𒋦 (munšub₂)</li><li>Romanization of 𒋠𒇴𒋦 (munšub₂)</li></ol>
munu4	<i>romanization</i><br><ol><li>Romanization of 𒉽𒉽 (munu₄)</li></ol>
munu5	<i>romanization</i><br><ol><li>Romanization of 𒉽𒊺𒉽 (munu₅)</li></ol>
munus	<i>romanization</i><br><ol><li>Romanization of 𒊩 (munus)</li></ol>
mur	<i>romanization</i><br><ol><li>Romanization of 𒄯 (mur)</li></ol>
mur10	<i>romanization</i><br><ol><li>Romanization of 𒌆 (mur₁₀)</li></ol>
mur7	<i>romanization</i><br><ol><li>Romanization of 𒈱 (mur₇)</li></ol>
murgu	<i>romanization</i><br><ol><li>Romanization of 𒋞 (murgu)</li></ol>
murgu2	<i>romanization</i><br><ol><li>Romanization of 𒈱 (murgu₂)</li></ol>
murgu3	<i>romanization</i><br><ol><li>Romanization of 𒅺 (murgu₃)</li></ol>
muru4	<i>romanization</i><br><ol><li>Romanization of 𒌲 (muru₄)</li></ol>
murub	<i>romanization</i><br><ol><li>Romanization of 𒊩 (murub)</li></ol>
murub2	<i>romanization</i><br><ol><li>Romanization of 𒊩𒇬 (murub₂)</li></ol>
murub3	<i>romanization</i><br><ol><li>Romanization of 𒂗𒈨𒇬 (murub₃)</li></ol>
murub4	<i>romanization</i><br><ol><li>Romanization of 𒉠 (murub₄)</li></ol>
murub6	<i>romanization</i><br><ol><li>Romanization of 𒌙 (murub₆)</li></ol>
muszen	<i>romanization</i><br><ol><li>Romanization of 𒄷 (mušen)</li></ol>
na	<i>romanization</i><br><ol><li>Romanization of 𒈾 (na)</li></ol>
na2	<i>romanization</i><br><ol><li>Romanization of 𒈿 (na₂)</li></ol>
na4	<i>romanization</i><br><ol><li>Romanization of 𒎎 (na₄)</li></ol>
na5	<i>romanization</i><br><ol><li>Romanization of 𒊭 (na₅)</li></ol>
na8	<i>romanization</i><br><ol><li>Romanization of 𒅘 (na₈)</li></ol>
naj	<i>romanization</i><br><ol><li>Romanization of 𒅘 (nag̃)</li></ol>
nam	<i>romanization</i><br><ol><li>Romanization of 𒉆 (nam)</li></ol>
namma	<i>romanization</i><br><ol><li>Romanization of 𒇉 (namma)</li></ol>
nan2	<i>romanization</i><br><ol><li>Romanization of 𒋀𒆠 (nan₂)</li></ol>
nanibgal	<i>romanization</i><br><ol><li>Romanization of 𒀭𒉀 (nanibgal)</li></ol>
nanibgal2	<i>romanization</i><br><ol><li>Romanization of 𒀭𒊺𒉀 (nanibgal₂)</li></ol>
nanna	<i>romanization</i><br><ol><li>Romanization of 𒋀𒆠 (nanna)</li></ol>
nansze	<i>romanization</i><br><ol><li>Romanization of 𒀏 (nanše)</li></ol>
ne	<i>romanization</i><br><ol><li>Romanization of 𒉈 (ne)</li></ol>
ne2	<i>romanization</i><br><ol><li>Romanization of 𒉌 (ne₂)</li></ol>
ni2	<i>romanization</i><br><ol><li>Romanization of 𒅎 (ni₂)</li><li>Romanization of 𒉎 (ni₂)</li></ol>
nibru	<i>romanization</i><br><ol><li>Romanization of 𒂗𒆤 (nibru)</li></ol>
nigru	<i>romanization</i><br><ol><li>Romanization of 𒅚 (nigru)</li></ol>
nij2	
nijin2	<i>romanization</i><br><ol><li>Romanization of 𒆸 (nig̃in₂)</li></ol>
nijin3	<i>romanization</i><br><ol><li>Romanization of 𒌋𒌓𒆤 (nig̃in₃)</li></ol>
nijin4	<i>romanization</i><br><ol><li>Romanization of 𒌋𒌓 (nig̃in₄)</li></ol>
nijin6	<i>romanization</i><br><ol><li>Romanization of 𒀏 (nig̃in₆)</li></ol>
nijir	<i>romanization</i><br><ol><li>Romanization of 𒂇 (nig̃ir)</li><li>Romanization of 𒂆 (nig̃ir)</li></ol>
nim	<i>romanization</i><br><ol><li>Romanization of 𒉏 (nim)</li></ol>
nimgir	<i>romanization</i><br><ol><li>Romanization of 𒂇 (nimgir)</li><li>Romanization of 𒂆 (nimgir)</li></ol>
nimin	<i>romanization</i><br><ol><li>Romanization of 𒐏 (nimin)</li></ol>
nin	<i>romanization</i><br><ol><li>Romanization of 𒎏 (nin)</li></ol>
nin9	<i>romanization</i><br><ol><li>Romanization of 𒎐 (nin₉)</li></ol>
nina	<i>romanization</i><br><ol><li>Romanization of 𒀏 (nina)</li></ol>
ninda	<i>romanization</i><br><ol><li>Romanization of 𒃻 (ninda)</li></ol>
ninda2	<i>romanization</i><br><ol><li>Romanization of 𒉒 (ninda₂)</li></ol>
ninni5	<i>romanization</i><br><ol><li>Romanization of 𒌃 (ninni₅)</li></ol>
ninni8	<i>romanization</i><br><ol><li>Romanization of 𒌁 (ninni₈)</li></ol>
ninnu|ninnunge	<i>romanization</i><br><ol><li>Romanization of 𒐐 (ninnu)</li></ol><br><i>noun</i><br><ol><li>(literary) sun</li></ol>
nir	<i>romanization</i><br><ol><li>Romanization of 𒉪 (nir)</li></ol>
nir2	<i>romanization</i><br><ol><li>Romanization of 𒍝𒂆 (nir₂)</li></ol>
nir3	<i>romanization</i><br><ol><li>Romanization of 𒍝𒉏 (nir₃)</li></ol>
nir5	<i>romanization</i><br><ol><li>Romanization of 𒍝𒅁 (nir₅)</li></ol>
nir7	<i>romanization</i><br><ol><li>Romanization of 𒍝𒂇 (nir₇)</li></ol>
nisaba	<i>romanization</i><br><ol><li>Romanization of 𒊺𒉀 (nisaba)</li></ol>
nisaba2	<i>romanization</i><br><ol><li>Romanization of 𒉀 (nisaba₂)</li></ol>
nisz	<i>romanization</i><br><ol><li>Romanization of 𒎙 (niš)</li></ol>
nita	<i>romanization</i><br><ol><li>Romanization of 𒍑 (nita)</li></ol>
nita2	<i>romanization</i><br><ol><li>Romanization of 𒀴 (nita₂)</li></ol>
nu	<i>romanization</i><br><ol><li>Romanization of 𒉡 (nu)</li></ol>
nu11	<i>romanization</i><br><ol><li>Romanization of 𒉢 (nu₁₁)</li></ol>
nu2	<i>romanization</i><br><ol><li>Romanization of 𒈿 (nu₂)</li></ol>
nud	<i>romanization</i><br><ol><li>Romanization of 𒈿 (nud)</li></ol>
num	<i>romanization</i><br><ol><li>Romanization of 𒉏 (num)</li></ol>
num2	<i>romanization</i><br><ol><li>Romanization of 𒈝 (num₂)</li></ol>
numma	<i>romanization</i><br><ol><li>Romanization of 𒋕 (numma)</li></ol>
numun	<i>romanization</i><br><ol><li>Romanization of 𒆰 (numun)</li></ol>
nundum	<i>romanization</i><br><ol><li>Romanization of 𒅻 (nundum)</li></ol>
nundun	<i>romanization</i><br><ol><li>Romanization of 𒅻 (nundun)</li></ol>
nunuz	<i>romanization</i><br><ol><li>Romanization of 𒉭 (nunuz)</li></ol>
pa	<i>romanization</i><br><ol><li>Romanization of 𒉺 (pa)</li></ol>
pa3	<i>romanization</i><br><ol><li>Romanization of 𒅆𒊒 (pa₃)</li></ol>
pa4	<i>romanization</i><br><ol><li>Romanization of 𒉽 (pa₄)</li></ol>
pad	<i>romanization</i><br><ol><li>Romanization of 𒉻 (pad)</li></ol>
pad3	<i>romanization</i><br><ol><li>Romanization of 𒅆𒊒 (pad₃)</li></ol>
panaX	<i>romanization</i><br><ol><li>Romanization of 𒌁 (panaₓ(ŠE.NUN&NUN))</li></ol>
pap	<i>romanization</i><br><ol><li>Romanization of 𒉽 (pap)</li></ol>
par3	<i>romanization</i><br><ol><li>Romanization of 𒁖 (par₃)</li></ol>
par4	<i>romanization</i><br><ol><li>Romanization of 𒆦 (par₄)</li><li>Romanization of 𒉌𒄑 (par₄)</li></ol>
pe2	<i>romanization</i><br><ol><li>Romanization of 𒁉 (pe₂)</li></ol>
pesz	<i>romanization</i><br><ol><li>Romanization of 𒄫 (peš)</li></ol>
pesz3	<i>romanization</i><br><ol><li>Romanization of 𒈠 (peš₃)</li></ol>
pesz5	<i>romanization</i><br><ol><li>Romanization of 𒆒 (peš₅)</li></ol>
pi2	<i>romanization</i><br><ol><li>Romanization of 𒁉 (pi₂)</li></ol>
pi4	<i>romanization</i><br><ol><li>Romanization of 𒅗 (pi₄)</li></ol>
pirij	<i>romanization</i><br><ol><li>Romanization of 𒊊 (pirig̃)</li></ol>
pirij2	<i>romanization</i><br><ol><li>Romanization of 𒌓 (pirig̃₂)</li></ol>
pirij3	<i>romanization</i><br><ol><li>Romanization of 𒊌 (pirig̃₃)</li></ol>
pu2	<i>romanization</i><br><ol><li>Romanization of 𒇥 (pu₂)</li></ol>
pu3	<i>romanization</i><br><ol><li>Romanization of 𒅤 (pu₃)</li></ol>
puzur	<i>romanization</i><br><ol><li>Romanization of 𒌋 (puzur)</li></ol>
puzur2	<i>romanization</i><br><ol><li>Romanization of 𒎙 (puzur₂)</li></ol>
puzur3	<i>romanization</i><br><ol><li>Romanization of 𒌋𒍠 (puzur₃)</li></ol>
puzur4	<i>romanization</i><br><ol><li>Romanization of 𒅤𒊭 (puzur₄)</li></ol>
puzur5	<i>romanization</i><br><ol><li>Romanization of 𒅤 (puzur₅)</li></ol>
qa	<i>romanization</i><br><ol><li>Romanization of 𒋡 (qa)</li></ol>
qar3	<i>romanization</i><br><ol><li>Romanization of 𒃻 (qar₃)</li></ol>
qe2	<i>romanization</i><br><ol><li>Romanization of 𒆠 (qe₂)</li></ol>
qi2	<i>romanization</i><br><ol><li>Romanization of 𒆠 (qi₂)</li></ol>
ra	<i>romanization</i><br><ol><li>Romanization of 𒊏 (ra)</li></ol>
ra2	<i>romanization</i><br><ol><li>Romanization of 𒁺 (ra₂)</li></ol>
rah	<i>romanization</i><br><ol><li>Romanization of 𒈛 (raḫ)</li></ol>
rah2	<i>romanization</i><br><ol><li>Romanization of 𒊏 (raḫ₂)</li></ol>
re6	<i>romanization</i><br><ol><li>Romanization of 𒁺 (re₆)</li></ol>
re7	<i>romanization</i><br><ol><li>Romanization of 𒁻 (re₇)</li></ol>
ri	<i>romanization</i><br><ol><li>Romanization of 𒊑 (ri)</li></ol>
ri2	<i>romanization</i><br><ol><li>Romanization of 𒌷 (ri₂)</li></ol>
ri9	<i>romanization</i><br><ol><li>Romanization of 𒈕 (ri₉)</li></ol>
rin	<i>romanization</i><br><ol><li>Romanization of 𒆸 (rin)</li></ol>
ru	<i>romanization</i><br><ol><li>Romanization of 𒊒 (ru)</li></ol>
ru10	<i>romanization</i><br><ol><li>Romanization of 𒋽 (ru₁₀)</li></ol>
ru12	<i>romanization</i><br><ol><li>Romanization of 𒂗 (ru₁₂)</li></ol>
ru2	<i>romanization</i><br><ol><li>Romanization of 𒆕 (ru₂)</li></ol>
ru5	<i>romanization</i><br><ol><li>Romanization of 𒌌 (ru₅)</li></ol>
rum	<i>romanization</i><br><ol><li>Romanization of 𒀸 (rum)</li></ol>
sa	<i>romanization</i><br><ol><li>Romanization of 𒊓 (sa)</li></ol>
sa10	<i>romanization</i><br><ol><li>Romanization of 𒉚 (sa₁₀)</li></ol>
sa2	<i>romanization</i><br><ol><li>Romanization of 𒁲 (sa₂)</li></ol>
sa3	<i>romanization</i><br><ol><li>Romanization of 𒍝 (sa₃)</li></ol>
sa5	<i>romanization</i><br><ol><li>Romanization of 𒋛𒀀 (sa₅)</li></ol>
sa6	<i>romanization</i><br><ol><li>Romanization of 𒊷 (sa₆)</li></ol>
sa7	<i>romanization</i><br><ol><li>Romanization of 𒅊 (sa₇)</li></ol>
sa9	<i>romanization</i><br><ol><li>Romanization of 𒈦 (sa₉)</li></ol>
sag10	<i>romanization</i><br><ol><li>Romanization of 𒅆𒂟 (sag₁₀)</li></ol>
sag2	<i>romanization</i><br><ol><li>Romanization of 𒉺𒃶 (sag₂)</li></ol>
sag3	<i>romanization</i><br><ol><li>Romanization of 𒉺 (sag₃)</li></ol>
sag8	<i>romanization</i><br><ol><li>Romanization of 𒆗 (sag₈)</li></ol>
sag9	<i>romanization</i><br><ol><li>Romanization of 𒊷 (sag₉)</li></ol>
sah6	<i>romanization</i><br><ol><li>Romanization of 𒄩𒀀 (saḫ₆)</li></ol>
sahar	<i>romanization</i><br><ol><li>Romanization of 𒅖 (saḫar)</li></ol>
saj	<i>romanization</i><br><ol><li>Romanization of 𒊕 (sag̃)</li></ol>
saja	<i>romanization</i><br><ol><li>Romanization of 𒋃 (sag̃a)</li></ol>
sajja	<i>romanization</i><br><ol><li>Romanization of 𒋃 (sag̃g̃a)</li></ol>
sajtak4	<i>romanization</i><br><ol><li>Romanization of 𒁹 (sag̃tak₄)</li></ol>
sakar	<i>romanization</i><br><ol><li>Romanization of 𒊬 (sakar)</li></ol>
sal	<i>romanization</i><br><ol><li>Romanization of 𒊩 (sal)</li></ol>
sam2	<i>romanization</i><br><ol><li>Romanization of 𒉛 (sam₂)</li><li>Romanization of 𒉚𒀀𒀭 (sam₂(NINDA₂×ŠE.A.AN))</li><li>Romanization of 𒉚𒀭 (sam₂(NINDA₂×(ŠE.AN)))</li><li>Romanization of 𒉚 (sam₂)</li></ol>
saman	<i>romanization</i><br><ol><li>Romanization of 𒂠𒋤𒉣𒂠𒌅 (saman)</li></ol>
saman2	<i>romanization</i><br><ol><li>Romanization of 𒂠𒁍𒉣𒂠𒌅 (saman₂)</li></ol>
saman3	<i>romanization</i><br><ol><li>Romanization of 𒊺𒂠𒉣𒁍 (saman₃)</li></ol>
samanX	<i>romanization</i><br><ol><li>Romanization of 𒊺𒁍𒉣𒂠 (samanₓ(ŠE.BU.NUN.EŠ₂))</li><li>Romanization of 𒂠𒁍𒂠𒉣𒂠𒌅 (samanₓ(EŠ₂.BU.EŠ₂.NUN.EŠ₂.TU))</li><li>Romanization of 𒂠𒋤𒌓𒉣𒂠𒌅 (samanₓ(EŠ₂.SUD.UD.NUN.EŠ₂.TU))</li><li>Romanization of 𒂠𒋤𒂠𒌅 (samanₓ(EŠ₂.SUD.EŠ₂.TU))</li><li>Romanization of 𒂠𒋤𒉣𒌅𒂠 (samanₓ(EŠ₂.SUD.NUN.TU.EŠ₂))</li></ol>
sanga	<i>romanization</i><br><ol><li>Romanization of 𒋃 (sanga)</li></ol>
santak4	<i>romanization</i><br><ol><li>Romanization of 𒁹 (santak₄)</li></ol>
sar	<i>romanization</i><br><ol><li>Romanization of 𒊬 (sar)</li></ol>
se11	<i>romanization</i><br><ol><li>Romanization of 𒋝 (se₁₁)</li></ol>
se12	<i>romanization</i><br><ol><li>Romanization of 𒅊 (se₁₂)</li></ol>
ses	<i>romanization</i><br><ol><li>Romanization of 𒋀 (ses)</li></ol>
si	<i>romanization</i><br><ol><li>Romanization of 𒋛 (si)</li></ol>
si12	<i>romanization</i><br><ol><li>Romanization of 𒅊 (si₁₂)</li></ol>
si3	<i>romanization</i><br><ol><li>Romanization of 𒋧 (si₃)</li></ol>
si4	<i>romanization</i><br><ol><li>Romanization of 𒋜 (si₄)</li></ol>
si5	<i>romanization</i><br><ol><li>Romanization of 𒅆𒂠 (si₅)</li></ol>
si7	<i>romanization</i><br><ol><li>Romanization of 𒌣 (si₇)</li></ol>
sig	<i>romanization</i><br><ol><li>Romanization of 𒋝 (sig)</li></ol>
sig10	<i>romanization</i><br><ol><li>Romanization of 𒋧 (sig₁₀)</li></ol>
sig15	<i>romanization</i><br><ol><li>Romanization of 𒆗 (sig₁₅)</li></ol>
sig17	<i>romanization</i><br><ol><li>Romanization of 𒄀 (sig₁₇)</li></ol>
sig2	<i>romanization</i><br><ol><li>Romanization of 𒋠 (sig₂)</li></ol>
sig3	<i>romanization</i><br><ol><li>Romanization of 𒉺 (sig₃)</li></ol>
sig4	<i>romanization</i><br><ol><li>Romanization of 𒋞 (sig₄)</li></ol>
sig5	<i>romanization</i><br><ol><li>Romanization of 𒅆𒂟 (sig₅)</li></ol>
sig7	<i>romanization</i><br><ol><li>Romanization of 𒅊 (sig₇)</li></ol>
sig9	<i>romanization</i><br><ol><li>Romanization of 𒋛 (sig₉)</li></ol>
sigX	<i>romanization</i><br><ol><li>Romanization of 𒂟 (sigₓ(ERIN₂))</li><li>Romanization of 𒅆𒂄 (sigₓ(IGI.DUN))</li><li>Romanization of 𒉺𒄀 (sigₓ(PA.GI))</li></ol>
sik2	<i>romanization</i><br><ol><li>Romanization of 𒋠 (sik₂)</li></ol>
siki	<i>romanization</i><br><ol><li>Romanization of 𒋠 (siki)</li></ol>
sikil	<i>romanization</i><br><ol><li>Romanization of 𒂖 (sikil)</li></ol>
sila	<i>romanization</i><br><ol><li>Romanization of 𒋻 (sila)</li></ol>
sila4	<i>romanization</i><br><ol><li>Romanization of 𒃢 (sila₄)</li></ol>
silig	<i>romanization</i><br><ol><li>Romanization of 𒍂 (silig)</li></ol>
silim	<i>romanization</i><br><ol><li>Romanization of 𒁲 (silim)</li></ol>
sim	<i>romanization</i><br><ol><li>Romanization of 𒉆 (sim)</li></ol>
simug	<i>romanization</i><br><ol><li>Romanization of 𒌣 (simug)</li><li>Romanization of 𒌤 (simug(UMUM×KASKAL))</li></ol>
sin2	<i>romanization</i><br><ol><li>Romanization of 𒉆 (sin₂)</li></ol>
sin3	<i>romanization</i><br><ol><li>Romanization of 𒉆 (sin₂)</li></ol>
sisi	<i>romanization</i><br><ol><li>Romanization of 𒀲𒆳𒊏 (sisi)</li></ol>
siskur	<i>romanization</i><br><ol><li>Romanization of 𒀬 (siskur)</li></ol>
siskur2	<i>romanization</i><br><ol><li>Romanization of 𒀬𒀬 (siskur₂)</li></ol>
siszkur	<i>romanization</i><br><ol><li>Romanization of 𒀬 (siškur)</li></ol>
sizkur	<i>romanization</i><br><ol><li>Romanization of 𒀬 (sizkur)</li></ol>
su	<i>romanization</i><br><ol><li>Romanization of 𒋢 (su)</li></ol>
su13	<i>romanization</i><br><ol><li>Romanization of 𒁍 (su₁₃)</li></ol>
su2	<i>romanization</i><br><ol><li>Romanization of 𒍪 (su₂)</li></ol>
su3	<i>romanization</i><br><ol><li>Romanization of 𒋤 (su₃)</li></ol>
su4	<i>romanization</i><br><ol><li>Romanization of 𒋜 (su₄)</li></ol>
su6	<i>romanization</i><br><ol><li>Romanization of 𒅾 (su₆)</li></ol>
su8	<i>romanization</i><br><ol><li>Romanization of 𒁻 (su₈)</li></ol>
su9	<i>romanization</i><br><ol><li>Romanization of 𒋜𒀀 (su₉)</li></ol>
sub2	<i>romanization</i><br><ol><li>Romanization of 𒁻 (sub₂)</li></ol>
subur	<i>romanization</i><br><ol><li>Romanization of 𒋚 (subur)</li></ol>
sud	<i>romanization</i><br><ol><li>Romanization of 𒋤 (sud)</li></ol>
sud4	<i>romanization</i><br><ol><li>Romanization of 𒁍 (sud₄)</li></ol>
suen	<i>romanization</i><br><ol><li>Romanization of 𒂗𒍪 (suen)</li></ol>
sug	<i>romanization</i><br><ol><li>Romanization of 𒆹 (sug)</li></ol>
sug2	<i>romanization</i><br><ol><li>Romanization of 𒁻 (sug₂)</li></ol>
sug4	<i>romanization</i><br><ol><li>Romanization of 𒋤 (sug₄)</li></ol>
suh3	<i>romanization</i><br><ol><li>Romanization of 𒄗 (suḫ₃)</li></ol>
suhur	<i>romanization</i><br><ol><li>Romanization of 𒋦 (suḫur)</li></ol>
suhusz	<i>romanization</i><br><ol><li>Romanization of 𒁼 (suḫuš)</li></ol>
suhusz2	<i>romanization</i><br><ol><li>Romanization of 𒊷𒌉 (suḫuš₂)</li><li>Romanization of 𒌮 (suḫuš₂)</li></ol>
suhuszX	<i>romanization</i><br><ol><li>Romanization of 𒌮 (suḫušₓ)</li></ol>
sukkal	<i>romanization</i><br><ol><li>Romanization of 𒈛 (sukkal)</li></ol>
sulug	<i>romanization</i><br><ol><li>Romanization of 𒈜 (sulug)</li></ol>
sum4	<i>romanization</i><br><ol><li>Romanization of 𒅾 (sum₄)</li></ol>
sum5	<i>romanization</i><br><ol><li>Romanization of 𒍦 (sum₅)</li></ol>
sumun	<i>romanization</i><br><ol><li>Romanization of 𒁁 (sumun)</li><li>Romanization of 𒌀 (sumun)</li></ol>
sumun2	<i>romanization</i><br><ol><li>Romanization of 𒄢 (sumun₂)</li></ol>
sun4	<i>romanization</i><br><ol><li>Romanization of 𒅾 (sun₄)</li></ol>
sur	<i>romanization</i><br><ol><li>Romanization of 𒋩 (sur)</li></ol>
sur10	<i>romanization</i><br><ol><li>Romanization of 𒈣𒅊 (sur₁₀)</li></ol>
sur3	<i>romanization</i><br><ol><li>Romanization of 𒄮 (sur₃)</li></ol>
sza	<i>romanization</i><br><ol><li>Romanization of 𒊭 (ša)</li></ol>
sza2	<i>romanization</i><br><ol><li>Romanization of 𒃻 (ša₂)</li></ol>
sza3	<i>romanization</i><br><ol><li>Romanization of 𒊮 (ša₃)</li></ol>
sza4	<i>romanization</i><br><ol><li>Romanization of 𒁺 (ša₄)</li></ol>
sza6	<i>romanization</i><br><ol><li>Romanization of 𒊷 (ša₆)</li></ol>
sza7	<i>romanization</i><br><ol><li>Romanization of 𒊑 (ša₇)</li></ol>
szab	<i>romanization</i><br><ol><li>Romanization of 𒉺𒅁 (šab)</li></ol>
szabra	<i>romanization</i><br><ol><li>Romanization of 𒉺𒀠 (šabra)</li></ol>
szabra2	<i>romanization</i><br><ol><li>Romanization of 𒉺𒂍 (šabra₂)</li></ol>
szag4	<i>romanization</i><br><ol><li>Romanization of 𒊮 (šag₄)</li></ol>
szah	<i>romanization</i><br><ol><li>Romanization of 𒋚 (šaḫ)</li></ol>
szah2	<i>romanization</i><br><ol><li>Romanization of 𒂄 (šaḫ₂)</li></ol>
szallur	<i>romanization</i><br><ol><li>Romanization of 𒄒 (šallur)</li></ol>
szam2	<i>romanization</i><br><ol><li>Romanization of 𒉛 (šam₂)</li></ol>
szar2	<i>romanization</i><br><ol><li>Romanization of 𒊹 (šar₂)</li></ol>
szara2	<i>romanization</i><br><ol><li>Romanization of 𒇋 (šara₂)</li></ol>
szaru	<i>romanization</i><br><ol><li>Romanization of 𒐬 (šaru)</li></ol>
sze	<i>romanization</i><br><ol><li>Romanization of 𒊺 (še)</li></ol>
sze21	<i>romanization</i><br><ol><li>Romanization of 𒄷𒈿 (še₂₁)</li></ol>
sze22	<i>romanization</i><br><ol><li>Romanization of 𒂞 (še₂₂)</li></ol>
sze3	<i>romanization</i><br><ol><li>Romanization of 𒂠 (še₃)</li></ol>
sze8	<i>romanization</i><br><ol><li>Romanization of 𒋁 (še₈)</li></ol>
sze9	<i>romanization</i><br><ol><li>Romanization of 𒋙𒀭 (še₉)</li></ol>
szeg10	<i>romanization</i><br><ol><li>Romanization of 𒆂 (šeg₁₀)</li></ol>
szeg11	<i>romanization</i><br><ol><li>Romanization of 𒅝 (šeg₁₁)</li></ol>
szeg12	<i>romanization</i><br><ol><li>Romanization of 𒋞 (šeg₁₂)</li></ol>
szeg5	<i>romanization</i><br><ol><li>Romanization of 𒍋 (šeg₅)</li></ol>
szembi	<i>romanization</i><br><ol><li>Romanization of 𒋍 (šembi)</li></ol>
szen	<i>romanization</i><br><ol><li>Romanization of 𒊿 (šen)</li></ol>
szennur	<i>romanization</i><br><ol><li>Romanization of 𒄒 (šennur)</li></ol>
szesz	<i>romanization</i><br><ol><li>Romanization of 𒋀 (šeš)</li></ol>
szesz2	<i>romanization</i><br><ol><li>Romanization of 𒋁 (šeš₂)</li></ol>
szesz4	<i>romanization</i><br><ol><li>Romanization of 𒂞 (šeš₄)</li></ol>
szi3	<i>romanization</i><br><ol><li>Romanization of 𒋝 (ši₃)</li></ol>
szid	<i>romanization</i><br><ol><li>Romanization of 𒋃 (šid)</li></ol>
szim	<i>romanization</i><br><ol><li>Romanization of 𒋆 (šim)</li></ol>
szir	<i>romanization</i><br><ol><li>Romanization of 𒋓 (šir)</li></ol>
szir3	<i>romanization</i><br><ol><li>Romanization of 𒂡 (šir₃)</li></ol>
szita	<i>romanization</i><br><ol><li>Romanization of 𒋖 (šita)</li></ol>
szita2	<i>romanization</i><br><ol><li>Romanization of 𒂷𒄑 (šita₂)</li></ol>
szita3	<i>romanization</i><br><ol><li>Romanization of 𒋥 (šita₃)</li></ol>
szita4	<i>romanization</i><br><ol><li>Romanization of 𒌋𒆤 (šita₄)</li></ol>
szitaX	<i>romanization</i><br><ol><li>Romanization of 𒆕𒄑 (šitaₓ(KAK.GIŠ))</li><li>Romanization of 𒉌 (šitaₓ(NI))</li></ol>
szu	<i>romanization</i><br><ol><li>Romanization of 𒋗 (šu)</li></ol>
szu12	<i>romanization</i><br><ol><li>Romanization of 𒅤 (šu₁₂)</li></ol>
szu17	<i>romanization</i><br><ol><li>Romanization of 𒅎𒋙 (šu₁₇)</li></ol>
