AFU	<i>adj</i><br><ol><li>half</li></ol>
sa	<i>particle</i><br><ol><li>Verbal marker for modal aspect.</li><li>Verbal marker for the future tense.</li></ol><br><i>noun</i><br><ol><li>A saw (tool with a serrated blade, used for sawing).</li></ol>
sabaku	<i>noun</i><br><ol><li>Any of several small white egrets (Egretta alba, Egretta thula, Bubulcus ibis)</li></ol>
sabi	<i>verb</i><br><ol><li>(transitive) to know</li><li>(auxiliary) to be able to (of learnt skills)</li></ol><br><i>noun</i><br><ol><li>knowledge</li></ol>
safri taki	<i>verb</i><br><ol><li>To whisper.</li></ol>
santa	<i>adj</i><br><ol><li>holy</li></ol><br><i>noun</i><br><ol><li>saint</li></ol>
santi	<i>noun</i><br><ol><li>sand</li></ol>
sarasara	<i>noun</i><br><ol><li>shrimp</li></ol>
sarki	<i>noun</i><br><ol><li>shark</li></ol>
se	<i>noun</i><br><ol><li>sea</li></ol>
segansi	<i>noun</i><br><ol><li>flamingo</li></ol>
sekrepatu	<i>noun</i><br><ol><li>tortoise, turtle</li></ol>
seri	<i>verb</i><br><ol><li>to sell</li></ol>
seybi	<i>num</i><br><ol><li>seven</li></ol>
sigara	<i>noun</i><br><ol><li>cigar</li></ol>
singi	<i>verb</i><br><ol><li>to sing</li></ol><br><i>noun</i><br><ol><li>singing, song</li></ol>
sipi	<i>noun</i><br><ol><li>ship</li></ol>
sisa	<i>noun</i><br><ol><li>sister</li></ol>
skana	<i>noun</i><br><ol><li>(slang) lover, sweetheart, side piece</li></ol>
skapu	<i>noun</i><br><ol><li>sheep</li></ol>
sker	<i>verb</i><br><ol><li>to shave</li></ol><br><i>adj</i><br><ol><li>In marble games, having lost and being unable to pay marbles due to having ran out of marbles completely.</li></ol>
skeyn	<i>noun</i><br><ol><li>proposal</li></ol>
skopu	<i>noun</i><br><ol><li>shovel, spade</li><li>kick</li></ol>
skoro	<i>noun</i><br><ol><li>school</li></ol>
skowt oso	<i>noun</i><br><ol><li>police station</li></ol>
skowtu	<i>noun</i><br><ol><li>police, police officer</li></ol>
skrifi	<i>verb</i><br><ol><li>to write</li></ol>
skuma	<i>noun</i><br><ol><li>foam, froth</li></ol>
sma	<i>noun</i><br><ol><li>person</li></ol>
smara	<i>adj</i><br><ol><li>narrow</li></ol>
smeri	<i>verb</i><br><ol><li>(passive) to smell.</li><li>(transitive) to smell.</li></ol>
smoko	<i>noun</i><br><ol><li>smoke</li></ol><br><i>verb</i><br><ol><li>to smoke, to produce smoke</li><li>(of tobacco and tobacco products) to smoke</li></ol>
snekfisi	<i>noun</i><br><ol><li>eel</li></ol>
sneki	<i>noun</i><br><ol><li>snake</li></ol>
snew	<i>noun</i><br><ol><li>snow</li></ol>
soktu	<i>noun</i><br><ol><li>sigh</li></ol>
someni	<i>adj</i><br><ol><li>so many</li></ol>
son	<i>noun</i><br><ol><li>Sun</li></ol>
sonde	<i>noun</i><br><ol><li>Sunday</li></ol>
sondro	<i>prep</i><br><ol><li>without</li></ol>
sondu	<i>noun</i><br><ol><li>sin</li></ol>
sopropo	<i>noun</i><br><ol><li>bitter melon, bitter gourd, the fruit of Momordica charantia</li></ol>
sorgu	<i>verb</i><br><ol><li>To take care of.</li></ol>
sori	<i>verb</i><br><ol><li>To point (at).</li></ol>
soro	<i>noun</i><br><ol><li>sore</li><li>wound</li></ol><br><i>verb</i><br><ol><li>to hurt, to be sore</li></ol>
soso	<i>adj</i><br><ol><li>Empty, hollow, inconsequential</li><li>Pure, mere, sheer, only</li><li>(finance) free (no costs)</li><li>Naked, bared, dehusked</li></ol><br><i>adv</i><br><ol><li>In vain, for nothing</li><li>Only, just, nothing more, purely</li></ol>
sowtu	<i>noun</i><br><ol><li>salt</li></ol><br><i>verb</i><br><ol><li>To have bad luck</li></ol>
soygi	<i>verb</i><br><ol><li>to suck</li></ol>
span	<i>noun</i><br><ol><li>tense</li></ol>
speri	<i>adj</i><br><ol><li>equal</li></ol><br><i>noun</i><br><ol><li>equal</li></ol>
spotu	<i>noun</i><br><ol><li>joke</li></ol>
sproiti	<i>noun</i><br><ol><li>shoot, sprout</li></ol>
spuku	<i>noun</i><br><ol><li>ghost, spirit, spectre</li></ol>
spun	<i>noun</i><br><ol><li>spoon</li></ol>
srafu	<i>noun</i><br><ol><li>slave</li></ol>
srakti	<i>verb</i><br><ol><li>to slaughter, to butcher</li></ol>
srefi	<i>adv</i><br><ol><li>self</li></ol>
srepi	<i>verb</i><br><ol><li>to haul, to tow</li></ol>
sroto	<i>noun</i><br><ol><li>lock</li><li>key</li></ol><br><i>verb</i><br><ol><li>to lock</li></ol>
srudati	<i>noun</i><br><ol><li>soldier</li></ol>
stari	<i>noun</i><br><ol><li>star</li></ol>
sten	<i>noun</i><br><ol><li>voice</li></ol>
ston	<i>noun</i><br><ol><li>stone</li></ol>
strafu	<i>noun</i><br><ol><li>punishment</li></ol><br><i>verb</i><br><ol><li>to punish</li></ol>
strati	<i>noun</i><br><ol><li>street</li></ol>
stupu	<i>noun</i><br><ol><li>pavement, sidewalk</li></ol>
sturu	<i>noun</i><br><ol><li>chair, seat</li></ol>
sukru	<i>noun</i><br><ol><li>sugar</li></ol>
suku	<i>verb</i><br><ol><li>to search, to try to find, to look (for)</li></ol><br><i>noun</i><br><ol><li>search</li><li>romantic or erotic proposal</li></ol>
suma	<i>noun</i><br><ol><li>who (interrogative)</li></ol>
susu	<i>noun</i><br><ol><li>shoe</li></ol>
swa	<i>adj</i><br><ol><li>sour</li></ol><br><i>noun</i><br><ol><li>acid</li></ol>
swagri	<i>noun</i><br><ol><li>brother-in-law</li></ol>
swaki	<i>adj</i><br><ol><li>weak</li></ol>
swampu	<i>noun</i><br><ol><li>swamp</li></ol>
sweri	<i>verb</i><br><ol><li>to swear (an oath)</li></ol><br><i>noun</i><br><ol><li>neoplasm</li></ol>
switi	<i>adj</i><br><ol><li>lovely</li><li>pleasant</li><li>tasty</li><li>sweet</li></ol>
switismeri	<i>noun</i><br><ol><li>perfume</li></ol>
syi	<i>verb</i><br><ol><li>to see</li></ol>
sé	<i>noun</i><br><ol><li>sea</li></ol>
tabaka	<i>noun</i><br><ol><li>tobacco, Nicotiana tabacum</li></ol>
tai	<i>verb</i><br><ol><li>to tie, to bind</li></ol>
taibere	<i>noun</i><br><ol><li>cotton wraparound garment, specifically worn by women after childbirth in order to strengthen their abdominal muscles</li></ol>
taki	<i>verb</i><br><ol><li>to talk</li></ol><br><i>conj</i><br><ol><li>that</li></ol><br><i>noun</i><br><ol><li>branch, stick, twig</li></ol>
takru	<i>adj</i><br><ol><li>evil, bad</li><li>ugly</li></ol>
tan	<i>verb</i><br><ol><li>to stay, to reside</li><li>to stay, to remain in a state</li></ol>
tanta	<i>noun</i><br><ol><li>aunt</li></ol>
tanyitanyi	<i>adj</i><br><ol><li>begging</li></ol><br><i>intj</i><br><ol><li>please</li></ol>
tap ala	<i>noun</i><br><ol><li>A person who is greedy.</li></ol>
tapu	<i>prep</i><br><ol><li>on, on top of</li></ol><br><i>verb</i><br><ol><li>to stop</li></ol>
te	<i>conj</i><br><ol><li>when</li></ol><br><i>prep</i><br><ol><li>until</li></ol><br><i>noun</i><br><ol><li>tea</li></ol>
te yu mati barba e bron, yu musu nati di fu yu|yu musu nati di fu yu|te yu mati barba e bron	<i>proverb</i><br><ol><li>forewarned is forearmed (advance awareness of a situation, especially a risky one, prepares one to deal with it)</li></ol>
teki	<i>verb</i><br><ol><li>to take</li></ol>
temre	<i>verb</i><br><ol><li>to engage in carpentry, to timber</li></ol>
ten	<i>noun</i><br><ol><li>time</li></ol>
teri	<i>verb</i><br><ol><li>to count</li></ol>
tesi	<i>noun</i><br><ol><li>snack</li></ol>
tide	<i>adv</i><br><ol><li>today</li></ol>
tifi	<i>noun</i><br><ol><li>tooth</li></ol>
tiki	<i>noun</i><br><ol><li>stick, rod</li></ol>
tikoko	<i>noun</i><br><ol><li>(obsolete) flamingo</li></ol>
tin	<i>num</i><br><ol><li>ten</li></ol>
tiri	<i>adj</i><br><ol><li>silent, still</li></ol>
todo	<i>noun</i><br><ol><li>frog, toad</li><li>With the particle no, used as an intensifier, particularly for switi.</li></ol>
tofru	<i>verb</i><br><ol><li>to use magic, to practice magic</li></ol>
tongo	<i>noun</i><br><ol><li>language, tongue</li></ol>
tra	<i>adj</i><br><ol><li>other</li></ol>
tra fasi	<i>adv</i><br><ol><li>differently</li></ol><br><i>noun</i><br><ol><li>another way</li></ol>
tranga|moro tranga	<i>adj</i><br><ol><li>strong</li><li>hard</li></ol>
trefu	<i>noun</i><br><ol><li>dietary taboo, disallowed food</li></ol>
trobi	<i>noun</i><br><ol><li>quarrel, row</li></ol><br><i>verb</i><br><ol><li>to disturb, to harass, to pester, to tease</li></ol>
tru	<i>adj</i><br><ol><li>true</li></ol><br><i>noun</i><br><ol><li>truth</li></ol>
tu	<i>num</i><br><ol><li>two</li></ol><br><i>adv</i><br><ol><li>too, also, as well</li></ol>
tumsi	<i>adv</i><br><ol><li>too (usually postpositive)</li></ol>
tyari	<i>verb</i><br><ol><li>(transitive) to carry, to bear</li><li>(transitive) to bear, to withstand</li></ol><br><i>noun</i><br><ol><li>yoke</li></ol>
tye	<i>intj</i><br><ol><li>oh</li></ol>
tyopu	<i>verb</i><br><ol><li>to tap (with a finger)</li></ol>
udu	<i>noun</i><br><ol><li>wood</li></ol><br><i>adj</i><br><ol><li>wooden</li></ol>
uma	<i>noun</i><br><ol><li>woman</li></ol>
unu	<i>pron</i><br><ol><li>you (plural)</li><li>us (object)</li></ol>
wagi	<i>noun</i><br><ol><li>car</li><li>cart, vehicle, wagon</li></ol>
waki	<i>verb</i><br><ol><li>To stare.</li></ol>
wan	<i>num</i><br><ol><li>one</li></ol>
wan bun kon na ini	<i>intj</i><br><ol><li>welcome</li></ol>
wan fru wan	<i>adv</i><br><ol><li>one by one</li></ol>
wani|wan	<i>verb</i><br><ol><li>to want</li></ol><br><i>noun</i><br><ol><li>desire</li></ol>
wansi	<i>adv</i><br><ol><li>already</li></ol><br><i>conj</i><br><ol><li>even</li></ol><br><i>det</i><br><ol><li>all</li></ol>
warskow	<i>verb</i><br><ol><li>to warn</li></ol><br><i>noun</i><br><ol><li>warning</li></ol>
wasi	<i>verb</i><br><ol><li>to wash</li></ol><br><i>noun</i><br><ol><li>wax</li></ol>
waswasi	<i>noun</i><br><ol><li>wasp</li></ol>
watra	<i>noun</i><br><ol><li>water</li></ol>
watradagu	<i>noun</i><br><ol><li>otter</li></ol>
wawan	<i>adj</i><br><ol><li>only</li></ol>
wefi	<i>noun</i><br><ol><li>(dated) wife</li></ol>
wegi	<i>noun</i><br><ol><li>weight</li></ol>
wenke	<i>noun</i><br><ol><li>girl, young woman</li></ol>
wenkri	<i>noun</i><br><ol><li>shop, store</li></ol>
wenter	<i>noun</i><br><ol><li>winter</li></ol>
wi	<i>pron</i><br><ol><li>we, us</li></ol><br><i>det</i><br><ol><li>our</li></ol>
wiki	<i>noun</i><br><ol><li>week</li></ol>
winti	<i>noun</i><br><ol><li>wind</li><li>spirit</li><li>deity</li></ol><br><i>name</i><br><ol><li>winti, a Surinamese religious tradition based on practices from African religions</li></ol>
wipi	<i>noun</i><br><ol><li>whip</li></ol><br><i>verb</i><br><ol><li>to whip</li></ol>
wiri	<i>noun</i><br><ol><li>wheel, gear</li></ol>
wisi	<i>noun</i><br><ol><li>witchcraft</li></ol><br><i>verb</i><br><ol><li>to hex, to bewitch</li></ol>
wiwiri	<i>noun</i><br><ol><li>hair</li><li>leaf</li><li>herb, plant</li></ol>
wolku	<i>noun</i><br><ol><li>cloud</li></ol>
wortu	<i>noun</i><br><ol><li>word</li><li>speech, discourse</li></ol>
wortubuku	<i>noun</i><br><ol><li>dictionary</li></ol>
wowoyo	<i>noun</i><br><ol><li>market, marketplace</li></ol>
woy	<i>intj</i><br><ol><li>oh</li><li>ouch</li></ol>
wrak	<i>verb</i><br><ol><li>To hate.</li></ol>
wroko	<i>verb</i><br><ol><li>to work</li></ol><br><i>noun</i><br><ol><li>work, job</li></ol>
wrokosani	<i>noun</i><br><ol><li>tools</li></ol>
yana|yanda	<i>adv</i><br><ol><li>there, yonder</li></ol>
yanasey	<i>adv</i><br><ol><li>yonder</li></ol><br><i>det</i><br><ol><li>yonder</li></ol>
yaneyfri	<i>noun</i><br><ol><li>jenever</li></ol>
yapi yapi	<i>noun</i><br><ol><li>monkey, ape</li></ol>
yapon	<i>noun</i><br><ol><li>dress</li></ol>
yari	<i>noun</i><br><ol><li>year</li></ol>
yekti	<i>noun</i><br><ol><li>gout</li></ol>
yepi	<i>verb</i><br><ol><li>To help.</li></ol>
yepiman	<i>noun</i><br><ol><li>aid, helper</li></ol>
yere	<i>verb</i><br><ol><li>To hear</li></ol>
yeye	<i>noun</i><br><ol><li>spirit, ghost</li></ol>
yongu	<i>adj</i><br><ol><li>young</li></ol>
yonguman	<i>noun</i><br><ol><li>young man</li></ol>
yorka	<i>noun</i><br><ol><li>spirit of the deceased</li></ol>
yoysti	<i>adj</i><br><ol><li>just</li></ol>
yu|joe|i	<i>det</i><br><ol><li>your</li></ol><br><i>pron</i><br><ol><li>you</li></ol>
yu kan kibri yu granmama, ma yu no kan kibri en kosokoso|ma yu no kan kibri en kosokoso|yu kan kibri yu granmama	<i>proverb</i><br><ol><li>a lie has no legs (you can't get away with a lie; the truth will always come out)</li></ol>
yuru	<i>noun</i><br><ol><li>hour</li><li>rent</li></ol><br><i>verb</i><br><ol><li>to rent</li></ol>
