'di ba|diba|dibá	<i>phrase</i><br><ol><li>Contraction of hindi ba: isn't it; isn't that</li></ol>
limanlaksa|limanlaksâ	<i>num</i><br><ol><li>(archaic) fifty thousand</li></ol>
limas|limás	<i>noun</i><br><ol><li>scooping out water (from a boat, well, canal, etc.)</li><li>(by extension) ransacking and taking of all its contents (of a place)</li></ol><br><i>adj</i><br><ol><li>scooped out of water with a pail or bucket (of a boat, well, canal, etc.)</li><li>ransacked; plundered thoroughly</li></ol>
limatik|limatík	<i>noun</i><br><ol><li>small leech found on dry land</li><li>(figuratively) bloodsucker (person who attempts to take as much from others as possible)</li></ol><br><i>adj</i><br><ol><li>badly twisted (of strands of twine, rope, etc.)</li></ol>
limay|limáy	<i>noun</i><br><ol><li>puddle of water left on the foreshore (due to low tide or a receding shoreline)</li></ol><br><i>adj</i><br><ol><li>thinned (of one's body)</li></ol>
limbag|limbág	<i>noun</i><br><ol><li>edition; print (of a book, etc.)</li><li>act of printing</li><li>lettering</li></ol><br><i>adj</i><br><ol><li>printed; published</li><li>lettered; inscribed (of lettering)</li></ol>
limbay|limbáy	<i>noun</i><br><ol><li>gliding by the air (of bird with wings spread motionlessly)</li><li>soft, gentle, or modest approach</li></ol>
limi|limî|limì	<i>noun</i><br><ol><li>reflection; serious thought; contemplation; meditation</li><li>attention; careful observation; giving heed to someone important</li><li>flower juice or extract</li></ol>
limit	<i>noun</i><br><ol><li>frequency</li><li>closeness; compactness; density</li></ol>
limita|limitá	<i>noun</i><br><ol><li>act of limiting; limitation</li></ol>
limitado	<i>adj</i><br><ol><li>limited; restricted</li></ol>
limitasyon|limitasyón	<i>noun</i><br><ol><li>limitation</li><li>restriction</li></ol>
limlim|limlím	<i>noun</i><br><ol><li>sitting on eggs; brooding (of hens to hatch the eggs)</li><li>heat from a brooder; body warmth of a brooder</li><li>(by extension) incubation</li><li>impending darkness (especially in the late afternoon)</li></ol>
limon|limón	<i>noun</i><br><ol><li>lemon (tree and fruit)</li><li>lemon drop (candy)</li></ol>
limonada	<i>noun</i><br><ol><li>lemonade</li></ol>
limonsito	<i>noun</i><br><ol><li>limeberry (Triphasia trifolia)</li></ol>
limos|limós	<i>noun</i><br><ol><li>alms</li><li>giving of alms</li></ol>
limot|limót	<i>noun</i><br><ol><li>forgetting; oblivion</li><li>forgetfulness</li><li>(by extension) overlooking of offenses; pardon</li><li>picking up from the ground (of an object)</li><li>(figuratively) learning; picking up (of new knowledge)</li><li>article of value accidentally found on the street</li></ol><br><i>adj</i><br><ol><li>forgotten; neglected</li><li>forgetful; negligent</li><li>found accidentally by someone on the street</li><li>picked up from the ground (of fruits, as opposed to plucked from the branch)</li></ol>
limpa|limpâ	<i>noun</i><br><ol><li>(anatomy) spleen</li><li>(anatomy) lymph</li></ol>
limpak|limpák	<i>noun</i><br><ol><li>big amount or quantity (of money)</li><li>big piece (especially of meat)</li></ol>
limpal|limpál	<i>noun</i><br><ol><li>very huge piece; huge bulk</li></ol>
limpik|limpík	<i>noun</i><br><ol><li>(dialectal) very large jar with handles</li></ol>
limsiha|limsihà	<i>noun</i><br><ol><li>(geometry) pentagon</li></ol>
limusina	<i>noun</i><br><ol><li>limousine</li></ol>
linab|lináb	<i>noun</i><br><ol><li>greasy or fatty scum on the surface of liquids</li></ol>
linamnam|linamnám	<i>noun</i><br><ol><li>deliciousness; tastiness; pleasing taste</li><li>taste; flavor</li></ol>
linang|lináng	<i>noun</i><br><ol><li>cultivation for planting (of land)</li><li>field under cultivation</li><li>(figuratively) enrichment; development (of language, culture, etc.)</li></ol><br><i>adj</i><br><ol><li>tilled; cultivated (of a field)</li><li>well-developed (of a language)</li></ol>
linatsay|linatsáy	<i>noun</i><br><ol><li>mackerel fry (of the family Scombridae)</li></ol>
linaw	<i>noun</i><br><ol><li>clearness; clarity (of liquids, mirrors, vision, speech, explanation, etc.)</li><li>clarification</li></ol>
linay|lináy	<i>noun</i><br><ol><li>careful study or analysis of evidence, or arguments such as presented in a court of law</li></ol><br><i>adj</i><br><ol><li>well-studied or analyzed</li></ol>
lindayag	<i>noun</i><br><ol><li>recovery of peace of mind after a fright of surprise</li></ol>
lindol|lindól	<i>noun</i><br><ol><li>earthquake</li></ol>
lindulin|lindula|lilindulin|nilindol|lindulín|alindulin|inalindol|lindol|nililindol	<i>verb</i><br><ol><li>to suffer from an earthquake; to be the victim of an earthquake</li></ol>
linga|lingà|lingâ|lingá	<i>noun</i><br><ol><li>sesame</li><li>looking sideways, from left to right (as in searching for something or someone)</li></ol>
lingap|lingáp	<i>noun</i><br><ol><li>protective care</li><li>pity; caring compassion</li><li>love; caring affection</li></ol>
lingaw|lingáw	<i>adj</i><br><ol><li>bewildered; confused</li></ol><br><i>noun</i><br><ol><li>space of the doorway (without the door)</li><li>(by extension) space of the window (without the shutter)</li><li>shouting; vociferation; clamor</li></ol>
lingawngaw|lingawngáw	<i>noun</i><br><ol><li>unintelligible murmur of a crowd (especially heard from a far distance)</li></ol>
linggal|linggál	<i>noun</i><br><ol><li>din; clamor; loud, disturbing noise</li><li>trouble; fuss; confusion</li></ol>
linggatong	<i>noun</i><br><ol><li>mental perturbation (over a seemingly unsolvable problem)</li><li>perplexity</li></ol>
linggaw|linggáw	<i>noun</i><br><ol><li>turmoil; clangor</li><li>pomp; ostentation</li></ol>
linggi|linggî	<i>noun</i><br><ol><li>(carpentry) narrow, deep, and long mortise on wood</li></ol>
linggit|linggít	<i>noun</i><br><ol><li>littleness; smallness; tininess</li></ol>
linggo|ᜎᜒᜅ᜔ᜄᜓ|linggu|linggó	<i>noun</i><br><ol><li>week</li></ol>
lingguhan	<i>adv</i><br><ol><li>weekly</li><li>every Sunday</li></ol><br><i>adj</i><br><ol><li>weekly</li><li>every Sunday</li></ol><br><i>noun</i><br><ol><li>weekly publication (especially a magazine)</li></ol>
lingguwista	<i>noun</i><br><ol><li>linguist</li></ol>
lingguwistika|linggwistika|lingguwístiká	<i>noun</i><br><ol><li>linguistics</li></ol>
lingid|lingíd	<i>adj</i><br><ol><li>unknown; concealed; hidden; secret</li></ol>
lingil|lingíl	<i>adj</i><br><ol><li>attending to some task (and unable to attend to something else)</li></ol><br><i>noun</i><br><ol><li>attention given to some task</li></ol>
lingindayat|lingíndayát	<i>noun</i><br><ol><li>a species of grass</li></ol>
lingkaw|lingkáw	<i>noun</i><br><ol><li>scythe</li></ol>
lingkod|lingkód	<i>noun</i><br><ol><li>servant; attendant</li><li>serving (someone)</li><li>helper; assistant</li><li>adherent; follower; disciple</li></ol>
lingming|lingmíng	<i>adj</i><br><ol><li>stupefied; bewildered</li></ol><br><i>noun</i><br><ol><li>stupefaction; bewilderment</li></ol>
lingo|lingó	<i>noun</i><br><ol><li>assassination; treacherous killing</li></ol>
lingon|lingón	<i>noun</i><br><ol><li>looking back (turning of one's face)</li><li>(figuratively) protective esteem</li><li>(figuratively) show of gratitude</li></ol>
linib|liníb	<i>noun</i><br><ol><li>small, narrow window (usually for ventilation)</li></ol>
linis|linís	<i>noun</i><br><ol><li>cleanliness; cleanness</li><li>cleaning</li></ol><br><i>adj</i><br><ol><li>cleaned of garbage, dirt, etc. (of a place)</li><li>(accounting) net</li></ol>
linisan|ikinakapaglinis|ipanlinis|makipagpalinis|pinalilinisan|maglilinis|ipagpapalinis|actor|ipagpalinis|pinaglinisan|makikilinis|papagpalinisan|ipinapaglinis|kapaglilinis|inalinisan|kapagpapalinis|paglilinisan|lilinisin|pinapaglinisan|magpalinis|linisan|linisin|pinagpapalilinisan|kalilinis|papalinisan|inalinis|nakikipagpalinis|ikapagpalinis|nilinis|nakikipaglinis|nakipagpalinis|ipinapalinis|naglinis|ikinapagpalinis|makipaglinis|ipinapanlinis|pinapaglinis|kapapaglinis|alinisan|ipapanlinis|ikinakapagpalinis|pinapagpalinisan|nakipaglinis|ipapaglinis|nagpalinis|kakalinis|linis|pagpalinisan|magpapalinis|magalinis|papapaglinisan|makilinis|lilinisan|pinapalinisan|ipalinis|ipapalinis|alinisin|pagpapalilinisan|ikapaglilinis|ikinapaglinis|nakikilinis|ikapagpapalinis|kapapalinis|ipalilinis|palinisan|makikipaglinis|paglinisan|makikipagpalinis|papaglinisan|papaglinisin|ipinalilinis|ipinanlinis|nakilinis|ikinapagpapalinis|ipinagpapalinis|naglilinis|palilinisan|ikapaglinis|galinis|pinaglilinisan|⁠kapalilinis|nililinisan|nagalinis|papapaglinisin|ikakapagpalinis|kakapalinis|ikakapaglinis|nilinisan|ipapagpalinis|linisán|pinapapaglinisan|nililinis|ipinaglinis|ipinapagpalinis|ipinalinis|ipaglinis|kakapaglinis|ikinapaglilinis|ipinagpalinis|pinagpalinisan|pinalinisan|maglinis|pinapapaglinis|nagpapalinis	<i>verb</i><br><ol><li>to clean of garbage or dirt (of a thing or place)</li></ol><br><i>noun</i><br><ol><li>time of cleaning</li><li>place where cleaning is done</li></ol>
linisin|ikinakapaglinis|ipanlinis|makipagpalinis|pinalilinisan|maglilinis|ipagpapalinis|actor|ipagpalinis|pinaglinisan|makikilinis|papagpalinisan|ipinapaglinis|kapaglilinis|inalinisan|kapagpapalinis|paglilinisan|lilinisin|pinapaglinisan|magpalinis|linisan|linisin|pinagpapalilinisan|kalilinis|papalinisan|inalinis|nakikipagpalinis|ikapagpalinis|nilinis|nakikipaglinis|nakipagpalinis|ipinapalinis|naglinis|ikinapagpalinis|makipaglinis|ipinapanlinis|pinapaglinis|kapapaglinis|alinisan|ipapanlinis|ikinakapagpalinis|pinapagpalinisan|linisín|nakipaglinis|ipapaglinis|nagpalinis|kakalinis|linis|pagpalinisan|magpapalinis|magalinis|papapaglinisan|makilinis|lilinisan|pinapalinisan|ipalinis|ipapalinis|alinisin|pagpapalilinisan|ikapaglilinis|ikinapaglinis|nakikilinis|ikapagpapalinis|kapapalinis|ipalilinis|palinisan|makikipaglinis|paglinisan|makikipagpalinis|papaglinisan|papaglinisin|ipinalilinis|ipinanlinis|nakilinis|ikinapagpapalinis|ipinagpapalinis|naglilinis|palilinisan|ikapaglinis|galinis|pinaglilinisan|⁠kapalilinis|nagalinis|nililinisan|papapaglinisin|ikakapagpalinis|kakapalinis|ikakapaglinis|nilinisan|ipapagpalinis|pinapapaglinisan|nililinis|ipinaglinis|ipinapagpalinis|ipinalinis|ipaglinis|kakapaglinis|ikinapaglilinis|ipinagpalinis|pinagpalinisan|pinalinisan|maglinis|pinapapaglinis|nagpapalinis	<i>verb</i><br><ol><li>(transitive) to clean; to make clean</li></ol><br><i>noun</i><br><ol><li>things to be cleaned</li></ol>
linisin ang pangalan|lilinisin ang pangalan|nililinis ang pangalan|nilinis ang pangalan	<i>verb</i><br><ol><li>(idiomatic) to clear someone's name; to clear of accusation, suspicion or criticism</li></ol>
linlang|linláng	<i>noun</i><br><ol><li>trickery; fraud; deceit</li></ol>
linsad|linsád	<i>adj</i><br><ol><li>dislocated (of bones)</li><li>derailed (of a train, etc.)</li></ol><br><i>noun</i><br><ol><li>dislocation (as of joints of bones)</li><li>derailment (of a train, etc.)</li></ol>
linse	<i>noun</i><br><ol><li>lynx</li></ol>
linsil|linsíl	<i>adj</i><br><ol><li>erroneous; improper; mistaken; wrong</li></ol>
linta|lintâ	<i>noun</i><br><ol><li>(river) leech</li><li>(figuratively) bloodsucker; usurer (people who preys on others)</li></ol>
lintang-kati|kati}}|tl|lintáng{l	<i>noun</i><br><ol><li>slug</li></ol>
lintik|lintík	<i>noun</i><br><ol><li>lightning</li><li>(mildly vulgar) jerk; bastard (contemptible person)</li></ol><br><i>adj</i><br><ol><li>(mildly vulgar) general intensive modifier: cursed; damned</li></ol><br><i>intj</i><br><ol><li>(mildly vulgar) Used to express anger, contempt, frustration, or surprise: damn; damn it</li></ol>
lintos|lintós	<i>noun</i><br><ol><li>open blister (usually formed by friction on one's palms, heels, etc.)</li></ol>
linuknok|linuknók	<i>noun</i><br><ol><li>fine physique</li></ol>
linya	<i>noun</i><br><ol><li>line (made by a pen, etc.)</li><li>file; row</li><li>line (of text)</li><li>line (of a telephone, network, etc.)</li><li>route (of vehicles, etc.)</li><li>boundary; limit</li><li>profession; occupation; business</li></ol>
lipa|lipà|lipá	<i>noun</i><br><ol><li>Dendrocnide meyeniana (a species of nettle-like plant)</li><li>(dialectal) asphalt-like soil used to harden the ground floor of houses on stilts</li><li>(obsolete) dizziness while walking (leading to stumbles)</li></ol>
lipad|lipád	<i>noun</i><br><ol><li>flight; flying</li><li>trip by air (as on an airplane)</li><li>time or schedule of flight (as on an airplane)</li></ol>
lipak|lipák	<i>noun</i><br><ol><li>callus; corn (on one's hands or feet)</li></ol>
lipana|lipanà	<i>adj</i><br><ol><li>widespread; diffused; found everywhere</li></ol><br><i>noun</i><br><ol><li>extensive wandering looking for targets or victims (of pickpockets, government agents, etc.)</li></ol>
lipas|lipás	<i>adj</i><br><ol><li>elapsed (of a designated time)</li><li>obsolete</li><li>outdated; old-fashioned; unpopular</li><li>impotent; ineffective (of drugs, chemicals, etc.)</li><li>no longer valid</li><li>ended</li></ol><br><i>noun</i><br><ol><li>lapse of time</li><li>loss of a property or characteristic due to elapsed time (such as potency, popularity, validity, taste, fashionableness, etc.)</li><li>coming of an end; ending</li></ol>
lipat	<i>noun</i><br><ol><li>transfer; moving (from one place to another)</li><li>endorsement</li></ol>
lipi|lipì	<i>noun</i><br><ol><li>ancestry; family; lineage</li><li>race</li><li>tribe</li></ol>
lipit	<i>noun</i><br><ol><li>rim of basket tightly wound in rattan or reed</li></ol>
lipol|lipól	<i>noun</i><br><ol><li>extermination; annihilation; eradication</li><li>disappearance; losing</li></ol><br><i>adj</i><br><ol><li>exterminated; annihilated; eradicated</li><li>lost; no longer found (of things)</li></ol>
lipon	<i>noun</i><br><ol><li>crowd; gathering</li><li>gathering for light conversation</li></ol>
lipot|lipót	<i>noun</i><br><ol><li>first or advanced distant sight of one's arrival</li><li>passing over of obstacles</li><li>travelling from one country to another</li></ol>
lipstik	<i>noun</i><br><ol><li>lipstick</li></ol>
lipumpon|lipumpón	<i>noun</i><br><ol><li>conglomeration of people; gathering of people</li></ol>
lipunan|lípúnan|lipunán	<i>noun</i><br><ol><li>society</li><li>association</li><li>meeting; group (especially gathered for conversation)</li><li>gathering place; meeting place</li></ol>
lipya|lipyâ	<i>noun</i><br><ol><li>plowshare</li><li>moldboard</li></ol>
lira|lirà	<i>noun</i><br><ol><li>lyre</li><li>lira (former currency of Italy)</li><li>swollen and reddened eyelids</li></ol>
lirot|lirót	<i>adj</i><br><ol><li>diffused</li></ol>
liryo	<i>noun</i><br><ol><li>lily (plant and flower)</li></ol>
lisa|lisâ	<i>noun</i><br><ol><li>egg of a louse; nit</li><li>(figuratively) careful and thorough searching (in a place of something missing)</li></ol><br><i>adj</i><br><ol><li>(figuratively) thoroughly searched or combed</li></ol>
lisan|nilisan|lilisan|lisán|nililisan	<i>noun</i><br><ol><li>departure; leaving (for a journey, trip, etc.)</li><li>abandonment</li></ol>
lisensiya|lisénsiyá|lisensya	<i>noun</i><br><ol><li>license</li></ol>
lisensiyado	<i>adj</i><br><ol><li>licensed</li><li>graduated; awarded a degree</li></ol>
lislis|lislís	<i>adj</i><br><ol><li>lifted up; raised up; blown up (of a dress or skirt)</li></ol><br><i>noun</i><br><ol><li>lifting up; raising up; blowing up (of a dress or skirt, usually maliciously)</li></ol>
liso|lisó|lisô	<i>adj</i><br><ol><li>confused; bewildered</li><li>simple; plain; unadorned</li><li>restless; mobile</li></ol><br><i>noun</i><br><ol><li>bewilderedness; confusedness</li></ol>
lisok|lisók	<i>adj</i><br><ol><li>dislocated; sprained (of bones)</li></ol><br><i>noun</i><br><ol><li>condition of being dislocated or sprained (of bones)</li></ol>
lista|listá	<i>noun</i><br><ol><li>listing</li><li>list; roll</li><li>notes</li></ol>
listahan|alistahan|nililistahan|listahán|inalistahan|lilistahan|lista|nilistahan|listahi	<i>noun</i><br><ol><li>list</li><li>notebook</li></ol><br><i>verb</i><br><ol><li>to write notes on</li></ol>
listo|listá|listó|lista	<i>adj</i><br><ol><li>quick to act; alert</li></ol>
litak|liták	<i>noun</i><br><ol><li>fissure; small crack (on surfaces of wood, marble, etc.)</li></ol>
litang|litáng	<i>adj</i><br><ol><li>pried loose; dislodged (as of steps of stairs loosened or falling off)</li></ol>
litas	<i>noun</i><br><ol><li>short cut on each lower side of a shirt, barong Tagalog, etc.</li><li>placket (small slits on a sewn material)</li></ol>
litaw|litáw	<i>adj</i><br><ol><li>visible; obvious; evident; apparent</li><li>protruding; jutting out</li><li>embossed; raised on the surface</li><li>prominent; notable; well-known</li></ol>
literal|literál	<i>adj</i><br><ol><li>literal (exactly as stated)</li></ol>
literasiya|literasya	<i>noun</i><br><ol><li>literacy</li></ol>
literatura	<i>noun</i><br><ol><li>literature</li></ol>
lithaw|litháw	<i>noun</i><br><ol><li>plowhead; plowpoint</li></ol>
litid	<i>noun</i><br><ol><li>(anatomy) tendon; ligament</li><li>(anatomy) nerve fiber</li></ol>
litigante	<i>noun</i><br><ol><li>litigant</li></ol>
litigasyon|litigasyón	<i>noun</i><br><ol><li>litigation</li><li>lawsuit</li></ol>
litik	<i>noun</i><br><ol><li>(anatomy) pulse beat</li></ol>
litis	<i>noun</i><br><ol><li>(law) trial (in court)</li><li>careful examination or inquiry</li></ol>
lito|litó	<i>adj</i><br><ol><li>perplexed; dazed; bewildered</li><li>confused; distracted</li></ol><br><i>noun</i><br><ol><li>bewilderment; perplexed condition</li><li>confusion; distraction</li></ol>
litograpiya	<i>noun</i><br><ol><li>lithography</li></ol>
litrato	<i>noun</i><br><ol><li>(common) Alternative form of retrato: photograph; picture</li></ol>
litro	<i>noun</i><br><ol><li>(SI units) litre; liter (US)</li><li>measuring container for one liter</li></ol>
litsiyas|lechias	<i>noun</i><br><ol><li>lychee</li></ol>
liturhiya|litúrhiyá	<i>noun</i><br><ol><li>liturgy</li></ol>
lityo	<i>noun</i><br><ol><li>(chemistry) lithium</li></ol>
liwaliw|liwalíw	<i>noun</i><br><ol><li>pleasure trip; excursion</li></ol>
liwanag	<i>noun</i><br><ol><li>light; illumination (visible electromagnetic radiation)</li><li>clearness; clarity; lucidity</li><li>ease to understand; ease of comprehension</li><li>(figuratively) clear result</li></ol>
liwas|liwás	<i>adj</i><br><ol><li>deviating; out of alignment</li><li>contrary to fact; erroneous; mistaken</li><li>disconnected; disjointed</li></ol><br><i>noun</i><br><ol><li>detour; deviation (from the direct or usual route)</li></ol>
liwat	<i>noun</i><br><ol><li>pouring of liquid from one container to another (to cool or mix the liquid)</li></ol>
liway|liwáy	<i>adj</i><br><ol><li>(medicine) immune</li></ol>
liwayway|liwaywáy	<i>noun</i><br><ol><li>dawn; daybreak</li><li>(figuratively) beginning (of an age or era)</li><li>(figuratively) slight trace; tiny amount; ray (of hope, etc.)</li></ol>
liya|liyà|liyâ	<i>noun</i><br><ol><li>pond scum</li></ol>
liyab|liyáb	<i>noun</i><br><ol><li>big flame; blaze</li><li>(by extension) outburst (as of anger)</li></ol>
liyad|liyád	<i>adj</i><br><ol><li>bent backwards with the stomach jutting out</li></ol><br><i>noun</i><br><ol><li>bending of one's body backwards with the stomach jutting out</li></ol>
liyama	<i>noun</i><br><ol><li>llama</li></ol>
liyamado	<i>adj</i><br><ol><li>preferred to win; in demand in the amount of bets (in cockfights, races, etc.)</li><li>(by extension) in an superior position; in a preferred position</li></ol><br><i>noun</i><br><ol><li>winning bet; favorite choice (of an animal in cockfights, races, etc.)</li></ol>
liyampo|liyampó|ᜎᜒᜌᜋ᜔ᜉᜓ	<i>noun</i><br><ol><li>(historical, obsolete) a type of Chinese gambling game (popular during the Spanish Colonial Era in the Philippines).</li></ol>
liyempo|liempo|liyampo|ᜎᜒᜌᜋ᜔ᜉᜓ	<i>noun</i><br><ol><li>pork belly; streaky pork</li></ol>
lng	<i>adv</i><br><ol><li>(text messaging) Alternative form of lang</li></ol>
loa|ᜎᜓᜏ|luwa	<i>noun</i><br><ol><li>poetic panegyric of eulogy (usually in praise of the Virgin Mary and the saints)</li></ol>
lobo	<i>noun</i><br><ol><li>wolf</li><li>balloon</li></ol>
lodi	<i>noun</i><br><ol><li>(colloquial, back slang) idol; person that one reveres or respects; a respected individual</li><li>(colloquial, back slang) term of address for a peer: buddy; mate</li></ol>
logo	<i>noun</i><br><ol><li>logo; logotype</li></ol>
logro|lugdu|ᜎᜓᜄ᜔ᜇᜓ	<i>noun</i><br><ol><li>raised bet; preferred bet; bet with higher chances of winning (usually in cockfighting)</li><li>betting on the underdog to continue the fight (in cockfighting)</li></ol>
lohika|lóhiká	<i>noun</i><br><ol><li>logic</li></ol>
lohikal|lohikál	<i>adj</i><br><ol><li>logical</li></ol>
lohiko|lóhikó	<i>adj</i><br><ol><li>logical</li></ol>
lohuwa|lóhuwá	<i>noun</i><br><ol><li>confection of puffed and hollow starch with sugar (usually covered with sesame or puffed rice)</li></ol>
loka	<i>noun</i><br><ol><li>(informal, colloquial, offensive) foolish or stupid person, especially one who is a female, effeminate man, or homosexual</li></ol>
lokal|lokál	<i>adj</i><br><ol><li>local (pertaining to a certain locality)</li></ol>
lokalidad|lokalidád	<i>noun</i><br><ol><li>locality; place</li></ol>
lokasyon|lokasyón	<i>noun</i><br><ol><li>location; place</li></ol>
loko|lokó|loka|luko	<i>adj</i><br><ol><li>(derogatory) insane; crazy; demented</li></ol><br><i>noun</i><br><ol><li>(derogatory) madman; insane person</li><li>act of fooling someone</li><li>(obsolete) covering of one's face up to the forehead and the ears</li><li>(obsolete) mourning; grief (due to death)</li><li>(obsolete) puddle in holes on the road (usually due to rain)</li><li>(obsolete) a type of sweet potato</li><li>(obsolete) a type of container (similar to the balaong)</li></ol>
lola|lolà|lolâ|lolo	<i>noun</i><br><ol><li>grandmother</li><li>(colloquial) term of address for an old woman</li></ol>
lolipap|lólipáp	<i>noun</i><br><ol><li>lollipop</li></ol>
lolo|lola	<i>noun</i><br><ol><li>grandfather</li><li>(colloquial) term of address for an old man</li></ol>
lomi|lumî|lumi|lumì	<i>noun</i><br><ol><li>lomi (Filipino noodle dish)</li></ol>
lomo|lumo	<i>noun</i><br><ol><li>(anatomy) loin</li><li>tenderloin</li><li>back or rib of a book (to be bound)</li></ol>
lona	<i>noun</i><br><ol><li>canvas</li></ol><br><i>adj</i><br><ol><li>made of canvas</li></ol>
longganisa	<i>noun</i><br><ol><li>longaniza (Filipino sausage of Spanish origin)</li></ol>
longhitud|longhitúd	<i>noun</i><br><ol><li>(geography) longitude</li></ol>
lonta	<i>noun</i><br><ol><li>(back slang) pants; trousers</li></ol>
loob|loób	<i>noun</i><br><ol><li>inside; interior; inner part</li><li>will; volition; disposition</li><li>courage; valor</li><li>manners; behavior</li></ol>
loobkaphay|loobkapháy	<i>noun</i><br><ol><li>(cytology, neologism) endoplasm</li></ol>
loobpananagos	<i>noun</i><br><ol><li>endosmosis</li></ol>
look|loók	<i>noun</i><br><ol><li>bay (body of water)</li><li>middle part of a bay</li></ol>
loro	<i>noun</i><br><ol><li>parrot</li><li>parrotfish</li></ol>
loryat|lauriat	<i>noun</i><br><ol><li>lauriat (a special Chinese banquet with many courses and dishes, especially as served in the Philippines)</li></ol>
losyon|losyón	<i>noun</i><br><ol><li>lotion</li></ol>
lote	<i>noun</i><br><ol><li>lot; parcel of land</li><li>batch; several goods taken as a group</li></ol>
loteriya|loterya	<i>noun</i><br><ol><li>lottery; lotto; sweepstake</li><li>raffle</li></ol>
lowat	<i>noun</i><br><ol><li>(formerly obsolete) eyebags</li></ol>
luad|luwad|luwád|luád	<i>noun</i><br><ol><li>clay (mineral substance used in ceramics)</li></ol><br><i>adj</i><br><ol><li>made of clay</li></ol>
lubak|lubák	<i>noun</i><br><ol><li>hollow; depression; pothole (on the surface of a road)</li><li>bonnet of a coconut (around the point of which the fruit is attached to the stem)</li></ol>
lubak-lubak|lubák-lubák	<i>adj</i><br><ol><li>potholed</li></ol>
lubang	<i>noun</i><br><ol><li>hilly country; uneven ground</li><li>planting of root crops</li></ol>
lubay|lubáy	<i>noun</i><br><ol><li>cessation; relaxation; easing up (of jokes, insults, reproaches, etc.)</li><li>leniency; laxity</li><li>looseness (state of not being stretched)</li></ol>
lubha|lubhâ	<i>noun</i><br><ol><li>severity; seriousness; gravity (of sickness, etc.)</li></ol><br><i>adv</i><br><ol><li>extremely; very; too</li></ol>
lubi-lubi|lubí-lubí	<i>noun</i><br><ol><li>(botany) sagisi palm (Heterospathe intermedia)</li><li>(botany) little tree plant (Biophytum sensitivum)</li><li>(botany) black nightshade (Solanum nigrum)</li><li>a Waray folk song used as a mnemonic for the months of the year</li></ol>
lubid|lubíd	<i>noun</i><br><ol><li>rope</li><li>making of rope</li><li>(figuratively) fabrication; invention (of lies, excuses, etc.)</li></ol><br><i>adj</i><br><ol><li>made into a rope</li></ol>
lubig|lubíg	<i>noun</i><br><ol><li>(baseball) home run</li><li>score or safe run (in a game of patintero)</li></ol>
lubigan|nilulubigan|nilubigan|lulubigan|lubigán	<i>noun</i><br><ol><li>patintero (traditional Filipino children's game)</li><li>(baseball) home base; home plate</li><li>sweet flag (Acorus calamus)</li></ol><br><i>verb</i><br><ol><li>to score a home run</li></ol>
lublob|lublób	<i>noun</i><br><ol><li>dipping in water or liquid</li><li>wallowing in mud or water</li><li>drowning of someone by pushing down into water</li><li>(figuratively) abandonment to vice</li><li>a type of fish corral or trap</li></ol><br><i>adj</i><br><ol><li>dipped; immersed (in water or liquid)</li><li>(figuratively) addicted; abandoned (to vice, such as drugs, alcohol, etc.)</li></ol>
lubo|lubó|lubò|lubô	<i>noun</i><br><ol><li>grouper (from the family Serranidae)</li><li>(anatomy) dimple (on the chin or cheek)</li><li>deep depression in the ground</li></ol>
lubog|lubóg	<i>adj</i><br><ol><li>sunken; sunk; immersed (in water)</li><li>flooded; covered with water (of a place)</li><li>set; sunken (of the sun)</li><li>(figuratively) having lost one's popularity or influence</li><li>(figuratively) bankrupt; financially broke</li></ol><br><i>noun</i><br><ol><li>sinking (in water)</li><li>setting (of the sun)</li><li>place submerged in water</li><li>depression; hollow (in the ground)</li><li>(figuratively) loss of one's popularity or influence</li><li>(figuratively) bankruptcy</li></ol>
lubos|lubós	<i>adj</i><br><ol><li>complete; full; absolute</li></ol><br><i>adv</i><br><ol><li>completely; fully; absolutely</li></ol>
lubot|lubót	<i>noun</i><br><ol><li>(medicine) chapping of the hands</li></ol>
lubyak|lubyák	<i>noun</i><br><ol><li>wheel rut (on a road)</li></ol>
luga|lugà	<i>noun</i><br><ol><li>(pathology) smelly pus secretion in the ear</li></ol>
lugal|lugál	<i>noun</i><br><ol><li>(uncommon) Alternative form of lugar</li></ol>
lugami|lugamî|lugamì	<i>adj</i><br><ol><li>fallen into misfortune or suffering</li><li>wallowing in vice; fallen into a life of vice</li><li>skinny; emaciated (due to hunger or illness)</li></ol><br><i>noun</i><br><ol><li>falling into misfortune; setback in one's life</li><li>condition of being in a life of vice</li><li>emaciation; skinniness (due to hunger or illness)</li></ol>
luganggang|lunggagáng	<i>adj</i><br><ol><li>hollow; empty inside</li></ol>
lugar|ᜎᜓᜄᜇ᜔|lugár	<i>noun</i><br><ol><li>place; location</li><li>position</li><li>territory</li><li>vacancy (in an office, etc.)</li><li>opportunity; chance</li><li>district; area</li></ol>
lugas|lugás	<i>adj</i><br><ol><li>fallen off (of hair, teeth, feathers, etc.)</li><li>threshed; beaten out from stalks (of grain)</li><li>broken into small bits</li></ol><br><i>noun</i><br><ol><li>falling off (of hair, teeth, feathers, etc.)</li><li>threshing (of grain)</li><li>breaking into small bits</li><li>pounding, grinding, or milling into grits (of grain)</li></ol>
