Abril|Abríl	<i>name</i><br><ol><li>April</li></ol>
sibuyas	<i>noun</i><br><ol><li>onion</li></ol>
sida	<i>noun</i><br><ol><li>fish</li></ol>
sidaen	<i>noun</i><br><ol><li>dish; viand</li></ol>
siete	<i>num</i><br><ol><li>seven</li></ol>
sigarilio	<i>noun</i><br><ol><li>cigarette</li></ol>
sigget	<i>noun</i><br><ol><li>Semi-cooked rice in the pot while being boiled.</li></ol>
sika|sikada|siksikami|siksikayo|siksikak|síka|sikata|siksikam|siká|sikana|sikami|siksikatayo|sikak|siksikana|sikatayo|sikam|siksikada|siksika|sikayo|siksikata	<i>noun</i><br><ol><li>dysentery, diarrhea</li></ol><br><i>pron</i><br><ol><li>Second-person singular absolutive independent pronoun; you</li></ol>
siko	<i>noun</i><br><ol><li>(anatomy) elbow</li></ol>
simbaan|simsimbaan	<i>noun</i><br><ol><li>church (any building used for public worship regardless of belief)</li></ol>
singin	<i>noun</i><br><ol><li>twin</li></ol>
singko	<i>num</i><br><ol><li>five</li></ol>
singpet	<i>adj</i><br><ol><li>kind</li><li>obedient</li></ol>
singsing	<i>noun</i><br><ol><li>ring</li></ol>
sinulid	<i>noun</i><br><ol><li>thread (long, thin and flexible form of material)</li></ol>
sisenta	<i>num</i><br><ol><li>sixty</li></ol>
sitaw	<i>noun</i><br><ol><li>yardlong bean</li></ol>
siudad|siudád	<i>noun</i><br><ol><li>city</li></ol>
siwang|siwáng	<i>noun</i><br><ol><li>notch; gap; opening</li></ol>
soldado	<i>noun</i><br><ol><li>soldier</li></ol>
suka|suká	<i>noun</i><br><ol><li>vinegar</li></ol>
takki	<i>noun</i><br><ol><li>feces</li></ol>
takuri|takurí	<i>noun</i><br><ol><li>teapot; water pot</li></ol>
talakbong|talakbóng	<i>noun</i><br><ol><li>shroud</li></ol>
tallo|talló	<i>num</i><br><ol><li>three</li></ol>
talna	<i>noun</i><br><ol><li>peace; tranquility; serenity; calmness</li></ol>
tamay|tamáy	<i>noun</i><br><ol><li>witchcraft</li></ol>
tangad	<i>noun</i><br><ol><li>act of looking up</li></ol>
taning	<i>noun</i><br><ol><li>deadline; time limit</li></ol>
tao	<i>noun</i><br><ol><li>person</li><li>human</li></ol>
tapok	<i>noun</i><br><ol><li>dust</li></ol>
tarampo	<i>noun</i><br><ol><li>top (spinning toy)</li></ol>
tarangen	<i>noun</i><br><ol><li>food</li></ol>
taraok	<i>noun</i><br><ol><li>cry of a rooster</li></ol>
tatang	<i>noun</i><br><ol><li>father</li></ol>
tawen|tawwen|tawén	<i>noun</i><br><ol><li>year</li></ol>
tengnga	<i>noun</i><br><ol><li>center; middle</li></ol>
tian|tián	<i>noun</i><br><ol><li>belly; abdomen</li><li>uterus; womb</li></ol>
tiendaan	<i>noun</i><br><ol><li>store; shop</li></ol>
tig-ab|tig-áb	<i>noun</i><br><ol><li>belch; burp</li></ol>
timel	<i>noun</i><br><ol><li>flea</li></ol>
timid	<i>noun</i><br><ol><li>(anatomy) chin</li></ol>
tinnag	<i>verb</i><br><ol><li>to fall down</li></ol>
tipon|típon	<i>noun</i><br><ol><li>mixture</li><li>assembly; gathering</li></ol>
tres	<i>num</i><br><ol><li>three</li></ol>
trese	<i>num</i><br><ol><li>thirteen</li></ol>
tudo	<i>noun</i><br><ol><li>rain</li></ol>
tugaw	<i>noun</i><br><ol><li>seat</li><li>chair</li></ol>
tugtog|tugtóg	<i>noun</i><br><ol><li>knock (abrupt rapping sound)</li><li>music</li></ol>
tukak|tukák	<i>noun</i><br><ol><li>frog</li></ol>
tukod|túkod	<i>noun</i><br><ol><li>brace; prop</li></ol>
tulad|túlad	<i>noun</i><br><ol><li>act of copying or imitating</li></ol>
tulang|tuláng	<i>noun</i><br><ol><li>(anatomy) bone</li></ol>
tuleng	<i>adj</i><br><ol><li>deaf</li></ol>
tulisan|tulisán	<i>noun</i><br><ol><li>thief; robber</li></ol>
tulong|tulong!	<i>noun</i><br><ol><li>help; aid</li></ol><br><i>intj</i><br><ol><li>help!</li></ol>
tuloy	<i>noun</i><br><ol><li>continuation</li></ol>
tunaw	<i>noun</i><br><ol><li>act of melting</li></ol>
tungaw|túngaw	<i>noun</i><br><ol><li>mite</li></ol>
turis|turís	<i>noun</i><br><ol><li>diarrhea</li></ol>
turkak	<i>noun</i><br><ol><li>phlegm</li></ol>
turo	<i>noun</i><br><ol><li>lye</li></ol>
turod	<i>noun</i><br><ol><li>hill</li></ol>
turog|túrog	<i>noun</i><br><ol><li>sleep</li></ol>
tuyo|tuyó	<i>noun</i><br><ol><li>dried fish</li></ol>
uban	<i>noun</i><br><ol><li>gray hair</li></ol>
ubas	<i>noun</i><br><ol><li>grape</li></ol>
ubet	<i>noun</i><br><ol><li>(anatomy) buttocks; rump</li></ol>
ubing|ubíng|ubbing	<i>noun</i><br><ol><li>child</li></ol>
ubo	<i>noun</i><br><ol><li>leak; leakage</li></ol>
ubong	<i>noun</i><br><ol><li>pigsty; pigpen</li></ol>
uging	<i>noun</i><br><ol><li>charcoal</li></ol>
ugsa|ugsá	<i>noun</i><br><ol><li>deer</li></ol>
ugtop|ugtóp	<i>noun</i><br><ol><li>joint</li></ol>
ukay|ukáy	<i>noun</i><br><ol><li>loosening the earth of seedbeds</li></ol>
uken	<i>noun</i><br><ol><li>puppy; baby dog</li></ol>
uki	<i>noun</i><br><ol><li>(anatomy) vagina</li></ol>
uleg	<i>noun</i><br><ol><li>snake</li></ol>
ulep	<i>noun</i><br><ol><li>cloud</li></ol>
ulila	<i>noun</i><br><ol><li>orphan</li></ol>
ulmog|ulmóg	<i>noun</i><br><ol><li>chicken tick</li></ol>
ulnas|ulnás	<i>noun</i><br><ol><li>sled</li></ol>
ulpit|ulpít	<i>noun</i><br><ol><li>cruelty</li></ol>
umay|umáy	<i>verb</i><br><ol><li>to come</li></ol>
unday|undáy	<i>noun</i><br><ol><li>length</li></ol>
unggaong	<i>adj</i><br><ol><li>stupid</li></ol>
uni	<i>noun</i><br><ol><li>sound; noise; voice</li></ol>
uno	<i>num</i><br><ol><li>one</li></ol>
uppat|uppát	<i>num</i><br><ol><li>four</li></ol>
urmot	<i>noun</i><br><ol><li>(anatomy) pubic hair</li></ol>
urok|urók	<i>noun</i><br><ol><li>snore</li></ol>
usaren	<i>verb</i><br><ol><li>to use</li></ol>
utek	<i>noun</i><br><ol><li>(anatomy) brain</li></ol>
utong|utóng	<i>noun</i><br><ol><li>yardlong bean</li></ol>
uuyusan	<i>noun</i><br><ol><li>drawer</li></ol>
uyokan	<i>noun</i><br><ol><li>bee; honeybee</li></ol>
wagas|wágas	<i>noun</i><br><ol><li>methodology</li></ol>
wagat	<i>verb</i><br><ol><li>to lose</li></ol>
waig	<i>noun</i><br><ol><li>small stream; brook; creek</li></ol>
walo|waló	<i>num</i><br><ol><li>eight</li></ol><br><i>noun</i><br><ol><li>a kind of plant whose leaves are used to refresh the head</li></ol>
wasay	<i>noun</i><br><ol><li>axe</li></ol>
wasaywasay	<i>noun</i><br><ol><li>praying mantis</li></ol>
wen	<i>particle</i><br><ol><li>yes</li></ol>
wenno|wënno	<i>conj</i><br><ol><li>or</li></ol>
yan	<i>noun</i><br><ol><li>place</li></ol>
yoyo|yóyo	<i>noun</i><br><ol><li>yo-yo</li></ol>
