Lebubînî|Lébúbînî́	<i>noun</i><br><ol><li>Tuesday</li></ol>
livi|lívi|émávi	<i>noun</i><br><ol><li>voice</li></ol>
liwabhi|líwabhi|émáwabhi	<i>noun</i><br><ol><li>top layer</li></ol>
liwha|líwhá|émáwhá	<i>noun</i><br><ol><li>cave</li></ol>
liwuja|líwujá	<i>noun</i><br><ol><li>right side</li></ol>
lixhegû|líxhegû|émáxhegû	<i>noun</i><br><ol><li>old man</li></ol>
liyedzo|émáyedzo|líyedzo	<i>noun</i><br><ol><li>journey</li></ol>
lizenke|émázeńke|lízeńke	<i>noun</i><br><ol><li>piece of zinc sheeting</li></ol>
lla	<i>verb</i><br><ol><li>to cry, to weep</li></ol>
llaga|émálaga|ĺlaga	<i>noun</i><br><ol><li>sun</li></ol>
llebhe|ĺlebhé|émálebhé	<i>noun</i><br><ol><li>plough</li></ol>
lona|loná	<i>pron</i><br><ol><li>he, she, him, her, it; class 5 absolute pronoun.</li></ol>
lubhulla	<i>verb</i><br><ol><li>to save</li></ol>
luga	<i>verb</i><br><ol><li>to be right</li></ol>
lugisa	<i>verb</i><br><ol><li>to put right, to arrange, to fix, to repair</li></ol>
lugisella	<i>verb</i><br><ol><li>to prepare</li></ol>
luma	<i>verb</i><br><ol><li>to bite</li></ol>
luphala	<i>verb</i><br><ol><li>to be old</li></ol>
lwana	<i>verb</i><br><ol><li>to fight</li></ol>
lîkela	<i>verb</i><br><ol><li>to stand aside</li></ol>
lûba	<i>verb</i><br><ol><li>to knead</li></ol>
lûmelîsa	<i>verb</i><br><ol><li>to greet</li></ol>
mabha	<i>verb</i><br><ol><li>to hold</li></ol>
mabhela	<i>verb</i><br><ol><li>to forgive</li></ol>
mabhetela	<i>verb</i><br><ol><li>to delay</li></ol>
madla|imadla|labamadla|lomadla|lobumadla|lelimadla|lokumadla|bamadla|lamadla|letimadla|bumadla|limadla|amadla|timadla|lesimadla|gimadla|lemadla|simadla|kumadla|legimadla|umadla	<i>conj</i><br><ol><li>powerful, strong</li></ol>
majîka|májîká	<i>adv</i><br><ol><li>afternoon</li></ol>
makotî|makotî́|bómákotî́	<i>noun</i><br><ol><li>bride</li></ol>
maluba	<i>adv</i><br><ol><li>day before yesterday</li></ol>
malubeni|malubéni	<i>adv</i><br><ol><li>day before the day before yesterday</li></ol>
malume|malúmé|bómalúmé	<i>noun</i><br><ol><li>maternal uncle</li></ol>
mamela	<i>verb</i><br><ol><li>to listen</li></ol>
manamela	<i>verb</i><br><ol><li>to stick to something</li></ol>
mankgani|bómańkgani|mańkgani	<i>noun</i><br><ol><li>bat</li></ol>
matha	<i>verb</i><br><ol><li>to run</li></ol>
mema	<i>verb</i><br><ol><li>to invite</li></ol>
memela	<i>verb</i><br><ol><li>to be cold</li></ol>
mhati|lesimhati|lomhati|limhati|lelimhati|lobumhati|amhati|gimhati|bumhati|letimhati|lamhati|umhati|legimhati|kumhati|labamhati|timhati|simhati|lokumhati|lemhati|imhati|bamhati	<i>conj</i><br><ol><li>wet</li></ol>
mhlalömnye|mhlálö́ḿnye	<i>adv</i><br><ol><li>maybe</li></ol>
mimëya|mímëyá	<i>noun</i><br><ol><li>spirits</li></ol>
mina	<i>verb</i><br><ol><li>to roll up, to fold up</li></ol>
mine|miné	<i>pron</i><br><ol><li>I, me; first-person singular absolute pronoun.</li></ol>
minulla	<i>verb</i><br><ol><li>to unroll</li></ol>
mma|bómmá|mmá	<i>noun</i><br><ol><li>mother</li></ol>
mmala|ḿmalá|míbalá	<i>noun</i><br><ol><li>color</li></ol>
mmalî|ḿmalî|ébámalî	<i>noun</i><br><ol><li>reader</li></ol>
mmamelî|ébámámélî|ḿmámélî	<i>noun</i><br><ol><li>listener</li></ol>
mmatî|ḿmátî|bóḿmátî	<i>noun</i><br><ol><li>friend</li></ol>
mmemî|ḿmémî|ébámémî	<i>noun</i><br><ol><li>inviter, host</li></ol>
mmemûwa|ḿmémûwa|ébámémûwa	<i>noun</i><br><ol><li>invited person, guest</li></ol>
mmenywa|ébáménywa|ḿménywa	<i>noun</i><br><ol><li>invited person, guest</li></ol>
mmito|ḿmito|mímito	<i>noun</i><br><ol><li>throat</li></ol>
mmobho|mímobhó|ḿmobhó	<i>noun</i><br><ol><li>bridge of nose</li></ol>
mmogo|ḿmogó	<i>noun</i><br><ol><li>marrow (bone)</li></ol>
mmomo|ḿmomó|mímomó	<i>noun</i><br><ol><li>shinbone</li></ol>
mmoya|ḿmoyá	<i>noun</i><br><ol><li>wind, spirit</li></ol>
mmulayî|ébábúlayî|ḿmúlayî	<i>noun</i><br><ol><li>killer, murderer</li></ol>
mmulugî|ḿmúlúgî|ébábúlúgî	<i>noun</i><br><ol><li>savior</li></ol>
mmûso|míbû́só|ḿmû́só	<i>noun</i><br><ol><li>government</li></ol>
mmûsî|ḿmû́sî́|ébábû́sî́	<i>noun</i><br><ol><li>ruler</li></ol>
mmûtlwanyani|mímû́tlwányáni|ḿmû́tlwányáni	<i>noun</i><br><ol><li>hare (long ears, has tail)</li></ol>
moho|móhó	<i>adv</i><br><ol><li>together</li></ol>
moncuka	<i>verb</i><br><ol><li>to have the outside taken off</li></ol>
muKhatholîke|ébáKháthólî́ke|múKháthólî́ke	<i>noun</i><br><ol><li>Catholic person</li></ol>
muPhûthî|ébáPhûthî|múPhûthî	<i>noun</i><br><ol><li>Phuthi person</li></ol>
muSuthu|ébáSúthú|múSúthú	<i>noun</i><br><ol><li>Sotho person</li></ol>
muTfwa|múTfwá|ébáTfwá	<i>noun</i><br><ol><li>Bushman</li></ol>
muZulu|múZulu|émáZulu	<i>noun</i><br><ol><li>Zulu person</li></ol>
muahlulî|ébááhlúlî|múáhlúlî	<i>noun</i><br><ol><li>judge</li></ol>
muapöstöla|múápö́stö́la|ébáápö́stö́la	<i>noun</i><br><ol><li>apostle</li></ol>
mubhîno|múbhînó|míbhînó	<i>noun</i><br><ol><li>music</li></ol>
mubhînî|múbhî́nî|ébábhî́nî	<i>noun</i><br><ol><li>singer</li></ol>
mudlalî|múdlálî|ébádlálî	<i>noun</i><br><ol><li>player</li></ol>
mudvwa|múdvwá|mídvwá	<i>noun</i><br><ol><li>welt</li></ol>
mudûmo|mídûmo|múdûmo	<i>noun</i><br><ol><li>sound</li></ol>
mufapahloho|múfápáhloho|mífápáhloho	<i>noun</i><br><ol><li>crown</li></ol>
mufino|múfinó|mífinó	<i>noun</i><br><ol><li>vegetable</li></ol>
mufuyî|ébáfúyî|múfúyî	<i>noun</i><br><ol><li>stock farmer</li></ol>
mufû|múfû́|ébáfû́	<i>noun</i><br><ol><li>dead person, deceased person</li></ol>
mufûmakatî|múfû́mákatî|ébáfû́mákatî	<i>noun</i><br><ol><li>queen, Mrs.</li></ol>
mufûtsana|múfû́tsana|ébáfû́tsana	<i>noun</i><br><ol><li>poor person</li></ol>
mugidi|mígidí|múgidí	<i>noun</i><br><ol><li>party</li></ol>
mugobhû|mígobhû́|múgobhû́	<i>noun</i><br><ol><li>pumpkin</li></ol>
mugodzî|múgodzî́|mígodzî́	<i>noun</i><br><ol><li>hole</li></ol>
mugogodlo|múgógodlo|mígógodlo	<i>noun</i><br><ol><li>spine</li></ol>
mugqobha|múgqobha	<i>noun</i><br><ol><li>dung</li></ol>
mugûlî|ébágûlî|múgûlî	<i>noun</i><br><ol><li>sick person</li></ol>
muhalalelî|múhálálélî|ébáhálálélî	<i>noun</i><br><ol><li>holy person, saint</li></ol>
muhla|múhlá|míhlá	<i>noun</i><br><ol><li>day (period of time)</li></ol>
muhlaba|míhlabá|múhlabá	<i>noun</i><br><ol><li>ground, soil</li></ol>
muhlala|múhlalá|míhlalá	<i>noun</i><br><ol><li>example</li></ol>
muhlanka|ébáhlańka|múhlańka	<i>noun</i><br><ol><li>servant</li></ol>
muhlehlo|múhlehlo	<i>noun</i><br><ol><li>stomach fat</li></ol>
muhlolo|múhlolo|míhlolo	<i>noun</i><br><ol><li>miracle</li></ol>
muhluma|múhlúmá	<i>noun</i><br><ol><li>thinner species of thatching grass</li></ol>
muholî|múhólî	<i>noun</i><br><ol><li>mist</li></ol>
muka	<i>verb</i><br><ol><li>to leave, to depart</li></ol>
mukgawu|míkgáwú|múkgáwú	<i>noun</i><br><ol><li>mercy, mercifulness</li></ol>
mukghûbhû|míkghû́bhû́|múkghû́bhû́	<i>noun</i><br><ol><li>navel</li></ol>
mukgwede|múkgwede	<i>noun</i><br><ol><li>body hair</li></ol>
mukhabho|míkhabhó|múkhabhó	<i>noun</i><br><ol><li>travel</li></ol>
mukhatshala|míkhátshalá|múkhátshalá	<i>noun</i><br><ol><li>tiredness</li></ol>
mukhece|míkhecé|múkhecé	<i>noun</i><br><ol><li>ice</li></ol>
mukhobhe|múkhobhé|míkhobhé	<i>noun</i><br><ol><li>cup</li></ol>
mukhotî|ébákhótî́|múkhótî́	<i>noun</i><br><ol><li>friend</li></ol>
mukhubhulo|múkhubhúlo|míkhubhúlo	<i>noun</i><br><ol><li>thought</li></ol>
mukhulumo|múkhúlúmó|míkhúlúmó	<i>noun</i><br><ol><li>speech, language</li></ol>
mukhulumî|múkhúlúmî|ébákhúlúmî	<i>noun</i><br><ol><li>speaker</li></ol>
mukhupha|múkhupha|míkhupha	<i>noun</i><br><ol><li>bread</li></ol>
mukhwëtha|múkhwëthá|ébákhwëthá	<i>noun</i><br><ol><li>traditional doctor (woman)</li></ol>
mukorotlo|míkórotlo|múkórotlo	<i>noun</i><br><ol><li>Sotho woven hat</li></ol>
mulabho|múlabho|mílabho	<i>noun</i><br><ol><li>river</li></ol>
muladvu|míladvú|múladvú	<i>noun</i><br><ol><li>case, guilt</li></ol>
mulala|múlala|mílala	<i>noun</i><br><ol><li>neck</li></ol>
mulawo|mílawo|múlawo	<i>noun</i><br><ol><li>law</li></ol>
mulayeta|múlayetá|mílayetá	<i>noun</i><br><ol><li>message</li></ol>
muledzi|múledzí|míledzí	<i>noun</i><br><ol><li>hole</li></ol>
muligo|múligó|míligó	<i>noun</i><br><ol><li>temptation, attempt</li></ol>
mulimî|múlimî|ébálimî	<i>noun</i><br><ol><li>farmer</li></ol>
mullo|míllo|múllo	<i>noun</i><br><ol><li>fire</li></ol>
mulomo|múlomo|mílomo	<i>noun</i><br><ol><li>mouth</li></ol>
mulugo|mílugo|múlugo	<i>noun</i><br><ol><li>generation, tribe</li></ol>
mulusî|múlusî|ébálusî	<i>noun</i><br><ol><li>shepherd</li></ol>
mulîtsî|múlîtsî́|mílîtsî́	<i>noun</i><br><ol><li>tail</li></ol>
muma	<i>verb</i><br><ol><li>to suck</li></ol>
mumito|mímito|múmito	<i>noun</i><br><ol><li>throat</li></ol>
mumuna	<i>verb</i><br><ol><li>to suck</li></ol>
munadzi|bamunadzi|lelimunadzi|legimunadzi|lomunadzi|lemunadzi|simunadzi|lamunadzi|lesimunadzi|kumunadzi|letimunadzi|mínadzí|bumunadzi|timunadzi|múnadzí|labamunadzi|limunadzi|gimunadzi|lokumunadzi|lobumunadzi|imunadzi|amunadzi|umunadzi	<i>noun</i><br><ol><li>something nice</li></ol><br><i>conj</i><br><ol><li>nice</li></ol>
mungolî|ébángólî|múngólî	<i>noun</i><br><ol><li>writer</li></ol>
munugutshwayi|mínugutshwáyi|múnugutshwáyi	<i>noun</i><br><ol><li>species of edible berry</li></ol>
munwana|múnwana|mínwana	<i>noun</i><br><ol><li>finger</li></ol>
munyago|múnyago|mínyago	<i>noun</i><br><ol><li>door</li></ol>
munyuka	<i>verb</i><br><ol><li>to slip</li></ol>
muphado|múphadó|míphadó	<i>noun</i><br><ol><li>place for training</li></ol>
muphanî|ébáphánî|múphánî	<i>noun</i><br><ol><li>generous person</li></ol>
muphekî|ébáphekî|múphekî	<i>noun</i><br><ol><li>cook</li></ol>
muporofeta|ébápóroféta|múpóroféta	<i>noun</i><br><ol><li>prophet</li></ol>
muprîsta|ébáprî́sta|múprî́sta	<i>noun</i><br><ol><li>priest</li></ol>
mupûtso|múpûtso|mípûtso	<i>noun</i><br><ol><li>reward</li></ol>
muqoqo|míqoqo|múqoqo	<i>noun</i><br><ol><li>short story</li></ol>
muralî|múrálî|ébárálî	<i>noun</i><br><ol><li>daughter, someone who prays</li></ol>
muratûwa|múrátûwa|ébárátûwa	<i>noun</i><br><ol><li>boyfriend, girlfriend</li></ol>
murena|ébárena|múrena	<i>noun</i><br><ol><li>chief</li></ol>
murogî|ébárógî|múrógî	<i>noun</i><br><ol><li>praise singer</li></ol>
murûdwana|ébárû́dwana|múrû́dwana	<i>noun</i><br><ol><li>student</li></ol>
murûdî|múrû́dî|ébárû́dî	<i>noun</i><br><ol><li>minister, priest</li><li>teacher</li></ol>
murûdûwa|múrû́dûwa|ébárû́dûwa	<i>noun</i><br><ol><li>student, one being taught</li></ol>
musa	<i>noun</i><br><ol><li>kindness</li></ol>
musebeti|músébétí|mísébétí	<i>noun</i><br><ol><li>job</li></ol>
musebetî|músébétî|ébásébétî	<i>noun</i><br><ol><li>worker</li></ol>
musipha|músipha|mísipha	<i>noun</i><br><ol><li>muscle</li></ol>
musî|músî́|mísî́	<i>noun</i><br><ol><li>smoke</li></ol>
musîma|músî́má|mísî́má	<i>noun</i><br><ol><li>valley</li></ol>
musûwela|músû́wela|mísû́wela	<i>noun</i><br><ol><li>cotton, string</li></ol>
musûwë|músû́wë|ébásû́wë	<i>noun</i><br><ol><li>teacher</li></ol>
mutalî|ébátálî|mútálî	<i>noun</i><br><ol><li>parent</li></ol>
mutekî|ébátékî|mútékî	<i>noun</i><br><ol><li>bridegroom</li></ol>
mutfu|mútfu|ébátfu	<i>noun</i><br><ol><li>person, human</li></ol>
mutfugî|ébátfúgî|mútfúgî	<i>noun</i><br><ol><li>sewer</li></ol>
mutfuti|mítfutí|mútfutí	<i>noun</i><br><ol><li>shade</li></ol>
mutfwana|ébátfwana|mútfwana	<i>noun</i><br><ol><li>child</li></ol>
muthabho|míthabhó|múthabhó	<i>noun</i><br><ol><li>root</li></ol>
muthapo|múthápó|míthápó	<i>noun</i><br><ol><li>root (of plant)</li></ol>
muthogî|ébáthógî|múthógî	<i>noun</i><br><ol><li>praise singer</li></ol>
muthûsî|ébáthû́sî|múthû́sî	<i>noun</i><br><ol><li>helper</li></ol>
muti|múti|míti	<i>noun</i><br><ol><li>tree</li></ol>
mutibha|mítibhá|mútibhá	<i>noun</i><br><ol><li>body</li></ol>
mutjhalla|mítjhallá|mútjhallá	<i>noun</i><br><ol><li>mongoose</li></ol>
mutshegisî|ébátshegísî|mútshegísî	<i>noun</i><br><ol><li>seller</li></ol>
mutshegî|mútshégî|ébátshégî	<i>noun</i><br><ol><li>buyer</li></ol>
mutshilîsî|ébátshílî́sî|mútshílî́sî	<i>noun</i><br><ol><li>comforter</li></ol>
mutswalle|ébátswálle|mútswálle	<i>noun</i><br><ol><li>friend</li></ol>
mututu|mútutú|mítutú	<i>noun</i><br><ol><li>second</li></ol>
mututwana|mútutwána|mítutwána	<i>noun</i><br><ol><li>second, short while</li></ol>
mutîntolo|mítî́ńtólo|mútî́ńtólo	<i>noun</i><br><ol><li>little tin of something (e.g. beer, coke)</li></ol>
muvalî|ébávalî|múvalî	<i>noun</i><br><ol><li>doorkeeper</li></ol>
muvunî|ébávúnî|múvúnî	<i>noun</i><br><ol><li>harvester</li></ol>
muwogî|ébáwogî|múwogî	<i>noun</i><br><ol><li>nurse</li></ol>
muyakhisanî|múyákhísanî|ébáyákhísanî	<i>noun</i><br><ol><li>neighbour</li></ol>
muyakho|míyákhó|múyákhó	<i>noun</i><br><ol><li>building</li></ol>
muyakhî|ébáyákhî|múyákhî	<i>noun</i><br><ol><li>builder</li></ol>
muyedzî|ébáyedzî|múyedzî	<i>noun</i><br><ol><li>traveller</li></ol>
muyena|múyená|ébáyená	<i>noun</i><br><ol><li>younger brother</li></ol>
muzala|múzála|ébázála	<i>noun</i><br><ol><li>cross-cousin</li></ol>
muzwadlana|ébázwadlána|múzwadlána	<i>noun</i><br><ol><li>young boy</li></ol>
muzwali|ébázwalí|múzwalí	<i>noun</i><br><ol><li>boy</li></ol>
mûla	<i>verb</i><br><ol><li>to beat</li></ol>
na	<i>verb</i><br><ol><li>to rain</li></ol>
naba	<i>verb</i><br><ol><li>to stretch out straight</li></ol>
nakana	<i>verb</i><br><ol><li>to think</li></ol>
namhlajhë|náḿhlajhë́	<i>adv</i><br><ol><li>today</li></ol>
nanabetsa	<i>verb</i><br><ol><li>to stretch to reach something</li></ol>
ncama	<i>verb</i><br><ol><li>to become disappointed</li></ol>
ncamathela	<i>verb</i><br><ol><li>to stick to</li></ol>
nci|sibanci|lenci|gimunci|lelibanci|mhunci|bhunci|umunci|letinci|ssinci|labanci|kkunci|lesibanci|lamanci|lelinci|lomunci|mhanci|lamunci|legimunci|lobunci|lesinci|yhinci|mhinci|ttinci|lhinci|libanci|leminci|bhanci|lokunci	<i>adj</i><br><ol><li>small, tiny</li></ol>
ncinci|ttincinci|kkuncinci|mhuncinci|libancinci|lobuncinci|gimuncinci|lemincinci|lhincinci|yhincinci|lelibancinci|labancinci|ssincinci|lomuncinci|bhancinci|lesibancinci|lesincinci|lamancinci|sibancinci|bhuncinci|lokuncinci|umuncinci|mhincinci|letincinci|lelincinci|lencinci|legimuncinci|mhancinci|lamuncinci	<i>adj</i><br><ol><li>small, little</li></ol>
ncumeka	<i>verb</i><br><ol><li>to light fire</li></ol>
ncwetela	<i>verb</i><br><ol><li>to dish up (food)</li></ol>
ne|lobune|letine|legimune|umune|leline|ttine|lamune|libane|lesibane|mhune|labane|gimune|bhune|lesine|lomune|lamane|mhane|kkune|lhine|yhine|ssine|mhine|sibane|bhane|lemine|lene|lokune|lelibane	<i>adj</i><br><ol><li>four</li></ol>
nebha	<i>verb</i><br><ol><li>to be right, to be correct</li></ol>
nebhakala	<i>verb</i><br><ol><li>(ergative) to be right, to be correct</li></ol>
neka	<i>verb</i><br><ol><li>to lay out</li><li>to hang up</li></ol>
neke|kuneke|loneke|lelineke|ineke|letineke|lokuneke|laneke|sineke|uneke|lobuneke|buneke|aneke|tineke|gineke|lesineke|lineke|legineke|baneke|leneke|labaneke	<i>conj</i><br><ol><li>nine</li></ol>
nela	<i>verb</i><br><ol><li>to leak</li></ol>
ngcola	<i>verb</i><br><ol><li>to become dirty</li><li>to wash hands</li></ol>
nggatotshi|ńggatótshi	<i>conj</i><br><ol><li>as if</li></ol>
nggatshi|ńggatshí	<i>conj</i><br><ol><li>as if</li></ol>
ngola	<i>verb</i><br><ol><li>to write</li></ol>
ngwabha	<i>verb</i><br><ol><li>to scratch</li></ol>
nhëti|nhë́ti	<i>adv</i><br><ol><li>only</li></ol>
nka	<i>verb</i><br><ol><li>to pick up, to take</li></ol>
nkayî|nkáyî́|bónkáyî́	<i>noun</i><br><ol><li>paternal aunt</li></ol>
nkeke|bóńkeké|ńkeké	<i>noun</i><br><ol><li>old woman</li></ol>
nkgha	<i>verb</i><br><ol><li>to smell (bad)</li></ol>
nkhûlû|nkhû́lû́|bónkhû́lû́	<i>noun</i><br><ol><li>grandfather</li></ol>
nona	<i>verb</i><br><ol><li>to become fat</li></ol>
nqadza	<i>verb</i><br><ol><li>to be cold</li></ol>
nquma	<i>verb</i><br><ol><li>to become dry</li></ol>
nqënëkëla	<i>verb</i><br><ol><li>to be possessive over</li><li>to be unwilling to part with something</li></ol>
ntatë|ntatë́|bóńtatë́	<i>noun</i><br><ol><li>father</li></ol>
ntshu|buntshu|bantshu|antshu|lelintshu|gintshu|sintshu|letintshu|lobuntshu|legintshu|labantshu|lokuntshu|lentshu|lontshu|lesintshu|lintshu|tintshu|intshu|untshu|lantshu|kuntshu	<i>conj</i><br><ol><li>black</li></ol>
nuka	<i>verb</i><br><ol><li>to smell (bad)</li></ol>
nxama	<i>verb</i><br><ol><li>to hurry</li></ol>
nya	<i>verb</i><br><ol><li>to excrete, to defecate</li></ol>
nyakallela	<i>verb</i><br><ol><li>to rejoice in</li></ol>
nyamela	<i>verb</i><br><ol><li>to disappear</li></ol>
nyanya	<i>verb</i><br><ol><li>to suck</li><li>to suckle on</li></ol>
nyarela	<i>verb</i><br><ol><li>to peek around, to peek over</li></ol>
nyatshela	<i>verb</i><br><ol><li>to tread</li></ol>
nye|leminye|labanye|gimunye|lenye|umunye|lesibanye|lomunye|mhinye|ttinye|lamanye|sibanye|lhinye|legimunye|letinye|ssinye|lelinye|lokunye|kkunye|mhanye|lobunye|lesinye|libanye|lelibanye|lamunye|mhunye|yhinye|bhunye|bhanye	<i>adj</i><br><ol><li>one</li></ol>
nyega	<i>verb</i><br><ol><li>to become nauseous</li></ol>
nyegelwa	<i>verb</i><br><ol><li>to become angry</li></ol>
nyheti|lamunyheti|lesinyheti|bhunyheti|sibanyheti|lelibanyheti|gimunyheti|letinyheti|libanyheti|yhinyheti|umunyheti|labanyheti|legimunyheti|ssinyheti|mhanyheti|mhunyheti|ttinyheti|lelinyheti|lesibanyheti|lomunyheti|kkunyheti|lhinyheti|mhinyheti|lobunyheti|lenyheti|lokunyheti|leminyheti|lamanyheti|bhanyheti	<i>adj</i><br><ol><li>many</li></ol>
nyika	<i>verb</i><br><ol><li>to give</li></ol>
nyorulla	<i>verb</i><br><ol><li>to quench thirst</li></ol>
nyorwa	<i>verb</i><br><ol><li>to be thirsty</li></ol>
nyulla	<i>verb</i><br><ol><li>to carry up</li></ol>
nyuluka	<i>verb</i><br><ol><li>to climb</li><li>to go up</li></ol>
paka	<i>verb</i><br><ol><li>to witness</li></ol>
patala	<i>verb</i><br><ol><li>to pay</li></ol>
penta	<i>verb</i><br><ol><li>to paint</li></ol>
peperana	<i>verb</i><br><ol><li>to become cracked</li></ol>
pha	<i>verb</i><br><ol><li>to give</li></ol>
phabhana	<i>verb</i><br><ol><li>to be mad</li></ol>
phaka	<i>verb</i><br><ol><li>to insert</li></ol>
phakama	<i>verb</i><br><ol><li>to stand up</li></ol>
phanyeka	<i>verb</i><br><ol><li>to hang up (e.g. shirt)</li></ol>
phaphama	<i>verb</i><br><ol><li>to wake up suddenly</li></ol>
phaqa	<i>verb</i><br><ol><li>to hit on the head</li></ol>
phara	<i>verb</i><br><ol><li>to plaster, to daub mud on the wall</li></ol>
phebha	<i>verb</i><br><ol><li>to feed young</li></ol>
phedvula|phedula	<i>verb</i><br><ol><li>to answer</li></ol>
pheka	<i>verb</i><br><ol><li>to cook</li></ol>
pheleketa	<i>verb</i><br><ol><li>to accompany</li></ol>
phemisa	<i>verb</i><br><ol><li>to save (in a religious sense)</li></ol>
phetella	<i>verb</i><br><ol><li>to accompany</li></ol>
phethuka	<i>verb</i><br><ol><li>to become changed into</li></ol>
phethula	<i>verb</i><br><ol><li>to change into</li></ol>
phetsha	<i>verb</i><br><ol><li>to finish, to reach the end of something</li></ol>
phika	<i>verb</i><br><ol><li>to disagree</li></ol>
phola	<i>verb</i><br><ol><li>to get well, to get better</li></ol>
photsha	<i>verb</i><br><ol><li>to take down and put inside (e.g. clothes), to put sheep into kraal</li></ol>
phuga	<i>verb</i><br><ol><li>(transitive) to drink (something hot)</li></ol>
phuka	<i>verb</i><br><ol><li>to get broken</li></ol>
phula	<i>verb</i><br><ol><li>to break</li><li>to take off fire if ready, to dish up</li></ol>
phuma	<i>verb</i><br><ol><li>to come out, to exit</li></ol>
phumela	<i>verb</i><br><ol><li>to make progress</li></ol>
phumella	<i>verb</i><br><ol><li>to succeed</li></ol>
phumula	<i>verb</i><br><ol><li>to rest</li></ol>
phumuta	<i>verb</i><br><ol><li>to give rest</li></ol>
phuta	<i>verb</i><br><ol><li>to delay</li></ol>
phutsheka	<i>verb</i><br><ol><li>to gather</li></ol>
phutshela	<i>verb</i><br><ol><li>to cover</li></ol>
phutshulla	<i>verb</i><br><ol><li>to unroll</li></ol>
phûdla	<i>verb</i><br><ol><li>(intransitive) to blow a lot</li><li>(transitive) to beat vigorously</li></ol>
pîpîtlelwa	<i>verb</i><br><ol><li>to have indigestion</li></ol>
pûlûtsa	<i>verb</i><br><ol><li>to rinse (clothes)</li></ol>
pûtsa	<i>verb</i><br><ol><li>to reward, to pay</li></ol>
qala	<i>verb</i><br><ol><li>to start, to begin</li></ol>
qalisa	<i>verb</i><br><ol><li>to start something</li></ol>
qedza	<i>verb</i><br><ol><li>to finish</li></ol>
qedzella	<i>verb</i><br><ol><li>to finish off</li></ol>
qethuka	<i>verb</i><br><ol><li>to look up at</li></ol>
qhaba	<i>verb</i><br><ol><li>to rise (of the sun)</li></ol>
qhaqha	<i>verb</i><br><ol><li>to take apart</li></ol>
qhaqhulla	<i>verb</i><br><ol><li>to pull apart</li></ol>
qhathîsa	<i>verb</i><br><ol><li>to prop up, to hold up</li></ol>
qhela	<i>verb</i><br><ol><li>to be accustomed to</li></ol>
qhetuka	<i>verb</i><br><ol><li>to get broken</li></ol>
qhoma	<i>verb</i><br><ol><li>to jump over</li></ol>
qina	<i>verb</i><br><ol><li>to be strong, to be tight</li></ol>
qinisisa	<i>verb</i><br><ol><li>to be correct</li></ol>
qobella	<i>verb</i><br><ol><li>to force</li></ol>
qobisa	<i>verb</i><br><ol><li>to save</li></ol>
qoda	<i>verb</i><br><ol><li>to realize</li></ol>
qotsha	<i>verb</i><br><ol><li>to expel</li></ol>
qubha	<i>verb</i><br><ol><li>to be annoyed</li></ol>
rabhela	<i>verb</i><br><ol><li>to pray</li></ol>
rakgalî|bórakgálî́|rakgálî́	<i>noun</i><br><ol><li>paternal aunt</li></ol>
rangwani|borangwani	<i>noun</i><br><ol><li>paternal uncle</li></ol>
rarulla	<i>verb</i><br><ol><li>to explain, to simplify</li></ol>
raya	<i>verb</i><br><ol><li>to kick</li></ol>
rhola	<i>verb</i><br><ol><li>to roll up</li></ol>
rholulla	<i>verb</i><br><ol><li>to unroll</li></ol>
rhûsa	<i>verb</i><br><ol><li>to rust</li></ol>
roga	<i>verb</i><br><ol><li>to praise</li></ol>
rora	<i>verb</i><br><ol><li>to purr</li></ol>
rorîsa	<i>verb</i><br><ol><li>to praise, to glorify</li></ol>
röbala	<i>verb</i><br><ol><li>to sleep</li></ol>
rûda	<i>verb</i><br><ol><li>to learn</li><li>to read</li><li>to study</li><li>to teach</li></ol>
rûdîsa	<i>verb</i><br><ol><li>to teach</li></ol>
rûtla	<i>verb</i><br><ol><li>to pull</li></ol>
saba	<i>verb</i><br><ol><li>to fear</li><li>to be afraid of</li></ol>
sadla|tádla|sádla	<i>noun</i><br><ol><li>hand</li></ol>
sambreli|sámbréli|támbréli	<i>noun</i><br><ol><li>umbrella</li></ol>
sarela	<i>verb</i><br><ol><li>to become weak with hunger</li><li>to become bad news</li></ol>
seba	<i>verb</i><br><ol><li>to be rude</li></ol>
sebeta	<i>verb</i><br><ol><li>to work</li></ol>
sebetisa	<i>verb</i><br><ol><li>to use</li></ol>
sehla	<i>verb</i><br><ol><li>to chaff</li></ol>
sehlisa	<i>verb</i><br><ol><li>to make life hard</li></ol>
seka	<i>verb</i><br><ol><li>to cut</li></ol>
sela	<i>verb</i><br><ol><li>to drink</li></ol>
shapa	<i>verb</i><br><ol><li>to hit</li></ol>
shîya	<i>verb</i><br><ol><li>to leave</li></ol>
siPhûthî|síPhûthî	<i>noun</i><br><ol><li>Phuthi language</li></ol>
sibaga|tíbaga|síbaga	<i>noun</i><br><ol><li>place, city</li></ol>
sibekela	<i>verb</i><br><ol><li>to put the lid on</li><li>to become cloudy</li></ol>
sibekelisa	<i>verb</i><br><ol><li>to put the lid on tightly/properly</li></ol>
sibhatsho|síbhatsho|tíbhatsho	<i>noun</i><br><ol><li>overclothes</li></ol>
sibhînî|síbhî́nî|tíbhî́nî	<i>noun</i><br><ol><li>singer</li></ol>
sibidzi|tíbidzí|síbidzí	<i>noun</i><br><ol><li>liver</li><li>courage</li></ol>
