ܐ ܟ ܠ|ʾ k l	<i>root</i><br><ol><li>forming words pertaining to eating</li></ol>
ܛܒܢܓ̰ܐ|ܛܲܒܵܢܓ̰ܵܟ݂ܝ̈|ܛܲܒܵܢܓ̰ܘܿܗ̇|ܛܲܒܵܢܓ̰|ṭabbānjēh|ܛܲܒܵܢܓ̰ܗܘܿܢ|ṭabbānjuḵ|ṭabbānjay|ܛܲܒܵܢܓ̰ܝܼ|ṭabbānjhon|ܛܲܒܵܢܓ̰ܘܼ̈ܟ݂|ܛܲܒܵܢܓ̰ܲܢ̈|ܛܲܒܵܢܓ̰ܘܼܟ݂|ṭabbānjāḵ|ṭabbānjā|ܛܲܒܵܢܓ̰̈ܘܿܗ̇|ṭabbānjī|ܛܲܒܵܢܓ̰ܵܘܟ݂ܘܿܢ|ܛܲܒܵܢܓ̰ܲܢ|ṭabbānjoh|ṭabbānjāwḵon|ܛܲܒܵܢܓ̰ܵܐ|ܛܲܒܵܢܓ̰ܘܼ̈ܗܝ|ṭabbānjan|ܛܲܒܵܢܓ̰ܵܘ̈ܟ݂ܘܿܢ|ṭabbānj|ܛܲܒܵܢܓ̰ܹܗ|ܛܲܒܵܢܓ̰ܝܼ̈|ṭabbānjē|ṭābanja|ܛܲܒܵܢܓ̰ܗ̈ܘܿܢ|ܛܲܒܵܢܓ̰ܵܟ݂ܝ|ܛܲܒܵܢܓ̰ܲܝ̈|ܛܲܒܵܢܓ̰ܹ̈ܐ|ṭabbānjuh	<i>noun</i><br><ol><li>pistol, handgun</li></ol>
ܛܒܥ|ṭābʿī|ṭbīʿ lī|ܛܒܝܼܥ ܠܵܘܟ݂ܘܿܢ|ṭābʿān|ṭābʿaḥ|ṭḇīʿ lēh|ṭābʿēt|ṭḇoʿ|ṭāḇʿī|ܛܒܝܼܥ ܠܵܟ݂ܝ|ܛܒܝܼܥ ܠܘܼܟ݂|ṭboʿ|ṭḇīʿ lāh|ṭbīʿ luḵ|ṭaweʿ|ṭābʿēn|ܛܵܒ݂ܥܵܐ|ܛܒ݂ܝܼܥ ܠܵܘܟ݂ܘܿܢ|ṭbīʿ lāḵ|ܛܵܒܥܝܼ|ṭḇīʿ lī|ܛܵܒܥܵܐ|ܛܵܒܥܹܬ|ܛܒܘܿܥܝ|ṭābʿā|ܛܒܘܿܥ|ṭbīʿ lhon|ܛܒܝܼܥ ܠܝܼ|ṭāḇʿēt|ܛܒܵܥܵܐ|ṭāḇʿāt|ܛܵܒ݂ܥܹܬ|ܛܵܒ݂ܥܹܢ|ܛܒ݂ܵܥܵܐ|ܛܒ݂ܝܼܥ ܠܗܘܿܢ|ܛܵܒ݂ܥܵܢ|ܛܒܝܼܥ ܠܹܗ|ṭbīʿ lāh|ܛܒ݂ܝܼܥ ܠܵܗ̇|ṭbīʿ lēh|ܛܵܒܥܲܚ|ܛܵܒܥܵܢ|ܛܵܒ݂ܥܲܚ|ܛܒ݂ܝܼܥ ܠܹܗ|ܛܒ݂ܝܼܥ ܠܵܟ݂ܝ|ܛܵܒ݂ܥܝܼܬܘܿܢ|ṭāḇʿēn|ܛܒܘܿܥܘܼܢ|ṭāḇēʿ|ṭāḇʿān|ܛܵܒ݂ܹܥ|ṭḇīʿ luḵ|ܛܒ݂ܝܼܥ ܠܲܢ|ṭāḇʿīton|ܛܵܒܹܥ|ܛܒ݂ܝܼܥ ܠܘܼܟ݂|ܛܵܒܥܵܬܝ|ܛܵܒ݂ܥܵܬܝ|ṭāḇʿā|ܛܒܝܼܥ ܠܲܢ|ṭbīʿ lāwḵon|ܛܒܝܼܥ ܠܗܘܿܢ|ṭboʿun|ܛܵܒܥܹܢ|ṭābēʿ|ṭḇīʿ lhon|ܛܒܝܼܥܵܐ|ܛܒܝܼܥ ܠܵܗ̇|ܛܵܒܥܝܼܬܘܿܢ|ṭḇīʿ lāwḵon|ṭābʿīton|ṭābʿāt|ṭāḇʿaḥ|ṭbīʿ lan|ṭḇīʿ lan|ṭḇoʿun|ܛܒ݂ܝܼܥܵܐ|ܛܵܒ݂ܥܝܼ|ṭabeʿ|ܛܒ݂ܘܿܥܝ|ܛܒ݂ܘܿܥ|ܛܒ݂ܘܿܥܘܼܢ|ܛܒ݂ܝܼܥ ܠܝܼ|ṭḇīʿ lāḵ	<i>verb</i><br><ol><li>to print, stamp</li><li>to sink, drown</li></ol>
ܛܒܬܐ|ܛܵܒ݂ܬܵܐ|ܛܵܒ݂ܵܬܹ̈ܗ|ṭāḇ|ܛܵܒ݂ܬܵܘܟ݂ܘܿܢ|ṭāḇt|ܛܵܒ݂ܬܲܢ|ܛܵܒ݂ܵܬܵܟ݂ܝ̈|ܛܵܒ݂ܬܗܘܿܢ|ܛܵܒ݂ܵܬܝܼ̈|ṭāḇtā|ṭāḇātē|ܛܵܒ݂ܬ|ܛܵܒ݂ܵܬܗ̈ܘܿܢ|ṭāḇātan|ṭāwtā|ܛܵܒ݂ܵܬܲܢ̈|ṭāḇtan|ṭāḇātī|ܛܵܒ݂ܵܬ̈|ṭāḇtāḵ|ܛܵܒ݂ܬܘܿܗ̇|ṭāḇthon|ṭāḇātāḵ|ṭāḇātoh|ṭāḇtāwḵon|ṭāḇātāwḵon|ṭāḇtoh|ṭāḇātuḵ|ܛܵܒ݂ܵܬܘܼ̈ܟ݂|ṭāḇtuḵ|ṭāḇtēh|ܛܵܒ݂ܬܘܼܟ݂|ܛܵܒ݂ܬܹܗ|ܛܵܒ݂ܬܵܟ݂ܝ|ܛܵܒ݂ܬܝܼ|ܛܵܒ݂ܵܬܹ̈ܐ|ṭāḇāthon|ܛܵܒ݂ܵܬ̈ܘܿܗ̇|ṭāḇāt|ṭāḇātēh|ܛܵܒ݂ܵܬܵܘ̈ܟ݂ܘܿܢ|ṭāḇtī|ܛܵܒ݂	<i>noun</i><br><ol><li>good, goodness, excellence, benevolence</li><li>virtue, benefit</li><li>kindness</li><li>prosperity</li></ol>
ܛܗܪܐ|ܛܲܗܪ̈ܵܘܵܬܲܢ|ṭahrā|({{{pl.abs.}}})|ṭahrāwātē|ṭahrāwātī|ܛܲܗܪ̈ܵܘܵܬܗܘܿܢ|ṭahrāwāthon|ṭahran|ṭahrāwḵon|ܛܲܗܪܵܟ݂ܝ|ܛܲܗܪܵܐ|ܛܲܗܪ̈ܵܘܵܬܘܿܗ̇|ܛܲܗܪܲܢ|ܛܲܗܪܘܿܗ̇|ṭahrāwātāḵ|ṭahrāwātuḵ|{{{pl.abs.}}}|ṭahrāḵ|ṭahrāwātan|ṭahruḵ|ܛܲܗܪ̈ܵܘܵܬܝܼ|ṭahrāwātēh|ܛܲܗܪ̈ܵܘܵܬܹܗ|ܛܲܗܪ̈ܵܘܵܬܵܟ݂ܝ|ṭahrāwātoh|{{{sg.abs.}}}|ܛܲܗܪܘܼܟ݂|ܛܲܗܪ̈ܵܘܵܬܘܼܟ݂|ܛܲܗܪ̈ܲܘܵܬ݂ܵܐ|ܛܲܗܪܵܘܟ݂ܘܿܢ|ܛܲܗܪܹܗ|ܛܲܗܪ̈ܵܘܵܬܹܐ|ṭahrāwātāwḵon|ṭahrēh|{{{sg.cstr.}}}|ṭahroh|{{{pl.cstr.}}}|ṭahrhon|ܛܲܗܪ̈ܵܘܵܬܵܘܟ݂ܘܿܢ|({{{sg.abs.}}})|ܛܲܗܪܗܘܿܢ	<i>noun</i><br><ol><li>midday, noon: the middle part of the day</li></ol>
ܛܘܝܣܐ|ܛܘܼܝܵܣܝܼ|ܛܘܼܝܵܣ|ṭuyāsāwḵon|ṭuyāsay|ܛܘܼܝܵܣܘܼ̈ܟ݂|ܛܘܼܝܵܣܲܝ̈|ܛܘܼܝܵܣܵܐ|ܛܘܼܝܵܣܹܗ|ܛܘܼܝܵܣܹ̈ܐ|ṭuyāsāḵ|ܛܘܼܝܵܣܘܼ̈ܗܝ|ܛܘܼܝܵܣܘܿܗ̇|ṭuyāsan|ܛܘܼܝܵܣܲܢ̈|ܛܘܼܝܵܣܵܘ̈ܟ݂ܘܿܢ|ṭuyās|ܛܘܼܝܵܣܘܼܟ݂|ṭuyāsē|ṭuyāsuḵ|ܛܘܼܝܵܣܵܟ݂ܝ|ܛܘܼܝܵܣ̈ܘܿܗ̇|ܛܘܼܝܵܣܵܟ݂ܝ̈|ܛܘܼܝܵܣܲܢ|ṭuyāshon|ܛܘܼܝܵܣܗ̈ܘܿܢ|ܛܘܼܝܵܣܝܼ̈|ṭuyāsī|ṭuyāsā|ܛܘܼܝܵܣܵܘܟ݂ܘܿܢ|ܛܘܼܝܵܣܗܘܿܢ|ṭuyāsuh|ṭuyāsoh|ṭuyāsēh	<i>noun</i><br><ol><li>flight (trip made by an aircraft, particularly one between two cities or countries, which is often planned or reserved in advance.)</li></ol>
ܛܘܪܟܝܐ|ṭurkiya|ܛܘܼܪܟܝܼܵܐ	<i>name</i><br><ol><li>a country at the intersection of Europe and Asia on the Mediterranean. Official name: Republic of Turkey</li></ol>
ܛܝܘܣܐ|ܛܵܝܘܿܣܵܘ̈ܟ݂ܘܿܢ|ܛܵܝܘܿܣܘܼܟ݂|ṭāyosē|ܛܵܝܘܿܣܲܢ|ܛܵܝܘܿܣܵܟ݂ܝ|ܛܵܝܘܿܣܲܝ̈|ܛܵܝܘܿܣܝܼ|ṭāyosay|ṭāyosuh|ܛܵܝܘܿܣܹ̈ܐ|ṭāyos|ܛܵܝܘܿܣ|ṭāyosā|ܛܵܝܘܿܣܵܘܟ݂ܘܿܢ|ܛܵܝܘܿܣܘܿܗ̇|ṭāyosoh|ܛܵܝܘܿܣܵܐ|ܛܵܝܘܿܣ̈ܘܿܗ̇|ܛܵܝܘܿܣܗ̈ܘܿܢ|ܛܵܝܘܿܣܵܟ݂ܝ̈|ṭāyosāḵ|ṭāyosāwḵon|ܛܵܝܘܿܣܘܼ̈ܗܝ|ṭāyosēh|ܛܵܝܘܿܣܹܗ|ܛܵܝܘܿܣܗܘܿܢ|ṭāyosī|ṭāyoshon|ṭāyosan|ܛܵܝܘܿܣܘܼ̈ܟ݂|ܛܵܝܘܿܣܬܵܐ|ṭāyosuḵ|ܛܵܝܘܿܣܲܢ̈|ܛܵܝܘܿܣܝܼ̈	<i>noun</i><br><ol><li>pilot; aviator (controller of an aircraft)</li></ol>
ܛܝܡܐ|ṭīmēh|ṭīm|ܛܝܼܡܲܝ̈|ṭīmoh|ܛܝܼܡܘܼܟ݂|ܛܝܼܡܹ̈ܐ|ܛܝܼܡܵܟ݂ܝ̈|ṭīmī|ܛܝܼܡܵܟ݂ܝ|ṭīmāwḵon|ܛܝܼܡܵܘܟ݂ܘܿܢ|ṭīmay|ܛܝܼܡܵܘ̈ܟ݂ܘܿܢ|ܛܝܼܡܘܿܗ̇|ܛܝܼܡܗ̈ܘܿܢ|ܛܝܼܡܝܼ̈|ܛܝܼܡܲܢ|ܛܝܼܡܲܢ̈|ܛܝܼܡܘܼ̈ܗܝ|ṭīmāḵ|ṭīmē|ܛܝܼܡ|ܛܝܼܡܝܼ|ܛܝܼܡܘܼ̈ܟ݂|ܛܝܼܡܵܐ|ṭīmā|ṭīmuḵ|ܛܝܼܡܹܗ|ṭīmuh|ṭīma|ṭīmhon|ṭīman|ܛܝܼܡܗܘܿܢ|ܛܝܼܡ̈ܘܿܗ̇	<i>noun</i><br><ol><li>(economics, finance) price, value (of something, asset, fare, etc)</li><li>rate, fee</li><li>honor</li></ol>
ܛܝܣ|ܛܲܝܣܝܼܬܘܿܢ|ܛܝܵܣܵܐ|ṭaysā|ܛܲܝܣܲܚ|ṭuyis lāh|ܛܲܝܸܣܝ|ܛܵܝܣܝܼ|ṭīs lhon|ṭaysin|ṭīs lēh|ܛܝܼܣ ܠܲܢ|ܛܵܝܣܹܬ|ܛܘܼܣܝ|ṭāysī|ṭaysān|ܛܘܼܝܸܣ ܠܵܘܟ݂ܘܿܢ|ܛܲܝܣܝܼ|ܛܝܼܣ ܠܗܘܿܢ|ܛܝܼܣ ܠܵܟ݂ܝ|ܛܲܝܸܣ|ṭaysit|ܛܲܝܣܸܢ|ṭāysāt|ṭaysī|ṭuyis lāwḵon|ܛܘܼܣܘܿܢ|ṭuyis lāḵ|ṭaysīton|ṭaysun|ܛܝܼܣ ܠܵܘܟ݂ܘܿܢ|ܛܝܼܣ ܠܹܗ|ܛܲܝܘܼܣܹܐ|ṭuyis luḵ|ṭaysaḥ|ܛܝܼܣ ܠܝܼ|ܛܘܼܝܸܣ ܠܗܘܿܢ|ṭuyis lī|ܛܲܝܣܵܐ|ṭuyis lēh|ܛܲܝܣܵܢ|ṭīs luḵ|ṭāysīton|ܛܲܝܣܘܼܢ|ṭuyis lhon|ṭus|ܛܘܼܣ|ṭāysaḥ|ܛܘܼܝܸܣ ܠܵܗ̇|ṭaysāt|ܛܝܼܣ ܠܘܼܟ݂|ṭāysēt|ܛܘܼܝܣܵܐ|ܛܝܼܣܵܐ|ṭīs lāh|ṭuson|ܛܵܝܣܵܬܝ|ṭāysā|ṭāysēn|ṭuyis lan|ܛܘܼܝܸܣ ܠܘܼܟ݂|ܛܵܝܣܵܐ|ܛܵܝܹܣ|ܛܵܝܣܵܢ|ܛܘܼܝܸܣ ܠܝܼ|ܛܲܝܣܵܬܝ|ܛܵܝܣܹܢ|ṭīs lāwḵon|ṭayyis|ܛܘܼܝܸܣ ܠܵܟ݂ܝ|ܛܲܝܣܸܬ|ܛܵܝܣܝܼܬܘܿܢ|ܛܵܝܣܲܚ|ṭāysān|ṭīs lan|ṭīs lāḵ|ܛܘܼܝܸܣ ܠܹܗ|ܛܝܼܣ ܠܵܗ̇|ܛܘܼܝܸܣ ܠܲܢ|ṭāyēs|ṭīs lī	<i>verb</i><br><ol><li>to fly (travel through the air on, or as, an airplane or the like, not by one's own power)</li><li>to fly; to pilot (to cause vehicle to fly or travel through the air)</li></ol>
ܛܝܣܬܐ|ܛܲܝܵܣܬܵܐ|ܛܲܝܵܣܬܝܼ|ܛܲܝܵܣܵܬܵܟ݂ܝ̈|ṭayyāsātuḵ|ܛܲܝܵܣܬ|ṭayyāsāt|ܛܲܝܵܣܵܬܹ̈ܗ|ṭayyāstan|ṭayyāstāḵ|ܛܲܝܵܣܬܘܼܟ݂|ܛܲܝܵܣܵܬܲܢ̈|ܛܲܝܵܣ|ṭayyāstuḵ|ܛܲܝܵܣܬܹܗ|ṭayyāsātāwḵon|ܛܲܝܵܣܵܬ̈|ṭayyāst|ܛܲܝܵܣܵܬܗ̈ܘܿܢ|ṭayyāstī|ṭayyāstoh|ṭayyāsātēh|ṭayyāstā|ܛܲܝܵܣܵܬܹ̈ܐ|ṭayyāstēh|ܛܲܝܵܣܵܬ̈ܘܿܗ̇|ܛܲܝܵܣܬܘܿܗ̇|ṭayyāsātī|ṭayyāsātāḵ|ܛܲܝܵܣܬܲܢ|ṭayyāsātoh|ܛܲܝܵܣܵܬܝܼ̈|ṭayyāstāwḵon|ܛܲܝܵܣܵܬܵܘ̈ܟ݂ܘܿܢ|ܛܲܝܵܣܬܗܘܿܢ|ṭayyāsātē|ܛܲܝܵܣܬܵܘܟ݂ܘܿܢ|ܛܲܝܵܣܬܵܟ݂ܝ|ṭayyāsthon|ṭayyās|ܛܲܝܵܣܵܬܘܼ̈ܟ݂|ṭayyāsāthon|ṭayyāsātan	<i>noun</i><br><ol><li>aeroplane, airplane, plane (powered flying vehicle with fixed wings and a weight greater than that of the air it displaces)</li></ol>
ܛܝܦ|ṭup|ṭīp lāwḵon|ܛܝܼܦܵܐ|ṭāypēn|ܛܵܝܦܲܚ|ṭayep|ܛܘܼܦܘܿܢ|ṭāypīton|ܛܝܼܦ ܠܗܘܿܢ|ṭīp luḵ|ܛܵܝܹܦ|ܛܘܼܦܝ|ṭīp lī|ṭāypān|ṭupon|ṭīp lēh|ܛܝܼܦ ܠܹܗ|ṭīp lāḵ|ܛܵܝܦܵܐ|ṭāypā|ܛܝܼܦ ܠܝܼ|ܛܝܼܦ ܠܵܗ̇|ṭāypēt|ܛܝܵܦܵܐ|ܛܵܝܦܝܼ|ṭīp lāh|ܛܵܝܦܵܬܝ|ܛܝܼܦ ܠܘܼܟ݂|ܛܘܼܦ|ܛܝܼܦ ܠܵܘܟ݂ܘܿܢ|ṭāypī|ܛܵܝܦܵܢ|ṭīp lan|ṭāyēp|ܛܵܝܦܹܬ|ܛܝܼܦ ܠܲܢ|ܛܝܼܦ ܠܵܟ݂ܝ|ܛܵܝܦܹܢ|ṭāypaḥ|ṭāypāt|ܛܵܝܦܝܼܬܘܿܢ|ṭīp lhon	<i>verb</i><br><ol><li>to float</li></ol>
ܛܝܪܐ|ܛܲܝܪ̈ܲܝ|ܛܝܵܪܵܟ݂ܝ|ṭyāran|ܛܲܝܪܘܿܗ̇|ܛܲܝܪ̈ܝܼ|ܛܲܝܪ̈ܘܗܝ|ṭayrwh|ܛܝܵܪ̈ܲܢ|ܛܲܝܪܘܼܟ݂|ܛܝܵܪܹ̈ܐ|ܛܝܵܪ|ṭayrhon|ܛܲܝܪ̈ܘܼܟ݂|ṭyāruḵ|ܛܲܝܪ̈ܵܘܟ݂ܘܿܢ|ṭayruḵ|ܛܲܝܪܹ̈ܐ|ṭyāroh|ܛܝܵܪܹܗ|ܛܝܵܪ̈ܵܟ݂ܝ|ܛܲܝܪܵܟ݂ܝ|ܛܲܝܪܹܗ|ṭyārhon|ṭayran|ܛܲܝܪܵܘܟ݂ܘܿܢ|ܛܲܝܪ̈ܗܘܿܢ|ܛܲܝܪ̈ܲܢ|ṭyārā|ܛܝܵܪܵܘܟ݂ܘܿܢ|ܛܲܝܪܲܢ|ṭyārāwḵon|ܛܲܝܪ|ṭyārī|ܛܝܵܪ̈ܘܼܟ݂|ṭyārwh|ṭayr|ṭayray|ṭyārēh|ṭyārē|ṭayrēh|ܛܝܵܪܘܼܟ݂|ܛܝܵܪܵܐ|ܛܝܵܪ̈ܲܝ|ṭayrāwḵon|ܛܝܵܪ̈ܗܘܿܢ|ܛܝܵܪ̈ܘܿܗ̇|ܛܲܝܪ̈ܘܿܗ̇|ṭayrāḵ|ܛܝܵܪ̈ܝܼ|ṭayrē|ܛܝܵܪܘܿܗ̇|ܛܲܝܪ̈ܵܟ݂ܝ|ܛܝܵܪ̈ܘܗܝ|ܛܲܝܪܵܐ|ṭyār|ܛܲܝܪܗܘܿܢ|ṭyāray|ṭayroh|ṭayrā|ܛܝܵܪܲܢ|ṭayrī|ܛܝܵܪܗܘܿܢ|ṭyārāḵ|ܛܝܵܪ̈ܵܘܟ݂ܘܿܢ	<i>noun</i><br><ol><li>bird (warm-blooded egg-laying vertebrate animal with feathers, wings, and a beak)</li><li>sheepfold, enclosure</li></ol><br><i>name</i><br><ol><li>Tyari (Assyrian tribe and district within Hakkari on the western bank of the Zab river, traditionally divided into Upper and Lower Tyari)</li></ol>
ܛܠܒ|ṭālbīton|ܛܠܘܿܒܝ|ܛܵܠܒܹܢ|ṭlīb lāwḵon|ܛܠܝܼܒ ܠܗܘܿܢ|ܛܵܠܹܒ|ṭlob|ṭlīb lāḵ|ṭālbī|ܛܠܝܼܒ ܠܲܢ|ܛܠܘܿܒ|ṭlīb luḵ|ܛܵܠܒܵܬܝ|ܛܵܠܒܝܼܬܘܿܢ|ṭālbēt|ܛܵܠܒܹܬ|ܛܠܝܼܒܵܐ|ṭālbaḥ|ܛܠܵܒܵܐ|ṭālbāt|ܛܠܘܿܒܘܼܢ|ṭlīb lan|ṭālbān|ṭālēb|ܛܠܝܼܒ ܠܵܘܟ݂ܘܿܢ|ܛܵܠܒܵܢ|ܛܠܝܼܒ ܠܹܗ|ܛܠܝܼܒ ܠܘܼܟ݂|ܛܵܠܒܲܚ|ܛܠܝܼܒ ܠܵܗ̇|ṭlīb lāh|ܛܠܝܼܒ ܠܝܼ|ܛܵܠܒܵܐ|ṭālbēn|ṭālbā|ṭlīb lī|ṭlobun|ܛܠܝܼܒ ܠܵܟ݂ܝ|ܛܵܠܒܝܼ|ṭlīb lēh|ṭlīb lhon	<i>verb</i><br><ol><li>to ask for; request; order</li><li>to propose; get engaged; be betrothed</li></ol>
ܛܠܩ|ṭālēq|ܛܠܝܼܩ ܠܗܘܿܢ|ṭalqāt|ܛܘܼܠܸܩ ܠܘܼܟ݂|ܛܠܝܼܩ ܠܵܗ̇|ܛܲܠܩܵܬܝ|ܛܘܼܠܸܩ ܠܵܟ݂ܝ|ṭalqān|ܛܲܠܩܝܼ|ܛܲܠܩܸܬ|ṭālqaḥ|ܛܠܝܼܩ ܠܲܢ|ܛܲܠܸܩܝ|ܛܵܠܩܵܐ|ܛܠܝܼܩ ܠܵܘܟ݂ܘܿܢ|ṭuliq lēh|ṭalliq|ṭuliq lāḵ|ṭalqīton|ṭlīq lāwḵon|ܛܘܼܠܸܩ ܠܝܼ|ṭalqun|ṭālqā|ܛܵܠܩܝܼܬܘܿܢ|ܛܵܠܩܹܬ|ܛܠܝܼܩ ܠܘܼܟ݂|ṭuliq lāh|ܛܠܝܼܩܵܐ|ṭālqāt|ṭuliq lhon|ܛܵܠܩܵܬܝ|ṭlīq lēh|ṭuliq lan|ܛܠܘܿܩܘܼܢ|ܛܵܠܩܲܚ|ܛܘܼܠܸܩ ܠܹܗ|ṭalqit|ṭlīq lī|ܛܲܠܩܲܚ|ܛܲܠܩܘܼܢ|ṭālqēt|ṭuliq lī|ṭalqaḥ|ṭlīq lan|ṭālqēn|ṭlīq lhon|ܛܠܝܼܩ ܠܝܼ|ܛܘܼܠܸܩ ܠܗܘܿܢ|ṭloqun|ܛܠܝܼܩ ܠܵܟ݂ܝ|ṭuliq lāwḵon|ܛܵܠܩܵܢ|ṭalqī|ܛܵܠܹܩ|ṭuliq luḵ|ܛܲܠܸܩ|ܛܠܘܿܩܝ|ṭalqin|ṭālqān|ṭalqā|ܛܲܠܩܸܢ|ṭālqī|ܛܘܼܠܸܩ ܠܵܘܟ݂ܘܿܢ|ܛܘܼܠܸܩ ܠܲܢ|ṭlīq lāh|ṭloq|ṭaliq|ܛܵܠܩܝܼ|ܛܲܠܩܝܼܬܘܿܢ|ṭlīq lāḵ|ܛܘܼܠܩܵܐ|ܛܠܘܿܩ|ܛܲܠܩܵܐ|ṭlīq luḵ|ܛܠܝܼܩ ܠܹܗ|ܛܘܼܠܸܩ ܠܵܗ̇|ܛܲܠܩܵܢ|ܛܵܠܩܹܢ|ṭālqīton|ܛܠܵܩܵܐ|ܛܲܠܘܼܩܹܐ	<i>verb</i><br><ol><li>(intransitive) to lose; to get lost</li><li>to perish; pass away</li><li>to disappear; to vanish</li><li>(transitive) to lose (be unable to follow or trace one any longer)</li></ol>
ܛܡܛܐ|ṭāmāṭan|ṭāmāṭ|ܛܵܡܵܛܘܼ̈ܗܝ|ṭāmāṭhon|ܛܵܡܵܛܹܗ|ṭāmāṭuḵ|ܛܵܡܵܛ|ṭāmāṭā|ܛܵܡܵܛܘܿܗ̇|ṭāmāṭuh|ܛܵܡܵܛܵܐ|ܛܵܡܵܛܲܢ|ṭāmāṭoh|ܛܵܡܵܛ̈ܘܿܗ̇|ܛܵܡܵܛܘܼܟ݂|ṭāmāṭāwḵon|ܛܵܡܵܛܲܢ̈|ܛܵܡܵܛܝܼ̈|ܛܵܡܵܛܗܘܿܢ|ܛܵܡܵܛܵܘ̈ܟ݂ܘܿܢ|ܛܵܡܵܛܵܟ݂ܝ|ܛܵܡܵܛܗ̈ܘܿܢ|ṭāmāṭēh|ܛܵܡܵܛܲܝ̈|ṭāmāṭē|ܛܵܡܵܛܵܘܟ݂ܘܿܢ|ṭāmāṭī|ṭāmāṭay|ܛܵܡܵܛܵܟ݂ܝ̈|ܛܵܡܵܛܝܼ|ṭāmāṭāḵ|ṭamaṭa|ܛܵܡܵܛܹ̈ܐ|ܛܵܡܵܛܘܼ̈ܟ݂	<i>noun</i><br><ol><li>tomato: a glossy red, or occasionally yellow, pulpy edible fruit that is eaten as a vegetable or in salad.</li></ol>
ܛܥܘܢܬܐ|ṭāʿontan|ܛܥܘܼܢܬܵܘܟ݂ܘܿܢ|ܛܵܥܘܿܢܝܵܬܹ̈ܐ|ܛܥܘܼܢܝܵܬ̈|ṭʿuntā|ṭʿuntan|ṭāʿonyātuḵ|ṭʿuntāḵ|ܛܵܥܘܿܢܬܵܘܟ݂ܘܿܢ|ṭʿuntāwḵon|ܛܵܥܘܿܢܬܘܼܟ݂|ṭāʿonyātāḵ|ܛܵܥܘܿܢܬܲܢ|ܛܵܥܘܿܢܝܵܬܝܼ̈|ṭʿunyātī|ܛܥܘܼܢܝܵܬ̈ܘܿܗ̇|ṭāʿonyāthon|ṭʿunyātuḵ|ܛܵܥܘܿܢܝܵܬܹܘܼ̈ܗܝ|ṭʿunyātē|ṭāʿonyātēyuh|ṭʿuntoh|ܛܥܘܼܢܬܹܗ|ṭʿunyātēyuh|ܛܵܥܘܿܢܝܵܬܘܼ̈ܟ݂|ܛܵܥܘܿܢܝܵܬܵܘ̈ܟ݂ܘܿܢ|ṭʿunthon|ܛܵܥܘܿܢܝܵܬܵܟ݂ܝ̈|ܛܥܘܼܢܝܵܬܘܼ̈ܟ݂|ܛܥܘܼܢܬܝܼ|ܛܵܥܘܿܢܝܵܬܲܢ̈|ṭʿunyātāwḵon|ܛܥܘܼܢܬܵܟ݂ܝ|ܛܵܥܘܿܢܬܹܗ|ṭāʿonat|ܛܵܥܘܿܢܬܵܐ|ܛܵܥܘܿܢܝܵܬ̈ܘܿܗ̇|ṭʿunyātoh|ܛܵܥܘܿܢܬܘܿܗ̇|ṭāʿonyātan|ܛܥܘܼܢܝܵܬܵܘ̈ܟ݂ܘܿܢ|ṭāʿontēh|ṭāʿontā|ܛܥܘܼܢܝܵܬܝܼ̈|ܛܥܘܼܢܝܵܬܗ̈ܘܿܢ|ṭāʿontāḵ|ṭāʿonyāt|ṭāʿontoh|ܛܥܘܼܢܬܘܼܟ݂|ṭāʿontāwḵon|ܛܥܘܼܢܝܵܬܲܢ̈|ṭāʿonyātē|ܛܥܘܼܢܬܘܿܗ̇|ṭāʿontuḵ|ܛܥܘܼܢܝܵܬܹ̈ܐ|ܛܵܥܘܿܢܝܵܬܗ̈ܘܿܢ|ṭʿunyātan|ṭāʿontī|ܛܵܥܘܿܢܬܗܘܿܢ|ṭāʿonyātāwḵon|ṭāʿonyātoh|ṭʿunat|ṭʿuntēh|ṭāʿonthon|ܛܥܘܼܢܝܵܬܹܘܼ̈ܗܝ|ṭāʿonyātī|ܛܥܘܼܢܬܵܐ|ṭʿunyātāḵ|ܛܵܥܘܿܢܲܬ|ṭʿunyāt|ܛܵܥܘܿܢܬܵܟ݂ܝ|ܛܥܘܼܢܬܲܢ|ܛܵܥܘܿܢܝܵܬ̈|ṭʿunyāthon|ܛܥܘܼܢܬܗܘܿܢ|ܛܥܘܼܢܲܬ|ܛܵܥܘܿܢܬܝܼ|ṭʿuntī|ṭʿuntuḵ|ܛܥܘܼܢܝܵܬܵܟ݂ܝ̈	<i>noun</i><br><ol><li>fruit: the sweet and fleshy product of a tree or other plant that contains seed and can be eaten as food.</li><li>truck, lorry: Motor vehicle designed for carrying cargo.</li></ol>
ܛܥܝܡܐ|ܛܲܥܝܼܡܵܐ|ṭaʿīmā|ܛܲܥܝܼܡܬܵܐ|ܛܲܥܝܼܡܹ̈ܐ	<i>adj</i><br><ol><li>tasty (having a pleasant taste)</li></ol>
