Ahadi|Ahad	<i>name</i><br><ol><li>Sunday</li></ol>
mahodo|mimahodo|yomahodo|omahodo|nimahodo|imahodo|fomahodo|tomahodo|nomahodo|momahodo	<i>verb</i><br><ol><li>bathe</li></ol>
mai	<i>adv</i><br><ol><li>even</li></ol>
malam	<i>noun</i><br><ol><li>night, evening</li></ol>
malam elaela	<i>noun</i><br><ol><li>the night of Laylatul Qadr</li><li>the Ternatean celebration held that night, in which bamboo (originally banana-stem) torches are lit after tarawih and burned throughout the night</li></ol>
malo|mimalo|imalo|tomalo|momalo|yomalo|omalo|nimalo|nomalo|fomalo	<i>verb</i><br><ol><li>(impersonal) to not exist</li><li>(impersonal) to not have</li><li>(intransitive) to not exist</li></ol>
mancia	<i>noun</i><br><ol><li>a person</li><li>people</li></ol>
mango|momango|nomango|omango|imango|fomango|tomango|mimango|nimango|yomango	<i>verb</i><br><ol><li>(stative) to be sharp</li></ol>
mau|nomau|omau|mimau|yomau|momau|tomau|fomau|nimau|imau	<i>verb</i><br><ol><li>(transitive) to want</li></ol>
mawu|yomawu|imawu|mimawu|tomawu|momawu|nimawu|fomawu|omawu|nomawu	<i>verb</i><br><ol><li>(transitive) alternative form of mau (“to want”)</li></ol>
mia	<i>noun</i><br><ol><li>monkey</li></ol>
mina|mi|mo|مين	<i>pron</i><br><ol><li>(feminine) third-person singular pronoun, she</li></ol>
miri	<i>noun</i><br><ol><li>the gall bladder</li></ol>
modiri	<i>adv</i><br><ol><li>the day after tomorrow</li></ol>
modiri lobi	<i>adv</i><br><ol><li>the night of the day after tomorrow</li></ol>
mokumoku	<i>noun</i><br><ol><li>the waves (of the ocean, etc.)</li></ol>
mou|tomou|omou|fomou|momou|mimou|yomou|nomou|imou|nimou	<i>verb</i><br><ol><li>(stative) to be mute</li></ol>
musi|omusi|tomusi|imusi|yomusi|fomusi|nomusi|nimusi|mimusi|momusi	<i>verb</i><br><ol><li>(auxiliary) to be necessary, must</li></ol>
nanasi|nunasi|nasi	<i>noun</i><br><ol><li>pineapple</li></ol>
ne	<i>det</i><br><ol><li>(proximal) this, these</li></ol><br><i>pron</i><br><ol><li>(demonstrative) this</li></ol>
ngana|ڠان|no|ni	<i>pron</i><br><ol><li>second-person singular pronoun, you</li></ol>
ngitu|ningitu|yongitu|tongitu|ongitu|fongitu|mongitu|mingitu|nongitu|ingitu	<i>verb</i><br><ol><li>(intransitive) to think (to guess; to reckon)</li></ol>
ngofa	<i>noun</i><br><ol><li>child</li><li>person of certain origin</li></ol>
ngofajaro|ri|فجارو|to	<i>pron</i><br><ol><li>(very formal, feminine) Alternative form of ngofajaru (“I”)</li></ol>
ngofajaru|ri|فجارو|to	<i>pron</i><br><ol><li>(very formal, feminine) first-person singular pronoun, I</li></ol>
ngofangare|ri|to|ڠفڠاري	<i>noun</i><br><ol><li>a collective name for men who hold the title of jurutulis, ofsir, and soseba</li></ol><br><i>pron</i><br><ol><li>(very formal, masculine) first-person singular pronoun, I</li></ol>
ngomi|mi|mia|ڠومي	<i>pron</i><br><ol><li>first-person plural exclusive pronoun, we</li><li>the damselfish (Pomacentrus)</li></ol>
ngon|na|ni|no	<i>pron</i><br><ol><li>(formal) Alternative form of ngoni (“you (singular)”)</li></ol>
ngone|na|fo|nga|ڠوني	<i>pron</i><br><ol><li>first-person plural inclusive pronoun, we</li></ol>
ngoni|no|na|ڠوني|ni|ngon	<i>pron</i><br><ol><li>second-person plural pronoun, you all</li><li>(formal) second-person singular pronoun, you</li></ol>
ngori|ri|to|ڠوري	<i>pron</i><br><ol><li>first-person singular pronoun, I</li></ol>
ngoto|ri	<i>pron</i><br><ol><li>first-person singular pronoun, I</li></ol>
ngunu|ngun	<i>noun</i><br><ol><li>nose</li></ol>
nguti	<i>noun</i><br><ol><li>a mouse, rat</li></ol>
niscaya|نيسچاي	<i>adv</i><br><ol><li>certainly, undoubtedly</li></ol>
nita|fonita|yonita|onita|monita|ninita|nonita|minita|tonita|inita|نيته	<i>noun</i><br><ol><li>daylight</li></ol><br><i>verb</i><br><ol><li>(stative) to be light, lit, daylit</li><li>(stative) to be bright</li></ol>
nitaika|ntaika|antaika|nantaika	<i>noun</i><br><ol><li>morning</li></ol><br><i>adv</i><br><ol><li>in the morning</li></ol>
nyabo	<i>noun</i><br><ol><li>a wound</li></ol>
nyagi	<i>noun</i><br><ol><li>a debt</li></ol>
nyala|minyala|inyala|fonyala|nonyala|ninyala|monyala|yonyala|tonyala|onyala	<i>verb</i><br><ol><li>(intransitive) to scatter</li></ol>
nyanyi|onyanyi|inyanyi|tonyanyi|nonyanyi|monyanyi|yonyanyi|fonyanyi|minyanyi|ninyanyi	<i>verb</i><br><ol><li>(intransitive) to sing</li></ol>
nyao|ڽاو	<i>noun</i><br><ol><li>a fish</li></ol>
nyare	<i>noun</i><br><ol><li>coral reef</li></ol>
nyata|inyata|tonyata|nonyata|monyata|yonyata|fonyata|ninyata|onyata|minyata	<i>verb</i><br><ol><li>(stative) to be clear</li></ol>
nyawa	<i>noun</i><br><ol><li>the soul</li></ol>
nyefo|nyofo	<i>noun</i><br><ol><li>smoke</li></ol>
nyele|nonyele|onyele|monyele|fonyele|inyele|minyele|yonyele|tonyele|ninyele	<i>verb</i><br><ol><li>(stative) to be noisy</li></ol>
nyemo|onyemo|fonyemo|yonyemo|tonyemo|monyemo|inyemo|ninyemo|nonyemo|minyemo	<i>verb</i><br><ol><li>(transitive) to say</li></ol>
nyifi|nonyifi|monyifi|ninyifi|onyifi|inyifi|fonyifi|tonyifi|yonyifi|minyifi	<i>verb</i><br><ol><li>(transitive) to sharpen</li></ol>
nyigu|yonyigu|tonyigu|inyigu|nonyigu|fonyigu|onyigu|minyigu|monyigu|ninyigu	<i>verb</i><br><ol><li>to clear land</li></ol>
nyiha	<i>noun</i><br><ol><li>the kenari (Canarium ovatum)</li><li>leftovers, remains</li></ol>
nyihi|tonyihi|inyihi|ninyihi|monyihi|nonyihi|yonyihi|onyihi|minyihi|fonyihi	<i>verb</i><br><ol><li>(transitive) to chase</li></ol>
nyiho	<i>noun</i><br><ol><li>(anatomy) the lap</li></ol>
nyinga|yonyinga|inyinga|tonyinga|fonyinga|minyinga|onyinga|nonyinga|monyinga|ninyinga	<i>noun</i><br><ol><li>heart</li><li>liver</li></ol><br><i>verb</i><br><ol><li>(transitive) to remember</li><li>(transitive) to like</li></ol>
nyinga susa	<i>verb</i><br><ol><li>(transitive, intransitive) to be troubled</li></ol>
nyira	<i>noun</i><br><ol><li>an elder</li></ol>
nyiru|tonyiru|yonyiru|monyiru|nonyiru|onyiru|minyiru|inyiru|fonyiru|ninyiru	<i>verb</i><br><ol><li>(transitive) to stir</li></ol>
nyoa	<i>noun</i><br><ol><li>the rays (Batoidea)</li></ol>
nyodi|nonyodi|tonyodi|fonyodi|monyodi|minyodi|onyodi|yonyodi|ninyodi|inyodi	<i>verb</i><br><ol><li>(intransitive) to look</li></ol>
nyoga|tonyoga|nonyoga|fonyoga|inyoga|yonyoga|monyoga|minyoga|onyoga|ninyoga	<i>verb</i><br><ol><li>(stative) to be very high</li></ol>
nyonyau	<i>noun</i><br><ol><li>a kind of fishing tool</li></ol>
nyonyifi	<i>noun</i><br><ol><li>a whetstone, grindstone</li></ol>
nyonyodi	<i>noun</i><br><ol><li>a view</li></ol>
nyonyohi|tonyonyohi|inyonyohi|nonyonyohi|fonyonyohi|onyonyohi|monyonyohi|ninyonyohi|minyonyohi|yonyonyohi	<i>verb</i><br><ol><li>(transitive) to heed</li></ol>
ofu|ؤفو	<i>noun</i><br><ol><li>bee, wasp, honeybee</li></ol>
oke|nooke|ooke|mioke|yooke|ioke|nioke|tooke|fooke|mooke	<i>verb</i><br><ol><li>drink</li></ol>
om|yoom|niom|toom|noom|moom|oom|miom|iom|foom	<i>verb</i><br><ol><li>(stative) alternative form of omu (“ripe”)</li></ol>
omu|toomu|noomu|miomu|yoomu|foomu|moomu|oomu|niomu|iomu	<i>verb</i><br><ol><li>(stative) to be ripe</li></ol>
ori	<i>noun</i><br><ol><li>turtle, tortoise</li></ol>
oti	<i>noun</i><br><ol><li>canoe</li></ol>
paji	<i>noun</i><br><ol><li>a kind of flag, banner</li></ol>
pamarenta	<i>noun</i><br><ol><li>government</li></ol>
papaa	<i>noun</i><br><ol><li>a frog</li></ol>
pasi	<i>noun</i><br><ol><li>sandbank</li></ol>
peda pesu	<i>noun</i><br><ol><li>a sickle</li></ol>
pete	<i>noun</i><br><ol><li>eye mucus, sleep, gound, rheum</li></ol>
pilo|opilo|ipilo|mopilo|yopilo|mipilo|nopilo|fopilo|nipilo|topilo	<i>verb</i><br><ol><li>(stative) to be blind</li></ol>
pipi	<i>noun</i><br><ol><li>money</li></ol>
piri	<i>noun</i><br><ol><li>a plate</li></ol>
piring	<i>noun</i><br><ol><li>a small plate</li></ol>
poha|opoha|topoha|yopoha|mopoha|ipoha|nipoha|fopoha|mipoha|nopoha	<i>verb</i><br><ol><li>endure</li></ol>
ponoso|miponoso|foponoso|iponoso|yoponoso|oponoso|niponoso|noponoso|toponoso|moponoso	<i>verb</i><br><ol><li>(stative) to have a flat nose</li></ol>
posiposi|ڤوسي ڤوسي	<i>noun</i><br><ol><li>mangrove trees of the genus Sonneratia</li></ol>
putra|ڤترا	<i>noun</i><br><ol><li>a prince</li></ol>
raai|toraai|moraai|yoraai|niraai|iraai|foraai|noraai|oraai|miraai	<i>verb</i><br><ol><li>(transitive) to guard carefully</li></ol>
raba|foraba|yoraba|miraba|moraba|iraba|niraba|toraba|noraba|oraba	<i>verb</i><br><ol><li>(transitive) to seize, confiscate</li></ol>
rabana	<i>noun</i><br><ol><li>the rebana</li></ol>
raca|niraca|moraca|iraca|noraca|oraca|toraca|miraca|yoraca|foraca	<i>verb</i><br><ol><li>(stative) to be torn</li></ol>
raci	<i>noun</i><br><ol><li>poison</li></ol>
radis	<i>noun</i><br><ol><li>radish</li></ol>
raga|miraga|toraga|niraga|foraga|noraga|iraga|oraga|yoraga|moraga	<i>verb</i><br><ol><li>(intransitive) to open the hand</li></ol>
ragaraga	<i>noun</i><br><ol><li>a digit (a finger or toe)</li></ol>
ragaraga ici	<i>noun</i><br><ol><li>the little finger, the pinkie</li></ol>
ragaraga istinja|راݢه راݢه إستينجه	<i>noun</i><br><ol><li>the middle finger</li><li>the ring finger</li></ol>
ragaraga konora	<i>noun</i><br><ol><li>the middle finger</li></ol>
ragaraga lamo	<i>noun</i><br><ol><li>the thumb</li></ol>
ragaraga mahera	<i>noun</i><br><ol><li>the thumb</li></ol>
ragerage	<i>noun</i><br><ol><li>a twig</li></ol>
rairai	<i>noun</i><br><ol><li>the ox knee (Achyranthes bidentata)</li></ol>
rajabau	<i>noun</i><br><ol><li>the fish Plectorhinchus lessonii or Plectorhinchus vittatus</li></ol>
raka|noraka|foraka|oraka|iraka|niraka|toraka|miraka|yoraka|moraka	<i>noun</i><br><ol><li>husband</li></ol><br><i>verb</i><br><ol><li>(stative) to be funny</li></ol>
raki	<i>noun</i><br><ol><li>a plantation</li></ol>
rako|forako|irako|norako|torako|orako|mirako|yorako|nirako|morako	<i>verb</i><br><ol><li>(transitive) to plait</li></ol>
raku|foraku|miraku|toraku|iraku|moraku|niraku|oraku|noraku|yoraku	<i>verb</i><br><ol><li>(intransitive) to fold</li><li>(transitive) to fold</li></ol>
ram|yoram|niram|miram|iram|noram|oram|foram|toram|moram	<i>verb</i><br><ol><li>(transitive) to wipe with both hands</li></ol>
rambega	<i>noun</i><br><ol><li>the crown flower (Calotropis gigantea)</li></ol>
rambuta	<i>noun</i><br><ol><li>the rambutan</li></ol>
rame|orame|irame|morame|nirame|yorame|mirame|forame|norame|torame	<i>verb</i><br><ol><li>(stative) to be lively</li></ol><br><i>noun</i><br><ol><li>liveliness</li></ol>
rangi|morangi|yorangi|forangi|mirangi|torangi|nirangi|orangi|irangi|norangi	<i>verb</i><br><ol><li>(transitive) to coil around</li></ol>
rano|nirano|morano|norano|yorano|mirano|orano|torano|forano|irano	<i>verb</i><br><ol><li>(stative) to be cold, cool</li></ol>
rantaka	<i>noun</i><br><ol><li>a lantaka, rentaka</li></ol>
rante	<i>noun</i><br><ol><li>a chain</li></ol>
rapi	<i>noun</i><br><ol><li>a sarong</li></ol>
rapu|yorapu|mirapu|forapu|norapu|morapu|orapu|nirapu|irapu|torapu	<i>verb</i><br><ol><li>(transitive) to slap</li></ol>
rararara|forararara|nirararara|mirararara|norararara|torararara|orararara|yorararara|morararara|irararara	<i>verb</i><br><ol><li>(stative) to be very quiet</li></ol>
raru	<i>noun</i><br><ol><li>sago mould, sago bread</li></ol>
rasai	<i>noun</i><br><ol><li>a feeling</li></ol>
rata|yorata|irata|mirata|torata|morata|forata|nirata|orata|norata	<i>verb</i><br><ol><li>(stative) to be smooth</li></ol>
rato|راتو	<i>noun</i><br><ol><li>a gust of wind</li><li>a storm</li></ol>
rau|راوو|rawu	<i>noun</i><br><ol><li>leaf</li></ol>
rau kofiri	<i>noun</i><br><ol><li>the plant Kalanchoe pinnata</li><li>the plant Tadehagi triquetrum</li></ol>
rehe	<i>noun</i><br><ol><li>flesh</li><li>meat</li><li>body</li></ol>
rei|morei|orei|torei|norei|nirei|forei|mirei|yorei|irei	<i>verb</i><br><ol><li>(stative) to be lined up</li></ol>
reka|foreka|nireka|toreka|yoreka|moreka|oreka|noreka|ireka|mireka	<i>verb</i><br><ol><li>(stative) to be apart</li></ol>
rengke|torengke|irengke|orengke|mirengke|morengke|norengke|forengke|yorengke|nirengke	<i>verb</i><br><ol><li>(stative) to be very thin</li></ol>
reno|yoreno|ireno|nireno|moreno|noreno|mireno|foreno|toreno|oreno	<i>verb</i><br><ol><li>(transitive) to gnaw</li></ol>
reo|toreo|noreo|moreo|yoreo|nireo|oreo|foreo|mireo|ireo	<i>verb</i><br><ol><li>(transitive) to make something smooth</li></ol>
repa|nirepa|torepa|morepa|yorepa|norepa|orepa|irepa|forepa|mirepa	<i>verb</i><br><ol><li>(intransitive) to split, crack</li></ol>
rete|norete|torete|forete|yorete|nirete|irete|orete|morete|mirete	<i>verb</i><br><ol><li>(transitive) to stack up, pile, layer</li></ol>
ria|yoria|foria|niria|miria|moria|iria|noria|oria|toria	<i>verb</i><br><ol><li>(transitive) to admonish</li></ol>
rica	<i>noun</i><br><ol><li>the chili pepper</li></ol>
rica jawa	<i>noun</i><br><ol><li>black pepper</li></ol>
riha|noriha|toriha|miriha|yoriha|oriha|foriha|niriha|iriha|moriha	<i>verb</i><br><ol><li>(stative) to be aflame</li><li>(stative) to be red</li></ol><br><i>noun</i><br><ol><li>a flame</li><li>the color red</li></ol>
riki|miforiki|oforiki|moriki|niriki|yoriki|noforiki|toriki|iriki|niforiki|iforiki|oriki|miriki|noriki|yoforiki|foriki|toforiki|foforiki|moforiki	<i>verb</i><br><ol><li>(stative) to be close together</li><li>(transitive) to attain</li><li>(transitive) to reach</li><li>(transitive) to seize</li><li>(transitive) to know, to gain knowledge of</li></ol>
rio|nirio|orio|yorio|torio|morio|forio|irio|norio|mirio	<i>verb</i><br><ol><li>(stative) to help, assist</li></ol>
ripo|noripo|foripo|toripo|moripo|oripo|iripo|niripo|miripo|yoripo	<i>verb</i><br><ol><li>(intransitive) to burst</li></ol>
riri|miriri|noriri|yoriri|oriri|moriri|toriri|iriri|niriri|foriri	<i>verb</i><br><ol><li>(transitive) to kick</li></ol>
rofu|orofu|mirofu|nirofu|yorofu|forofu|torofu|morofu|irofu|norofu	<i>verb</i><br><ol><li>(transitive) to pull out, remove, extract</li><li>(transitive) to slam down</li></ol>
rogi|forogi|norogi|morogi|irogi|yorogi|torogi|nirogi|orogi|mirogi	<i>verb</i><br><ol><li>(stative) to be chipped</li></ol>
rogu	<i>noun</i><br><ol><li>a commotion</li></ol>
rok	<i>noun</i><br><ol><li>a skirt</li></ol>
roka|toroka|oroka|niroka|miroka|foroka|iroka|yoroka|noroka|moroka	<i>verb</i><br><ol><li>(transitive) to pass by, pass over</li></ol>
ronga	<i>noun</i><br><ol><li>name</li></ol>
rongge|yorongge|forongge|irongge|torongge|morongge|nirongge|orongge|norongge|mirongge	<i>verb</i><br><ol><li>(intransitive) to dance</li></ol>
roraka|mororaka|iroraka|yororaka|niroraka|ororaka|fororaka|miroraka|tororaka|nororaka	<i>verb</i><br><ol><li>(stative) to be reluctant</li><li>(stative) to be ticklish</li></ol>
rorako	<i>noun</i><br><ol><li>the plant Ormocarpum sennoides</li></ol>
rorano	<i>noun</i><br><ol><li>a class of traditional Moluccan medicines generally made from a variety of leaves, herbs, barks, and roots, mashed together and boiled in water</li></ol>
rorasa	<i>noun</i><br><ol><li>a feeling</li></ol>
rore	<i>noun</i><br><ol><li>gravel</li><li>foxtail millet (Setaria italica)</li></ol>
rorebe|ororebe|mororebe|fororebe|tororebe|irorebe|mirorebe|nororebe|yororebe|nirorebe	<i>verb</i><br><ol><li>(intransitive) to compete</li><li>(intransitive) to race</li></ol>
roriha	<i>noun</i><br><ol><li>the color red</li></ol>
rorio	<i>noun</i><br><ol><li>mutual assistance, aid</li></ol>
rorumu|rorum	<i>noun</i><br><ol><li>looking-glass mangrove (Heritiera littoralis)</li></ol>
roso|iroso|foroso|moroso|noroso|toroso|miroso|yoroso|oroso|niroso	<i>verb</i><br><ol><li>(transitive) to rub</li></ol>
rotarota	<i>noun</i><br><ol><li>the vine Cissus repens</li></ol>
rua	<i>adv</i><br><ol><li>not anymore, no longer</li></ol>
ruahe|noruahe|niruahe|foruahe|oruahe|iruahe|moruahe|yoruahe|miruahe|toruahe	<i>verb</i><br><ol><li>(transitive) to stir, mix</li><li>(transitive) to disturb</li></ol>
ruam	<i>adv</i><br><ol><li>not anymore, no longer</li></ol>
ruba|moruba|miruba|toruba|oruba|niruba|iruba|foruba|noruba|yoruba	<i>verb</i><br><ol><li>(intransitive) to collapse</li></ol>
rube	<i>noun</i><br><ol><li>a water jar</li><li>the plant Pouzolzia zeylanica</li></ol>
ruci|oruci|iruci|yoruci|toruci|miruci|noruci|foruci|moruci|niruci	<i>verb</i><br><ol><li>(intransitive) to cheat (at a game, etc.)</li></ol>
rufu|orufu|torufu|norufu|yorufu|forufu|mirufu|irufu|nirufu|morufu	<i>verb</i><br><ol><li>(intransitive) to shut one's eyes</li></ol><br><i>noun</i><br><ol><li>the tree Trema orientalis</li></ol>
rugi|irugi|orugi|yorugi|torugi|morugi|nirugi|mirugi|norugi|forugi	<i>noun</i><br><ol><li>loss</li></ol><br><i>verb</i><br><ol><li>(transitive) to lose (an object, etc.)</li></ol>
rugo|norugo|orugo|forugo|nirugo|irugo|torugo|yorugo|mirugo|morugo	<i>verb</i><br><ol><li>(intransitive) to snore</li><li>(intransitive, of animals) to growl</li></ol>
ruheka	<i>noun</i><br><ol><li>phlegm, sputum</li></ol>
ruju|noruju|niruju|foruju|yoruju|toruju|miruju|oruju|moruju|iruju	<i>verb</i><br><ol><li>(transitive) to poke at</li><li>(transitive) to pierce</li><li>(transitive) to skewer</li></ol>
ruka|niruka|noruka|iruka|moruka|oruka|miruka|yoruka|foruka|toruka	<i>verb</i><br><ol><li>to wrench</li></ol>
ruki|oruki|noruki|miruki|yoruki|niruki|foruki|moruki|iruki|toruki	<i>verb</i><br><ol><li>(intransitive) to spin</li><li>(transitive) to line, to mark with a line</li></ol>
ruku|miruku|toruku|noruku|iruku|oruku|foruku|niruku|moruku|yoruku	<i>verb</i><br><ol><li>(intransitive) to bow</li></ol>
rumasake	<i>noun</i><br><ol><li>hospital</li></ol>
ruru|miruru|foruru|yoruru|iruru|niruru|toruru|noruru|oruru|moruru	<i>noun</i><br><ol><li>sago midrib</li><li>a leaf dustpan</li></ol><br><i>verb</i><br><ol><li>(intransitive) to drift</li></ol>
rurururu|mirurururu|yorurururu|morurururu|norurururu|orurururu|irurururu|nirurururu|forurururu|torurururu	<i>verb</i><br><ol><li>(stative) to be floating</li></ol>
rusu|torusu|irusu|morusu|orusu|forusu|norusu|yorusu|mirusu|nirusu	<i>verb</i><br><ol><li>to be crash a party</li></ol>
ruturutu|روتو روتو	<i>noun</i><br><ol><li>any of several species of Nepenthes</li></ol>
sababu|سبب|sabab	<i>conj</i><br><ol><li>because</li></ol>
sabandar|سهبندار	<i>noun</i><br><ol><li>the harbormaster, shahbandar</li></ol>
sabarara|isabarara|nisabarara|tosabarara|misabarara|nosabarara|fosabarara|yosabarara|mosabarara|osabarara	<i>verb</i><br><ol><li>(stative) to be arbitrary, high-handed</li></ol>
sabea|misabea|nosabea|nisabea|osabea|mosabea|fosabea|tosabea|isabea|yosabea	<i>verb</i><br><ol><li>(transitive, intransitive) to pray</li></ol>
sabeba	<i>noun</i><br><ol><li>a loincloth</li></ol>
sabeta	<i>noun</i><br><ol><li>sago grub, a grub or worm that grows on the sago plant</li></ol>
sabi	<i>noun</i><br><ol><li>a pair</li></ol>
sabong	<i>noun</i><br><ol><li>soap</li></ol>
sabua	<i>noun</i><br><ol><li>a hut</li></ol>
sado|osado|isado|nisado|tosado|nosado|misado|fosado|mosado|yosado	<i>verb</i><br><ol><li>(stative) to be complete, completed, finished</li></ol>
sadu|nosadu|yosadu|tosadu|fosadu|osadu|misadu|nisadu|isadu|mosadu	<i>verb</i><br><ol><li>(transitive) to scoop</li></ol>
safo|سافو	<i>noun</i><br><ol><li>a bowl</li><li>a cup</li></ol>
sagu|fosagu|nosagu|isagu|mosagu|nisagu|tosagu|yosagu|misagu|osagu	<i>verb</i><br><ol><li>(transitive) to stab, spear</li></ol>
sagusagu|ساݢو ساݢو	<i>noun</i><br><ol><li>a spear, lance, assegai</li></ol>
saha|ساه	<i>noun</i><br><ol><li>(inalienable) the underside or under-surface of something</li><li>(inalienable) the palm of the hand</li><li>(inalienable) the sole of the foot</li></ol>
sahada|سهادات|sahadat	<i>noun</i><br><ol><li>the forefinger</li></ol>
sahasaha|osahasaha|nosahasaha|isahasaha|yosahasaha|tosahasaha|mosahasaha|misahasaha|nisahasaha|fosahasaha	<i>verb</i><br><ol><li>(transitive) to carry in the palm of one's hand</li><li>(transitive) to carry in one's hands</li></ol><br><i>noun</i><br><ol><li>the plant Osmoxylon palmatum</li></ol>
sahe|misahe|nosahe|tosahe|nisahe|fosahe|mosahe|yosahe|isahe|osahe	<i>verb</i><br><ol><li>(stative) to be shallow</li><li>(transitive) to understand</li></ol>
sahinggasahingga	<i>adv</i><br><ol><li>forever</li></ol>
sahu|tosahu|misahu|isahu|fosahu|mosahu|yosahu|nosahu|ساهو|osahu|nisahu	<i>verb</i><br><ol><li>(stative) to be warm, hot</li></ol>
sai|osai|isai|misai|yosai|mosai|nisai|fosai|nosai|tosai	<i>verb</i><br><ol><li>(intransitve) to blow</li></ol>
saihu	<i>noun</i><br><ol><li>a plant in the genus Euodia</li><li>the captain of a fishing boat</li></ol>
saka|misaka|nosaka|fosaka|yosaka|isaka|osaka|tosaka|nisaka|mosaka	<i>verb</i><br><ol><li>(transitive) to thrust</li><li>(stative) to be almost bearing fruit</li></ol>
saki|yosaki|isaki|mosaki|osaki|nisaki|fosaki|misaki|tosaki|nosaki	<i>verb</i><br><ol><li>(stative) to be good-tasting, tasty, delicious</li><li>(stative) to be fragrant</li></ol>
sakisi|fosakisi|misakisi|tosakisi|osakisi|nisakisi|mosakisi|yosakisi|isakisi|nosakisi	<i>noun</i><br><ol><li>a witness</li></ol><br><i>verb</i><br><ol><li>(transitive) to witness</li></ol>
sako	<i>noun</i><br><ol><li>needlefish, fish in the family Belonidae</li><li>stalk, stem</li></ol>
sala|yosala|isala|misala|tosala|mosala|osala|nisala|fosala|nosala	<i>noun</i><br><ol><li>fault, mistake</li></ol><br><i>verb</i><br><ol><li>(stative) to be at fault</li><li>(stative) to be wrong, incorrect</li></ol>
salafidi|fosalafidi|misalafidi|nisalafidi|nosalafidi|tosalafidi|isalafidi|yosalafidi|osalafidi|mosalafidi	<i>verb</i><br><ol><li>(stative) to be leaning</li></ol>
salaika	<i>noun</i><br><ol><li>a thing</li></ol>
salak	<i>noun</i><br><ol><li>the salak (Salacca zalacca)</li></ol>
salaka	<i>noun</i><br><ol><li>silver</li></ol>
salamadaji	<i>noun</i><br><ol><li>starfish (Asteroidea)</li></ol>
salawako	<i>noun</i><br><ol><li>a shield</li></ol>
salese|isalese|osalese|fosalese|tosalese|mosalese|yosalese|misalese|nisalese|nosalese	<i>verb</i><br><ol><li>(stative) to be sprained</li></ol>
salimuli|ساليمولي	<i>noun</i><br><ol><li>the tree Cordia subcordata</li></ol>
salo	<i>noun</i><br><ol><li>resin</li><li>a resin-torch</li></ol>
sama|sama|سامه	<i>noun</i><br><ol><li>the outrigger (of a proa, etc.)</li><li>a crocodile</li></ol>
samaka	<i>noun</i><br><ol><li>watermelon</li></ol>
samaka furu	<i>noun</i><br><ol><li>the tiger's footprint (Ipomoea pes-tigridis</li></ol>
samasama	<i>noun</i><br><ol><li>the variegated lizardfish (Synodus variegatus)</li></ol>
sambiki	<i>noun</i><br><ol><li>the calabash, bottle gourd (Lagenaria siceraria)</li></ol>
same	<i>noun</i><br><ol><li>the tree Trema amboinensis</li></ol>
sanang|nisanang|nosanang|osanang|yosanang|tosanang|mosanang|fosanang|misanang|isanang	<i>verb</i><br><ol><li>(stative) to be happy</li><li>(stative) to be enjoyable</li></ol>
sandal	<i>noun</i><br><ol><li>sandal</li></ol>
sandrei	<i>noun</i><br><ol><li>celery</li></ol>
sanga|nisanga|isanga|misanga|fosanga|nosanga|yosanga|mosanga|osanga|tosanga	<i>verb</i><br><ol><li>(stative) to be stranded</li></ol>
sangaji|سڠاج	<i>noun</i><br><ol><li>(historical) A vassal chief subordinate to the sultan, held by noblemen in the Ternate and Tidore sultanates and kingdoms in their periphery</li></ol>
sangkari|سڠکاري|mosangkari|fosangkari|nisangkari|isangkari|nosangkari|yosangkari|misangkari|tosangkari|osangkari	<i>verb</i><br><ol><li>(stative) to be sweet</li></ol><br><i>noun</i><br><ol><li>Citrus × sinensis, the sweet oranges</li></ol>
sangkole|سڠکولي|sangkola	<i>noun</i><br><ol><li>a pear-shaped basket used to carry produce (fruit, vegetables, etc.), traditionally woven from the leaves of the areng palm (Arenga pinnata)</li><li>the kue suami, a sweet made of sweet potatoes, formed in the shape of the sangkole basket</li></ol>
sango|nisango|fosango|yosango|isango|mosango|ساڠو|misango|tosango|nosango|osango	<i>verb</i><br><ol><li>(intransitive) to answer, reply</li></ol>
sangosango|isangosango|osangosango|fosangosango|misangosango|tosangosango|nisangosango|nosangosango|mosangosango|yosangosango	<i>verb</i><br><ol><li>to quarrel, bicker</li></ol>
sangusangu	<i>noun</i><br><ol><li>whale</li></ol>
sanoto|isanoto|tosanoto|misanoto|nisanoto|fosanoto|mosanoto|osanoto|nosanoto|yosanoto	<i>verb</i><br><ol><li>(transitive) to sculpt</li></ol>
sapi	<i>noun</i><br><ol><li>cow</li></ol>
sara|nosara|nisara|mosara|isara|tosara|yosara|fosara|misara|osara	<i>noun</i><br><ol><li>south</li><li>a twin</li></ol><br><i>verb</i><br><ol><li>(transitive) to light, ignite</li><li>(intransitive) to burn</li><li>(transitive) to take or carry something over (a body of water, etc.)</li></ol>
saraa	<i>noun</i><br><ol><li>an imam</li></ol>
saragi	<i>noun</i><br><ol><li>a gong</li></ol>
sarangati|osarangati|nosarangati|yosarangati|fosarangati|tosarangati|mosarangati|isarangati|misarangati|nisarangati	<i>verb</i><br><ol><li>(stative) to be angry</li></ol>
saraweta	<i>noun</i><br><ol><li>napkin, serviette</li></ol>
