13.	<i>adj</i><br><ol><li>13th</li></ol>
leita|leita!|leitað|leitandi|leitaður|leiti|leitar|leitið!|leitaði|leitaðu	<i>verb</i><br><ol><li>to seek, to search</li></ol>
leitan|leitanarinnar|leitanunum|leitana|leitanum|leitanin|leitanir|leitanirnar|leitananna|leitanini|leitanina|leitanar	<i>noun</i><br><ol><li>searching</li></ol>
leiting|leitingini|leitingin|leitingarinnar|leitingarnar|leitingunum|leitinganna|leitingina|leitingum|leitinga|leitingar	<i>noun</i><br><ol><li>search, searching</li></ol>
leivur|leivinum|leivsins|leiva|leivanna|leivurin|leiv|leivum|leivunum|leivar|leivin|leivarnar|leivarnir|leivi|leivs	<i>noun</i><br><ol><li>a lump of cudbear (Ochrolechia tartarea)</li><li>an oblong bun, similar to drýlur</li></ol>
leið|leiðir|leiðirnar|leiðarinnar|leiðanna|leiðin|leiðunum|leiðum|leiðar|leiða|leiðini|leiðina	<i>noun</i><br><ol><li>way, road, course, track</li><li>route (of a bus, ferry, etc.)</li></ol>
leiða|leiðir|leiddur|leiðið!|leiðandi|leiddu|leiddi|leið!|leitt|leiði	<i>verb</i><br><ol><li>to lead</li><li>to bore</li></ol>
leiðsla|leiðslur|leiðslan|leiðslanna|leiðslunnar|leiðslurnar|leiðsluna|leiðslu|leiðsluni|leiðslum|leiðslunum	<i>noun</i><br><ol><li>management, leadership</li><li>(sports) lead</li></ol>
leka|lek|lekið!|lekandi|lóku|likið|leki|likin|lek!|lak|lekur|lakst	<i>verb</i><br><ol><li>to leak</li></ol>
lekkur	<i>adj</i><br><ol><li>(slang) phat, sexy</li></ol>
lemja|lamdur|lamdi|lamdu|lem!|lemji|lamt|lemur|lemjið!|lemjandi	<i>verb</i><br><ol><li>to lame</li></ol>
lenda|lent|lendu|lendir|lendur|lendið!|lend!|lendandi|lendi	<i>verb</i><br><ol><li>(nautical) to land</li><li>(aviation) to land</li></ol>
lendi|lendini|lenda|lendanna|lendis|lendir|lendnum|lendinum|lendum|lendisins|lendunum|lendið	<i>noun</i><br><ol><li>sort of land, ground, surface of a landscape, country</li></ol>
lesa|lesi|lisin|las|lesið!|lesur|last|les!|lesandi|lisið|lósu	<i>verb</i><br><ol><li>to read</li><li>to pray</li><li>to study (university)</li></ol>
lesarabræv|læsarabrævsins|læsarabrøvunum|læsarabrøv|lesarabrævs|læsarabrævanna|læsarabrævinum|læsarabrøvum|læsarabræva|læsarabrævi|læsarabrøvini|læsarabrævs|læsarabræv|lesarabrøv|læsarabrævið	<i>noun</i><br><ol><li>letter to the editor</li></ol>
leti|letina|letini|letinnar|letin	<i>noun</i><br><ol><li>laziness</li></ol>
lettiskur	<i>adj</i><br><ol><li>Latvian (pertaining to Latvia)</li></ol>
letur	<i>verb</i><br><ol><li>you let, he/she/it lets; 2nd and 3rd person singular present of lata (to let)</li><li>you utter/voice, he/she/it utters/voices; 2nd and 3rd person singular present of láta (to utter)</li></ol>
leygardagur|leygardøgunum|leygardaga|leygardøgum|leygardag|leygardaganna|leygardegi|leygardagarnar|leygardagar|leygardags|leygardagurin|leygardegnum|leygardagin|leygardagarnir|leygardagsins	<i>noun</i><br><ol><li>Saturday</li></ol>
leygarkvøld|leygarkvøldsins|leygarkvøldum|leygarkvøldunum|leygarkvøldi|leygarkvøldinum|leygarkvølda|leygarkvøldini|leygarkvøldanna|leygarkvølds|leygarkvøldið	<i>noun</i><br><ol><li>Saturday evening</li></ol>
leykur|leykanna|leykunum|leykirnir|leykurin|leykum|leykir|leyk|leykin|leyksins|leykinum|leyki|leyka|leyks|leykirnar	<i>noun</i><br><ol><li>any plant of the genus Allium — the onions (chives, leek, garlic etc.)</li></ol>
leypa|lopin|leypst|leypandi|leyp!|lopið|lupu|leypið!|leypi|loypur|leyp	<i>verb</i><br><ol><li>to run</li><li>to jump</li></ol>
leypár|leypárs|leypárum|leypársins|leypári|leypárinum|leypáranna|leypárið|leypárini|leypára|leypárunum	<i>noun</i><br><ol><li>leap year</li></ol>
leysur|leysir|leysan|leysari|leysa|leysastur|leys|leysum|leysar/ leysrar|leyst|leysa/ leysra|leysar	<i>adj</i><br><ol><li>loose</li><li>free</li><li>untethered</li></ol>
leyv|leyvs|leyvið|leyvsins|leyvinum|leyvi	<i>noun</i><br><ol><li>leaves, foliage (The leaves of trees and shrubs)</li><li>a leaf</li></ol>
leyva|leyvunum|leyvu|leyvan|leyvanna|leyvum|leyvur|leyvunnar|leyvuni|leyvurnar|leyvuna	<i>noun</i><br><ol><li>lion (Panthera leo)</li></ol>
leyvfellandi	<i>adj</i><br><ol><li>deciduous</li></ol>
leyvfellandi runnur	<i>noun</i><br><ol><li>deciduous bush, deciduous shrub</li></ol>
leyvfroskur|leyvfroskar|leyvfroskurin|leyvfrosk|leyvfroskunum|leyvfrosksins|leyvfroska|leyvfrosks|leyvfroskum|leyvfroskin|leyvfroskanna|leyvfroskinum|leyvfroski|leyvfroskarnir|leyvfroskarnar	<i>noun</i><br><ol><li>tree frog (a frog belonging to the taxonomic family Hylidae)</li></ol>
leyvsblað|leyvsbløðum|leyvsbløðini|leyvsblaðanna|leyvsbløð|leyvsblaði|leyvsblaðsins|leyvsblaðnum|leyvsblaðs|leyvsblaða|leyvsblaðinum|leyvsblaðið|leyvsbløðunum	<i>noun</i><br><ol><li>leaf (of a tree)</li></ol>
leyvtræ|leyvtræið|leyvtræa|leyvtrøunum|leyvtræinum|leyvtræi|leyvtræanna|leyvtrøum|leyvtrø|leyvtræs|leyvtrøini|leyvtræsins	<i>noun</i><br><ol><li>deciduous tree</li></ol>
leður|leðurs|leðrum|leðrini|leðrinum|leðri|leðrunum|leðursins|leðra|leðrið|leðranna	<i>noun</i><br><ol><li>leather</li></ol>
leðurbløka|leðurbløkan|leðurbløkunnar|leðurbløku|leðurbløkuni|leðurbløkurnar|leðurbløkanna|leðurbløkuna|leðurbløkum|leðurbløkur|leðurbløkunum	<i>noun</i><br><ol><li>(zoology) bat</li></ol>
liberalisma|liberalismunnar|liberalisman|liberalismuna|liberalismu|liberalismuni	<i>noun</i><br><ol><li>liberalism</li></ol>
liggja|ligið|liggið!|lá|liggur|liggi|ligin|liggjandi|lást|lógu|ligg!	<i>verb</i><br><ol><li>to lie (on a bed etc.)</li></ol>
liggur	<i>verb</i><br><ol><li>you lie, he/she/it lies, 2nd and 3rd person singular present of liggja (to lie)</li></ol>
likka|likkanna|likkunnar|likkan|likkuni|likkurnar|likkuna|likkur|likkunum|likku|likkum	<i>noun</i><br><ol><li>lesser black-backed gull (Larus fuscus)</li></ol>
lilja|liljurnar|liljur|liljunnar|liljum|liljanna|liljunum|liljan|liljuni|lilju|liljuna	<i>noun</i><br><ol><li>(botany) lily</li><li>(poetic) woman</li></ol>
limafundur|limafundanna|limafundinum|limafundar|limafundurin|limafundarins|limafundirnar|limafundunum|limafundir|limafundin|limafundi|limafundirnir|limafund|limafundum|limafunda	<i>noun</i><br><ol><li>meeting of members</li></ol>
limakort|limakortunum|limakortanna|limakortsins|limakortini|limakortum|limakortið|limakorta|limakorti|limakorts|limakortinum	<i>noun</i><br><ol><li>membership card</li></ol>
limaskapur|limaskapirnir|limaskapin|limaskapi|limaskapunum|limaskapa|limaskapar|limaskapurin|limaskapinum|limaskapirnar|limaskapanna|limaskapum|limaskaparins|limaskapir|limaskap	<i>noun</i><br><ol><li>membership</li></ol>
limur|limin|limarins|limirnir|limunum|limurin|limum|limanna|lima|limirnar|limi|limar|liminum|lim|limir	<i>noun</i><br><ol><li>limb</li><li>penis</li><li>piece of mutton</li><li>piece of halibut</li><li>member (club, party, etc.)</li></ol>
lindormur|lindormarnir|lindormunum|lindormanna|lindorms|lindormarnar|lindormi|lindorma|lindormin|lindormurin|lindormar|lindormum|lindorm|lindorminum|lindormsins	<i>noun</i><br><ol><li>(mythology) lindworm, lindorm, a huge anthropophagous serpent or dragon</li></ol>
lindra	<i>verb</i><br><ol><li>to get better, to relieve, to alleviate</li></ol>
lindýr|lindýrum|lindýra|lindýri|lindýrinum|lindýrunum|lindýrsins|lindýrið|lindýrs|lindýranna|lindýrini	<i>noun</i><br><ol><li>mollusc (Mollusca)</li></ol>
linur	<i>adj</i><br><ol><li>soft</li><li>slack</li><li>loose</li><li>limp</li><li>flabby</li><li>weak</li></ol>
liri|lirarnir|lirans|liri|lirar|lira|liran|lirarnar|liranna|lirin|lirunum|liranum|lirum	<i>noun</i><br><ol><li>spotted wolffish</li><li>(numismatics) lira</li></ol>
list|listin|listini|listir|listar|listirnar|listunum|listum|listanna|lista|listina|listarinnar	<i>noun</i><br><ol><li>art</li></ol>
lit|litinum|lits|litsins|liti|litið	<i>noun</i><br><ol><li>short wink, view, look</li></ol>
litaviskt	<i>noun</i><br><ol><li>Lithuanian (language)</li></ol>
litri|litrunum|litrans|litrarnar|litrar|litranna|litran|litranum|litrarnir|litrin|litrum|litra	<i>noun</i><br><ol><li>(rare) liter, litre</li></ol>
litur|litran|liturin|lits|litsins|lit|litar|litarins|litrarnir|liturs|litirnir|liti|litranna|litinum|litirnar|litrarnar|litunum|litanna|litursins|litur|litrum|litið|litra|litri|litrunum|litrans|litrar|litin|litranum|litrinum|litrin|litum|litir|lita	<i>noun</i><br><ol><li>colour</li><li>(at sheep, etc.) coloured stain</li><li>colour (stuff to paint with)</li><li>political point of view</li><li>liter, litre</li></ol>
liva|livdu|livir|livdi|livið!|livandi|livi|livaður|livað|liva!	<i>verb</i><br><ol><li>to live</li></ol>
livur|livrina|livranna|livrarinnar|livra|livrarnar|livrunum|livurin|livrar|livrini|livrum	<i>noun</i><br><ol><li>liver</li></ol>
lið|liðin|liðs|liðum|liðunum|liðið|lið|liðirnar|liðini|liði|liðar|liðina|liðir|liðanna|liðnum|liðsins|liðarinnar|liða	<i>noun</i><br><ol><li>side</li><li>chain link</li><li>generation</li><li>gate</li><li>flock, group</li><li>(sports) team</li><li>(poetic) army</li><li>support</li></ol>
liðin|lidnar|liðið|lidnan|lidnari|liðins|lidna|lidnum|lidnir	<i>adj</i><br><ol><li>bygone, elapsed, past</li></ol>
liðið|liðin|lidnar|lidnan|lidnari|liðins|lidna|lidnum|lidnir	<i>adj</i><br><ol><li>bygone, elapsed, past</li></ol>
liðugur|lidnar|lidnan|lidnari|liðugt|lidnu|liðug|lidna|lidni|lidnum|lidnir	<i>adj</i><br><ol><li>finished</li></ol>
ljón|ljóns|ljónini|ljóninum|ljóni|ljónsins|ljóna|ljónanna|ljónið|ljónum|ljónunum	<i>noun</i><br><ol><li>lion (Panthera leo)</li><li>(astrology, astronomy), the Lion, Leo</li></ol>
ljós|ljósanna|ljósini|ljósunum|ljósið|ljósinum|ljósins|ljósi|ljósa|ljósum	<i>noun</i><br><ol><li>light, clearness</li><li>lamp</li><li>candle</li><li>watt</li></ol>
ljósabláur|ljósabláum|ljósablátt|ljósabláir|ljósabláan|ljósabláar|ljósablá|ljósablás|ljósabláa|ljósabláari|ljósabláastur	<i>adj</i><br><ol><li>light blue</li></ol>
ljósabrúnur|ljósabrúnum|ljósabrúna|ljósabrúnt|ljósabrúns|ljósabrúnar|ljósabrúnari|ljósabrúnastur|ljósabrúnir|ljósabrúnan|ljósabrún	<i>adj</i><br><ol><li>light brown, tan</li></ol>
ljósagráur|ljósagrá|ljósagráir|ljósagrátt|ljósagráar|ljósagráari|ljósagráan|ljósagráum|ljósagráastur|ljósagráa|ljósagrás	<i>adj</i><br><ol><li>light gray, light grey</li></ol>
ljósagrønur|ljósagrønastur|ljósagrønt|ljósagrønar|ljósagrøna|ljósagrøns|ljósagrønari|ljósagrønir|ljósagrønan|ljósagrønum|ljósagrøn	<i>adj</i><br><ol><li>bright green, light green</li></ol>
ljósagulur|ljósagula|ljósagult|ljósagulastur|ljósagulum|ljósagulan|ljósagul|ljósagulari|ljósagular|ljósagulir|ljósaguls	<i>adj</i><br><ol><li>light yellow, bright yellow, pale yellow</li></ol>
ljósareyður|ljósareyðir|ljósareytt|ljósareyðum|ljósareyðan|ljósareyðari|ljósareyðastur|ljósareyðs|ljósareyðar|ljósareyð|ljósareyða	<i>adj</i><br><ol><li>pink</li></ol>
ljósfrøði|ljósfrøðina|ljósfrøðini|ljósfrøðinnar|ljósfrøðin	<i>noun</i><br><ol><li>optics</li></ol>
ljósmynd|ljósmyndunum|ljósmyndum|ljósmyndanna|ljósmyndini|ljósmyndir|ljósmyndina|ljósmyndarinnar|ljósmynda|ljósmyndar|ljósmyndirnar|ljósmyndin	<i>noun</i><br><ol><li>photograph</li></ol>
ljósmóðir|ljósmóðirin|ljósmóðurina|ljósmøðrum|ljósmøðrnum|ljósmøðurnar|ljósmøðra|ljósmóðurini|ljósmóður|ljósmøður|ljósmóðurinnar|ljósmøðranna	<i>noun</i><br><ol><li>midwife</li></ol>
ljósstyrki|ljósstyrkini|ljósstyrkina|ljósstyrkir|ljósstyrkin|ljósstyrkirnar|ljósstyrkinnar	<i>noun</i><br><ol><li>luminosity (intensity of light)</li></ol>
ljósur|ljósastur|ljósan|ljósari|ljósum|ljósir|ljóst|ljósar|ljóss|ljósa|ljós	<i>adj</i><br><ol><li>bright, light</li></ol>
ljótur|ljótari|ljóta|ljótum|ljóts|ljótir|ljótastur|ljótar|ljótan|ljótt|ljót	<i>adj</i><br><ol><li>ugly</li><li>hateful, nasty</li><li>naughty</li><li>(weather) dark clouded</li></ol>
ljóð|ljóði|ljóðs|ljóðunum|ljóðini|ljóðanna|ljóða|ljóðsins|ljóðið|ljóðum|ljóð|ljóðnum	<i>noun</i><br><ol><li>sound</li><li>(archaic) poem</li></ol>
ljóða|ljóði|ljóðið!|ljóðaður|ljóðaðu|ljóða!|ljóðandi|ljóðar|ljóðað|ljóðaði	<i>verb</i><br><ol><li>to sound</li></ol>
ljóðfrøði|ljóðfrøðina|ljóðfrøðin|ljóðfrøðinnar|ljóðfrøðini	<i>noun</i><br><ol><li>phonetics</li></ol>
ljóðføri|ljóðførir|ljóðførinum|ljóðførið|ljóðførunum|ljóðføranna|ljóðførum|ljóðføris|ljóðførisins|ljóðføra|ljóðførnum|ljóðførini	<i>noun</i><br><ol><li>musical instrument</li></ol>
lodna|lodnan|lodnurnar|lodnur|lodnanna|lodnum|lodnunum|lodnu|lodnuni|lodnunnar|lodnuna	<i>noun</i><br><ol><li>capelin</li></ol>
loga|logið!|logaðu|logi|logað|logaður|logar|logaði|loga!|logandi	<i>verb</i><br><ol><li>to burn (flame)</li></ol>
logn|lognini|lognina|lognin|lognarinnar|lognar	<i>noun</i><br><ol><li>(nautical, meteorology) calm</li></ol>
lokkanet|lokkanetið|lokkanets|lokkaneti|lokkanetinum|lokkaneta|lokkanetanna|lokkanetum|lokkanetsins|lokkanetini|lokkanetunum	<i>noun</i><br><ol><li>spiderweb, spider's web</li></ol>
lomviga|lomvigurnar|lomviganna|lomvigan|lomvigum|lomviguni|lomvigu|lomviguna|lomvigunnar|lomvigunum|lomvigur	<i>noun</i><br><ol><li>guillemot (Uria aalge)</li></ol>
lomvigi|lomvigunnar|lomvigurnar|lomviganum|lomvigin|lomviganna|lomvigarnir|lomvigan|lomvigum|lomviguni|lomvigu|lomvigans|lomviguna|lomvigunum|lomvigar|lomvigarnar|lomviga|lomvigur	<i>noun</i><br><ol><li>guillemot (Uria aalge)</li><li>murre</li></ol>
longa|longanna|longan|longu|longunum|longum|longunnar|longurnar|longuni|longuna|longur	<i>noun</i><br><ol><li>ling (fish)</li><li>common ling</li></ol>
longd|longdir|longdum|longdanna|longdirnar|longdunum|longdin|longda|longdini|longdina|longdar|longdarinnar	<i>noun</i><br><ol><li>length (measurement of distance)</li><li>(swimming) lap</li><li>height</li></ol>
longstur	<i>adj</i><br><ol><li>longest. superlative degree of langur</li></ol>
longu	<i>adv</i><br><ol><li>already</li></ol>
lordur|lords|lord|lordarnar|lordinum|lordanna|lordi|lorda|lordunum|lordar|lordsins|lordurin|lordum|lordarnir|lordin	<i>noun</i><br><ol><li>lord</li><li>a strong cup of tea</li></ol>
losti|lostan|lostans|losta|lostanum|lostin	<i>noun</i><br><ol><li>lust, desire</li></ol>
lova|lovar|lova!|lovi|lovið!|lovaðu|lovaður|lovandi|lovaði|lovað	<i>verb</i><br><ol><li>to praise</li></ol>
loyna|loyni|loynandi|loynið!|loynir|loyndur|loyndi|loynt|loyn!|loyndu	<i>verb</i><br><ol><li>to hide, to conceal</li></ol>
loynd|loynda|loyndum|loyndar|loyndir|loyndin|loyndunum|loyndanna|loyndina|loyndini|loyndirnar|loyndarinnar	<i>noun</i><br><ol><li>secrecy</li></ol>
loyniorð|loyniorðið|loyniorðini|loyniorðsins|loyniorðanna|loyniorði|loyniorðunum|loyniorða|loyniorðum|loyniorðs|loyniorðinum	<i>noun</i><br><ol><li>(computing) password</li></ol>
loypa|loypið!|loyptur|loypandi|loyptu|loypti|loypir|loypt|loyp!|loypi	<i>verb</i><br><ol><li>to let jump, topple</li><li>to cause</li><li>to warm-up</li></ol>
loysa|loysið!|loysi|loys!|loyst|loysandi|loystu|loysti|loysir|loystur	<i>verb</i><br><ol><li>to loose, to unfasten, to relieve (of an office)</li></ol>
loyva|loyvandi|loyvi|loyvdur|loyvt|loyv!|loyvdi|loyvir|loyvið!|loyvdu	<i>verb</i><br><ol><li>to allow, to permit</li></ol>
loyvi|loyvinum|loyvini|loyvið|loyvanna|loyvis|loyvir|loyva|loyvunum|loyvnum|loyvum|loyvisins	<i>noun</i><br><ol><li>allowance, permission</li></ol>
luft|luftini|luftarinnar|luftina|luftar|luftin	<i>noun</i><br><ol><li>air</li><li>atmosphere, sky</li></ol>
luftskip|luftskipi|luftskips|luftskipum|luftskipa|luftskipinum|luftskipini|luftskipunum|luftskipanna|luftskipsins|luftskipið	<i>noun</i><br><ol><li>(aviation) airship, dirigible</li></ol>
lukta|luktaðu|luktar|luktandi|luktaður|lukti|lukta!|luktað|luktaði|luktið!	<i>verb</i><br><ol><li>to smell</li></ol>
lulla|lullandi|lullaður|lullaðu|lulli|lullaði|lullað|lulla!|lullar|lullið!	<i>verb</i><br><ol><li>(childish, of people) to sleep, to go beddie-byes</li></ol>
lummalykt|lummalykta|lummalyktini|lummalyktanna|lummalyktunum|lummalyktar|lummalyktarinnar|lummalyktum|lummalyktin|lummalyktirnar|lummalyktina|lummalyktir	<i>noun</i><br><ol><li>pocket lamp, flashlight, torch</li></ol>
lummi|lummanum|lummarnir|lummanna|lumma|lummans|lummunum|lumman|lummin|lummar|lummarnar|lummum	<i>noun</i><br><ol><li>pocket</li></ol>
lummur|lummanum|lummarnir|lumsins|lumminum|lummanna|lumma|lumm|lummurin|lummans|lumman|lummunum|lummum|lummi|lummin|lummar|lums|lummarnar	<i>noun</i><br><ol><li>the handle of an oar</li></ol>
lundi|lundanna|lunda|lundunum|lundan|lundarnir|lundin|lundarnar|lundans|lundanum|lundar|lundum	<i>noun</i><br><ol><li>puffin (Fratercula arctica)</li></ol>
lunga|lungna|lungans|lungu|lunganum|lungum|lungnanna|lungað|lunguni|lungur|lungunum	<i>noun</i><br><ol><li>lung</li></ol>
lungalækni|lungalæknunum|lungalæknum|lungalæknans|lungalæknin|lungalæknanum|lungalæknarnar|lungalæknarnir|lungalækna|lungalæknanna|lungalæknar|lungalæknan	<i>noun</i><br><ol><li>pulmonologist</li></ol>
lurta|lurtið!|lurta!|lurtaðu|lurtaður|lurtandi|lurtaði|lurti|lurtað|lurtar	<i>verb</i><br><ol><li>to listen</li></ol>
lutfalsleiki|lutfalsleika|lutfalsleikans|lutfalsleikanna|lutfalsleikarnir|lutfalsleikanum|lutfalsleikan|lutfalsleikin|lutfalsleikar|lutfalsleikum|lutfalsleikarnar|lutfalsleikunum	<i>noun</i><br><ol><li>proportionality</li></ol>
luttaka|luttók|luttókst|luttakið!|luttak!|luttóku|luttikin|luttikið|luttekur|luttakandi|luttaki	<i>verb</i><br><ol><li>to take part, to participate</li></ol>
lutur|lutin|lutum|lutirnir|luti|lutar|lutunum|lutir|lut|lutirnar|luturin|luta|lutarins|lutanna|lutinum	<i>noun</i><br><ol><li>thing</li><li>piece, part</li><li>lot</li></ol>
lyfta|lyftið!|lyftan|lyftum|lyftanna|lyfturnar|lyft!|lyftur|lyftuna|lyftu|lyftuni|lyftir|lyftandi|lyfti|lyft|lyftunnar|lyftunum	<i>verb</i><br><ol><li>to lift, raise</li><li>to repay</li></ol><br><i>noun</i><br><ol><li>lift, elevator</li></ol>
lykil|lyklarnar|lykilin|lykilsins|lyklarnir|lykils|lyklunum|lyklinum|lyklanna|lykli|lyklum|lyklar|lykla	<i>noun</i><br><ol><li>key</li><li>spanner, wrench</li><li>(music) clef</li></ol>
lykt|lyktum|lyktini|lyktar|lyktir|lyktunum|lyktin|lyktina|lyktirnar|lykta|lyktarinnar|lyktanna	<i>noun</i><br><ol><li>lamp, light, lantern</li></ol>
lyngur|lyngurin|lyngsins|lyngi|lyngs|lynginum|lyng|lyngin	<i>noun</i><br><ol><li>(botany) heather</li></ol>
lynur|lynurin|lynin|lynanna|lyns|lyn|lynir|lynsins|lynunum|lyninum|lynirnir|lynirnar|lynum|lyni|lyna	<i>noun</i><br><ol><li>maple</li><li>maple wood</li></ol>
lysta|lyst|lysti|lystir|lystu|lystið!|lystur|lyst!|lystandi	<i>verb</i><br><ol><li>to desire</li></ol>
lágur|lágir|lág|lágs|lágar|lægstur|lága|lágari|lágt|lágan|lágum|lægri	<i>adj</i><br><ol><li>low</li></ol>
lálla|lállan|lálluni|lállur|lállu|lállunnar|lállunum|lállum|lállanna|lállurnar|lálluna	<i>noun</i><br><ol><li>(fore-)flipper on a seal</li><li>a big hand</li><li>(plural) fingerless mittens</li><li>Torbay sole, witch (Brosme brosme)</li></ol>
lámur|láminum|lámurin|lámi|lámum|lámanna|lámarnir|lámsins|lámar|lámarnar|lámin|láms|lámunum|láma|lám	<i>noun</i><br><ol><li>flipper (on a seal)</li><li>(cats) paw</li><li>left hand</li><li>a left-handed person</li></ol>
lán|láns|láninum|lánanna|láni|lána|lánini|lánunum|lánsins|lánum|lánið	<i>noun</i><br><ol><li>loan</li></ol>
lás|lásunum|lásanna|lása|lásið|lási|lásini|lásins|lásum|lásinum	<i>noun</i><br><ol><li>lock (on a door, etc.)</li></ol>
lásasmiður|lásasmiðurin|lásasmiða|lásasmiðsins|lásasmiðin|lásasmiði|lásasmiðunum|lásasmiðirnir|lásasmiðs|lásasmið|lásasmiðum|lásasmiðanna|lásasmiðirnar|lásasmiðinum|lásasmiðir	<i>noun</i><br><ol><li>locksmith</li></ol>
lásbogi|lásbogarnir|lásbogan|lásbogunum|lásbogans|lásbogarnar|lásbogum|lásbogar|lásboga|lásboganna|lásboganum|lásbogin	<i>noun</i><br><ol><li>crossbow</li></ol>
láta|látin|látandi|látið|lótu|láti|látið!|letur|læt|lát!|lætst	<i>verb</i><br><ol><li>to behave, to act</li><li>to utter a sound</li></ol>
látin	<i>verb</i><br><ol><li>behaved</li><li>let</li></ol>
læa|læ!|læið|læið!|læin|læandi|ló|læi|læðu|læði|lær|læð	<i>verb</i><br><ol><li>to laugh</li></ol>
lægd|lægdini|lægdarinnar|lægda|lægdar|lægdina|lægdunum|lægdir|lægdirnar|lægdin|lægdanna|lægdum	<i>noun</i><br><ol><li>hollow</li><li>depression</li></ol>
læknabládepla|læknabládeplunum|læknabládeplan|læknabládeplunnar|læknabládeplum|læknabládeplanna|læknabládeplurnar|læknabládepluni|læknabládeplu|læknabládeplur|læknabládepluna	<i>noun</i><br><ol><li>heath speedwell, common speedwell (Veronica officinalis)</li></ol>
læknafrøði|læknafrøðini|læknafrøðin|læknafrøðina|læknafrøðinnar	<i>noun</i><br><ol><li>medicine (field of study)</li></ol>
læknavísindi|læknavísindanna|læknavísindir|læknavísindum|læknavísindunum|læknavísinda|læknavísindini	<i>noun</i><br><ol><li>medicine (field of study)</li></ol>
lækni|læknunum|læknan|læknanna|læknanum|læknans|læknum|lækna|læknar|læknarnar|læknin|læknarnir	<i>noun</i><br><ol><li>doctor, medic, physician</li></ol>
læmingi|læminga|læmingunum|læmingans|læmingarnir|læminganna|læmingan|læmingar|læmingin|læminganum|læmingarnar|læmingum	<i>noun</i><br><ol><li>a lemming</li></ol>
læna|lænandi|læntur|læni|læntu|lænti|læn!|lænt|lænir|lænið!	<i>verb</i><br><ol><li>to lend</li></ol>
lær|lærunnar|lærurnar|læruna|læra|læri|lærsins|læruni|lærur|lærini|læru|lør|lærið|læranna|lærinum|læran|lærs|lørum|lørunum|lærum|lørini|lærunum	<i>noun</i><br><ol><li>thigh</li></ol>
læra|lærunnar|lærurnar|læruna|læri|lærandi|lær!|læruni|lærur|læru|lærdur|lærir|læranna|lærdu|læran|lært|lærið!|lærum|lærdi|lærunum	<i>noun</i><br><ol><li>teachings</li></ol><br><i>verb</i><br><ol><li>to learn</li><li>to teach</li></ol>
lærari|lærararnar|lærarin|lærarum|læraranum|lærararnir|lærara|lærarans|læraranna|læraran|lærarunum|lærarar	<i>noun</i><br><ol><li>teacher</li></ol>
læsa|læsir|læstu|læsi|læsti|læsandi|læsið!|læstur|læs!|læst	<i>verb</i><br><ol><li>to lock</li></ol>
lætna|lætna!|lætnið!|lætnandi|lætnaður|lætnað|lætnaði|lætni|lætnaðu|lætnar	<i>verb</i><br><ol><li>to get better, to feel lighter</li></ol>
lætt|lættari|løtt|læts|lættar|neuter form of lættur|lætta|lættan|lættum|lættur|lættastur|lættir|løttum	<i>adj</i><br><ol><li>light (of weight)</li><li>easy (to do)</li></ol>
lættur|lættari|løtt|læts|lættar|lætt|neuter form of lættur|lætta|lættan|lættum|lættastur|lættir|løttum	<i>adj</i><br><ol><li>light (of weight)</li><li>easy (to do)</li></ol>
líddur|lídd|lítt|lídda|líddan|líddar|líds|líddir|líddum|líddari	<i>adj</i><br><ol><li>liked</li></ol>
líggja|líggja!|líggjið!|líggjandi|líggjaður|líggjaðu|líggji|líggjar|líggjað|líggjaði	<i>verb</i><br><ol><li>(ditransitive, dated) to lend</li><li>(neologism) to lease</li></ol>
lík|líks|líkinum|líkum|líki|líkið|líkunum|líka|líksins|líkanna|líkini	<i>noun</i><br><ol><li>dead body, corpse</li></ol>
líkasælur|líkasælir|líkasælan|líkasælari|líkasæls|líkasæla|líkasælar|líkasælt|líkasæl|líkasælum	<i>adj</i><br><ol><li>careless, indifferent, negligent</li></ol>
líkfylgi|líkfylgja|líkfylgjum|líkfylgjunum|líkfylgis|líkfylgir|líkfylginum|líkfylgið|líkfylgisins|líkfylgjanna|líkfylgini	<i>noun</i><br><ol><li>funeral procession</li></ol>
líkhús|líkhúsa|líkhúsum|líkhúsins|líkhúsið|líkhúsi|líkhúsini|líkhúsanna|líkhúsunum|líkhúsinum	<i>noun</i><br><ol><li>morgue</li></ol>
líkna|líknaði|líkna!|líknaðu|líkni|líknar|líknaður|líknandi|líknað|líknið!	<i>verb</i><br><ol><li>to compare</li></ol>
líkur|líku|líks|líkum|líkan|líki|líkastur|líkar|líka|líkari|líkir|lík|líkt	<i>adj</i><br><ol><li>alike</li></ol>
lín|líns|línsins|líninum|líni|línið	<i>noun</i><br><ol><li>(botany) flax</li><li>linen, cloth, thread</li></ol>
lína|línan|línunum|línum|línu|línur|línanna|línunnar|línurnar|línuni|línuna	<i>noun</i><br><ol><li>(fishing) line</li><li>(climbing) rope</li></ol>
líta|lít!|leitst|litin|litu|lítið!|lítur|líti|litið|líta|leit|lítandi	<i>verb</i><br><ol><li>to look</li><li>to be responsible</li></ol>
lítil|lítla|lítlum|lítið|lítli|minstur|lítlar|lítlan|minni|lítlir|lítlu|lítils|lítlari	<i>adj</i><br><ol><li>little, small</li></ol>
