.	<i>punct</i><br><ol><li>Used to mark ordinal numbers, pronounced -garren.</li></ol>
errugbilari|errugbilariek|errugbilarientzat|errugbilariz|errugbilariengandik|errugbilariri|errugbilariekin|errugbilariaz|errugbilariarenganaino|errugbilariarengan|errugbilariengana|errugbilariarengana|errugbilarirengana|errugbilarirenganako|errugbilarien|errugbilaria|errugbilariren|errugbilariarentzat|errugbilaririk|errugbilariarenganako|errugbilarirengatik|errugbilarirenganantz|errugbilarirengan|errugbilarienganako|errugbilarirentzat|errugbilariari|errugbilariaren|errugbilariengan|errugbilariengatik|errugbilariarenganantz|errugbilariei|errugbilariez|errugbilariarengatik|errugbilarienganantz|errugbilarik|errugbilariak|errugbilarirenganaino|errugbilarienganaino|errugbilarirekin|errugbilarirengandik|errugbilaritzat|errugbilariarengandik|errugbilariarekin	<i>noun</i><br><ol><li>(sports) rugby player</li></ol>
errumaniar|errumaniarrari|errumaniarrengana|errumaniarra|errumaniarrengandik|errumaniarrez|errumaniarrarengandik|errumaniarraren|errumaniarrekin|errumaniarrenganako|errumaniarraz|errumaniarrei|errumaniarrarengan|errumaniarrengatik|errumaniarrak|errumaniarrarengatik|errumaniarrarenganako|errumaniarrarenganantz|errumaniarrenganantz|errumaniarrik|errumaniarrarengana|errumaniarrarekin|errumaniarrengan|errumaniarrek|errumaniarrenganaino|errumaniarren|errumaniarrentzat|errumaniarrarentzat|errumaniartzat|errumaniarrarenganaino|errumaniarri	<i>adj</i><br><ol><li>Romanian</li></ol><br><i>noun</i><br><ol><li>A Romanian person (man or woman)</li></ol>
errumaniera|errumanierari|errumanieraren|errumanierarik|errumanieran|errumanierarentzat|errumanierarengatik|errumanieratzat|errumanierarekin|errumanieraz|errumanierak	<i>noun</i><br><ol><li>The Romanian language</li></ol>
errusiar|errusiarraz|errusiarrarengandik|errusiarrarengana|errusiarrik|errusiarrei|errusiarrengandik|errusiarren|errusiarrengan|errusiarraren|errusiarrari|errusiarrak|errusiarrarenganantz|errusiarrengatik|errusiarrenganako|errusiarrenganantz|errusiarrez|errusiarra|errusiarrekin|errusiarrengana|errusiarrentzat|errusiarrarenganako|errusiarri|errusiarrarekin|errusiarrek|errusiartzat|errusiarrarengan|errusiarrarentzat|errusiarrenganaino|errusiarrarengatik|errusiarrarenganaino	<i>adj</i><br><ol><li>Russian</li></ol><br><i>noun</i><br><ol><li>A Russian person (man or woman)</li></ol>
errusiera|errusieratzat|errusieraz|errusierari|errusierarentzat|errusierarekin|errusierarengatik|errusieraren|errusierarik|errusieran|errusierak	<i>noun</i><br><ol><li>The Russian language</li></ol>
ertz|ertzetako|ertzetatik|ertzeko|ertzarekin|ertzari|erztzat|ertzengatik|ertzek|ertzetan|ertzetaraino|ertzera|ertzez|ertzak|ertzetara|ertzerako|ertza|ertzetarako|ertzentzat|ertzi|ertzen|ertzaz|ertzetarantz|ertzetik|ertzekin|ertzerantz|ertzik|ertzeraino|ertzarentzat|ertzei|ertzaren|ertzarengatik|ertzean	<i>noun</i><br><ol><li>border, end, extreme, shore</li><li>parting, part (dividing line formed by combing the hair in different directions)</li></ol>
ertzain|ertzainengatik|ertzainez|ertzainen|ertzaina|ertzainaz|ertzaintzat|ertzainaren|ertzainarenganaino|ertzainekin|ertzainarenganantz|ertzainari|ertzainentzat|ertzainak|ertzainarenganako|ertzainarengan|ertzainei|ertzainik|ertzainarentzat|ertzainarengana|ertzainenganantz|ertzainenganako|ertzainarengatik|ertzainarekin|ertzainenganaino|ertzainengan|ertzainengandik|ertzaini|ertzainarengandik|ertzainek|ertzainengana	<i>noun</i><br><ol><li>agent of the Ertzaintza (the Basque police)</li><li>police, bailiff</li></ol>
esan|esaten|esate|esango	<i>verb</i><br><ol><li>to say, tell</li></ol>
ese|eserantz|eserekin|esetan|esearen|eseetatik|eseekin|esetara|esetaraino|eseetaraino|eseaz|esea|eseentzat|esera|eseko|esetatik|eseetarako|esek|eserako|eserik|eseek|esetik|eseetarantz|esearekin|eseetara|esearentzat|esetarantz|eseari|eseetan|eseraino|eseak|esean|eseei|esearengatik|esetako|eseri|eseetako|esetzat|eseren|eseez|esetarako|esez|eserentzat|eseengatik|eseen|eserengatik	<i>noun</i><br><ol><li>The name of the Latin-script letter S.</li></ol>
eseri|eseriko|esertze|eser|esertzen	<i>verb</i><br><ol><li>to sit down</li></ol>
eskailera|eskailerek|eskaileraraino|eskaileretara|eskailerako|eskailerentzat|eskailerarengatik|eskaileretarako|eskaileratarako|eskaileratako|eskaileren|eskailerara|eskailerataraino|eskailerarantz|eskaileratatik|eskaileretaraino|eskaileretatik|eskaileran|eskaileretarantz|eskailerengatik|eskailerak|eskaileraz|eskailerez|eskaileretako|eskaileratik|eskailerarako|eskailerarekin|eskailerarik|eskailerari|eskaileratarantz|eskailerekin|eskaileraren|eskaileretan|eskaileratzat|eskaileratara|eskailerei|eskailerarentzat|eskaileratan	<i>noun</i><br><ol><li>stair, stairs</li><li>ladder</li></ol>
eskatu|eskatzen|eskatuko|eskatze|eska	<i>verb</i><br><ol><li>to ask, request</li><li>to require, need</li></ol>
esker|eskerretarako|eskerraren|eskerrarentzat|eskerrekin|eskerretaraino|eskerrean|eskerretara|eskerrerantz|eskerrei|eskerretik|eskerra|eskerrak|eskerrik|eskerreko|eskerretarantz|eskerrentzat|eskerrengatik|eskerretan|eskerren|eskerrarengatik|eskerreraino|eskerrerako|eskerrera|eskerrez|eskerri|eskerretako|eskertzat|eskerrarekin|eskerrari|eskerraz|eskerretatik|eskerrek	<i>noun</i><br><ol><li>gratitude, thankfulness</li><li>benefit</li><li>merit</li></ol><br><i>postp</i><br><ol><li>thanks to, owing to</li></ol>
eskerrik asko	<i>intj</i><br><ol><li>thank you</li></ol>
eskertu|eskertu du|eskertze|eskertzen|dio|esker|eskertuko	<i>verb</i><br><ol><li>to thank</li></ol>
eskinoso	<i>noun</i><br><ol><li>jay</li></ol>
eskizofrenia	<i>noun</i><br><ol><li>schizophrenia</li></ol>
eskola|eskolan|eskolarako|eskolatan|eskolatzat|eskolako|eskolarantz|eskolak|eskolatatik|eskolaz|eskolentzat|eskoletan|eskoletatik|eskoletarako|eskolek|eskoletara|eskolaraino|eskolaren|eskoletarantz|eskoletako|eskolen|eskolarengatik|eskolengatik|eskoletaraino|eskolatik|eskolarekin|eskolari|eskolei|eskolataraino|eskolatara|eskolatako|eskolarik|eskolez|eskolekin|eskolatarako|eskolarentzat|eskolara|eskolatarantz	<i>noun</i><br><ol><li>school</li></ol>
eskribitu|eskribitze|eskribitzen|eskribituko|eskribi	<i>verb</i><br><ol><li>to write</li></ol>
esku|eskuk|eskuetatik|eskuekin|eskuengatik|eskutzat|eskuz|eskuek|eskuetarako|eskuetaraino|eskutik|eskuetara|eskuarengatik|eskuraino|eskuren|eskuez|eskutara|eskuentzat|eskuarekin|eskuaz|eskuan|eskurekin|eskuetan|eskurik|eskuen|eskura|eskuetako|eskuko|eskurentzat|eskuei|eskuri|eskua|eskutako|eskutarako|eskutarantz|eskutatik|eskuetarantz|eskutan|eskurantz|eskuaren|eskuarentzat|eskutaraino|eskurengatik|eskuari|eskurako|eskuak	<i>noun</i><br><ol><li>hand</li></ol>
eskubaloi	<i>noun</i><br><ol><li>handball</li></ol>
eskubide|eskubidetzat|eskubidearen|eskubideetara|eskubidez|eskubidearentzat|eskubidetarantz|eskubideak|eskubidetik|eskubiderik|eskubideraino|eskubiderantz|eskubidetako|eskubideetatik|eskubideen|eskubidetaraino|eskubideetan|eskubideei|eskubideez|eskubideren|eskubideentzat|eskubideri|eskubideetako|eskubidetatik|eskubideari|eskubidetara|eskubideek|eskubidearengatik|eskubideko|eskubiderako|eskubiderentzat|eskubidetarako|eskubidera|eskubideetarako|eskubidea|eskubideetaraino|eskubidean|eskubiderekin|eskubiderengatik|eskubideetarantz|eskubideaz|eskubidek|eskubidearekin|eskubidetan|eskubideengatik|eskubideekin	<i>noun</i><br><ol><li>right (that which complies with justice, law or reason)</li><li>entitlement, power, authority</li><li>permission</li><li>privilege</li></ol>
eskubide zibil|eskubide zibiletatik|eskubide zibilek|eskubide zibilarengatik|eskubide zibilerantz|eskubide zibilarekin|eskubide zibileraino|eskubide zibileko|eskubide zibilengatik|eskubide zibili|eskubide zibilari|eskubide zibiletara|eskubide zibilei|eskubide zibilez|eskubide zibilera|eskubide zibiletik|eskubide zibiletan|eskubide zibiltzat|eskubide zibilentzat|eskubide zibiletarako|eskubide zibilik|eskubide zibilarentzat|eskubide zibila|eskubide zibilak|eskubide zibilean|eskubide zibiletako|eskubide zibilaren|eskubide zibilekin|eskubide zibiletaraino|eskubide zibilaz|eskubide zibilerako|eskubide zibiletarantz|eskubide zibilen	<i>noun</i><br><ol><li>civil right</li></ol>
eskubide zibilak	<i>noun</i><br><ol><li>civil rights (constitutional rights and freedoms guaranteed to the citizens of a country)</li></ol>
eskubide-abusu|eskubide-abusuk|eskubide-abusuez|eskubide-abusuei|eskubide-abusuz|eskubide-abusutako|eskubide-abusuak|eskubide-abusuekin|eskubide-abusurantz|eskubide-abusuetatik|eskubide-abusuko|eskubide-abusuaz|eskubide-abusuetarantz|eskubide-abusutik|eskubide-abusuarentzat|eskubide-abusuentzat|eskubide-abusura|eskubide-abusuari|eskubide-abusurengatik|eskubide-abusutarantz|eskubide-abusutzat|eskubide-abusurako|eskubide-abusutatik|eskubide-abusuraino|eskubide-abusuaren|eskubide-abusuetaraino|eskubide-abusuren|eskubide-abusutarako|eskubide-abusurik|eskubide-abusuetan|eskubide-abusuetarako|eskubide-abusurentzat|eskubide-abusuetako|eskubide-abusua|eskubide-abusuarekin|eskubide-abusuek|eskubide-abusurekin|eskubide-abusutan|eskubide-abusutaraino|eskubide-abusuetara|eskubide-abusuan|eskubide-abusuri|eskubide-abusuarengatik|eskubide-abusuen|eskubide-abusuengatik|eskubide-abusutara	<i>noun</i><br><ol><li>abuse of law</li></ol>
eskubila|eskubilan|eskubilekin|eskubiletako|eskubilatako|eskubilarengatik|eskubilarako|eskubiletara|eskubilari|eskubilaz|eskubilei|eskubilara|eskubilataraino|eskubilez|eskubilarekin|eskubilatarantz|eskubiletan|eskubilatarako|eskubilaren|eskubilarentzat|eskubilek|eskubilengatik|eskubilarik|eskubilatatik|eskubilatan|eskubilaraino|eskubilatara|eskubilatzat|eskubiletarako|eskubilarantz|eskubilatik|eskubilak|eskubilako|eskubiletaraino|eskubilentzat|eskubiletatik|eskubilen|eskubiletarantz	<i>noun</i><br><ol><li>comb</li><li>brush</li></ol>
eskuin|eskuinarenganaino|eskuinei|eskuinengana|eskuineraino|eskuinenganantz|eskuinetarako|eskuinetatik|eskuinetan|eskuinean|eskuinez|eskuinarenganako|eskuinegi|eskuinago|eskuinetaraino|eskuini|eskuinera|eskuinengandik|eskuinek|eskuinarentzat|eskuinarengan|eskuinengan|eskuineko|eskuinarenganantz|eskuinenganaino|eskuinetarantz|eskuintzat|eskuinak|eskuinarekin|eskuinerako|eskuinik|eskuinentzat|eskuinetara|eskuinarengandik|eskuinengatik|eskuinarengana|eskuinaren|eskuinetako|eskuinekin|eskuina|eskuinaz|eskuinerantz|eskuinenganako|eskuinen|eskuinetik|eskuinarengatik|eskuinari	<i>adj</i><br><ol><li>right-handed</li><li>(Northern) right</li></ol><br><i>noun</i><br><ol><li>right, right-hand side</li><li>(politics) right-wing</li></ol>
eskularru|eskularruetan|eskularruetarako|eskularrutik|eskularruari|eskularrurako|eskularrutarako|eskularruak|eskularrutan|eskularruko|eskularruk|eskularruek|eskularruei|eskularruetako|eskularrutako|eskularruengatik|eskularruz|eskularruri|eskularrurantz|eskularruan|eskularrutaraino|eskularrurekin|eskularruarentzat|eskularruaren|eskularrurik|eskularrurentzat|eskularruren|eskularruraino|eskularruen|eskularruez|eskularruetatik|eskularruentzat|eskularruarekin|eskularrutara|eskularrutarantz|eskularruetara|eskularrutzat|eskularruaz|eskularruarengatik|eskularrutatik|eskularrura|eskularrua|eskularruetaraino|eskularruetarantz|eskularruekin|eskularrurengatik	<i>noun</i><br><ol><li>glove</li></ol>
eskumutur	<i>noun</i><br><ol><li>wrist</li><li>cuff</li></ol>
eskumuturreko	<i>noun</i><br><ol><li>bracelet</li><li>cufflink</li></ol>
eskusoinu|eskusoinuaren|eskusoinuri|eskusoinuk|eskusoinurengatik|eskusoinuarengatik|eskusoinuengatik|eskusoinuarentzat|eskusoinuez|eskusoinutarako|eskusoinutarantz|eskusoinua|eskusoinuek|eskusoinuetaraino|eskusoinurekin|eskusoinutatik|eskusoinuetako|eskusoinuei|eskusoinutako|eskusoinutik|eskusoinuetarantz|eskusoinuak|eskusoinuen|eskusoinuetan|eskusoinuetatik|eskusoinuekin|eskusoinuren|eskusoinurentzat|eskusoinutara|eskusoinutaraino|eskusoinuko|eskusoinuari|eskusoinuaz|eskusoinurako|eskusoinuentzat|eskusoinuz|eskusoinuetara|eskusoinurantz|eskusoinura|eskusoinuetarako|eskusoinutzat|eskusoinuan|eskusoinuraino|eskusoinurik|eskusoinutan|eskusoinuarekin	<i>noun</i><br><ol><li>accordion</li></ol>
eskutitz|eskutitzarengatik|eskutitza|eskutitzerako|eskutitzetan|eskutitzeraino|eskutitzetako|eskutitzeko|eskutitzei|eskutitzek|eskutitzekin|eskutitzaren|eskutitzi|eskutitzen|eskutitzaz|eskutitzetarantz|eskutiztzat|eskutitzean|eskutitzari|eskutitzetaraino|eskutitzik|eskutitzarekin|eskutitzera|eskutitzetik|eskutitzez|eskutitzetarako|eskutitzentzat|eskutitzarentzat|eskutitzak|eskutitzerantz|eskutitzetara|eskutitzetatik|eskutitzengatik	<i>noun</i><br><ol><li>letter (message)</li></ol>
eslovakiar|eslovakiarrak|eslovakiarrenganantz|eslovakiarrik|eslovakiartzat|eslovakiarrez|eslovakiarraren|eslovakiarrengan|eslovakiarren|eslovakiarrarengatik|eslovakiarrarengan|eslovakiarrek|eslovakiarrentzat|eslovakiarrarengana|eslovakiarrarenganantz|eslovakiarrarentzat|eslovakiarrengatik|eslovakiarrarengandik|eslovakiarrari|eslovakiarrekin|eslovakiarrengana|eslovakiarri|eslovakiarrei|eslovakiarrarenganako|eslovakiarrengandik|eslovakiarraz|eslovakiarrarenganaino|eslovakiarra|eslovakiarrarekin|eslovakiarrenganaino|eslovakiarrenganako	<i>adj</i><br><ol><li>Slovak</li></ol><br><i>noun</i><br><ol><li>A Slovak person (man or woman)</li></ol>
eslovakiera|eslovakierarentzat|eslovakierak|eslovakieratzat|eslovakierarekin|eslovakierari|eslovakierarik|eslovakieraren|eslovakieran|eslovakierarengatik|eslovakieraz	<i>noun</i><br><ol><li>The Slovak language</li></ol>
esloveniar|esloveniarrarengana|esloveniarrenganantz|esloveniarrentzat|esloveniarraz|esloveniarrarenganako|esloveniarrengatik|esloveniarrei|esloveniarrarengandik|esloveniarri|esloveniarrik|esloveniarrengandik|esloveniarra|esloveniarrarenganantz|esloveniarrez|esloveniarrarengatik|esloveniarrenganako|esloveniarrengan|esloveniarrarengan|esloveniarrarekin|esloveniarrak|esloveniarrenganaino|esloveniarrengana|esloveniarrarenganaino|esloveniarren|esloveniarrari|esloveniarrarentzat|esloveniarrek|esloveniarrekin|esloveniarraren|esloveniartzat	<i>adj</i><br><ol><li>Slovenian</li></ol><br><i>noun</i><br><ol><li>A Slovenian person (man or woman)</li></ol>
esloveniera|eslovenierarengatik|eslovenieran|eslovenieratzat|eslovenierarik|eslovenieraz|eslovenierak|eslovenierari|eslovenierarentzat|eslovenieraren|eslovenierarekin	<i>noun</i><br><ol><li>The Slovenian language</li></ol>
esne|esnetik|esneetan|esnerekin|esnera|esnearengatik|esneko|esneetako|esnetarantz|esneetaraino|esneek|esnea|esnetan|esnetzat|esnerengatik|esneengatik|esneaz|esneez|esneetara|esnek|esneetarako|esneetatik|esneentzat|esnetako|esnez|esneen|esneri|esneraino|esnerik|esnearekin|esneei|esnerantz|esnetarako|esneak|esneekin|esneari|esneren|esnetaraino|esnetara|esnean|esnearen|esnerentzat|esneetarantz|esnearentzat|esnetatik|esnerako	<i>noun</i><br><ol><li>milk</li></ol>
espainiar|espainiarrenganako|espainiarrekin|espainiarrengatik|espainiartzat|espainiarrenganaino|espainiarrarengatik|espainiarri|espainiarren|espainiarrek|espainiarraz|espainiarrarengandik|espainiarrarengana|espainiarrarekin|espainiarrarengan|espainiarrarenganantz|espainiarrarenganako|espainiarrarenganaino|espainiarrarentzat|espainiarrengan|espainiarrei|espainiarra|espainiarrenganantz|espainiarrengana|espainiarrentzat|espainiarrak|espainiarrik|espainiarrengandik|espainiarraren|espainiarrari|espainiarrez	<i>adj</i><br><ol><li>Spanish</li></ol><br><i>noun</i><br><ol><li>A Spanish person (man or woman)</li></ol>
espazio|espazioetarantz|espaziotzat|espaziorekin|espazioentzat|espaziora|espazioari|espaziorik|espazioekin|espazioz|espazioek|espazioaren|espazioren|espazioko|espazioen|espazioan|espaziotako|espaziotara|espaziotatik|espazioaz|espazioez|espazioei|espaziotarako|espaziorentzat|espaziotarantz|espazioetatik|espazioak|espaziorengatik|espaziotaraino|espazioetara|espazioa|espazioarengatik|espazioarentzat|espaziorako|espazioetan|espazioengatik|espaziotan|espazioarekin|espazioetako|espaziok|espazioetarako|espaziori|espazioetaraino|espazioraino|espaziotik|espaziorantz	<i>noun</i><br><ol><li>space</li></ol>
espazio-ontzi|espazio-ontziek|espazio-ontzitarantz|espazio-ontzik|espazio-ontziengatik|espazio-ontziko|espazio-ontziri|espazio-ontziaren|espazio-ontzietarako|espazio-ontzietan|espazio-ontzitara|espazio-ontziarentzat|espazio-ontzirik|espazio-ontzirentzat|espazio-ontziak|espazio-ontziez|espazio-ontzietako|espazio-ontzientzat|espazio-ontzitaraino|espazio-ontziaz|espazio-ontzietaraino|espazio-ontziren|espazio-ontzitik|espazio-ontzirekin|espazio-ontzia|espazio-ontziei|espazio-ontzien|espazio-ontzira|espazio-ontzietatik|espazio-ontzitan|espazio-ontzirako|espazio-ontzian|espazio-ontzietarantz|espazio-ontzirantz|espazio-ontziraino|espazio-ontziarekin|espazio-ontziari|espazio-ontziarengatik|espazio-ontzitatik|espazio-ontzitarako|espazio-ontzitako|espazio-ontzitzat|espazio-ontzietara|espazio-ontzirengatik|espazio-ontziekin|espazio-ontziz	<i>noun</i><br><ol><li>spaceship, spacecraft</li></ol>
esperanto|esperantoan|esperantoaz|esperantoz|esperantoarekin|esperantoa|esperantoarengatik|esperantoarentzat|esperantoaren|esperantotzat|esperantorik|esperantoak|esperantoari	<i>noun</i><br><ol><li>Esperanto</li></ol>
espetxe	<i>noun</i><br><ol><li>jail, gaol; prison</li></ol>
espiritu	<i>noun</i><br><ol><li>spirit</li></ol>
espresuki	<i>adv</i><br><ol><li>specifically</li><li>on purpose, deliberately</li></ol>
estali|estaliko|estaltzen|estaltze|estal	<i>verb</i><br><ol><li>to cover, put on (lid)</li><li>to protect</li><li>to cover up, conceal, mask</li><li>to fill</li><li>to breed (animal)</li></ol>
estatore|estatoreetarako|estatorearengatik|estatorerantz|estatoreez|estatoreetarantz|estatorearentzat|estatoreetako|estatoreei|estatoretara|estatorerako|estatoreetan|estatorearen|estatorek|estatoreen|estatoreari|estatoreetara|estatoreak|estatoretarantz|estatoretik|estatoreetatik|estatoretatik|estatoreengatik|estatoretzat|estatorerengatik|estatorerentzat|estatoreentzat|estatoretan|estatorez|estatorea|estatoretaraino|estatorera|estatoreraino|estatoretarako|estatoreetaraino|estatorerik|estatoreren|estatoreaz|estatoretako|estatoreek|estatoreri|estatoreekin|estatorearekin|estatorerekin|estatoreko|estatorean	<i>noun</i><br><ol><li>stator</li></ol>
estatu|estatuetarantz|estaturentzat|estatuatik|estatuarekin|estatuarik|estaturi|estatuetako|estatuetara|estatutarantz|estatuetan|estatuez|estaturik|estaturako|estatutatik|estatuek|estatuarengatik|estaturantz|estatuaren|estatuengatik|estaturaino|estatutarako|estatuatarantz|estatuatako|estatuentzat|estatuaz|estatutaraino|estatua|estatutzat|estatuatara|estatuetaraino|estatuataraino|estatura|estatuatzat|estatuei|estatuko|estatuekin|estatutara|estatuaraino|estatuan|estatutan|estatuatan|estatuetatik|estatuako|estaturekin|estatuarantz|estatuatarako|estatuatatik|estatuen|estatuari|estatuk|estaturen|estatutik|estatuz|estatuetarako|estatuara|estatuarentzat|estatuarako|estaturengatik|estatuak|estatutako	<i>noun</i><br><ol><li>state (polity)</li></ol>
estatua|estatuetarantz|estatuatik|estatuarekin|estatuarik|estatuetako|estatuetara|estatuetan|estatuez|estatuek|estatuarengatik|estatuaren|estatuengatik|estatuatarantz|estatuatako|estatuentzat|estatuaz|estatuatara|estatuatzat|estatuetaraino|estatuataraino|estatuei|estatuaraino|estatuekin|estatuan|estatuatan|estatuako|estatuetatik|estatuarantz|estatuatarako|estatuatatik|estatuen|estatuari|estatuara|estatuetarako|estatuarentzat|estatuarako|estatuak	<i>noun</i><br><ol><li>statue</li></ol>
estetoskopio|estetoskopiotara|estetoskopioengatik|estetoskopiotaraino|estetoskopioko|estetoskopioetara|estetoskopioetarantz|estetoskopiorekin|estetoskopiotik|estetoskopiotzat|estetoskopioarekin|estetoskopioetan|estetoskopioekin|estetoskopiotako|estetoskopioz|estetoskopiora|estetoskopioaren|estetoskopioari|estetoskopiotan|estetoskopiorik|estetoskopioetaraino|estetoskopioarengatik|estetoskopiorako|estetoskopioetatik|estetoskopioan|estetoskopioek|estetoskopiorantz|estetoskopioetarako|estetoskopioak|estetoskopiotarako|estetoskopioetako|estetoskopioen|estetoskopioez|estetoskopiorentzat|estetoskopioarentzat|estetoskopioa|estetoskopioei|estetoskopiorengatik|estetoskopiok|estetoskopiotarantz|estetoskopiotatik|estetoskopioraino|estetoskopioentzat|estetoskopioren|estetoskopiori|estetoskopioaz	<i>noun</i><br><ol><li>stethoscope</li></ol>
estoniar|estoniarrarengatik|estoniarraz|estoniarrarengana|estoniarraren|estoniartzat|estoniarrik|estoniarrenganako|estoniarrengatik|estoniarrarenganaino|estoniarrarekin|estoniarrarenganantz|estoniarrei|estoniarrenganaino|estoniarrenganantz|estoniarrek|estoniarrarengan|estoniarrarentzat|estoniarrekin|estoniarrarenganako|estoniarrengana|estoniarren|estoniarrengan|estoniarrez|estoniarri|estoniarrengandik|estoniarrak|estoniarrentzat|estoniarra|estoniarrari|estoniarrarengandik	<i>adj</i><br><ol><li>Estonian</li></ol><br><i>noun</i><br><ol><li>An Estonian person (man or woman)</li></ol>
estoniera|estonieran|estonierak|estonierarik|estonierarekin|estonierari|estonierarentzat|estonierarengatik|estonieraz|estonieraren|estonieratzat	<i>noun</i><br><ol><li>The Estonian language</li></ol>
estralurtar|estralurtarraren|estralurtarra|estralurtarrarengandik|estralurtarrez|estralurtarrekin|estralurtarrengatik|estralurtarretaraino|estralurtarri|estralurtarrenganako|estralurtarretako|estralurtarreko|estralurtarren|estralurtarrago|estralurtarrak|estralurtarrengandik|estralurtarrarengan|estralurtarretik|estralurtarrei|estralurtarretarantz|estralurtarrarenganantz|estralurtarrera|estralurtarrentzat|estralurtarretatik|estralurtarrean|estralurtarrengana|estralurtarrarenganako|estralurtarrenganantz|estralurtarretarako|estralurtarrenganaino|estralurtarrengan|estralurtarrerako|estralurtarrari|estralurtarrarentzat|estralurtarrarekin|estralurtarrarengana|estralurtarrarengatik|estralurtarretara|estralurtarrerantz|estralurtarrarenganaino|estralurtarrik|estralurtartzat|estralurtarrek|estralurtarraz|estralurtarreraino|estralurtarretan|estralurtarregi	<i>adj</i><br><ol><li>extraterrestrial, alien</li></ol><br><i>noun</i><br><ol><li>extraterrestrial, alien</li></ol>
estrata|estratetarako|estratekin|estratatatik|estratara|estratek|estrataraino|estrataz|estrataren|estratarekin|estratatarako|estratak|estratetaraino|estratetarantz|estratetara|estratako|estratarantz|estratari|estratatik|estratarik|estratetatik|estratatan|estratetan|estratetako|estratan|estratatara|estratatarantz|estratengatik|estratarentzat|estratatzat|estratei|estratentzat|estratataraino|estratatako|estraten|estratez|estratarako|estratarengatik	<i>noun</i><br><ol><li>road, path</li><li>narrow path between houses, gates, etc...</li></ol>
eta|etentzat|etek|etaraino|etatatik|etatarantz|etarako|etengatik|etatarako|eten|etetarantz|etarantz|etetatik|etatan|etarekin|etan|etarik|etetaraino|etarengatik|etatako|etetara|etako|etekin|etara|etetako|ta|etaren|etataraino|etatara|etetarako|etetan|etarentzat|etatik|etei|etari|etak|etatzat|etaz|etez	<i>conj</i><br><ol><li>and</li><li>(mathematics) plus, and</li><li>upon, after</li><li>(Southern) since, because</li></ol><br><i>noun</i><br><ol><li>eta (Greek letter)</li></ol>
eta abar|etab.	<i>adv</i><br><ol><li>et cetera (and so on)</li></ol>
eten|etetearekin|eteteez|eteterekin|eteteekin|eteteetara|eteteren|etetek|etetea|etetera|eteteraino|etetetan|eteteetan|eteten|eteteaz|etetetara|eteteko|etete|eteteetatik|eteteengatik|eteteen|eteterentzat|etetetarako|eteterako|eteterengatik|etetetako|eteteek|eteteetaraino|etetearengatik|eteteentzat|etetean|etengo|etetetik|eteteri|eteteak|etetetaraino|eteteetarantz|etetetatik|eteterik|eteteetarako|etetearen|eteteei|etetetarantz|eteteari|etetez|etetetzat|eteterantz|etetearentzat|eteteetako	<i>verb</i><br><ol><li>break, separate</li><li>stop, interrupt</li></ol>
etor	<i>verb</i><br><ol><li>Short form of etorri.</li></ol>
