'eee	<i>particle</i><br><ol><li>yes</li></ol>
koonenadii	<i>noun</i><br><ol><li>problem, issue</li></ol>
koyojinña	<i>adv</i><br><ol><li>(Maquiritari mythology) in the underground and underwater world, inhabited by dangerous supernatural beings</li></ol>
ku'chui	<i>noun</i><br><ol><li>the kinkajou, Potos flavus</li></ol>
ku'jö	<i>noun</i><br><ol><li>lake, pool</li></ol>
kudaimaadu	<i>noun</i><br><ol><li>(De'kwana dialect) the variegated tinamou, Crypturellus variegatus</li></ol>
kudaimadu	<i>noun</i><br><ol><li>(Ye'kwana dialect) the variegated tinamou, Crypturellus variegatus</li></ol>
kudata	<i>noun</i><br><ol><li>a kind of reed, Iriartella setigera, used to make the inner part of a blowgun</li><li>blowgun</li></ol>
kudawa	<i>noun</i><br><ol><li>a plant, Bromelia pinguin</li><li>curare, a poison made from Strychnos toxifera</li></ol>
kudewa	<i>noun</i><br><ol><li>the orange-winged parrot, Amazona amazonica</li></ol>
kudiyada	<i>noun</i><br><ol><li>curiara, dugout canoe</li></ol>
kudumö	<i>noun</i><br><ol><li>the greater yellow-headed vulture, Cathartes melambrotus</li><li>the black vulture, Coragyps atratus</li></ol>
kuje	<i>noun</i><br><ol><li>epilepsy</li><li>tiger spirit</li></ol>
kujedö	<i>verb</i><br><ol><li>(transitive) to drive crazy</li></ol>
kujeje	<i>adv</i><br><ol><li>being crazy or senile</li></ol>
kujeta	<i>verb</i><br><ol><li>(intransitive, patientive) to go crazy</li></ol>
kuji	<i>verb</i><br><ol><li>(transitive) to clear or cut down undergrowth</li></ol>
kuku	<i>noun</i><br><ol><li>a life-sized figure constructed from tree branches and other natural materials, symbolically killed in the aji'choto weja'kadü ritual</li></ol>
kushi	<i>noun</i><br><ol><li>(Ye'kwana dialect) pig</li><li>(De'kwana dialect) a kind of lightly fermented drink made from cassava</li></ol>
kushishi	<i>noun</i><br><ol><li>the rainbow boa, Epicrates cenchria</li></ol>
kushu'kushu	<i>noun</i><br><ol><li>the Brazilian squirrel, Sciurus aestuans</li></ol>
kusshi	<i>noun</i><br><ol><li>(Ye'kwana dialect) a kind of lightly fermented drink made from cassava</li></ol>
kuta	<i>noun</i><br><ol><li>semen, sperm</li></ol>
kuushi	<i>noun</i><br><ol><li>(De'kwana dialect) pig</li></ol>
kuyuwi	<i>noun</i><br><ol><li>the indigo snake, Drymarchon corais</li><li>the blue-throated piping guan, Pipile cumanensis</li></ol>
kwai	<i>postp</i><br><ol><li>through, by; indicates motion by way of an aquatic object</li></ol>
kwaka	<i>postp</i><br><ol><li>at, in, on, to; indicates a specific location or goal at an aquatic object</li></ol>
kwawö	<i>postp</i><br><ol><li>at, in, on; indicates a generic location at an aquatic object</li></ol>
kwe'kwedu	<i>noun</i><br><ol><li>the bush dog, Speothos venaticus</li></ol>
kö'tümü|kö'tünnö	<i>verb</i><br><ol><li>(intransitive, patientive) to shout, cry out</li></ol>
kö'tünnö	<i>noun</i><br><ol><li>voice</li><li>shout, cry</li></ol>
kömje	<i>adv</i><br><ol><li>being cold</li></ol>
kömu	<i>noun</i><br><ol><li>(De'kwana dialect) oldest child (of a man), where ‘child’ has the scope of nne (sons, daughters, children of a brother or sister of the same sex, etc.)</li><li>(De'kwana dialect) son-in-law (of a man)</li></ol>
kömusa'kö	<i>noun</i><br><ol><li>(De'kwana dialect) son-in-law (of a woman)</li></ol>
könkwö	<i>noun</i><br><ol><li>(De'kwana dialect, diminutive) son-in-law of a man</li></ol>
küdatai	<i>noun</i><br><ol><li>grasshopper</li></ol>
küdayü	<i>noun</i><br><ol><li>the cricket-vine, Fridericia chica, whose leaves are dried and boiled to make reddish dye for staining gourds and basket strips</li></ol>
küdede	<i>noun</i><br><ol><li>(De'kwana dialect) manioc, cassava, yuca, Manihot esculenta</li></ol>
kümü	<i>noun</i><br><ol><li>(large) knife, machete</li></ol>
kümü'kö	<i>noun</i><br><ol><li>knife</li></ol>
kümütüdi	<i>noun</i><br><ol><li>termite nest of a particular kind of white termite, in which the placenta of a newborn child is traditionally buried</li></ol>
künnotto|künno'to|kün'notö	<i>noun</i><br><ol><li>the common lancehead or fer-de-lance, Bothrops atrox</li></ol>
künoto	<i>noun</i><br><ol><li>the cornbird or crested oropendola, Psarocolius decumanus</li></ol>
künwanno|^Y üwü|ewü|nña|küwü|^Y ömödö|amödö|tüwü|tünwanno|önwanno|künwanno	<i>pron</i><br><ol><li>the first-person inclusive plural pronoun; me and all of you, we (inclusive).</li></ol>
kütto|kü'to	<i>noun</i><br><ol><li>tree frog of genus Hyla</li><li>ditch frog of genus Leptodactylus</li><li>a zoomorphic basket design representing a frog in the form of a rectangle with four forward-curving L-shaped legs</li><li>an unidentified constellation, the Frog</li><li>a species of fish</li></ol>
küwü|^Y üwü|ewü|nña|tüwü|^Y ömödö|amödö|küwü|tünwanno|önwanno|künwanno	<i>pron</i><br><ol><li>the first-person inclusive dual pronoun; you and I, me and you, the two of us.</li></ol>
maada	<i>noun</i><br><ol><li>herb(s) used for magical purposes</li></ol>
maadi	<i>noun</i><br><ol><li>(De'kwana dialect) the capped heron, Pilherodius pileatus</li></ol>
maadö|ñöödö|mö'kü|^Y ñö'dö|kanno|mööyö|möönü|eesemjo|^Y möñö|mödö|^Y nñanno|yöötö|möötö|^Y e'dö|unwaa|sadö|iyö|möntö|mökkü|maadö|mönsemjo|mö'dö|^Y mönö|aneeseja|ñanno|makkamo|mönse|inña|ma'kamo|edö|eese|^Y iiyö|eetö	<i>adv</i><br><ol><li>around there</li></ol>
madaka	<i>noun</i><br><ol><li>maraca, a gourd rattle filled with widiki crystals and used by shamans as a tool for their work</li></ol>
madi	<i>noun</i><br><ol><li>(Ye'kwana dialect) the capped heron, Pilherodius pileatus</li></ol>
mado	<i>noun</i><br><ol><li>the jaguar, Panthera onca</li></ol>
mado jedü	<i>noun</i><br><ol><li>a basket design pattern resembling two square brackets linked by a center line (see image)</li></ol>
maduda	<i>noun</i><br><ol><li>the giant armadillo, Priodontes maximus</li></ol>
madudaimö	<i>noun</i><br><ol><li>a kind of mahogany, Cedrela sp., used to make yuca graters</li></ol>
majaya	<i>noun</i><br><ol><li>papaya, Carica papaya</li></ol>
majewa	<i>noun</i><br><ol><li>the blue morpho butterfly, Morpho sp.</li></ol>
makkamo|ñöödö|mö'kü|^Y ñö'dö|kanno|mööyö|möönü|eesemjo|^Y möñö|mödö|^Y nñanno|yöötö|möötö|^Y e'dö|unwaa|sadö|iyö|möntö|mökkü|maadö|mönsemjo|mö'dö|^Y mönö|aneeseja|ñanno|makkamo|mönse|inña|ma'kamo|edö|eese|^Y iiyö|eetö	<i>pron</i><br><ol><li>(Ye'kwana dialect) The animate plural distal demonstrative pronoun; those.</li><li>(De'kwana dialect) The animate plural medial demonstrative pronoun; these, those.</li></ol>
makusa	<i>noun</i><br><ol><li>needle</li></ol>
manade	<i>noun</i><br><ol><li>a flat circular basket with holes between its plaiting, through which pressed yuca is forced in order to make cassava flour</li></ol>
mashemö	<i>noun</i><br><ol><li>the brown-eared woolly opossum, Caluromys lanatus</li></ol>
mashikidi	<i>noun</i><br><ol><li>the oncilla, Leopardus tigrinus</li></ol>
matutu	<i>noun</i><br><ol><li>butterfly</li></ol>
mawadi	<i>noun</i><br><ol><li>ritual pollution or taboo matter (amoi) found in fish and basketry materials, said to sometimes be visible as worms or parasites</li><li>a malevolent water spirit of fecundity that typically takes the form of an anaconda and causes floods and kidnaps people as a creation of the water goddess Wiyu</li></ol>
mayudu	<i>noun</i><br><ol><li>bead</li></ol>
me'ku'tö	<i>verb</i><br><ol><li>(transitive) to count (a quantity)</li><li>(transitive) to tell, to recount (a story)</li></ol>
meeshi	<i>noun</i><br><ol><li>cat</li></ol>
memu	<i>noun</i><br><ol><li>snail</li></ol>
mesa	<i>noun</i><br><ol><li>table</li></ol>
minñaatö	<i>noun</i><br><ol><li>a vine, Heteropsis (Araceae) spp., used as the raw material for basketry and the main material for tying and lashing in general</li></ol>
minñaatö tukatojo	<i>noun</i><br><ol><li>a Heteropsis (Araceae) spp. vine of lesser sturdiness, used to complete the outside of a basket and form its design</li></ol>
minñaatö yadadü	<i>noun</i><br><ol><li>a Heteropsis (Araceae) spp. vine of greater sturdiness, used to make up the frame of the outside strips of a basket</li></ol>
mm'jm	<i>particle</i><br><ol><li>no</li></ol>
mmaa	<i>noun</i><br><ol><li>(De'kwana dialect) house</li></ol>
mmjm	<i>particle</i><br><ol><li>yes</li></ol>
modoi	<i>noun</i><br><ol><li>a kind of non-biting spider</li></ol>
monse	<i>noun</i><br><ol><li>Lichtenstein's green racer, Philodryas olfersii</li></ol>
motto	<i>noun</i><br><ol><li>a kind of long earthworm or caecilian used as a sacred food during major life events and at the end of any fast</li></ol>
mottoo	<i>noun</i><br><ol><li>(Ye'kwana dialect) a kind of long earthworm or caecilian used as a sacred food during major life events and at the end of any fast</li></ol>
mude'kö	<i>noun</i><br><ol><li>(De'kwana dialect) child, from the time when it learns to walk until puberty</li></ol>
mudeshi	<i>noun</i><br><ol><li>(De'kwana dialect) youth, bachelor, unmarried but eligible young person</li></ol>
mudu	<i>noun</i><br><ol><li>tongue</li></ol>
mudukuku	<i>noun</i><br><ol><li>food, edibles</li></ol>
muna	<i>noun</i><br><ol><li>the boto or Amazon River dolphin, Inia geoffrensis</li></ol>
munta	<i>verb</i><br><ol><li>(intransitive, patientive) to bleed</li><li>(intransitive, patientive) to menstruate</li></ol>
munu	<i>noun</i><br><ol><li>blood</li></ol>
muude	<i>noun</i><br><ol><li>seat, bench</li></ol>
muudu	<i>noun</i><br><ol><li>the tambaqui, Colossoma macropomum</li><li>the pirapitinga, Piaractus brachypomus</li></ol>
muwaju	<i>noun</i><br><ol><li>loincloth made of colorful beads strung on cotton threads, traditionally worn and woven by women</li></ol>
mö'dö|ñöödö|mö'kü|^Y ñö'dö|kanno|mööyö|möönü|eesemjo|^Y möñö|mödö|^Y nñanno|yöötö|möötö|^Y e'dö|unwaa|sadö|iyö|möntö|mökkü|maadö|mönsemjo|mö'dö|^Y mönö|aneeseja|ñanno|makkamo|mönse|inña|ma'kamo|edö|eese|^Y iiyö|eetö	<i>pron</i><br><ol><li>The animate singular proximal demonstrative pronoun; this.</li></ol>
mödö|ñöödö|mö'kü|^Y ñö'dö|kanno|mööyö|möönü|eesemjo|^Y möñö|^Y nñanno|mödö|yöötö|möötö|^Y e'dö|unwaa|sadö|iyö|möntö|mökkü|maadö|mönsemjo|mö'dö|^Y mönö|aneeseja|ñanno|makkamo|mönse|inña|ma'kamo|edö|eese|^Y iiyö|eetö	<i>pron</i><br><ol><li>(Ye'kwana dialect) The inanimate medial demonstrative pronoun; this, these, that, those.</li></ol>
mökkü|ñöödö|mö'kü|^Y ñö'dö|kanno|mööyö|möönü|eesemjo|^Y möñö|mödö|^Y nñanno|yöötö|möötö|^Y e'dö|unwaa|sadö|iyö|möntö|maadö|mökkü|mönsemjo|mö'dö|^Y mönö|aneeseja|ñanno|makkamo|mönse|inña|ma'kamo|edö|eese|^Y iiyö|eetö	<i>pron</i><br><ol><li>(Ye'kwana dialect) The animate singular distal demonstrative pronoun; that.</li><li>(De'kwana dialect) The animate singular medial demonstrative pronoun; this, that.</li></ol>
mönse|ñöödö|mö'kü|^Y ñö'dö|kanno|mööyö|möönü|eesemjo|^Y möñö|mödö|^Y nñanno|yöötö|möötö|^Y e'dö|unwaa|sadö|iyö|möntö|mökkü|maadö|mönsemjo|mö'dö|^Y mönö|aneeseja|ñanno|makkamo|mönse|inña|ma'kamo|edö|eese|^Y iiyö|eetö	<i>adv</i><br><ol><li>there (in another division or unit of land)</li></ol>
mönsemjo|ñöödö|mö'kü|^Y ñö'dö|kanno|mööyö|möönü|eesemjo|^Y möñö|mödö|^Y nñanno|yöötö|möötö|^Y e'dö|unwaa|sadö|iyö|möntö|mökkü|maadö|mönsemjo|mö'dö|^Y mönö|aneeseja|ñanno|makkamo|mönse|inña|ma'kamo|edö|eese|^Y iiyö|eetö	<i>adv</i><br><ol><li>there (on that shore, on that side of a watercourse)</li></ol>
möntö|ñöödö|mö'kü|^Y ñö'dö|kanno|mööyö|möönü|eesemjo|^Y möñö|mödö|^Y nñanno|yöötö|möötö|^Y e'dö|unwaa|sadö|iyö|möntö|mökkü|maadö|mönsemjo|mö'dö|^Y mönö|aneeseja|ñanno|makkamo|mönse|inña|ma'kamo|edö|eese|^Y iiyö|eetö	<i>adv</i><br><ol><li>there (obviative in relation to möötö: at that other place, at that further-away place)</li></ol>
mönö|ñöödö|mö'kü|^Y ñö'dö|kanno|mööyö|möönü|eesemjo|^Y möñö|mödö|^Y nñanno|yöötö|möötö|^Y e'dö|unwaa|sadö|iyö|möntö|mökkü|maadö|mönsemjo|mö'dö|^Y mönö|aneeseja|ñanno|makkamo|mönse|inña|ma'kamo|edö|eese|^Y iiyö|eetö	<i>pron</i><br><ol><li>(De'kwana dialect) The inanimate medial demonstrative pronoun; this, these, that, those.</li></ol>
möñö|ñöödö|mö'kü|^Y ñö'dö|kanno|mööyö|möönü|eesemjo|^Y möñö|mödö|^Y nñanno|yöötö|möötö|^Y e'dö|unwaa|sadö|iyö|möntö|mökkü|maadö|mönsemjo|mö'dö|^Y mönö|aneeseja|ñanno|makkamo|mönse|inña|ma'kamo|edö|eese|^Y iiyö|eetö	<i>pron</i><br><ol><li>(De'kwana dialect, regional) Synonym of mö'dö (animate singular proximal demonstrative pronoun)</li></ol>
möönü|ñöödö|mö'kü|^Y ñö'dö|kanno|mööyö|möönü|eesemjo|^Y möñö|mödö|^Y nñanno|yöötö|möötö|^Y e'dö|unwaa|sadö|iyö|möntö|mökkü|maadö|mönsemjo|mö'dö|^Y mönö|aneeseja|ñanno|makkamo|mönse|inña|ma'kamo|edö|eese|^Y iiyö|eetö	<i>pron</i><br><ol><li>(Ye'kwana dialect) The inanimate distal demonstrative pronoun; that, those.</li></ol>
möötö|ñöödö|mö'kü|^Y ñö'dö|kanno|mööyö|möönü|eesemjo|^Y möñö|mödö|^Y nñanno|yöötö|möötö|^Y e'dö|unwaa|sadö|iyö|möntö|mökkü|maadö|mönsemjo|mö'dö|^Y mönö|aneeseja|ñanno|makkamo|mönse|inña|ma'kamo|edö|eese|^Y iiyö|eetö	<i>adv</i><br><ol><li>there (at that place)</li><li>then (at that moment)</li></ol>
mööyö|ñöödö|mö'kü|^Y ñö'dö|kanno|mööyö|möönü|eesemjo|^Y möñö|mödö|^Y nñanno|yöötö|möötö|^Y e'dö|unwaa|sadö|iyö|möntö|mökkü|maadö|mönsemjo|mö'dö|^Y mönö|aneeseja|ñanno|makkamo|mönse|inña|ma'kamo|edö|eese|^Y iiyö|eetö	<i>pron</i><br><ol><li>(Ye'kwana dialect) The animate singular medial demonstrative pronoun; this, that.</li></ol>
mü	<i>verb</i><br><ol><li>(transitive) to tie</li></ol>
müde'kö	<i>noun</i><br><ol><li>(Ye'kwana dialect) child, from the time when it learns to walk until puberty</li></ol>
müdeshi	<i>noun</i><br><ol><li>(Ye'kwana dialect) youth, bachelor, unmarried but eligible young person</li></ol>
müdesi	<i>noun</i><br><ol><li>(Ye'kwana dialect) Alternative form of müdeshi (“youth”)</li></ol>
müdo	<i>noun</i><br><ol><li>the great potoo, Nyctibius grandis</li><li>the common potoo, Nyctibius griseus</li></ol>
münatata	<i>noun</i><br><ol><li>door</li></ol>
münötö	<i>noun</i><br><ol><li>scorpion</li></ol>
na'kwaka|na'kukwa	<i>adv</i><br><ol><li>in the water, in the river</li></ol>
na'kwaka ökato	<i>noun</i><br><ol><li>Synonym of tuna awono ökato (“water spirit, reflection in the water”).</li></ol>
na'kwakano|na'kukwano	<i>noun</i><br><ol><li>fish, when in the water</li></ol>
naatü'tö	<i>verb</i><br><ol><li>(transitive) to plant, to sow</li></ol>
natü	<i>noun</i><br><ol><li>plant</li></ol>
ne'a	<i>particle</i><br><ol><li>Allomorph of de'a (“still, again, at the same time or place”) used after words that end in nö or dü.</li></ol>
neene	<i>adv</i><br><ol><li>(De'kwana dialect) truly, really</li></ol>
nkaköi	<i>postp</i><br><ol><li>above, on top of</li></ol>
nkakökö	<i>postp</i><br><ol><li>over (with movement past)</li></ol>
nkawö	<i>postp</i><br><ol><li>above, on top of</li></ol><br><i>noun</i><br><ol><li>shoulder</li></ol>
nkayedö	<i>postp</i><br><ol><li>behind</li></ol>
nkayekökö	<i>postp</i><br><ol><li>behind (with movement past)</li></ol>
nma	<i>noun</i><br><ol><li>(Ye'kwana dialect) house</li></ol>
nne|nnakomo	<i>noun</i><br><ol><li>child, offspring; son or daughter</li><li>(in relation to a man) brother’s son or daughter, fraternal niece or nephew</li><li>(in relation to a woman) sister’s son or daughter, sororal niece or nephew</li><li>father’s brother’s son’s son or daughter</li><li>mother’s sister’s son’s son or daughter</li><li>father’s sister’s daughter’s son or daughter</li><li>mother’s brother’s daughter’s son or daughter</li></ol>
nnü	<i>noun</i><br><ol><li>thing, belonging, property</li></ol>
no'samo|no'shamo	<i>noun</i><br><ol><li>elder; mature or old woman</li></ol>
no'samo'kö	<i>noun</i><br><ol><li>elder; mature or old woman</li></ol>
nono	<i>noun</i><br><ol><li>earth, soil</li><li>earth, world beneath the sky</li><li>dry land</li></ol>
nono aküdü	<i>noun</i><br><ol><li>a kind of caecilian or amphisbaenian said to feed on the dead and be an omen of death, and to cause bad dreams in children</li></ol>
nonojo ajimadü	<i>noun</i><br><ol><li>a ceremonial chant performed as a baby learns to walk</li></ol>
nonojoichö	<i>adv</i><br><ol><li>being low, tiny, close to the ground</li></ol>
nootü|aicha	<i>noun</i><br><ol><li>grandmother</li></ol>
nosaje	<i>adv</i><br><ol><li>(Ye'kwana dialect) being dirty</li></ol>
nossaje	<i>adv</i><br><ol><li>(De'kwana dialect) being dirty</li></ol>
nta	<i>noun</i><br><ol><li>mouth</li></ol>
nuunö	<i>noun</i><br><ol><li>moon</li><li>month</li></ol>
nuunö awono ökato	<i>noun</i><br><ol><li>Synonym of nuunö ekato (“moon spirit, shadow cast by the moon”).</li></ol>
nuunö ekato	<i>noun</i><br><ol><li>shadow cast by the moon</li><li>one of the several doubles or spirits (ökato) possessed by each person, namely the one said to have its home in the moon, to be profoundly malevolent, to oppose the shii ekato, and to return to the moon at death, where it suffers and burns forever, having absorbed all the evil thoughts and actions of the dead person</li></ol>
nuwa	<i>noun</i><br><ol><li>(De'kwana dialect) brother</li></ol>
nuwe	<i>adv</i><br><ol><li>being long</li><li>being big, large</li></ol>
nwa'köi|nwakköi	<i>postp</i><br><ol><li>at the bottom of</li></ol>
nwakökkö	<i>postp</i><br><ol><li>past or by way of the bottom of</li></ol>
nwawö	<i>postp</i><br><ol><li>down, to the bottom of</li></ol>
nña|^Y üwü|ewü|nña|küwü|^Y ömödö|amödö|tüwü|tünwanno|önwanno|künwanno	<i>pron</i><br><ol><li>the first-person exclusive dual pronoun; he and I, she and I, it and I.</li></ol>
nñanno|ñöödö|mö'kü|^Y ñö'dö|kanno|mööyö|möönü|eesemjo|^Y möñö|mödö|^Y nñanno|yöötö|möötö|^Y e'dö|unwaa|sadö|iyö|möntö|mökkü|maadö|mönsemjo|mö'dö|^Y mönö|aneeseja|ñanno|makkamo|mönse|inña|ma'kamo|edö|eese|^Y iiyö|eetö	<i>pron</i><br><ol><li>(De'kwana dialect) The animate plural distal demonstrative pronoun; those.</li></ol>
nü|mama|maama	<i>noun</i><br><ol><li>mother</li><li>mother’s sister, maternal aunt</li><li>father’s brother’s wife</li></ol>
nünnöjü	<i>verb</i><br><ol><li>(transitive) to put to sleep</li></ol>
o'do'jö	<i>adv</i><br><ol><li>being drunk</li></ol>
o'doku	<i>verb</i><br><ol><li>(intransitive, agentive) to get drunk</li></ol>
o'joiyakökö	<i>postp</i><br><ol><li>above (with movement past)</li></ol>
o'joiye	<i>postp</i><br><ol><li>above</li></ol>
o'köi	<i>postp</i><br><ol><li>under, below</li></ol>
o'kökö	<i>postp</i><br><ol><li>under, below (with movement below and past)</li></ol>
o'nö	<i>postp</i><br><ol><li>under, below</li></ol>
o'taajo	<i>noun</i><br><ol><li>fish that has been caught, food fish</li></ol>
odo'shankomo	<i>noun</i><br><ol><li>(plural only) the people of Odo'sha, demons, evil spirits (other than those of the water)</li></ol>
odoma	<i>noun</i><br><ol><li>the lowland paca, Cuniculus paca</li></ol>
oima	<i>verb</i><br><ol><li>(transitive) to mix</li></ol>
oneja	<i>verb</i><br><ol><li>to test, to try out</li><li>to measure</li><li>to show, to demonstrate</li></ol>
ontunnanüjü	<i>verb</i><br><ol><li>(intransitive, agentive) to suffer</li></ol>
onwatü	<i>verb</i><br><ol><li>to wash one's hands</li></ol>
ooje	<i>adv</i><br><ol><li>(Ye'kwana dialect) much, a lot, many</li></ol>
oojoima	<i>verb</i><br><ol><li>(intransitive, agentive) to take steps, to walk</li></ol>
oonuku	<i>verb</i><br><ol><li>(intransitive, patientive) to rise, to go up</li></ol>
oowanoma	<i>verb</i><br><ol><li>(intransitive, agentive) to learn</li></ol>
oowashinchö	<i>verb</i><br><ol><li>(De'kwana dialect, intransitive, agentive) to eat</li></ol>
oowotuja	<i>verb</i><br><ol><li>(intransitive, agentive) to give advice</li></ol>
ossono	<i>adv</i><br><ol><li>(Ye'kwana dialect, interrogative) which?</li></ol>
otoneja	<i>verb</i><br><ol><li>to struggle, to fight</li><li>to weigh oneself, test oneself, measure oneself</li></ol>
owadöödö	<i>postp</i><br><ol><li>conscious of, aware of</li></ol>
owajo	<i>postp</i><br><ol><li>before, prior to</li><li>before, in front of</li></ol>
owano	<i>noun</i><br><ol><li>acquaintance, known person</li></ol>
owanoma	<i>verb</i><br><ol><li>(transitive) to teach</li></ol>
owanomanei	<i>noun</i><br><ol><li>(Ye'kwana dialect) teacher</li></ol>
owanökö	<i>postp</i><br><ol><li>familiar or acquainted with</li></ol>
sa'da'da	<i>noun</i><br><ol><li>(De'kwana dialect) sand</li></ol>
sa'dada	<i>noun</i><br><ol><li>(Ye'kwana dialect) sand</li></ol>
sa'donna	<i>adv</i><br><ol><li>being straight</li></ol>
sa'taje	<i>adv</i><br><ol><li>being delicate</li></ol>
saaku	<i>noun</i><br><ol><li>sweet potato, Ipomoea batatas</li></ol>
saayu	<i>noun</i><br><ol><li>salt</li><li>broad wrist bracelet made of white beads</li></ol>
sadamma	<i>verb</i><br><ol><li>(transitive) to split in half, to divide</li></ol>
sadodo	<i>noun</i><br><ol><li>the neotropical otter, Lontra longicaudis</li></ol>
sadö|ñöödö|mö'kü|^Y ñö'dö|kanno|mööyö|möönü|eesemjo|^Y möñö|mödö|^Y nñanno|yöötö|möötö|^Y e'dö|unwaa|sadö|iyö|möntö|mökkü|maadö|mönsemjo|mö'dö|^Y mönö|aneeseja|ñanno|makkamo|mönse|inña|ma'kamo|edö|eese|^Y iiyö|eetö	<i>adv</i><br><ol><li>around here</li></ol>
sajadadi	<i>noun</i><br><ol><li>iron</li></ol>
sajatu	<i>noun</i><br><ol><li>shoe</li></ol>
sakasakadi	<i>noun</i><br><ol><li>the ringed kingfisher, Megaceryle torquata</li></ol>
sam	<i>noun</i><br><ol><li>zooming</li><li>(of food) stinging, biting</li></ol>
samjededu	<i>noun</i><br><ol><li>hat</li></ol>
samjuda	<i>noun</i><br><ol><li>two-headed cylindrical drum</li></ol>
samm	<i>noun</i><br><ol><li>zooming</li><li>(of food) stinging, biting</li></ol>
sasamadi	<i>noun</i><br><ol><li>the hoatzin, Opisthocomus hoazin</li></ol>
sawiya	<i>noun</i><br><ol><li>adornment, ornament</li></ol>
se'kö	<i>adv</i><br><ol><li>(Ye'kwana dialect) being small, little</li></ol>
se'seedu	<i>noun</i><br><ol><li>flute</li></ol>
se'wadö	<i>adv</i><br><ol><li>vertically, being vertical</li></ol>
sedede'shemö	<i>noun</i><br><ol><li>the South American rattlesnake, Crotalus durissus</li></ol>
seedeta	<i>verb</i><br><ol><li>(Ye'kwana dialect, intransitive, patientive) to dry</li></ol>
seemeka	<i>verb</i><br><ol><li>(Ye'kwana dialect, transitive) to sweep</li></ol>
seene	<i>adv</i><br><ol><li>(Ye'kwana dialect) being green or blue, grue</li><li>(Ye'kwana dialect) being unripe, green</li></ol>
seicha	<i>verb</i><br><ol><li>to cut, to chop</li><li>to sand down, to rub smooth, to polish</li><li>to tie</li></ol>
sejje	<i>noun</i><br><ol><li>intelligence, wisdom</li><li>Synonym of önu ekato (“eye spirit”)</li></ol>
sekumje	<i>adv</i><br><ol><li>being lame (unable to walk properly)</li></ol>
semiyo	<i>adv</i><br><ol><li>being folded, bent</li></ol>
seweicha	<i>verb</i><br><ol><li>(intransitive, patientive) to redden</li><li>(intransitive, patientive) to ripen</li></ol>
seweiche	<i>adv</i><br><ol><li>being red</li><li>being ripe</li></ol>
shaaku	<i>noun</i><br><ol><li>potato</li></ol>
shajoko	<i>noun</i><br><ol><li>toucan, in particular Cuvier's toucan, Ramphastos tucanus cuvieri</li></ol>
she'kö	<i>adv</i><br><ol><li>(De'kwana dialect) being small, little</li></ol>
she'se'dü	<i>noun</i><br><ol><li>cassava ashes</li></ol>
shecha'jüdü	<i>noun</i><br><ol><li>shavings</li></ol>
sheemeka	<i>verb</i><br><ol><li>(De'kwana dialect, transitive) to sweep</li></ol>
sheene	<i>adv</i><br><ol><li>(De'kwana dialect) being green or blue, grue</li><li>(De'kwana dialect) being unripe, green</li></ol>
sheicha	<i>verb</i><br><ol><li>to cut, to chop</li><li>to sand down, to rub smooth, to polish</li><li>to tie</li></ol>
sheu	<i>noun</i><br><ol><li>the South American coati, Nasua nasua</li></ol>
shi'mana	<i>noun</i><br><ol><li>the ocelot, Leopardus pardalis</li></ol>
shidichö	<i>noun</i><br><ol><li>star</li><li>a year’s time</li></ol>
shidishana	<i>noun</i><br><ol><li>Yanomami</li></ol>
shidishidi	<i>noun</i><br><ol><li>cricket</li><li>cockroach</li></ol>
shidiyo'ka	<i>noun</i><br><ol><li>(De'kwana dialect) long transverse necklace made of beads and seeds</li></ol>
shii	<i>noun</i><br><ol><li>sun</li><li>an indeterminate unit of time: hour, moment</li></ol>
shii awono ökato	<i>noun</i><br><ol><li>Synonym of shii ekato (“sun spirit, shadow cast by the sun”).</li></ol>
shii ekato	<i>noun</i><br><ol><li>shadow cast by the sun</li><li>one of the several doubles or spirits (ökato) possessed by each person, namely the one said to have its home in the sun, to be somewhat benevolent, to oppose the nuunö ekato, and to return to the sun at death</li></ol>
shiichu	<i>noun</i><br><ol><li>baby</li></ol>
shiichu ewüttü	<i>noun</i><br><ol><li>womb, uterus</li></ol>
shiichu wamodetatojo	<i>noun</i><br><ol><li>ovaries</li></ol>
shiichu weja'kadü	<i>noun</i><br><ol><li>public ceremonial chant (ödemi) sung when bringing a newborn out of the village roundhouse for the first time, after its umbilical cord has fallen off, symbolically introducing it to the world</li></ol>
shiichu'kö	<i>noun</i><br><ol><li>baby</li></ol>
shiji	<i>noun</i><br><ol><li>sound produced by demons</li></ol>
shimada	<i>noun</i><br><ol><li>arrow (weapon)</li></ol>
shojj	<i>noun</i><br><ol><li>gushing down, falling, as of water in a stream</li></ol>
shokodododo	<i>noun</i><br><ol><li>rapid dripping</li></ol>
shooka	<i>verb</i><br><ol><li>(De'kwana dialect, transitive) to pierce, to puncture</li><li>(De'kwana dialect, transitive) to sew</li></ol>
sichö	<i>noun</i><br><ol><li>the chigoe flea or jigger, Tunga penetrans</li></ol>
sidichö	<i>noun</i><br><ol><li>star</li><li>a year’s time</li></ol>
sidisidi	<i>noun</i><br><ol><li>cricket</li><li>cockroach</li></ol>
sidiwö	<i>postp</i><br><ol><li>right behind, behind and attached to</li></ol>
sidiyokwa	<i>noun</i><br><ol><li>(Ye'kwana dialect) long transverse necklace made of beads and seeds</li></ol>
