Aaden	<i>noun</i><br><ol><li>harvest</li></ol>
Stroal	<i>noun</i><br><ol><li>arrow</li></ol>
Strukelje	<i>name</i><br><ol><li>Strücklingen (a municipality of Saterland, Germany)</li></ol>
Strunt	<i>noun</i><br><ol><li>dung, faeces</li><li>dirt, filth</li></ol>
Sträite|Sträiten	<i>noun</i><br><ol><li>street</li></ol>
Stuk	<i>noun</i><br><ol><li>piece</li></ol>
Stäf|Steeuwe	<i>noun</i><br><ol><li>rod; staff; stave</li></ol>
Stäit|Stäite	<i>noun</i><br><ol><li>(Romelse, Skäddel) tail</li><li>(Romelse, Skäddel) panhandle</li></ol>
Stääd|Steden|Stede	<i>noun</i><br><ol><li>town, city</li></ol>
Stääk	<i>noun</i><br><ol><li>sting, prick, stitch</li></ol>
Stíekel|Stíekele	<i>noun</i><br><ol><li>spike, prickle, sting</li></ol>
Stíekelswien|Stíekelswiene	<i>noun</i><br><ol><li>porcupine</li></ol>
Stöävel	<i>noun</i><br><ol><li>boot (shoe)</li></ol>
Sude	<i>noun</i><br><ol><li>south</li></ol>
Sukker	<i>noun</i><br><ol><li>sugar</li></ol>
Sundai|Sundege	<i>noun</i><br><ol><li>Sunday</li></ol>
Sunderkloas	<i>name</i><br><ol><li>Saint Nicholas in a folkloric incarnation, who (in the Low Countries and other parts of Europe) gives presents to children.</li></ol>
Sunderkloaseeuwend|Sunderkloaseeuwende	<i>noun</i><br><ol><li>(Skäddel) The evening before 5 December, on which Sunderkloas brings presents to children.</li></ol>
Sunne	<i>name</i><br><ol><li>the Sun</li></ol><br><i>noun</i><br><ol><li>sun</li><li>sunburn</li></ol>
Suster|Sustere	<i>noun</i><br><ol><li>sister</li><li>nun, sister</li></ol>
Suudaaste	<i>noun</i><br><ol><li>southeast</li></ol>
Suudwääste	<i>noun</i><br><ol><li>southwest</li></ol>
Suumer	<i>noun</i><br><ol><li>summer</li></ol>
Suurge|Sourge	<i>noun</i><br><ol><li>sorrow; grief</li><li>worry; care</li></ol>
Swien|Swiene	<i>noun</i><br><ol><li>pig, swine</li></ol>
Swieuwel	<i>noun</i><br><ol><li>sulfur (chemical element, S, atomic number 16)</li></ol>
Swinneflaask	<i>noun</i><br><ol><li>pork (type of meat)</li></ol>
Swoalke|Swoolke|Swoolkene|Swoalkene	<i>noun</i><br><ol><li>swallow</li></ol>
Swoan|Swoon|Swonne|Swoane|Swone|Swonnen	<i>noun</i><br><ol><li>swan</li></ol>
Swom|Swam	<i>noun</i><br><ol><li>sponge</li><li>fungus; mushroom; toadstool</li></ol>
Swoorm	<i>noun</i><br><ol><li>swarm</li></ol>
Swäid|Swiede|Swid	<i>noun</i><br><ol><li>sword</li></ol>
Swäkhaid	<i>noun</i><br><ol><li>weakness</li></ol>
Swäkte	<i>noun</i><br><ol><li>weakness</li></ol>
Säddene	<i>noun</i><br><ol><li>churn</li></ol>
Säge|Sääge|Sägen	<i>noun</i><br><ol><li>goat</li></ol>
Säid	<i>noun</i><br><ol><li>seed</li><li>sowing</li><li>insect eggs</li></ol>
Säidelsbíerig	<i>name</i><br><ol><li>Sedelsberg (a village in Saterland, Lower Saxony, Germany)</li></ol>
Säildenhaid	<i>noun</i><br><ol><li>rareness</li><li>rarity; scarcity</li></ol>
Sälskup	<i>noun</i><br><ol><li>society; fellowship</li><li>companionship; company</li><li>company; corporation</li></ol>
Sälver|Säälwer	<i>noun</i><br><ol><li>silver</li></ol>
Sände|Sänden|Säände|Säänden	<i>noun</i><br><ol><li>sin</li></ol>
Sät|Sätte	<i>noun</i><br><ol><li>jump, leap</li><li>while</li></ol>
Sääf	<i>noun</i><br><ol><li>chaff</li></ol>
Säälwersmid|Säälwersmiede	<i>noun</i><br><ol><li>silversmith</li></ol>
Säänder	<i>noun</i><br><ol><li>sinner</li></ol>
Säärke|Säärken	<i>noun</i><br><ol><li>church</li></ol>
Säärkenmúus|Säärkenmuze	<i>noun</i><br><ol><li>churchmouse (only used in äärm as n Säärkenmúus)</li></ol>
Säärse|Säärsen	<i>noun</i><br><ol><li>cherry</li></ol>
Síes	<i>noun</i><br><ol><li>cheese</li></ol>
Síesbuutje|Síesbuutjene	<i>noun</i><br><ol><li>cheese sandwich</li></ol>
Súun|Suun|Súne	<i>noun</i><br><ol><li>son</li></ol>
Taar	<i>noun</i><br><ol><li>tar</li></ol>
Takke	<i>noun</i><br><ol><li>branch; bough; limb</li></ol>
Taks|Takse	<i>noun</i><br><ol><li>badger</li></ol>
Tau|Taue	<i>noun</i><br><ol><li>rope</li></ol>
Teeged	<i>noun</i><br><ol><li>tithe</li></ol>
Teeken	<i>noun</i><br><ol><li>sign</li><li>token</li></ol>
Tichel	<i>noun</i><br><ol><li>tile</li></ol>
Tied|Tieden	<i>noun</i><br><ol><li>time</li><li>deadline</li></ol>
Tiedenge	<i>noun</i><br><ol><li>news report; message</li></ol>
Tiende	<i>noun</i><br><ol><li>prong, tine</li></ol>
Tieuwe	<i>noun</i><br><ol><li>bitch (female dog)</li></ol>
Timpe	<i>noun</i><br><ol><li>tip; point; end</li></ol>
Tin	<i>noun</i><br><ol><li>tin (metal)</li></ol>
Tip	<i>noun</i><br><ol><li>tip; point; end</li></ol>
Tit|Titte	<i>noun</i><br><ol><li>udder, teat</li><li>(vulgar) breast, tit</li></ol>
Tjoater|Tejoater	<i>noun</i><br><ol><li>theater</li></ol>
Tjoonst	<i>noun</i><br><ol><li>service; duty</li></ol>
Tjuuch	<i>noun</i><br><ol><li>gear; equipment</li><li>stuff</li></ol>
Tjuuge	<i>noun</i><br><ol><li>witness</li></ol>
Tjuugnis	<i>noun</i><br><ol><li>testimony; testimonial</li></ol>
Toacht	<i>noun</i><br><ol><li>thought</li></ol>
Tol	<i>noun</i><br><ol><li>toll; customs; duty</li></ol>
Tomate	<i>noun</i><br><ol><li>tomato</li></ol>
Tone|Tonen	<i>noun</i><br><ol><li>toe</li></ol>
Tonk	<i>noun</i><br><ol><li>thanks</li></ol>
Toom|Tome	<i>noun</i><br><ol><li>bridle</li></ol>
Top	<i>noun</i><br><ol><li>top; summit; peak</li><li>tuft</li></ol>
Touden|Tudden	<i>noun</i><br><ol><li>thorn</li><li>tower</li></ol>
Toufal	<i>noun</i><br><ol><li>fortune; chance; coincidence; happenstance</li><li>accident; fluke</li></ol>
Tougoang|Tougong|Tougoange	<i>noun</i><br><ol><li>access</li><li>admission</li><li>entrance</li></ol>
Toukumst	<i>noun</i><br><ol><li>future; futurity</li></ol>
Traast	<i>noun</i><br><ol><li>consolation, comfort</li></ol>
Trjokaant	<i>noun</i><br><ol><li>triangle</li></ol>
Troone	<i>noun</i><br><ol><li>tear (in one's eye)</li></ol>
Truuregaid	<i>noun</i><br><ol><li>sadness</li></ol>
Träid	<i>noun</i><br><ol><li>thread; wire; fibre; yarn; line</li></ol>
Träistrik|Träistrikke	<i>noun</i><br><ol><li>Synonym of Träitit</li></ol>
Träitit|Träititte	<i>noun</i><br><ol><li>cow that gives milk through three teats</li></ol>
Tucht	<i>noun</i><br><ol><li>breeding; stock</li></ol>
Tume|Tuume|Tumen|Tuumen	<i>noun</i><br><ol><li>thumb</li></ol>
Tunder	<i>noun</i><br><ol><li>tinder</li></ol>
Tunge	<i>noun</i><br><ol><li>(anatomy) tongue</li></ol>
Tusk|Tuske	<i>noun</i><br><ol><li>(Romelse, Strukelje) tooth</li></ol>
Tuskedokter|Tuskedoktere	<i>noun</i><br><ol><li>dentist</li></ol>
Tuunsdai|Tuunsdege	<i>noun</i><br><ol><li>Thursday</li></ol>
Twiech	<i>noun</i><br><ol><li>twig; branch</li></ol>
Twien	<i>noun</i><br><ol><li>thread</li><li>yarn</li></ol>
Twieuwel	<i>noun</i><br><ol><li>doubt; uncertainty</li></ol>
Twilling	<i>noun</i><br><ol><li>twin</li></ol>
Twist	<i>noun</i><br><ol><li>discord; strife</li></ol>
Twoang	<i>noun</i><br><ol><li>pressure; force; compulsion; obligation</li></ol>
Twäintit|Twäintitte	<i>noun</i><br><ol><li>cow that gives milk through two teats</li></ol>
Täine	<i>noun</i><br><ol><li>basket</li></ol>
Täisdai|Täisdege	<i>noun</i><br><ol><li>Tuesday</li></ol>
Täk|Täkke	<i>noun</i><br><ol><li>roof</li></ol>
Tälge|Tälgen	<i>noun</i><br><ol><li>(botany) seedling, sapling (young tree)</li></ol>
Tästamänt|Tästamänte	<i>noun</i><br><ol><li>will, testament</li><li>(biblical) testament</li></ol>
Täärp|Täärpe	<i>noun</i><br><ol><li>village</li></ol>
Tíerm|Tíerme	<i>noun</i><br><ol><li>intestine</li></ol>
Tüdik|Tüdikke	<i>noun</i><br><ol><li>coot (Fulica atra)</li></ol>
Ule|Ulen|Uule	<i>noun</i><br><ol><li>owl</li></ol>
Undskeeldenge|Undskeeldengen	<i>noun</i><br><ol><li>apology</li></ol>
Ungel|uses die.	<i>noun</i><br><ol><li>tallow</li><li>suet</li></ol>
Uunglove|Uungloowe	<i>noun</i><br><ol><li>unbelief</li><li>disbelief</li></ol>
Uuntonk	<i>noun</i><br><ol><li>thanklessness, ingratitude</li></ol>
Uunweeder	<i>noun</i><br><ol><li>Bad weather; storm; tempest</li></ol>
Uurdeel|Uurdele	<i>noun</i><br><ol><li>(law) judgement, decision</li><li>opinion</li></ol>
Uurgoang|Uurgoange	<i>noun</i><br><ol><li>transition</li><li>footbridge</li></ol>
Uursättenge	<i>noun</i><br><ol><li>translation</li></ol>
Uutgoang|Uutgoange|Uutgong	<i>noun</i><br><ol><li>exit</li><li>date (romantic outing)</li></ol>
Waai	<i>noun</i><br><ol><li>whey</li></ol>
Waalfisk	<i>noun</i><br><ol><li>whale</li></ol>
Waalnuute	<i>noun</i><br><ol><li>walnut</li></ol>
Waarmte	<i>noun</i><br><ol><li>warmth</li></ol>
Wai|Weege	<i>noun</i><br><ol><li>way</li></ol>
Wareld|Waareld	<i>noun</i><br><ol><li>world</li></ol>
Weeder|Weer	<i>noun</i><br><ol><li>(zoology) wether</li><li>weather</li></ol>
Weerhaid	<i>noun</i><br><ol><li>truth</li></ol>
Weete	<i>noun</i><br><ol><li>(botany) wheat</li></ol>
Weeuwer	<i>noun</i><br><ol><li>weaver; webster</li></ol>
Wiedekäärel	<i>noun</i><br><ol><li>widower</li></ol>
Wiedewieuw	<i>noun</i><br><ol><li>widow</li></ol>
Wien|Wiene	<i>noun</i><br><ol><li>wine</li></ol>
Wienfúgel|Wienfúgele	<i>noun</i><br><ol><li>redwing (Turdus iliacus)</li><li>song thrush (Turdus philomelos)</li></ol>
Wierk	<i>noun</i><br><ol><li>work; piece of work; achievement</li></ol>
Wiesegaid	<i>noun</i><br><ol><li>Wisdom</li></ol>
Wieuw|Wieuwljude	<i>noun</i><br><ol><li>woman</li><li>wife</li><li>female</li></ol>
Wieuwmoanske|Wieuwmanskene	<i>noun</i><br><ol><li>woman</li><li>wife</li><li>female</li></ol>
Wiezelke|Wiezelken	<i>noun</i><br><ol><li>weasel (Mustela erminea)</li></ol>
Wille	<i>noun</i><br><ol><li>will</li></ol>
Wilp|Wilpe	<i>noun</i><br><ol><li>plover (bird of the family Charadriidae)</li><li>curlew (bird of the genus Numenius)</li></ol>
Wipstäit|Wipstäite	<i>noun</i><br><ol><li>white wagtail (Motacilla alba)</li></ol>
Woade	<i>noun</i><br><ol><li>trawl; dragnet</li></ol>
Woage	<i>noun</i><br><ol><li>A scale; balance</li></ol>
Woaie	<i>noun</i><br><ol><li>whey</li></ol>
Woain	<i>noun</i><br><ol><li>vehicle; car</li><li>wagon</li></ol>
Woaks	<i>noun</i><br><ol><li>wax</li></ol>
Woaksdum	<i>noun</i><br><ol><li>growth; development</li></ol>
Woapen	<i>noun</i><br><ol><li>weapon</li></ol>
Woater	<i>noun</i><br><ol><li>water</li></ol>
Woaterhanne|Woaterhannen	<i>noun</i><br><ol><li>rail (member of the family Rallidae)</li></ol>
Woaterhoose	<i>noun</i><br><ol><li>a spout</li></ol>
Woaterpiepe	<i>noun</i><br><ol><li>waterpipe (conduit for carrying water)</li></ol>
Woaterwai	<i>noun</i><br><ol><li>waterway</li></ol>
Wonte	<i>noun</i><br><ol><li>glove</li></ol>
Wooge	<i>noun</i><br><ol><li>a wall; partition</li></ol>
Woold	<i>noun</i><br><ol><li>forest</li></ol>
Wotte	<i>noun</i><br><ol><li>wart</li></ol>
Woud|Woude	<i>noun</i><br><ol><li>(Romelse, Skäddel) word</li></ol>
Woudebouk|Woudebouke	<i>noun</i><br><ol><li>dictionary</li></ol>
Wroute|Wrouten	<i>noun</i><br><ol><li>mole</li></ol>
Wucht|Wuchtere	<i>noun</i><br><ol><li>girl, lass</li></ol>
Wud	<i>noun</i><br><ol><li>Strukelje form of Woud</li></ol>
Wulf|Wulve	<i>noun</i><br><ol><li>wolf (Canis lupus)</li></ol>
Wulke	<i>noun</i><br><ol><li>cloud</li></ol>
Wulle	<i>noun</i><br><ol><li>wool</li></ol>
Wunder|Wunner	<i>noun</i><br><ol><li>wonder; miracle</li></ol>
Wurm|Wúurme|Wuurm|Wurme|Wúurm	<i>noun</i><br><ol><li>worm</li><li>mite</li><li>moth</li><li>a miserable child</li></ol>
Wust	<i>noun</i><br><ol><li>wurst; sausage</li></ol>
Wuttel|Wuttele	<i>noun</i><br><ol><li>root</li><li>carrot</li></ol>
Wuunde	<i>noun</i><br><ol><li>wound</li></ol>
Wuut	<i>noun</i><br><ol><li>rage</li><li>savageness</li></ol>
Wädskup	<i>noun</i><br><ol><li>wedding</li><li>marriage</li></ol>
Wäil	<i>noun</i><br><ol><li>spinning wheel</li></ol>
Wänt	<i>noun</i><br><ol><li>boy</li></ol>
Wät|Wätte	<i>noun</i><br><ol><li>law</li></ol>
Wätsteen|Wätstene	<i>noun</i><br><ol><li>whetstone</li></ol>
Wäänt|Wäänte	<i>noun</i><br><ol><li>boy, lad</li></ol>
Wääste	<i>noun</i><br><ol><li>west</li></ol>
Wäästfräislound	<i>name</i><br><ol><li>Friesland (a province of the Netherlands)</li></ol>
Wíek|Wíeke|Wiek	<i>noun</i><br><ol><li>week</li></ol>
Wíelde Gous|Wíelde Gäize	<i>noun</i><br><ol><li>bean goose (Anser fabalis)</li></ol>
Wíelde Oante|Wíelde Oanten	<i>noun</i><br><ol><li>mallard (Anas platyrhynchos)</li></ol>
Wíelge|Wíelgen|Wüülge|Wüülgen	<i>noun</i><br><ol><li>willow</li></ol>
Wíend|Wíende|Wiend	<i>noun</i><br><ol><li>wind</li><li>fart</li></ol>
Wíendmäälne|Wíendmäälnen	<i>noun</i><br><ol><li>windmill</li></ol>
Wöilmúus|Wöilmuze	<i>noun</i><br><ol><li>vole</li></ol>
Wüüldernis	<i>noun</i><br><ol><li>wilderness</li></ol>
Wüüste	<i>noun</i><br><ol><li>A waste; wasteland</li></ol>
aal|alle	<i>det</i><br><ol><li>all, all of</li></ol><br><i>pron</i><br><ol><li>all, everything</li></ol><br><i>adv</i><br><ol><li>always</li><li>ever</li></ol>
aan|n|een|n'	<i>num</i><br><ol><li>one</li></ol><br><i>article</i><br><ol><li>a, an</li></ol><br><i>pron</i><br><ol><li>one</li></ol>
aapje|häived|apest|hieden|apeden|aapjet|hied|häbe|tou häben|tou aapjen|apet|hiest|hääst|aped|aap|hääbe|apede|häbet|heeuwed|apedest|häd|hääb	<i>verb</i><br><ol><li>(transitive) to kiss</li></ol>
aaskje	<i>verb</i><br><ol><li>To ask; demand; require</li></ol>
aastelk	<i>adj</i><br><ol><li>east; eastern</li></ol>
achttien	<i>num</i><br><ol><li>eighteen</li></ol>
aisk	<i>adv</i><br><ol><li>very; sorely; severely; awfully</li></ol>
al	<i>adv</i><br><ol><li>already</li></ol>
aleer	<i>conj</i><br><ol><li>ere; before</li></ol>
alleene	<i>adj</i><br><ol><li>alone</li></ol><br><i>adv</i><br><ol><li>alone</li></ol>
alleenich	<i>adj</i><br><ol><li>alone</li></ol>
aller	<i>adj</i><br><ol><li>older</li></ol>
also	<i>adv</i><br><ol><li>so; thus; therefore; accordingly</li><li>for that reason; hence</li></ol>
altied	<i>adv</i><br><ol><li>always; evermore</li></ol>
altiede	<i>adv</i><br><ol><li>always; ever</li></ol>
alven|alwen	<i>num</i><br><ol><li>eleven</li></ol>
amerikoansk	<i>adj</i><br><ol><li>American</li></ol>
amoals	<i>adv</i><br><ol><li>from time to time; now and then; periodically; occasionally</li></ol>
an|hieran|wieran|deeran	<i>prep</i><br><ol><li>on</li><li>at</li><li>next to</li><li>towards, to</li><li>of, from</li><li>about, circa</li></ol><br><i>adj</i><br><ol><li>on, switched on, burning</li></ol>
ankiekje	<i>verb</i><br><ol><li>To look at</li></ol>
ankume|keemst an|bääst|häived|bän|ween|hieden|tou wezen|waas|wezen|is|sunt|wäs|weze|kemen an|hied|kumst an|häbe|kum an|koom an|tou häben|wieren|wezet|hiest|ankumen|weese|kume an|hääst|tou ankumen|hääbe|häbet|heeuwed|wierst|kumet an|kumt an|weden|häd|hääb	<i>verb</i><br><ol><li>(intransitive) to arrive</li></ol>
antou	<i>conj</i><br><ol><li>until</li></ol><br><i>prep</i><br><ol><li>until</li></ol>
antruuije|häived|antruuijedest|hieden|truuijet an|truuijest an|truuijeden an|hied|häbe|tou häben|hiest|antruuijede|antruuijet|antruuijed|hääst|hääbe|truuijede an|truuije an|antruuijest|truuijedest an|antruuijeden|häbet|heeuwed|antoutruuijen|häd|hääb	<i>verb</i><br><ol><li>(transitive) to threaten</li></ol>
ap|hierap|deerap|wierap	<i>prep</i><br><ol><li>on</li><li>onto</li></ol><br><i>adv</i><br><ol><li>up</li></ol>
ap n uur Fout kume	<i>verb</i><br><ol><li>(intransitive) to become pregnant</li></ol>
apaat	<i>adj</i><br><ol><li>distinctive; striking; unusual</li></ol>
apníeme|níeme ap|apnomen|häived|hieden|apníemen|aptouníemen|apnoomst|apnimst|hied|nimt ap|nomen ap|níemet ap|häbe|tou häben|apnoom|noom ap|hiest|apnúmen|hääst|hääbe|nim ap|häbet|heeuwed|apnimt|noomst ap|nimst ap|häd|hääb	<i>verb</i><br><ol><li>(transitive) to pick up</li><li>(transitive) to receive</li><li>(transitive) to borrow</li></ol>
as	<i>adv</i><br><ol><li>as</li></ol><br><i>conj</i><br><ol><li>as</li></ol>
babbelje	<i>verb</i><br><ol><li>to babble</li><li>to chatter</li></ol>
bale|boald|tou balen|häived|boalt|hieden|hied|balet|häbe|boaldest|tou häben|boalde|hiest|hääst|hääbe|boalden|häbet|heeuwed|häd|boalst|hääb	<i>verb</i><br><ol><li>(intransitive) to speak</li></ol>
baue|baudest|bauden|häived|tou bauen|hieden|baud|baut|baust|bau|hied|baude|häbe|tou häben|hiest|hääst|hääbe|bauet|häbet|heeuwed|häd|hääb	<i>verb</i><br><ol><li>(transitive) to build</li></ol>
bee	<i>det</i><br><ol><li>both</li></ol><br><i>pron</i><br><ol><li>both</li></ol>
beeën	<i>pron</i><br><ol><li>both (of two people)</li></ol>
befoar	<i>conj</i><br><ol><li>before</li></ol>
beginne	<i>verb</i><br><ol><li>to begin</li></ol>
begröitje	<i>verb</i><br><ol><li>to greet, welcome, salute</li></ol>
behondelje	<i>verb</i><br><ol><li>to treat; handle; attend to</li><li>to treat medically; care for; doctor; medicate</li></ol>
behoolde	<i>verb</i><br><ol><li>to keep, retain</li></ol>
bejierd	<i>adj</i><br><ol><li>Advanced in years; aged; old.</li></ol>
bekweem	<i>adj</i><br><ol><li>comfortable; cozy</li><li>easy</li></ol>
beloangje	<i>verb</i><br><ol><li>To attain, reach, meet.</li></ol>
bemäärkboar	<i>adj</i><br><ol><li>noticeable</li><li>perceptible</li></ol>
benaame	<i>verb</i><br><ol><li>to name, nominate, appoint</li></ol>
bere|häived|tou beren|hieden|bädden|búur|búurst|hied|häbe|tou häben|hiest|beret|hääst|beerst|hääbe|búren|häbet|heeuwed|häd|hääb|beert	<i>verb</i><br><ol><li>(transitive) to bear; to give birth to</li></ol>
beräide	<i>verb</i><br><ol><li>(reflexive) To consult</li></ol>
besäike	<i>verb</i><br><ol><li>To visit</li></ol>
bewoonboar	<i>adj</i><br><ol><li>habitable; inhabitable</li></ol>
biende	<i>verb</i><br><ol><li>to bind</li></ol>
biete|tou bieten|bit|häived|hieden|bitst|beet|hied|häbe|tou häben|hiest|betest|beten|bietet|hääst|hääbe|häbet|heeuwed|bíeten|häd|hääb	<i>verb</i><br><ol><li>(transitive) to bite</li></ol>
billich|billige	<i>adj</i><br><ol><li>cheap, inexpensive</li></ol>
biloved|bilovede	<i>adj</i><br><ol><li>betrothed, engaged</li></ol>
biminje|häived|hieden|biminde|bimin|biminden|hied|häbe|biminst|tou häben|hiest|bimind|bimint|hääst|tou biminjen|hääbe|häbet|heeuwed|biminjet|bimindest|häd|hääb	<i>verb</i><br><ol><li>(transitive) to love</li></ol>
bislute|bislutst|häived|hieden|hied|häbe|tou häben|bislut|bisluut|hiest|bislutet|hääst|tou bisluten|hääbe|häbet|bislote|heeuwed|bislotest|bisleten|häd|hääb|bisloot	<i>verb</i><br><ol><li>(transitive) to decide</li></ol>
bispoarje|bispoardest|bispoarjet|häived|hieden|bispoart|bispoarden|bispoar|hied|bispoard|häbe|tou häben|hiest|bispoarde|hääst|hääbe|bispoarst|tou bispoarjen|häbet|heeuwed|häd|hääb	<i>verb</i><br><ol><li>(transitive) to spare; to save from</li></ol>
bit	<i>conj</i><br><ol><li>until</li></ol><br><i>prep</i><br><ol><li>until, to</li></ol>
bit tou	<i>prep</i><br><ol><li>up to, until</li></ol>
bitje|n bitje	<i>det</i><br><ol><li>little, few</li><li>a bit</li></ol><br><i>adv</i><br><ol><li>a bit</li></ol>
bitterswäit	<i>adj</i><br><ol><li>bittersweet</li></ol>
blau|blaust|blauer|blaue	<i>adj</i><br><ol><li>blue</li></ol>
bliede	<i>adj</i><br><ol><li>glad; joyful; happy</li></ol>
bliend	<i>adj</i><br><ol><li>blind</li></ol>
blieuwe	<i>verb</i><br><ol><li>to remain; stay</li></ol>
blinkje	<i>verb</i><br><ol><li>To blink; flash; gleam; shine</li></ol>
blonk	<i>adj</i><br><ol><li>bare; naked</li><li>shiny</li><li>pure</li></ol>
bläide|blätte|bläidend|blät	<i>verb</i><br><ol><li>to bleed</li></ol>
boadje	<i>verb</i><br><ol><li>To bathe</li></ol>
bolde	<i>adv</i><br><ol><li>soon</li></ol>
bong	<i>adj</i><br><ol><li>fearful; afraid</li></ol>
breed|brader|breede|breedst|braadst	<i>adj</i><br><ol><li>wide</li></ol>
breke|bräkst|breket|häived|breken|hieden|breeke|bräkt|briekest|briek|breek|tou breken|hied|bräk|häbe|tou häben|hiest|hääst|hääbe|häbet|heeuwed|brieken|häd|hääb	<i>verb</i><br><ol><li>(transitive) to break</li><li>(reflexive) to vomit; to throw up</li></ol>
bridge	<i>noun</i><br><ol><li>(card games) bridge (card game)</li></ol>
bruke|bruukten|bruuktest|bruket|häived|hieden|bruukst|bruuk|hied|bruukt|häbe|tou häben|hiest|bruukte|hääst|hääbe|häbet|heeuwed|tou bruken|bruuke|häd|hääb	<i>verb</i><br><ol><li>(transitive) to use</li><li>(transitive) to need</li></ol>
budje|budded|häived|hieden|buddedest|buddet|hied|häbe|tou häben|bud|hiest|buddeden|buddede|tou budjen|buddest|budjet|hääst|hääbe|häbet|heeuwed|häd|hääb	<i>verb</i><br><ol><li>(transitive) to bait (fish; especially eels)</li></ol>
buute	<i>prep</i><br><ol><li>without</li></ol>
buutewais	<i>adv</i><br><ol><li>also; besides; additionally; furthermore</li></ol>
bääte	<i>prep</i><br><ol><li>behind</li></ol>
dan	<i>adv</i><br><ol><li>then (in that case)</li></ol><br><i>conj</i><br><ol><li>for, since</li></ol>
daue|dauet|häived|hieden|dauden|daude|hied|tou dauen|häbe|daudest|tou häben|dau|hiest|daut|hääst|hääbe|daust|häbet|heeuwed|daud|häd|hääb	<i>verb</i><br><ol><li>(impersonal) to dew</li></ol>
deeges	<i>adj</i><br><ol><li>daily; mundane</li></ol>
deer	<i>adv</i><br><ol><li>there</li></ol>
deerfoar	<i>adv</i><br><ol><li>for that; in exchange; in return; instead</li></ol>
deertou	<i>adv</i><br><ol><li>To or for that (purpose or reason)</li><li>Besides, in addition to</li></ol>
deeruum	<i>adv</i><br><ol><li>therefore, thus, that's why, so</li></ol>
die|dät|t|do|ju|de|n|n'|dän	<i>article</i><br><ol><li>the</li></ol><br><i>pron</i><br><ol><li>thyself, yourself</li></ol>
din|dien|dinnen	<i>det</i><br><ol><li>thy, your</li></ol>
dinnen|din|dienen	<i>pron</i><br><ol><li>thine, yours</li></ol>
djoop	<i>adj</i><br><ol><li>deep</li></ol>
djunker	<i>adj</i><br><ol><li>dim</li></ol>
djuur	<i>adj</i><br><ol><li>precious; dear</li><li>costly; expensive</li></ol>
do|de	<i>adv</i><br><ol><li>then</li></ol>
donsje	<i>verb</i><br><ol><li>to dance</li></ol>
dood	<i>adj</i><br><ol><li>dead</li></ol>
doof|doofst|dove|dover	<i>adj</i><br><ol><li>deaf</li></ol>
druuch	<i>adj</i><br><ol><li>dry</li></ol>
drööme|häived|hieden|dröömdest|dröömden|hied|dröömet|dröömde|drööm|häbe|dröömd|tou häben|dröömt|hiest|tou dröömen|hääst|hääbe|häbet|heeuwed|häd|dröömst|hääb	<i>verb</i><br><ol><li>(transitive, intransitive) To dream</li></ol>
du|die	<i>pron</i><br><ol><li>thou, you</li></ol>
dum	<i>adj</i><br><ol><li>stupid; dumb</li><li>blindly</li><li>dizzy</li></ol>
dusse|dussen|dut	<i>det</i><br><ol><li>this, these</li></ol>
dut	<i>pron</i><br><ol><li>this</li></ol>
dwo|diest|häived|hieden|died|däine|tou dwoon|dou|dääst|hied|häbe|dieden|tou häben|däd|hiest|däin|hääst|dwooët|hääbe|häbet|heeuwed|häd|diede|hääb	<i>verb</i><br><ol><li>(transitive) to do</li><li>(transitive) to give</li><li>(transitive) to practice</li><li>(intransitive, + mäd) to deal (with)</li></ol>
däin|däine	<i>adj</i><br><ol><li>done</li><li>finished</li></ol>
dät|t|et	<i>pron</i><br><ol><li>it</li></ol><br><i>conj</i><br><ol><li>that</li><li>so that</li><li>because</li></ol>
däälich	<i>adv</i><br><ol><li>today</li><li>nowadays</li></ol>
däänsk|deenske|deensk|däänske	<i>adj</i><br><ol><li>Danish</li></ol>
döödelk	<i>adj</i><br><ol><li>deadly; fatal</li></ol>
düütsk|düütske	<i>adj</i><br><ol><li>German</li></ol>
eedel	<i>adj</i><br><ol><li>noble</li></ol>
eendelk	<i>adj</i><br><ol><li>final</li></ol>
eendloos	<i>adj</i><br><ol><li>endless</li></ol>
eenfach	<i>adj</i><br><ol><li>simple</li></ol>
eenuntwintich	<i>num</i><br><ol><li>twenty one</li></ol>
eepen	<i>adj</i><br><ol><li>open</li></ol>
eerelk	<i>adj</i><br><ol><li>honest</li></ol>
enig|enige	<i>det</i><br><ol><li>some, a few</li></ol><br><i>adj</i><br><ol><li>in agreement</li></ol>
faale	<i>verb</i><br><ol><li>to fall</li></ol>
falsk	<i>adj</i><br><ol><li>wrong; false</li></ol>
fange|fanget|häived|fingest|fäng|hieden|fang|fangst|tou fangen|fing|fangde|hied|fangdest|häbe|tou häben|hiest|fangden|fingen|hääst|fängest|hääbe|fangen|fängen|fangt|häbet|heeuwed|häd|hääb	<i>verb</i><br><ol><li>(transitive) to catch</li></ol>
fat|fatst|fatter|fatte	<i>adj</i><br><ol><li>fat</li><li>fattened</li></ol>
ferbonne|häived|ferbont|hieden|ferbonde|ferbondest|hied|ferbon|häbe|tou häben|tou ferbonnen|ferbonnet|ferbonden|hiest|hääst|hääbe|häbet|heeuwed|ferbonst|häd|ferbond|hääb	<i>verb</i><br><ol><li>(transitive) to banish; to exile</li></ol>
ferjäilde	<i>verb</i><br><ol><li>To repay; requite; reward</li></ol>
