Abril|Abríl	<i>name</i><br><ol><li>April</li></ol>
magutom	<i>verb</i><br><ol><li>(Naga) to feel hunger; to be hungry</li></ol>
magwagak	<i>verb</i><br><ol><li>to drool</li><li>to salivate</li></ol>
magyaman	<i>verb</i><br><ol><li>to become rich</li></ol>
mahab-as	<i>verb</i><br><ol><li>(Sorsogon) contemplative aspect of maghabas</li></ol>
mahab-on	<i>verb</i><br><ol><li>(Partido) contemplative aspect of maghab-on</li></ol>
mahabas|mahàbas	<i>verb</i><br><ol><li>(Tabaco, Legazpi) contemplative aspect of maghabas</li></ol>
mahabon|mahàbon	<i>verb</i><br><ol><li>(Naga) contemplative aspect of maghabon</li></ol>
mahal|mahál	<i>adj</i><br><ol><li>(literary) dear</li><li>expensive</li></ol>
mahalaga|mahalagá	<i>adj</i><br><ol><li>valuable</li></ol>
mahalan	<i>adj</i><br><ol><li>(Naga) rancid</li></ol>
mahaldok|mahaldók	<i>adj</i><br><ol><li>ticklish</li></ol>
mahalnas|mahalnás	<i>adj</i><br><ol><li>slippery; smooth</li></ol>
mahalon|mahalón	<i>verb</i><br><ol><li>(literary) to love; to hold dear</li></ol>
mahambog	<i>adj</i><br><ol><li>boastful</li><li>arrogant</li></ol>
mahamis|mahamís	<i>adj</i><br><ol><li>sweet, having the taste of sugar.</li></ol>
mahamot|mahamót	<i>adj</i><br><ol><li>fragrant; aromatic</li></ol>
mahanapan	<i>verb</i><br><ol><li>to find; to discover</li></ol>
mahangin	<i>adj</i><br><ol><li>(Daet) windy; breezy</li></ol>
mahanginan	<i>verb</i><br><ol><li>(Daet) to get whipped by the wind; to get exposed to the wind</li></ol>
mahanot	<i>adj</i><br><ol><li>persevering</li></ol>
mahapo	<i>verb</i><br><ol><li>to have an asthmatic attack</li></ol>
maharang	<i>adj</i><br><ol><li>hot; spicy</li></ol>
mahayahay	<i>adj</i><br><ol><li>breezy; balmy; airy; refreshing</li></ol>
mahibo|mahibò	<i>adj</i><br><ol><li>fuzzy</li></ol>
mahibog|mahìbog	<i>adj</i><br><ol><li>thick (for objects)</li></ol>
mahidap	<i>adj</i><br><ol><li>(Daet) difficult</li><li>(Daet) poor; impoverished</li></ol>
mahidapan	<i>verb</i><br><ol><li>(Daet) to find something difficult, hard, complex</li></ol>
mahidapon	<i>adj</i><br><ol><li>(Daet) intensified form of mahidap.</li></ol>
mahigos|mahigós	<i>adj</i><br><ol><li>conscientious; industrious; hardworking</li></ol>
mahigpit|mahigpít	<i>adj</i><br><ol><li>strict; tight (as of regulations); drastic; harsh</li></ol>
mahilo	<i>verb</i><br><ol><li>(Naga) to be poisoned</li></ol>
mahimpis	<i>adj</i><br><ol><li>thin (for objects).</li></ol>
mahinakit	<i>verb</i><br><ol><li>to resent; to take offense at</li></ol>
mahinang|mahínang	<i>adj</i><br><ol><li>(Tabaco, Partido) sweaty, covered in sweat</li></ol>
mahinangan	<i>verb</i><br><ol><li>(Partido, Tabaco) to get covered or wet with sweat, perspiration</li></ol>
mahingawan	<i>verb</i><br><ol><li>to become sober; to have a hangover</li></ol>
mahiwas	<i>adj</i><br><ol><li>wide; broad; spacious; roomy</li><li>loose, not fixed in place tightly or firmly.</li></ol>
mahudong	<i>verb</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to be poisoned</li></ol>
mahudyan	<i>verb</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to be late, to be tardy</li></ol>
mahukol	<i>adj</i><br><ol><li>(Partido, Tabaco, Legazpi) turbulent; rough; full of waves (as of the sea)</li></ol>
mahuri	<i>verb</i><br><ol><li>(Naga) to be late, to be tardy</li></ol>
mahuyom	<i>verb</i><br><ol><li>to be taken with a smile</li></ol>
mailo	<i>verb</i><br><ol><li>to be orphaned</li></ol>
maimbong	<i>adj</i><br><ol><li>lukewarm; tepid</li></ol>
maimot	<i>adj</i><br><ol><li>stingy; miserly</li></ol>
maingat	<i>adj</i><br><ol><li>careful; cautious</li></ol>
mainit	<i>adj</i><br><ol><li>hot</li></ol>
maintindihan	<i>verb</i><br><ol><li>to understand</li></ol>
mais|maís	<i>noun</i><br><ol><li>maize; corn</li></ol>
maisip	<i>adj</i><br><ol><li>selfish</li></ol>
maisog|mangisog	<i>adj</i><br><ol><li>brave; courageous; fearless</li><li>fierce; ferocious</li><li>violent; cruel</li></ol><br><i>verb</i><br><ol><li>(dialectal, Sorsogon) to get angry, mad at</li></ol>
maisogan|maisugan	<i>verb</i><br><ol><li>(dialectal, Sorsogon) to get scolded; to get angered, mad at</li></ol>
makaakbay	<i>verb</i><br><ol><li>(Naga) to place one's arm over another's shoulder</li></ol>
makaakboy	<i>verb</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to place one's arm over another's shoulder</li></ol>
makaalang	<i>verb</i><br><ol><li>(Naga) to become dry</li></ol>
makaamay	<i>verb</i><br><ol><li>(Naga) to be early</li></ol>
makaatab	<i>verb</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to be early</li></ol>
makaati|makaatî	<i>adj</i><br><ol><li>disgusting, yucky</li></ol><br><i>verb</i><br><ol><li>to get dirty</li></ol>
makabaldi	<i>adj</i><br><ol><li>disgusting</li></ol>
makabangit	<i>adj</i><br><ol><li>exasperating; vexing</li></ol>
makabasa|makabasâ	<i>verb</i><br><ol><li>(Naga) to get wet; to get covered or impregnated with any liquid</li></ol>
makabayle	<i>verb</i><br><ol><li>(Naga, Tabaco, Legazpi) to dance with (as a partner); to have a dance partner</li></ol>
makabisto	<i>verb</i><br><ol><li>to acquaint; to recognize; to meet; to distinguish</li></ol>
makabudyak	<i>verb</i><br><ol><li>to get speared; to get struck by a spear</li></ol>
makabutod	<i>verb</i><br><ol><li>(Legazpi) to drown; to get drowned</li></ol>
makadaog|makadàog	<i>verb</i><br><ol><li>to be defeated; to lose</li></ol>
makadaya	<i>verb</i><br><ol><li>to be cheated; to be deceived; to get duped, tricked</li></ol>
makadugi	<i>verb</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to get muddy</li></ol>
makadukay	<i>verb</i><br><ol><li>to find; to discover</li></ol>
makadumog|makadumóg	<i>verb</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to get wet; to get covered or impregnated with any liquid</li></ol>
makadurog	<i>verb</i><br><ol><li>to sleep together</li><li>to commit adultery</li></ol>
makagarod	<i>verb</i><br><ol><li>to get speared; to get struck by a spear</li></ol>
makagubot	<i>verb</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to get tangled up; to get messed up (for the hair)</li></ol>
makagunos	<i>verb</i><br><ol><li>(Naga) to get tangled up; to get messed up (for the hair)</li></ol>
makagurot	<i>verb</i><br><ol><li>to get cut; to get severed</li></ol>
makagutom	<i>verb</i><br><ol><li>(Naga) to feel hunger; to be hungry</li></ol>
makahanap	<i>verb</i><br><ol><li>to find; to discover</li></ol>
makahilo	<i>adj</i><br><ol><li>(Naga) poisonous; toxic</li></ol>
makahoy	<i>adj</i><br><ol><li>wooded</li></ol>
makahudong	<i>adj</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) poisonous; toxic</li></ol>
makahudyan	<i>verb</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to be late, to be tardy</li></ol>
makahuri	<i>verb</i><br><ol><li>(Naga) to be late, to be tardy</li></ol>
makailo	<i>verb</i><br><ol><li>to be orphaned</li></ol>
makakalag	<i>verb</i><br><ol><li>to be haunted (by a ghost)</li></ol>
makakawat	<i>verb</i><br><ol><li>to have a playmate</li><li>to play with someone</li></ol>
makakigkig	<i>verb</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to surprise; to startle</li></ol>
makakilag	<i>verb</i><br><ol><li>(Naga) to surprise; to startle</li></ol>
makakua	<i>verb</i><br><ol><li>to have a miscarriage</li><li>to find; to discover</li></ol>
makalaboy	<i>verb</i><br><ol><li>(Naga) to get muddy</li></ol>
makalag	<i>verb</i><br><ol><li>to be haunted (by a ghost)</li></ol>
makalagan	<i>verb</i><br><ol><li>to be haunted (by a ghost)</li></ol>
makalamos	<i>verb</i><br><ol><li>(Naga) to drown; to get drowned</li></ol>
makalapok	<i>verb</i><br><ol><li>(dialect) to get muddy</li></ol>
makalason	<i>adj</i><br><ol><li>(Daet) poisonous; toxic</li></ol>
makalubog	<i>verb</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to sink; to get sunk</li></ol>
makalunod	<i>verb</i><br><ol><li>(Naga, formal) to sink; to get sunk</li><li>(Tabaco–Legazpi–Sorsogon) to drown; to get drowned</li></ol>
makaluyos	<i>verb</i><br><ol><li>to wither; to wilt; to droop</li></ol>
makamara	<i>verb</i><br><ol><li>(Partido, Tabaco–Legazpi–Sorsogon) to become dry</li></ol>
makamidbid	<i>verb</i><br><ol><li>(formal, literary) to acquaint; to recognize; to meet; to distinguish</li></ol>
makamundo	<i>adj</i><br><ol><li>depressing, saddening</li></ol>
makamuwit	<i>verb</i><br><ol><li>to stammer; to stutter</li></ol>
makangirit	<i>adj</i><br><ol><li>(by extension) funny; laughable; ridiculous; amusing; absurd</li></ol>
makangisi	<i>adj</i><br><ol><li>(Naga) funny; laughable; ridiculous; amusing; absurd</li></ol>
makanos|makanós	<i>adj</i><br><ol><li>ugly (displeasing to the eye)</li></ol>
makanuod	<i>verb</i><br><ol><li>(Naga) to be able to learn; to be educated</li></ol>
makapaanggot	<i>adj</i><br><ol><li>(Naga) infuriating; outrageous</li></ol>
makapadagit	<i>adj</i><br><ol><li>(Tabaco, Legazpi) infuriating; outrageous</li></ol>
makapagal	<i>adj</i><br><ol><li>exhausting; fatiguing</li><li>tiring</li></ol>
makapaha	<i>noun</i><br><ol><li>to get thirsty</li></ol>
makapahagab	<i>noun</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to yawn</li></ol>
makapahakay	<i>noun</i><br><ol><li>(Naga) to yawn</li></ol>
makapaisog	<i>adj</i><br><ol><li>(dialectal, Sorsogon) infuriating; outrageous</li></ol>
makapakit|makapàkit	<i>verb</i><br><ol><li>(Naga) to get torn; to get ripped</li></ol>
makapaknit|makapaknít	<i>verb</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to get torn; to get ripped</li></ol>
makaparong	<i>verb</i><br><ol><li>to become aware; to be conscious of the smell, odor</li></ol>
makapasuya	<i>verb</i><br><ol><li>to get annoyed; bothered</li></ol>
makapatig-ab	<i>verb</i><br><ol><li>(Partido) to emit a belch, a burp</li></ol>
makapatig-ob	<i>verb</i><br><ol><li>(Sorsogon) to emit a belch, a burp</li></ol>
makapatigab	<i>verb</i><br><ol><li>(Naga) to emit a belch, a burp</li></ol>
makapatigob	<i>verb</i><br><ol><li>(Tabaco, Legazpi) to emit a belch, a burp</li></ol>
makapauyit	<i>adj</i><br><ol><li>(Partido) infuriating; outrageous</li></ol>
makapawagak	<i>verb</i><br><ol><li>to drool; to salivate</li></ol>
makapirong	<i>verb</i><br><ol><li>(Naga) to close one's eyes (when dust gets in)</li></ol>
makapirot	<i>verb</i><br><ol><li>(Partido, Tabaco–Legazpi–Sorsogon) to feel sleepy</li></ol>
makapiyong	<i>verb</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to close one's eyes (when dust gets in)</li></ol>
makapunaw	<i>verb</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to feel hunger; to be hungry</li></ol>
makapung-aw|makapung-áw	<i>adj</i><br><ol><li>(Partido, Sorsogon) lonely, depressing, desolate, dismal, mournful, barren, gloomy</li></ol>
makapungaw|makapùngaw	<i>adj</i><br><ol><li>lonely, depressing, desolate, dismal, mournful, barren, gloomy</li></ol>
makaputol	<i>verb</i><br><ol><li>to get cut; to get severed</li></ol>
makarahay	<i>verb</i><br><ol><li>to be able to heal</li></ol>
makaraot|makaràot	<i>verb</i><br><ol><li>to become damaged; to become ruined</li></ol>
makaraw|makaráw	<i>adj</i><br><ol><li>(Naga) mischievous</li></ol>
makasawa	<i>verb</i><br><ol><li>boring; getting fed up, sick and tired</li></ol>
makasayaw	<i>verb</i><br><ol><li>(formal, Daet, Partido, Sorsogon) to dance with (as a partner); to have a dance partner</li></ol>
makasikmol	<i>adj</i><br><ol><li>disgusting</li></ol>
makasimpil	<i>adj</i><br><ol><li>irritating (for the wound)</li><li>irksome</li></ol>
makaskas|makaskás	<i>adj</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) fast; swift; rapid</li></ol>
makaskason|makaskáson	<i>adj</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) intensified form of makaskas</li></ol>
makasuya	<i>adj</i><br><ol><li>annoying; irritating;</li><li>exasperating; vexing</li><li>boring; tedious; getting fed up</li><li>irksome</li><li>disgusting (for food)</li></ol>
makataha|makatahà	<i>adj</i><br><ol><li>intimidating</li></ol>
makatakot	<i>adj</i><br><ol><li>menacing; frightening</li></ol>
makatrato	<i>verb</i><br><ol><li>to make a deal; to sign a treaty</li><li>to go have a date with</li></ol>
makatungka	<i>verb</i><br><ol><li>(Naga) to feel sleepy</li></ol>
makaugma	<i>verb</i><br><ol><li>to be happy, glad, gay, merry</li></ol>
makaukod	<i>verb</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to be able to learn; to be educated</li></ol>
makaulok	<i>adj</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) funny; laughable; ridiculous; amusing; absurd</li></ol>
makaumoy	<i>verb</i><br><ol><li>boring; getting fed up</li></ol>
makaunam	<i>verb</i><br><ol><li>(dialectal) to be able to learn; to be educated</li></ol>
makaurag|makaúrag	<i>adj</i><br><ol><li>irritating, annoying</li></ol>
makauyam	<i>adj</i><br><ol><li>annoying; bothersome;</li><li>exasperating; vexing</li></ol>
maki-istoriyahan|maki-istoryahan	<i>verb</i><br><ol><li>(Sorsogon) to request; to appeal; to ask for a favor</li></ol>
makiaram	<i>verb</i><br><ol><li>to meddle; to snoop</li></ol>
makibabayi	<i>adj</i><br><ol><li>womanizer</li></ol>
makibayle	<i>verb</i><br><ol><li>(Naga, Tabaco, Legazpi) to dance with someone</li></ol>
makigkig	<i>verb</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to be surprised, to get startled</li></ol>
makigkigan	<i>verb</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to surprise; to startle</li></ol>
makihuron	<i>verb</i><br><ol><li>(Tabaco, Legazpi) to request; to appeal; to ask for a favor</li></ol>
makilabot	<i>verb</i><br><ol><li>(formal) to meddle; to snoop</li></ol>
makilag	<i>verb</i><br><ol><li>(Naga) to be surprised, to get startled</li></ol>
makilagan	<i>verb</i><br><ol><li>(Naga) to surprise; to startle</li></ol>
makilubong	<i>verb</i><br><ol><li>to attend a funeral</li></ol>
makisayaw	<i>verb</i><br><ol><li>(formal, Daet, Partido, Sorsogon) to dance with someone</li></ol>
makitrato	<i>verb</i><br><ol><li>to make a deal; to sign a treaty</li></ol>
makiulay|maki-ulay	<i>verb</i><br><ol><li>(Naga) to request; to appeal; to ask for a favor</li></ol>
makiusap	<i>verb</i><br><ol><li>(Daet) to request; to appeal; to ask for a favor</li></ol>
makopa	<i>noun</i><br><ol><li>Malay apple (Syzygium malaccense)</li></ol>
makuahan	<i>verb</i><br><ol><li>to have a miscarriage</li><li>to find; to discover</li></ol>
makuanan	<i>verb</i><br><ol><li>to have a miscarriage</li><li>to find; to discover</li></ol>
makuapo|makuapò	<i>noun</i><br><ol><li>grandchild</li></ol>
makulog|makulóg	<i>adj</i><br><ol><li>painful</li></ol>
makunit|makunít	<i>adj</i><br><ol><li>ductile; pliant</li><li>tough (as of meat)</li></ol>
makuri	<i>adj</i><br><ol><li>violent; cruel</li><li>grievous</li></ol>
makursonadahan	<i>verb</i><br><ol><li>to like; to prefer</li></ol>
makusog	<i>adj</i><br><ol><li>strong; firm; stable</li><li>forceful</li><li>(for the sound) loud</li></ol>
malabog	<i>adj</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) blurry; fuzzy; obscure; turbid</li></ol>
malaboy	<i>adj</i><br><ol><li>(Naga) muddy</li></ol>
malaboyan	<i>verb</i><br><ol><li>(Naga) to get muddy</li></ol>
malakmak	<i>noun</i><br><ol><li>fungus</li></ol>
malaman|malamán	<i>adj</i><br><ol><li>fleshy; meaty</li></ol>
malamos	<i>verb</i><br><ol><li>(Naga) to drown; to get drowned</li></ol>
malangaw	<i>adj</i><br><ol><li>full of houseflies</li></ol>
malapok	<i>adj</i><br><ol><li>(dialectal) muddy</li></ol>
malapokan	<i>verb</i><br><ol><li>(dialect) to get muddy</li></ol>
malason	<i>verb</i><br><ol><li>(Daet) to be poisoned</li></ol>
maldos	<i>noun</i><br><ol><li>(angry register) chicken</li></ol>
malibog	<i>adj</i><br><ol><li>(Naga) blurry; fuzzy; obscure; turbid</li><li>horny; lustful; lewd; virile</li></ol>
malinaw	<i>adj</i><br><ol><li>clear (such as liquid, etc.)</li></ol>
malindok	<i>adj</i><br><ol><li>ticklish, sensitive or susceptible to being tickled</li></ol>
malinig	<i>adj</i><br><ol><li>clean</li></ol>
malinigon	<i>adj</i><br><ol><li>intensified form of malinig</li></ol>
malipot	<i>adj</i><br><ol><li>cold; cool; chilly</li></ol>
malisya	<i>noun</i><br><ol><li>malice</li></ol>
maliwanag	<i>adj</i><br><ol><li>bright; clear; brilliant; luminous</li></ol>
malpak	<i>noun</i><br><ol><li>(angry register) chicken</li></ol>
malsok	<i>noun</i><br><ol><li>(anatomy, vulgar, angry register) eye</li></ol>
malubog	<i>verb</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to sink; to get sunk</li></ol>
malumbay	<i>adj</i><br><ol><li>weary; listless; lethargic</li></ol>
malumhok	<i>adj</i><br><ol><li>soft; tender</li></ol>
malumot	<i>adj</i><br><ol><li>full or covered with moss; mossy</li></ol>
malumoy	<i>adj</i><br><ol><li>soft; tender; spongy</li></ol>
malunod	<i>verb</i><br><ol><li>(Naga, formal) to sink; to get sunk</li><li>(Tabaco–Legazpi–Sorsogon) to drown; to get drowned</li></ol>
maluom	<i>adj</i><br><ol><li>(Naga) damp; moist</li></ol>
malustod	<i>noun</i><br><ol><li>(angry register) cooked rice</li></ol>
maluto|malutò	<i>noun</i><br><ol><li>cooked rice</li></ol>
maluway|maluhay	<i>adj</i><br><ol><li>slow</li></ol>
maluya	<i>adj</i><br><ol><li>weak; feeble</li><li>slow; sluggish</li><li>low (for the volume)</li></ol>
maluyos	<i>verb</i><br><ol><li>to wither; to wilt; to droop</li></ol>
mama|papa	<i>noun</i><br><ol><li>a mother; a (human) female who (a) parents a child (b) gives birth to a baby (c) donates a fertilized egg or (d) donates a body cell which has resulted in a clone. Sometimes used in reference to a pregnant female, possibly as a shortened form of mother-to-be</li><li>a term of address to one's mother, mother-in-law or wife</li></ol>
mamara	<i>verb</i><br><ol><li>(Partido, Tabaco–Legazpi–Sorsogon) to become dry</li></ol>
mamatian|mamatían	<i>verb</i><br><ol><li>to feel; to sense</li></ol>
mamay|papay	<i>noun</i><br><ol><li>one's own mother or mother-in-law</li><li>an affectionate or honorific term for an older woman</li></ol>
mamibi|mamîbî	<i>verb</i><br><ol><li>(liturgical) to pray</li></ol>
mamira|mamirá	<i>det</i><br><ol><li>how much, what the cost or the price is.</li></ol>
mampak|mampák	<i>noun</i><br><ol><li>(folklore) monster</li></ol>
mamundo|mamundô	<i>adj</i><br><ol><li>sad, unhappy, sorrowful, depressed</li></ol><br><i>verb</i><br><ol><li>to grow sad, depressed, sorrowful</li></ol>
mamurak	<i>verb</i><br><ol><li>to bear flowers, to put forth blooms</li></ol>
mamuwit	<i>verb</i><br><ol><li>to stammer; to stutter</li></ol>
mamuya	<i>verb</i><br><ol><li>(Partido, Tabaco–Legazpi–Sorsogon) to like; to want</li></ol>
mamuyahan	<i>verb</i><br><ol><li>(Partido, Tabaco–Legazpi–Sorsogon) to like; to want; to desire</li><li>(Partido, Tabaco–Legazpi–Sorsogon) to prefer</li></ol>
man	<i>adv</i><br><ol><li>also</li></ol><br><i>particle</i><br><ol><li>used to abate or soften the impacts of negatives and commands</li></ol>
mana|magmana	<i>noun</i><br><ol><li>heirloom, inheritance, heritage</li></ol><br><i>verb</i><br><ol><li>to inherit</li></ol>
managom|manàgom	<i>adj</i><br><ol><li>tasty, delectable</li></ol>
manamit	<i>adj</i><br><ol><li>tasty; flavorful</li></ol>
manao|manào	<i>verb</i><br><ol><li>to give away; to dispense things</li></ol>
manay|manoy	<i>noun</i><br><ol><li>big sister; elder sister (especially the eldest)</li><li>(informal) respectful term of address or honorific for a young woman or girl or any female older than oneself: miss; sis</li></ol>
mangayam	<i>verb</i><br><ol><li>to hunt</li></ol>
mangga	<i>noun</i><br><ol><li>mango</li></ol>
manggas|manggás	<i>noun</i><br><ol><li>sleeve (part of garment that covers the arm)</li></ol>
manggurano|manggurâno	<i>det</i><br><ol><li>how much, what the cost or the price is</li></ol>
manghab-as	<i>verb</i><br><ol><li>(Sorsogon) to thieve</li></ol>
manghab-on	<i>verb</i><br><ol><li>(Partido) to thieve</li></ol>
manghabas|manghàbas	<i>verb</i><br><ol><li>(Tabaco, Legazpi) to thieve</li></ol>
manghabon|manghàbon	<i>verb</i><br><ol><li>(Naga) to thieve</li></ol>
mangirit	<i>verb</i><br><ol><li>to be taken with a smile</li></ol>
mangiritan	<i>verb</i><br><ol><li>(by extension) to find something funny</li></ol>
mangisi	<i>verb</i><br><ol><li>to be taken with a smile</li></ol>
mangisihan	<i>verb</i><br><ol><li>(Naga) to find something funny</li></ol>
mangkok|mangkók	<i>noun</i><br><ol><li>bowl</li></ol>
mangmang|mangmáng	<i>adj</i><br><ol><li>illiterate; uneducated</li></ol>
mangno|mangnó	<i>verb</i><br><ol><li>to care; to look after</li><li>to determine</li></ol>
mangsad|mangsád	<i>noun</i><br><ol><li>bull</li><li>water buffalo (usually male)</li></ol>
mangsubli|mangsublî	<i>verb</i><br><ol><li>to borrow; to lend</li></ol>
mangurol|manguról	<i>adj</i><br><ol><li>dull; not sharp</li></ol>
mani|maní	<i>noun</i><br><ol><li>peanut</li><li>(slang) clitoris</li></ol>
manipis	<i>adj</i><br><ol><li>thin (for objects).</li></ol>
maniwang	<i>adj</i><br><ol><li>thin; skinny; slender; slight; slim</li></ol>
manlalabaw|manlalábaw	<i>noun</i><br><ol><li>(anatomy) middle finger</li></ol>
manok|manók	<i>noun</i><br><ol><li>chicken</li></ol>
manoy|manay	<i>noun</i><br><ol><li>elder brother; big brother</li><li>(informal) respectful term of address or honorific for a young man or boy or any male older than oneself; mister; bro</li></ol>
mansana|mansanas	<i>noun</i><br><ol><li>apple</li></ol>
manta|mantà	<i>conj</i><br><ol><li>(formal) while, whilst</li><li>(formal) whereas</li></ol>
mantang	<i>conj</i><br><ol><li>while, whilst</li><li>whereas</li></ol>
mantsa	<i>noun</i><br><ol><li>stain</li></ol>
manudan	<i>verb</i><br><ol><li>(Naga) to be able to learn; to be educated</li></ol>
manugang	<i>noun</i><br><ol><li>in-law</li></ol>
manunungod	<i>prep</i><br><ol><li>according to</li><li>regarding; about</li></ol>
maong|maóng	<i>noun</i><br><ol><li>denim cloth</li></ol>
mapaha	<i>noun</i><br><ol><li>to get thirsty</li></ol>
mapahagab	<i>noun</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to yawn</li></ol>
mapahakay	<i>noun</i><br><ol><li>(Naga) to yawn</li></ol>
mapait|mapaít	<i>adj</i><br><ol><li>bitter, having an acrid taste.</li></ol>
mapakit|mapàkit	<i>verb</i><br><ol><li>(Naga) to get torn; to get ripped</li></ol>
mapaknit|mapaknít	<i>verb</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to get torn; to get ripped</li></ol>
mapanas|mapanás	<i>adj</i><br><ol><li>sharp (able to pierce easily)</li></ol>
mapanganuron|mapanginuron	<i>adj</i><br><ol><li>(Naga) cloudy</li></ol>
mapanos|mapànos	<i>adj</i><br><ol><li>rotten; stale; spoiled (as of food)</li></ol>
mapar-at	<i>adj</i><br><ol><li>(Sorsogon) having the odor of fresh urine</li></ol>
maparat|mapàrat	<i>adj</i><br><ol><li>(Tabaco, Legazpi) having the odor of fresh urine</li></ol>
maparong	<i>verb</i><br><ol><li>to become aware; to be conscious of the smell, odor</li></ol>
maparos	<i>adj</i><br><ol><li>(Partido, Tabaco–Legazpi–Sorsogon) windy; breezy</li></ol>
maparosan|maparusan	<i>verb</i><br><ol><li>(Partido, Tabaco–Legazpi–Sorsogon) to get whipped by the wind; to get exposed to the wind</li></ol>
mapas-it	<i>adj</i><br><ol><li>(Partido) having the odor of fresh urine</li></ol>
mapasilan	<i>verb</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to find something easy</li></ol>
mapasit|mapàsit	<i>adj</i><br><ol><li>(Naga) having the odor of fresh urine</li></ol>
mapasuya	<i>verb</i><br><ol><li>to get annoyed; bothered</li></ol>
mapatig-ab	<i>verb</i><br><ol><li>(Partido) to emit a belch, a burp</li></ol>
mapatig-ob	<i>verb</i><br><ol><li>(Sorsogon) to emit a belch, a burp</li></ol>
mapatigab	<i>verb</i><br><ol><li>(Naga) to emit a belch, a burp</li></ol>
mapatigob	<i>verb</i><br><ol><li>(Tabaco, Legazpi) to emit a belch, a burp</li></ol>
mapawagak	<i>verb</i><br><ol><li>to drool; to salivate</li></ol>
mapirong	<i>verb</i><br><ol><li>(Naga) to close one's eyes (when dust gets in)</li></ol>
mapirot	<i>verb</i><br><ol><li>(Partido, Tabaco–Legazpi–Sorsogon) to feel sleepy</li></ol>
mapiyong	<i>verb</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to close one's eyes (when dust gets in)</li></ol>
mapukot	<i>verb</i><br><ol><li>to be caught in a fishnet</li></ol>
mapulot|mapulót	<i>adj</i><br><ol><li>sticky; gooey; viscous</li></ol>
mapunaw	<i>verb</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to feel hunger; to be hungry</li></ol>
mapung-aw|mapung-áw	<i>verb</i><br><ol><li>(Partido, Sorsogon) to become lonely, depressing, desolate, dismal, mournful, barren, gloomy</li></ol>
mapungaw|mapùngaw	<i>verb</i><br><ol><li>to become lonely, depressing, desolate, dismal, mournful, barren, gloomy</li></ol>
maputol	<i>verb</i><br><ol><li>to get cut; to get severed</li></ol>
mara|mará	<i>adj</i><br><ol><li>(Partido, Tabaco–Legazpi–Sorsogon) dry; arid</li></ol>
maragkot|maragkót	<i>adj</i><br><ol><li>rough (texture)</li></ol>
maragsip	<i>adj</i><br><ol><li>crunchy; crispy</li></ol>
marahay	<i>verb</i><br><ol><li>to be able to heal</li></ol>
maraot|maràot|maráot	<i>adj</i><br><ol><li>bad; evil</li></ol><br><i>verb</i><br><ol><li>to become damaged; to become ruined</li></ol>
marara	<i>adj</i><br><ol><li>toxic</li></ol>
marhay|maray|marháy|maráy	<i>adj</i><br><ol><li>good; kind</li></ol><br><i>adv</i><br><ol><li>(formal) very</li></ol>
marhay man, salamat|salamat|marhay man	<i>phrase</i><br><ol><li>I'm fine, thank you</li></ol>
marhay na aga	<i>phrase</i><br><ol><li>good morning</li></ol>
marhay na aldaw	<i>phrase</i><br><ol><li>good day</li></ol>
marhay na banggi	<i>phrase</i><br><ol><li>good evening</li></ol>
marhay na buhay	<i>noun</i><br><ol><li>good life</li></ol>
marhay na hapon	<i>phrase</i><br><ol><li>good afternoon</li></ol>
marhay na udto	<i>phrase</i><br><ol><li>good noon</li></ol>
mari|mári	<i>verb</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) to come</li></ol>
mari na	<i>phrase</i><br><ol><li>(Tabaco–Legazpi–Sorsogon) let's go</li></ol>
maribok|maribók	<i>adj</i><br><ol><li>noisy, full of noise</li></ol>
maribong	<i>adj</i><br><ol><li>confusing; perplexing</li><li>dizzying</li></ol>
marigoso	<i>noun</i><br><ol><li>bitter melon</li></ol>
