'-d-š	<i>root</i><br><ol><li>Related to newness.</li></ol>
kanākum|𒅗𒉌𒆪𒌝|luknuk|ikannakā|iknuk|𒅗𒈾𒆪𒌝|kunkī|liknuk|ikannakū|𒄿𒅗𒀭𒈾𒀝|iknukū|kunuk|𒄿𒉌𒅅𒉡𒊌|𒇷𒅅𒉡𒆪|iktankā|kankum|aknuk|𒋫𒀝𒉡𒅗|𒉌𒅗𒀭𒈾𒀝|𒀀𒀝𒋫𒈾𒀝|taktanak|𒋫𒀝𒋫𒀭𒅗|taktankā|𒅅𒉡𒊌|liknukū|𒆪𒌦𒆠|𒅗𒀭𒆪𒌝|niknuk|liknukā|𒋫𒅗𒀭𒈾𒅗|𒄿𒅗𒀭𒈾𒆪|aktanak|𒇻𒊌𒉡𒊌|ikannak|akannak|𒋫𒅗𒀭𒈾𒆠|𒋫𒀝𒉡𒆠|𒋫𒀝𒋫𒀭𒆠|iknukā|𒅅𒋫𒀭𒆪|𒅅𒉡𒅗|iktankū|𒀀𒅗𒀭𒈾𒀝|takannak|𒇷𒅅𒉡𒅗|𒀀𒀝𒉡𒊌|𒆪𒉡𒊌|taknuk|𒅅𒉡𒆪|taktankī|𒋫𒀝𒉡𒊌|𒋫𒅗𒀭𒈾𒀝|𒇷𒅅𒉡𒊌|taknukā|𒄿𒅗𒀭𒈾𒅗|𒅅𒋫𒈾𒀝|taknukī|𒉌𒅅𒉡𒊌|iktanak|𒆪𒌦𒅗|takannakā|kunkā|𒅅𒋫𒀭𒅗|𒋫𒀝𒋫𒈾𒀝|i niknuk|takannakī|niktanak|nikannak|kānikum|𒉌𒅅𒋫𒈾𒀝	<i>verb</i><br><ol><li>to seal (to use a seal on s.th.)</li><li>to seal a document</li><li>to place s.th. under seal (for safekeeping, etc.)</li><li>(in hendiadys) to give/take/send s.th. under seal</li></ol>
kanīkum|kanīkū|kanīkātum	<i>noun</i><br><ol><li>sealed document</li><li>(Old Babylonian, Standard Babylonian, Middle Assyrian, Neo-Assyrian) purchase document, receipt</li><li>(Old Babylonian) sealed bag</li></ol>
kappum|kappi|kappū|kappān	<i>noun</i><br><ol><li>(human) hand, palm of the hand</li><li>(animal) paw</li><li>small bowl of wood, gold or silver</li><li>wing</li><li>feather, quill</li><li>branch, frond</li></ol>
kaprum|kaprū|kaprātum	<i>noun</i><br><ol><li>village (in the open country), farm</li><li>suburban settlement (around a city)</li></ol>
kaspum|kasap	<i>noun</i><br><ol><li>silver</li><li>money</li></ol>
kašdum|kašdātum|kašdūtum|kašittum|Neo-Babylonian	<i>verb</i><br><ol><li>successful, achieved, accomplished, attained, conquered</li><li>sufficient, appropriate</li><li>arrived, available (of goods)</li></ol>
kašādum|kušdī|𒅅𒋗𒁺|𒅅𒋫𒀸𒁺|𒄿𒉌𒅅𒋗𒌓|𒉌𒅅𒋫𒊭𒀜|iktašad|𒄿𒅗𒀸𒊭𒀜|niktašad|𒀀𒅗𒀸𒊭𒀜|𒅅𒋗𒌓|ikaššad|𒋫𒀝𒋗𒌓|taktašad|taktašdī|aktašad|takšudā|kušdā|𒀀𒀝𒋫𒊭𒀜|nikaššad|𒋫𒅗𒀸𒊭𒀜|𒆪𒋗𒌓|𒉌𒅅𒋗𒌓|ikšudā|akšud|i nikšud|𒆪𒍑𒁲|𒋫𒀝𒋗𒁲|iktašdā|𒋫𒀝𒋫𒊭𒀜|𒅗𒀸𒁺𒌝|likšud|𒋫𒀝𒋫𒀸𒁕|kašdūtum|kašittum|𒅗𒊭𒁺𒌝|𒅅𒋫𒀸𒁕|𒅅𒋗𒁕|takšud|takaššad|𒄿𒅗𒀸𒊭𒁕|kašdātum|takaššadā|𒇷𒅅𒋗𒌓|𒉌𒅗𒀸𒊭𒀜|ikšudū|kušud|𒅅𒋫𒊭𒀜|𒅗𒅆𒁺𒌝|Neo-Babylonian|taktašdā|𒇷𒅅𒋗𒁕|kāšidum|lukšud|𒋫𒀝𒋗𒁕|takaššadī|iktašdū|𒀀𒀝𒋗𒌓|likšudū|likšudā|akaššad|ikšud|takšudī|𒄿𒅗𒀸𒊭𒁺|kašdum|𒆪𒍑𒁕|𒋫𒅗𒀸𒊭𒁲|𒋫𒅗𒀸𒊭𒁕|𒇻𒊌𒋗𒌓|𒇷𒅅𒋗𒁺|ikaššadū|nikšud|ikaššadā|𒋫𒀝𒋫𒀸𒁲	<i>verb</i><br><ol><li>(ana with accusative) to arrive at (a place), reach</li><li>to achieve, accomplish, get, complete</li><li>to conquer, defeat</li></ol>
kibtum|kibātum	<i>noun</i><br><ol><li>wheat</li></ol>
kimtum|𒆠𒅎𒋾𒅔|kimtān|𒆠𒈠𒁴|kimātim|kimtam|𒆠𒈠𒀜|𒆠𒅎𒌈|kimtim|kimātum|𒆠𒅎𒁴|kimtīn|𒆠𒈠𒌈|𒆠𒅎𒌓|kimat|𒆠𒅎𒋫𒀭	<i>noun</i><br><ol><li>family, kin</li></ol>
kirûm|kirû|kiriātum|kirium	<i>noun</i><br><ol><li>garden, orchard</li></ol>
kišpum|𒆠𒅖𒁍|kišpū|ki-iš-pu	<i>noun</i><br><ol><li>(usually in the plural) sorcery, evil spell, witchcraft</li></ol>
kišpī|ki-iš-pi|𒆠𒅖𒁉	<i>noun</i><br><ol><li>accusative and genitive plural of kišpum</li></ol>
kišādum|kišādātum	<i>noun</i><br><ol><li>neck, throat (the back and the front side of the neck, often including head and shoulders)</li><li>bank (or a river, canal, etc.)</li></ol>
kiššatum	<i>noun</i><br><ol><li>(before another noun) totality, all of</li><li>world, universe</li></ol>
kudurru|kudurrū|kudurrētu	<i>noun</i><br><ol><li>boundary stone, boundary marker</li><li>boundary</li><li>region, territory</li></ol>
kunukkum|kunuk|kunukkātum|kunukkū	<i>noun</i><br><ol><li>seal, cylinder seal</li><li>impression made with a cylinder seal</li><li>sealed tablet/letter/document</li><li>vertebra</li></ol>
kussûm|kussiam|𒆪𒊻𒋢𒌝|𒆪𒊻𒋛𒀭|𒆪𒊻𒋛𒅔|kussian|kussi|𒆪𒊻𒋢|kussîm|kussī|kussîn|𒆪𒊻𒋛|𒆪𒊻𒋛𒅎|𒆪𒊻𒋛𒄠|kussû	<i>noun</i><br><ol><li>chair, seat, throne</li></ol>
kāsum|kāsu|kāsānū|kāsātum	<i>noun</i><br><ol><li>a cup, goblet, bowl</li><li>(as a capacity measure): cup</li></ol>
kīma	<i>prep</i><br><ol><li>like, as, according to, instead of</li></ol>
kīnum|kīnūtum|kīttum|kīnātum	<i>adj</i><br><ol><li>permanent, firm</li><li>true, reliable, just</li><li>honest, decent, loyal</li><li>correct, regular, normal, legitimate</li></ol>
kīrum|kīrātum|Neo-Babylonian	<i>noun</i><br><ol><li>oven, kiln (especially for lime and bitumen)</li></ol>
lamassum|lamassi|lamassātum	<i>noun</i><br><ol><li>a lamassu protective spirit (representing and protecting the good fortune, spiritual health and physical appearance of human beings, cities, temples and countries)</li></ol>
libbum|libbū|libba|libbi	<i>noun</i><br><ol><li>heart, abdomen, womb</li><li>mind, thought, intention, wish, desire, preference</li><li>inside, inner part</li></ol>
libittum|libnātim|libittam|libnātum|libitti|𒇷𒅁𒈾𒌈|𒇷𒁉𒀉𒋫𒀭|𒇷𒁉𒀉𒁴|𒇷𒁉𒀉𒋾𒅔|libittān|libittim|𒇷𒅁𒈾𒁴|𒇷𒁉𒀉𒋾|libittīn|𒇷𒁉𒀉𒌓|𒇷𒁉𒀉𒌈	<i>noun</i><br><ol><li>mudbrick, brick</li><li>(often in the plural) brickwork</li><li>slab, cake, block (of material other than mud, like metal, stone, potash, dung, etc.)</li></ol>
lišānum|lišānātum	<i>noun</i><br><ol><li>tongue</li><li>language</li><li>statement, report, wording</li></ol>
lûm|lê|lû	<i>noun</i><br><ol><li>bull</li><li>lion</li></ol>
lā|la|𒆷	<i>adv</i><br><ol><li>no, not (in subordinate or conditional clauses)</li><li>without</li></ol>
lābum|lābū	<i>noun</i><br><ol><li>(poetic) lion</li></ol>
līliātum	<i>noun</i><br><ol><li>evening, night</li></ol>
līlum|līlū	<i>noun</i><br><ol><li>evening, night</li></ol>
līmum|līmi|state līm	<i>noun</i><br><ol><li>one thousand, 1000</li></ol>
lītum|līti|liātum|līt	<i>noun</i><br><ol><li>cow</li><li>(in the plural) bovines (of both sexes and all ages)</li></ol>
m-k-r	<i>root</i><br><ol><li>Related to trading and commerce.</li></ol>
m-w-t	<i>root</i><br><ol><li>Related to death.</li></ol>
ma|𒈠	<i>conj</i><br><ol><li>(enclitic) and, but</li><li>(enclitic) used to stress single words, especially the predicate of nominal clauses</li></ol>
makkūrum	<i>noun</i><br><ol><li>property, valuables, assets</li></ol>
makārum|𒌓𒅗𒊑|tamkarī|𒅎𒅗𒊏|𒅆𒅗𒊒|mākirum|𒉌𒅎𒋫𒅗𒅈|limkarū|𒌓𒋫𒀝𒊑|𒄿𒉌𒅎𒅗𒅈|imakkarū|𒈠𒅗𒅈|tamakkar|𒉌𒅎𒅗𒅈|makrum|𒀀𒄠𒋫𒅗𒅈|makrā|𒋫𒈠𒀝𒅗𒅈|𒄿𒈠𒀝𒅗𒊒|𒅎𒋫𒀝𒊏|limkarā|tamakkarā|nimtakar|imtakrū|𒄿𒈠𒀝𒅗𒅈|𒈠𒀝𒊒𒌝|𒄿𒈠𒀝𒅗𒊏|𒉌𒈠𒀝𒅗𒅈|𒅎𒋫𒀝𒊒|amkar|i nimkar|𒅆𒅗𒅈|𒅎𒋫𒅗𒅈|𒈠𒀝𒊑|𒋫𒈠𒀝𒅗𒊏|imkarū|𒈠𒅗𒊒𒌝|𒌓𒋫𒅗𒅈|imtakrā|nimakkar|tamtakrā|imkarā|amtakar|𒀀𒄠𒅗𒅈|tamkar|tamtakrī|𒈠𒀝𒊏|amakkar|𒌓𒋫𒀝𒊏|nimkar|imkar|𒈠𒆠𒊒𒌝|𒅆𒅗𒊏|lumkar|limkar|𒈝𒅗𒅈|𒅎𒅗𒅈|𒋫𒈠𒀝𒅗𒊑|𒌓𒅗𒅈|tamkarā|imtakar|imakkarā|tamakkarī|imakkar|𒀀𒈠𒀝𒅗𒅈|𒅎𒅗𒊒|𒌓𒅗𒊏|makar|tamtakar|makrī	<i>verb</i><br><ol><li>to do business, use (silver, etc) in business transactions</li></ol>
malkum|malkū	<i>noun</i><br><ol><li>king, prince, (foreign) ruler</li></ol>
malāḫum|malāḫū	<i>noun</i><br><ol><li>sailor, shipwright</li></ol>
maqātum|𒄿𒈠𒀝𒆪𒌅|𒉌𒅎𒆪𒌓|𒈠𒂵𒌈|𒅎𒋫𒆪𒌓|𒋫𒈠𒀝𒆪𒋫|muqtā|māqitum|lumqut|tamtaqut|𒄿𒉌𒅎𒆪𒌓|𒌓𒋫𒀝𒋫|𒀀𒄠𒋫𒆪𒌓|tamaqqut|maqtum|𒅎𒋫𒀝𒌅|𒈬𒆪𒌓|tamqutī|𒀀𒄠𒆪𒌓|𒌓𒆪𒋫|𒈠𒀝𒌈|𒉌𒅎𒋫𒆪𒌓|nimtaqut|𒈝𒆪𒌓|𒋫𒈠𒀝𒆪𒋾|limqutū|𒌓𒆪𒋾|𒄿𒈠𒀝𒆪𒋫|muqtī|imaqqut|nimqut|tamqut|𒅆𒆪𒌓|muqut|𒅆𒆪𒌅|𒈬𒊌𒋫|𒄿𒈠𒀝𒆪𒌓|tamtaqtī|imqutā|𒈬𒊌𒋾|𒉌𒈠𒀝𒆪𒌓|imtaqtā|amqut|𒅎𒆪𒋫|limqut|amtaqut|𒅎𒋫𒀝𒋫|i nimqut|amaqqut|𒋫𒈠𒀝𒆪𒌓|imqut|imtaqut|𒌓𒆪𒌓|𒅎𒆪𒌅|tamtaqtā|tamaqqutī|imaqqutū|imtaqtū|𒀀𒈠𒀝𒆪𒌓|limqutā|imaqqutā|𒅎𒆪𒌓|𒌓𒋫𒀝𒋾|𒅆𒆪𒋫|nimaqqut|𒌓𒋫𒆪𒌓|tamaqqutā|tamqutā|imqutū|𒈠𒆠𒌈	<i>verb</i><br><ol><li>to fall, fall down, collapse</li><li>to happen, arrive (news, etc.)</li><li>(ana/eli) to fall upon, attack</li></ol>
marrum|marrātum|marratum|marrūtum	<i>adj</i><br><ol><li>bitter, brackish, biting</li></ol>
marûm|marītum|Nuzi	<i>adj</i><br><ol><li>fattened (of domestic animals)</li><li>(Standard Babylonian, grammar) marû ("slow (pronunciation)", used in the description of Sumerian verbs to refer to the imperfective form)</li></ol>
marāṣum|𒋫𒈠𒅈𒊏𒊍|𒀀𒈠𒅈𒊏𒊍|tamarraṣā|𒄿𒉌𒅎𒊏𒊍|maraṣ|tamtarṣā|𒌓𒊏𒍝|𒅎𒊏𒊍|𒅎𒋫𒅈𒍮|limraṣū|𒅎𒊏𒍝|𒅎𒊏𒍮|𒈝𒊏𒊍|𒌓𒊏𒊍|𒅎𒋫𒅈𒍝|tamtarṣī|𒄿𒈠𒅈𒊏𒍮|𒅆𒊏𒊍|māriṣum|𒉌𒈠𒅈𒊏𒊍|𒈠𒊑𒍮𒌝|imtarṣū|amtaraṣ|𒄿𒈠𒅈𒊏𒊍|i nimraṣ|imarraṣū|𒌓𒊏𒍢|𒈠𒅈𒍮𒌝|amraṣ|tamarraṣ|𒈠𒅈𒍢|𒅎𒋫𒊏𒊍|amarraṣ|tamraṣ|nimtaraṣ|nimarraṣ|marṣum|imarraṣ|limraṣā|limraṣ|nimraṣ|𒄿𒈠𒅈𒊏𒍝|𒅆𒊏𒍮|imraṣā|marṣā|𒌓𒋫𒊏𒊍|tamtaraṣ|tamarraṣī|𒈠𒊏𒍮𒌝|imarraṣā|𒈠𒊏𒊍|𒌓𒋫𒅈𒍢|𒉌𒅎𒊏𒊍|𒅆𒊏𒍝|tamraṣā|imraṣ|imtaraṣ|𒀀𒄠𒋫𒊏𒊍|𒈠𒅈𒍝|imraṣū|marṣī|𒀀𒄠𒊏𒊍|imtarṣā|𒋫𒈠𒅈𒊏𒍝|tamraṣī|𒌓𒋫𒅈𒍝|𒉌𒅎𒋫𒊏𒊍|𒋫𒈠𒅈𒊏𒍢|lumraṣ	<i>verb</i><br><ol><li>to be ill, diseased</li><li>to be concerned</li><li>to be difficult, troublesome, cause of annoyance</li><li>(with eli, ina muḫḫi, ana) to become displeasing to</li><li>(with libbum as subject) to become angry, displeased</li></ol>
matqum|matqūtum|matuqtum|matqātum	<i>adj</i><br><ol><li>sweet</li></ol>
matāqum|mitqā|imtatqā|𒅎𒋾𒅅|mitiq|𒅆𒋾𒂵|imattiqā|𒈪𒋾𒅅|imtiqū|𒋫𒈠𒀜𒋾𒆠|imattiq|𒋫𒈠𒀜𒋾𒂵|𒉌𒅎𒋾𒅅|amtiq|𒀀𒄠𒋾𒅅|𒌓𒋾𒆠|limtiqū|mitqī|tamattiqī|𒄿𒉌𒅎𒋾𒅅|𒅎𒋫𒀜𒆪|𒅆𒋾𒅅|tamattiqā|𒉌𒈠𒀜𒋾𒅅|𒄿𒈠𒀜𒋾𒆪|𒈝𒋾𒅅|tamtatqī|𒅎𒋫𒀜𒂵|imtiq|amtatiq|nimtiq|𒌓𒋾𒅅|imattiqū|𒌓𒋾𒂵|𒄿𒈠𒀜𒋾𒅅|imtatqū|lumtiq|𒉌𒅎𒋫𒋾𒅅|𒈪𒀉𒂵|𒈠𒋾𒆪𒌝|limtiqā|𒀀𒄠𒋫𒋾𒅅|tamattiq|𒈪𒀉𒆠|𒌓𒋫𒋾𒅅|𒅎𒋫𒋾𒅅|tamtatiq|limtiq|imtatiq|amattiq|𒋫𒈠𒀜𒋾𒅅|𒀀𒈠𒀜𒋾𒅅|matqum|mātiqum|𒄿𒈠𒀜𒋾𒂵|tamtiq|𒌓𒋫𒀜𒆠|tamtiqī|tamtiqā|nimtatiq|𒅎𒋾𒂵|𒅎𒋾𒆪|imtiqā|𒌓𒋫𒀜𒂵|tamtatqā|𒅆𒋾𒆪|𒈠𒋫𒆪𒌝|𒈠𒀜𒆪𒌝|i nimtiq|nimattiq	<i>verb</i><br><ol><li>to be(come) sweet</li></ol>
mazzaztum|mazzazti|mazzazātum	<i>noun</i><br><ol><li>stand (for an object or image)</li><li>position, rank (at court), array (of battle), location (of a star)</li><li>office, officeholder</li><li>service obligation</li></ol>
maškanum|maškanū|maškanātum	<i>noun</i><br><ol><li>threshing floor</li><li>location, site</li><li>vacant lot</li></ol>
maḫrum|maḫar	<i>noun</i><br><ol><li>(place) front, presence</li><li>(time) past</li></ol>
maḫrûm|maḫrītum|maḫriātum|Assyrian|maḫrûtum	<i>adj</i><br><ol><li>first, old, original</li><li>first (to come or go), next, future</li><li>former, earlier, previous</li><li>fore, front</li></ol>
maḫārum|𒀀𒄠𒄷𒌨|𒄿𒈠𒄴𒄩𒊒|𒄿𒉌𒅎𒄷𒌨|muḫrā|𒅆𒄷𒊏|imaḫḫarā|𒅎𒋫𒄩𒅈|𒌓𒄷𒌨|imtaḫrū|𒄿𒈠𒄴𒄩𒊏|𒌓𒄷𒊑|imaḫḫarū|𒅎𒋫𒄴𒊏|tamḫurī|muḫrī|amḫur|𒈠𒄩𒊒𒌝|amaḫḫar|𒈬𒄴𒊏|𒋫𒈠𒄴𒄩𒅈|nimḫur|𒉌𒅎𒋫𒄩𒅈|𒉌𒅎𒄷𒌨|tamḫurā|𒌓𒋫𒄴𒊑|𒈠𒄭𒊒𒌝|𒅎𒄷𒊒|nimtaḫar|limḫurū|𒄿𒈠𒄴𒄩𒅈|nimaḫḫar|imaḫḫar|imḫur|𒋫𒈠𒄴𒄩𒊑|limḫur|𒉌𒈠𒄴𒄩𒅈|tamtaḫar|maḫrum|𒀀𒈠𒄴𒄩𒅈|tamtaḫrī|𒅆𒄷𒊒|𒅎𒄷𒊏|māḫirum|𒈝𒄷𒌨|𒋫𒈠𒄴𒄩𒊏|𒈬𒄴𒊑|tamaḫḫar|lumḫur|𒌓𒋫𒄩𒅈|amtaḫar|imḫurā|limḫurā|tamaḫḫarā|𒅎𒋫𒄴𒊒|imtaḫar|𒅎𒄷𒌨|i nimḫur|muḫur|𒌓𒄷𒊏|tamaḫḫarī|𒌓𒋫𒄴𒊏|𒅆𒄷𒌨|tamḫur|𒈠𒄴𒊒𒌝|imtaḫrā|𒀀𒄠𒋫𒄩𒅈|tamtaḫrā|imḫurū|𒈬𒄷𒌨	<i>verb</i><br><ol><li>(with itti or ina qātim ša) to accept, receive</li><li>to face, approach, meet, confront</li><li>(with īnum as object) to please someone</li></ol>
maḫāṣum|maḫṣā|imḫaṣ|imḫaṣū|imaḫḫaṣ|𒈝𒄩𒊍|𒋫𒈠𒄴𒄩𒍢|𒅎𒄩𒍝|𒌓𒄩𒍝|𒈠𒄩𒍮𒌝|imtaḫaṣ|imaḫḫaṣā|𒅎𒋫𒄴𒍮|imtaḫṣū|nimaḫḫaṣ|tamaḫḫaṣī|𒅎𒋫𒄴𒍝|𒈠𒄴𒍮𒌝|𒅎𒋫𒄩𒊍|𒌓𒋫𒄴𒍢|𒅎𒄩𒊍|maḫṣum|𒀀𒈠𒄴𒄩𒊍|tamaḫḫaṣā|amtaḫaṣ|𒄿𒈠𒄴𒄩𒍝|𒅆𒄩𒍮|limḫaṣ|𒀀𒄠𒋫𒄩𒊍|𒈠𒄩𒊍|𒀀𒄠𒄩𒊍|maḫaṣ|𒉌𒅎𒄩𒊍|𒄿𒉌𒅎𒄩𒊍|nimḫaṣ|i nimḫaṣ|𒉌𒈠𒄴𒄩𒊍|amḫaṣ|𒋫𒈠𒄴𒄩𒍝|𒅎𒄩𒍮|limḫaṣū|𒈠𒄴𒍝|nimtaḫaṣ|imaḫḫaṣū|māḫiṣum|𒋫𒈠𒄴𒄩𒊍|tamtaḫṣī|𒌓𒋫𒄴𒍝|𒅆𒄩𒍝|𒅆𒄩𒊍|lumḫaṣ|tamtaḫṣā|𒄿𒈠𒄴𒄩𒍮|imḫaṣā|𒌓𒄩𒍢|amaḫḫaṣ|imtaḫṣā|tamtaḫaṣ|𒌓𒋫𒄩𒊍|𒄿𒈠𒄴𒄩𒊍|limḫaṣā|𒈠𒄭𒍮𒌝|𒉌𒅎𒋫𒄩𒊍|tamaḫḫaṣ|𒈠𒄴𒍢|tamḫaṣ|tamḫaṣā|𒌓𒄩𒊍|tamḫaṣī|maḫṣī	<i>verb</i><br><ol><li>to strike, hit, kill</li></ol>
maṣûm|imtaṣi|miṣi|imaṣṣi|imṣi	<i>verb</i><br><ol><li>to be equal to</li><li>to amount to, be sufficient for</li><li>(Old Assyrian only) to take responsibility for</li></ol>
menûm|nimenne|𒈨𒉌|mene|𒅆𒉈𒀀|limnû|𒂊𒅎𒋼𒉈|𒋼𒅎𒉈|imennû|𒅆𒉈|𒋼𒈨𒂗𒉈|𒈝𒉈|temteneā|𒈨𒉈|meneā|𒋼𒈨𒂗𒉌|𒋼𒅎𒋼𒉌|𒄿𒈨𒂗𒉡|𒅎𒋼𒉡|𒅆𒉡|𒂊𒅎𒉈|limne|temne|𒄿𒈨𒂗𒉈|𒄿𒉌𒅎𒉈|𒋼𒅎𒋼𒉈|𒉌𒅎𒋼𒉈|𒈨𒉈𒀀|imne|imenneā|𒉌𒅎𒉈|𒈨𒉡𒌝|temennî|imnû|temneā|emne|mēnûm|𒂊𒈨𒂗𒉈|imneā|𒋼𒅎𒉈𒀀|𒅎𒉡|𒅎𒋼𒉈|emenne|lumne|imenne|𒅎𒉈|𒅎𒉈𒀀|temtenî|emtene|𒋼𒅎𒉌|imteneā|nimtene|nimne|imtenû|limneā|imtene|menî|i nimne|temenneā|𒅎𒋼𒉈𒀀|temenne|temtene|𒋼𒅎𒋼𒉈𒀀|𒄿𒈨𒂗𒉈𒀀|temnî|𒋼𒈨𒂗𒉈𒀀|𒉌𒈨𒂗𒉈	<i>verb</i><br><ol><li>to love, be fond of</li></ol>
midrum|midrū|midir	<i>noun</i><br><ol><li>midru bread (a type of bread)</li></ol>
miḫiṣtum|𒈪𒄴𒍝𒌈|𒈪𒄴𒍝𒁴|𒈪𒄭𒄑𒌈|miḫiṣtīn|𒈪𒄭𒄑𒌓|𒈪𒄭𒄑𒋾|miḫiṣtam|miḫiṣtim|miḫiṣti|miḫiṣtān|𒈪𒄭𒄑𒋫𒀭|𒈪𒄭𒄑𒋾𒅔|miḫṣātim|Neo-Babylonian|miḫṣātum|𒈪𒄭𒄑𒁴	<i>noun</i><br><ol><li>cuneiform wedge, stroke (of the stylus)</li><li>wound</li></ol>
musukkannum|musukkannū	<i>noun</i><br><ol><li>a musukkannu tree (a type of tree and its wood imported from the East)</li></ol>
mutqûm	<i>noun</i><br><ol><li>sweet bread</li></ol>
mutum|mut|mutū|muti	<i>noun</i><br><ol><li>husband, man</li></ol>
muškēnum|muškēnū	<i>noun</i><br><ol><li>commoner, dependent (a class of people dependent or reliant on others, unable to provide supplies on their own)</li><li>poor person, destitute</li></ol>
mušītum|mušâtum|mušiātum	<i>noun</i><br><ol><li>nighttime, night</li></ol>
mušḫuššum|mušḫuššī|mušḫuš|𒈬𒍑𒄷𒍑|Neo-Assyrian|𒈬𒍑𒄷𒍑𒅆|mušḫuššam|𒈬𒍑𒄷𒍑𒅆𒅎|mušḫušša|mušḫuššim|𒈬𒍑𒄷𒍑𒋗𒌝|𒈬𒍑𒄷𒍑𒊭𒄠|𒈬𒍑𒄷𒍑𒋗|Neo-Babylonian|mušḫuššū	<i>noun</i><br><ol><li>the name of a kind of serpent</li><li>the name of a mythical or literary dragon</li><li>(Old Babylonian, astronomy) the name of a constellation</li></ol>
muḫḫum|𒈬𒄴𒄭𒅎|muḫḫī|𒈬𒄴𒄩𒄠|𒈬𒄴𒄩𒀭|𒈬𒄴𒄷𒌝|muḫḫam|muḫḫān|muḫḫi|mu-ḫu-um|𒈬𒄷𒌝|𒈬𒄴𒄷|muḫḫim|muḫḫū|muḫḫa|muḫḫīn|𒈬𒄴𒄭|𒈬𒄴𒄭𒅔	<i>noun</i><br><ol><li>skull, pate</li><li>(medicine) brain</li><li>top (part, side)</li></ol>
mâtum|𒋫𒈬𒌓𒋾|𒉌𒈠𒀜|nimât|tamât|𒄿𒈬𒌓𒌅|imât|𒄿𒈬𒋫|𒈬𒋾|𒈪𒌈|tamtūtī|mūtā|tamūtī|𒉌𒈬𒌓|imūtū|𒈠𒌈|𒀀𒈬𒌓|limūt|māitum|𒈬𒋫|𒈠𒄿𒌈|𒇻𒈬𒌓|𒀀𒄠𒌅𒌓|amūt|𒈬𒌓|𒅎𒌅𒌅|𒇷𒈬𒌅|imuttū|nimtūt|imūt|𒌓𒌅𒌓|𒇷𒈬𒋫|𒄿𒈬𒌓𒋫|𒋫𒈬𒋾|tamuttā|mūt|𒅎𒌅𒋫|tamūtā|𒉌𒅎𒌅𒌓|𒋫𒈬𒌓𒋫|imtūt|lumūt|imūtā|𒅎𒌅𒌓|𒋫𒈬𒌓|imtūtū|limūtū|𒀀𒈠𒀜|imtūtā|limūtā|𒄿𒈬𒌓|𒄿𒈬𒌅|tamuttī|amât|tamūt|𒄿𒉌𒈬𒌓|𒌓𒌅𒋫|tamtūtā|amtūt|𒋫𒈠𒀜|mūtī|tamtūt|mītum|𒄿𒈠𒀜|nimūt|𒇷𒈬𒌓|𒋫𒈬𒋫|imuttā|i nimūt|𒌓𒌅𒋾	<i>verb</i><br><ol><li>to die</li></ol>
mû	<i>noun</i><br><ol><li>water</li><li>liquid, fluid matter</li><li>(ornament) wavy line</li></ol>
mār damqi|mārū damqi|Neo-Assyrian|Neo-Babylonian|Assyrian	<i>noun</i><br><ol><li>nobleman, aristocrat</li><li>a kind of soldier</li><li>chariot-knight</li><li>high official in the kingdom</li></ol>
mār mārim|mārū mārim	<i>noun</i><br><ol><li>grandson</li></ol>
mārtum|mārtim|mārtīn|𒈠𒅈𒋾𒅔|𒈠𒊏𒀜|mārtān|mārti|𒈠𒅈𒌈|mārat|mārātum|𒈠𒊏𒌈|mārātim|𒈠𒅈𒌓|𒈠𒅈𒁴|𒈠𒅈𒋫𒀭|mārtam|𒈠𒊏𒁴	<i>noun</i><br><ol><li>daughter</li></ol>
mārum|mārū|mār|māri	<i>noun</i><br><ol><li>son</li></ol>
mātum|mātātum	<i>noun</i><br><ol><li>(political unit) home country, native land</li><li>land (in contrast to sea), flat country (in contrast to mountain)</li><li>foreign country/territory</li><li>inhabitants of a country</li></ol>
mēsum|mēsū	<i>noun</i><br><ol><li>mēsum tree, mēsum wood (a type of native tree and its wood)</li></ol>
mītum|mītūtum|mītātum|mīttum	<i>adj</i><br><ol><li>dead</li></ol>
mūtum|mūt|mūti	<i>noun</i><br><ol><li>death</li></ol>
mūšum|mūši|mūš|mūšū	<i>noun</i><br><ol><li>night, nighttime</li></ol>
nabûm|Mari|ibi|inabbi|ittabi|ibbi	<i>verb</i><br><ol><li>(with double accusative) to name, nominate</li><li>to invoke</li><li>to summon, call, appoint</li><li>to proclaim, command, make known</li></ol>
