cakā́ra	<i>romanization</i><br><ol><li>Romanization of चकार</li></ol>
प्रणृत्यति|praṇṛtyati|प्रनृत्	<i>verb</i><br><ol><li>to dance</li></ol>
प्रताडित|प्रताडिताभ्यः|प्रताडितौ|a-stem|प्रताडितेन|प्रताडितात्|प्रताडितया|प्रताडितेभ्यः|प्रताडितासः1|प्रताडितायाः|प्रताडितान्|pratāḍita|प्रताडिताः|प्रताडितेभिः1|प्रताडिते|प्रताडितायाम्|प्रताडितयोः|प्रताडितायै|प्रताडिताय|प्रताडिता1|प्रताडितेषु|ā-stem|प्रताडितम्|प्रताडितः|प्रताडिताभ्याम्|प्रताडितैः|प्रताडिताम्|प्रताडिताभिः|प्रताडितानि|प्रताडिता|प्रताडितस्य|प्रताडितानाम्|प्रताडितासु	<i>adj</i><br><ol><li>hurt, pained, abused, oppressed, tortured, mistreated</li></ol>
प्रताप|प्रतापाणाम्|प्रतापे|प्रतापम्|प्रतापान्|प्रतापः|pratāpa|प्रतापौ|प्रतापेभ्यः|प्रतापाः|प्रतापाभ्याम्|a-stem|प्रतापात्|प्रतापस्य|प्रतापेषु|प्रतापाय|प्रतापयोः|प्रतापैः|प्रतापेण	<i>noun</i><br><ol><li>bonanza</li><li>opulence, prosperity, wealth</li><li>warmer, heat-giver</li><li>scorcher</li></ol>
प्रति|práti	<i>adv</i><br><ol><li>towards, near, approach</li><li>against</li><li>regarding, concerning</li><li>per, according to</li></ol>
प्रतिगच्छति|pratigacchati|प्रतिगम्	<i>verb</i><br><ol><li>to return</li></ol>
प्रतिज्ञा|प्रतिज्ञाभिः|प्रतिज्ञासु|प्रतिज्ञायै|प्रतिज्ञाम्|प्रतिज्ञा1|प्रतिज्ञे|प्रतिज्ञाभ्याम्|ā-stem|प्रतिज्ञयोः|प्रतिज्ञानाम्|प्रतिज्ञायाम्|pratijñā|प्रतिज्ञाभ्यः|प्रतिज्ञाः|प्रतिज्ञायाः|प्रतिज्ञया	<i>root</i><br><ol><li>to admit, own, acknowledge, acquiesce in, consent to, approve</li><li>to promise</li><li>to confirm, assert, answer</li><li>to maintain, assert, allege, state</li><li>to bring forward or introduce</li><li>to perceive, notice, learn, become aware of</li><li>to remember sorrowfully</li></ol><br><i>noun</i><br><ol><li>vow, promise</li><li>agreement, assent, admission, acknowledgement</li><li>declaration, proposition, statement, assertion, allegation</li><li>(law) plaint, complaint, indictment, prosecution</li><li>(logic) a proposition, the assertion or proposition to be proved</li></ol>
प्रतिदिनम्|pratidinam	<i>adv</i><br><ol><li>day by day, every day, daily</li></ol>
प्रतिनिधित्व|pratinidhitva	
प्रतिबिम्ब|a-stem|प्रतिबिम्बेभ्यः|प्रतिबिम्बेन|प्रतिबिम्बान्|प्रतिबिम्बासः1|प्रतिबिम्बस्य|प्रतिबिम्बा1|प्रतिबिम्बानि|प्रतिबिम्बाः|pratibimba|प्रतिबिम्बः|प्रतिबिम्बात्|प्रतिबिम्बाय|प्रतिबिम्बानाम्|प्रतिबिम्बाभ्याम्|प्रतिबिम्बैः|प्रतिबिम्बयोः|प्रतिबिम्बे|प्रतिबिम्बेभिः1|प्रतिबिम्बेषु|प्रतिबिम्बम्|प्रतिबिम्बौ	<i>noun</i><br><ol><li>reflected image; reflection; mirrored form</li></ol>
प्रतिबुद्ध|प्रतिबुद्धाय|प्रतिबुद्धाभ्यः|a-stem|प्रतिबुद्धायाः|प्रतिबुद्धासु|प्रतिबुद्धैः|प्रतिबुद्धस्य|प्रतिबुद्धम्|प्रतिबुद्धाभिः|प्रतिबुद्धेषु|प्रतिबुद्धः|प्रतिबुद्धौ|प्रतिबुद्धेभिः1|प्रतिबुद्धान्|प्रतिबुद्धाभ्याम्|प्रतिबुद्धायाम्|ā-stem|प्रतिबुद्धयोः|प्रतिबुद्धे|प्रतिबुद्धानि|प्रतिबुद्धाम्|प्रतिबुद्धाः|प्रतिबुद्धेन|प्रतिबुद्धात्|प्रतिबुद्धया|प्रतिबुद्धायै|प्रतिबुद्धेभ्यः|प्रतिबुद्धासः1|प्रतिबुद्धानाम्|प्रतिबुद्धा1|प्रतिबुद्धा|prátibuddha	<i>adj</i><br><ol><li>awakened, awake (RV., etc.)</li><li>one who has attained perfect knowledge (ŚBr.)</li><li>enlightened, buddha (BhP.)</li><li>recognized, known (BhP.)</li><li>famous (W.)</li><li>made prosperous or great (W.)</li></ol>
प्रतिमन्|pratiman	<i>root</i><br><ol><li>to render back in return or in reply, contrast with</li><li>to honour, esteem, approve, consider, regard</li></ol>
प्रतिमा|प्रतिमायाम्|प्रतिमासु|प्रतिमायाः|प्रतिमयोः|प्रतिमे|pratimā|प्रतिमायै|प्रतिमा|ā-stem|प्रतिमाभ्याम्|प्रतिमानाम्|प्रतिमाः|प्रतिमाभ्यः|प्रतिमाभिः|प्रतिमया|प्रतिमा1|pratimā́|प्रतिमाम्	<i>noun</i><br><ol><li>a figure, image, likeness, model</li><li>idol, statue</li><li>sample</li><li>creator</li><li>framer</li><li>maker</li></ol>
प्रतिरोध|प्रतिरोधेभ्यः|प्रतिरोधेन|प्रतिरोधेभिः1|a-stem|pratirodha|प्रतिरोधानाम्|प्रतिरोधः|प्रतिरोधाः|प्रतिरोधात्|प्रतिरोधस्य|प्रतिरोधेषु|प्रतिरोधौ|प्रतिरोधे|प्रतिरोधम्|प्रतिरोधाभ्याम्|प्रतिरोधैः|प्रतिरोधासः1|प्रतिरोधान्|प्रतिरोधयोः|प्रतिरोधाय	<i>noun</i><br><ol><li>opposition</li><li>impediment</li><li>obstacle, obstruction</li></ol>
प्रतिलोम|प्रतिलोमा|प्रतिलोमानि|प्रतिलोमान्|a-stem|प्रतिलोमाम्|प्रतिलोमेन|प्रतिलोमेषु|प्रतिलोमैः|प्रतिलोमाभ्याम्|प्रतिलोमायाः|pratilomá|प्रतिलोमस्य|प्रतिलोमया|प्रतिलोमेभ्यः|प्रतिलोमाभिः|प्रतिलोमे|प्रतिलोमानाम्|प्रतिलोमः|प्रतिलोमायै|प्रतिलोमासः1|ā-stem|प्रतिलोमयोः|प्रतिलोमा1|प्रतिलोमाभ्यः|प्रतिलोमाय|प्रतिलोमेभिः1|प्रतिलोमात्|प्रतिलोमासु|प्रतिलोमौ|प्रतिलोमम्|प्रतिलोमायाम्|प्रतिलोमाः	<i>adj</i><br><ol><li>contrary to the regular order; inverted; against the grain</li><li>(by extension) disagreeable; adverse; unpleasant</li></ol>
प्रतिशाखा|प्रतिशाखाम्|प्रतिशाखाभ्याम्|प्रतिशाखे|प्रतिशाखाभिः|प्रतिशाखयोः|प्रतिशाखायाम्|प्रतिशाखासु|प्रतिशाखानाम्|प्रतिशाखायाः|ā-stem|प्रतिशाखाः|pratiśākhā|प्रतिशाखायै|प्रतिशाखाभ्यः|प्रतिशाखया|प्रतिशाखा1	<i>noun</i><br><ol><li>a side branch</li><li>a Vedic school</li></ol>
प्रतिश्याय|प्रतिश्यायस्य|प्रतिश्यायेभ्यः|प्रतिश्यायौ|प्रतिश्यायेन|a-stem|प्रतिश्यायाय|प्रतिश्यायम्|प्रतिश्यायैः|प्रतिश्यायः|प्रतिश्यायाभ्याम्|प्रतिश्याये|प्रतिश्यायान्|प्रतिश्यायेषु|प्रतिश्यायासः1|प्रतिश्यायेभिः1|प्रतिश्यायात्|प्रतिश्यायानाम्|प्रतिश्याययोः|प्रतिश्यायाः|pratiśyāya	<i>noun</i><br><ol><li>cold (affecting the nose), catarrh</li></ol>
प्रतिष्ठा|प्रतिष्ठानाम्|pratiṣṭhā|प्रतिष्ठासु|ā-stem|प्रतिष्ठायाम्|प्रतिष्ठाभ्यः|प्रतिष्ठायाः|प्रतिष्ठायै|प्रतिष्ठयोः|प्रतिष्ठया|प्रतिष्ठे|प्रतिष्ठाभ्याम्|प्रतिष्ठाः|प्रतिष्ठाभिः|प्रतिष्ठाम्	<i>noun</i><br><ol><li>ground, base, pedestal, support</li><li>performance of any ceremony or any solemn act, any ceremony for obtaining supernatural or magical powers</li><li>eminence, dignity, status, celebrity, rank</li><li>high rank or position</li></ol>
प्रतिष्ठित|प्रतिष्ठितान्|प्रतिष्ठितैः|प्रतिष्ठितया|प्रतिष्ठितौ|प्रतिष्ठितस्य|a-stem|प्रतिष्ठितासु|प्रतिष्ठितेन|प्रतिष्ठितेभिः1|प्रतिष्ठितयोः|प्रतिष्ठिताभ्यः|प्रतिष्ठिते|प्रतिष्ठितेभ्यः|प्रतिष्ठितानाम्|प्रतिष्ठितेषु|प्रतिष्ठिताय|प्रतिष्ठिताभिः|प्रतिष्ठिताम्|प्रतिष्ठिता1|प्रतिष्ठितायाः|प्रतिष्ठितम्|प्रतिष्ठिताः|ā-stem|prátiṣṭhita|प्रतिष्ठितः|प्रतिष्ठितासः1|प्रतिष्ठितायै|प्रतिष्ठितानि|प्रतिष्ठितात्|प्रतिष्ठिता|प्रतिष्ठितायाम्|प्रतिष्ठिताभ्याम्	<i>adj</i><br><ol><li>situated, founded; fixed or rooted firmly; located in, contained within; supported, resting or dependent on</li></ol>
प्रतीक|a-stem|प्रतीकेन|प्रतीकाय|प्रतीकायाम्|prátīka|प्रतीकौ|प्रतीकैः|pratīka|प्रतीकम्|प्रतीकात्|प्रतीकायै|प्रतीकस्य|प्रतीकाः|प्रतीकान्|ā-stem|प्रतीकाभ्याम्|प्रतीकया|प्रतीका|प्रतीकानि|प्रतीकेभ्यः|प्रतीकाभ्यः|प्रतीकासु|प्रतीकायाः|प्रतीक|प्रतीकाम्|प्रतीके|प्रतीकेषु|प्रतीकयोः|प्रतीकानाम्|प्रतीकाभिः|प्रतीकः	<i>adj</i><br><ol><li>turned towards</li><li>going uphill (MBh.)</li><li>opposite, against, contrary (L.)</li></ol><br><i>noun</i><br><ol><li>exterior, surface (RV.)</li><li>form, appearance(RV., Nir.)</li><li>face, mouth (RV., ŚBr., PārGṛ.)</li><li>front (MW.)</li><li>image, symbol (ChUp.)</li><li>copy (Vām.)</li><li>first part of a verse, first word (Br., etc.)</li><li>part, limb (L.)</li><li>name of the father of King Oghavat (BhP.)</li><li>name of a son of Maru (VP.)</li></ol>
प्रतीति|प्रतीत्याम्2|प्रतीते|प्रतीतयः|प्रतीत्या|प्रतीतिभ्यः|प्रतीतीः|प्रतीतेः|प्रतीतिभिः|प्रतीती|प्रतीतिम्|प्रतीत्योः|प्रतीतीनाम्|प्रतीत्याः2|i-stem|प्रतीतये|प्रतीत्ये1|प्रतीत्यै2|प्रतीतिः|प्रतीतिभ्याम्|प्रतीतिषु|प्रतीतौ|pratīti	<i>noun</i><br><ol><li>trust, credit</li><li>respect</li><li>delight</li><li>fame, notoriety, reputation</li></ol>
प्रतीत्यसमुत्पाद|pratītyasamutpāda	<i>noun</i><br><ol><li>(Buddhism) the chain of causation (Lalit.)</li></ol>
प्रत्यङ्गिरा|pratyaṅgirā	<i>noun</i><br><ol><li>a form of Durga, one of the goddesses of the tantrics</li></ol>
प्रत्याशिनी|प्रत्याशिनम्|प्रत्याशिषु|प्रत्याशिनीः|प्रत्याशी|प्रत्याशिनोः|प्रत्याशिन्|प्रत्याशिभ्यः|प्रत्याशिन्योः|in-stem|प्रत्याशिन्यै|प्रत्याशिनीनाम्|प्रत्याशिना1|pratyāśī|प्रत्याशिनीभ्याम्|प्रत्याशिन्यौ|प्रत्याशिनीभ्यः|प्रत्याशिन्याम्|प्रत्याशिन्याः|प्रत्याशिना|प्रत्याशिनी1|प्रत्याशिन्यः|ī-stem|प्रत्याशिनौ|प्रत्याशिनीषु|प्रत्याशिनीभिः|प्रत्याशिभिः|प्रत्याशिनः|प्रत्याशिनाम्|प्रत्याशिन्या|प्रत्याशिने|प्रत्याशिनि|pratyāśin|प्रत्याशिनीम्|प्रत्याशिनीः1|प्रत्याशिभ्याम्|pratyāśinī	<i>noun</i><br><ol><li>candidate (feminine)</li></ol>
प्रत्याशिन्|प्रत्याशिनम्|प्रत्याशिषु|प्रत्याशिनीः|प्रत्याशी|प्रत्याशिनोः|प्रत्याशिभ्यः|in-stem|प्रत्याशिन्योः|प्रत्याशिन्यै|प्रत्याशिनीनाम्|pratyāśī|प्रत्याशिनीभ्याम्|प्रत्याशिन्यौ|प्रत्याशिनीभ्यः|प्रत्याशिन्याम्|प्रत्याशिन्याः|प्रत्याशिना|प्रत्याशिनी1|प्रत्याशिन्यः|ī-stem|प्रत्याशिनौ|प्रत्याशिनीषु|प्रत्याशिनीभिः|प्रत्याशिभिः|प्रत्याशिनः|प्रत्याशिनाम्|प्रत्याशिनीः1|प्रत्याशिन्या|प्रत्याशिने|प्रत्याशिनि|प्रत्याशिनी|pratyāśin|प्रत्याशिनीम्|प्रत्याशिना1|प्रत्याशिभ्याम्|pratyāśinī	<i>noun</i><br><ol><li>candidate, one who hopes</li></ol>
प्रत्याहार|pratyāhāra	<i>noun</i><br><ol><li>withdrawal (especially of the senses from external objects)</li><li>(yoga) pratyahara</li></ol>
प्रत्युत्पन्न|प्रत्युत्पन्नाभ्याम्|प्रत्युत्पन्नैः|a-stem|प्रत्युत्पन्नान्|प्रत्युत्पन्नायाम्|प्रत्युत्पन्नाम्|प्रत्युत्पन्नयोः|प्रत्युत्पन्नाभिः|pratyutpanna|प्रत्युत्पन्नेभ्यः|प्रत्युत्पन्नेषु|प्रत्युत्पन्नः|प्रत्युत्पन्ने|प्रत्युत्पन्नस्य|प्रत्युत्पन्नाः|प्रत्युत्पन्नानि|ā-stem|प्रत्युत्पन्नया|प्रत्युत्पन्नेन|प्रत्युत्पन्नायाः|प्रत्युत्पन्नाभ्यः|प्रत्युत्पन्नासु|प्रत्युत्पन्नौ|प्रत्युत्पन्नाय|प्रत्युत्पन्नायै|प्रत्युत्पन्नानाम्|प्रत्युत्पन्ना|प्रत्युत्पन्नात्|प्रत्युत्पन्नेभिः1|प्रत्युत्पन्नम्|प्रत्युत्पन्नासः1|प्रत्युत्पन्ना1	<i>adj</i><br><ol><li>present (existing at the current moment); ready; prompt</li><li>(arithmetic) multiplied</li></ol><br><i>noun</i><br><ol><li>(arithmetic) multiplication; product (the result of multiplication)</li></ol>
प्रत्युष्ट|प्रत्युष्टेभ्यः|प्रत्युष्टायाः|प्रत्युष्टायै|a-stem|प्रत्युष्टेषु|prátyuṣṭa|प्रत्युष्टासः1|प्रत्युष्टान्|प्रत्युष्टानाम्|प्रत्युष्टानि|प्रत्युष्टे|प्रत्युष्टाभिः|प्रत्युष्टाय|प्रत्युष्टा|प्रत्युष्टयोः|प्रत्युष्टौ|प्रत्युष्टाभ्याम्|प्रत्युष्टया|प्रत्युष्टैः|ā-stem|प्रत्युष्टाम्|प्रत्युष्टासु|प्रत्युष्टात्|प्रत्युष्टेभिः1|प्रत्युष्टेन|प्रत्युष्टम्|प्रत्युष्टः|प्रत्युष्टायाम्|प्रत्युष्टस्य|प्रत्युष्टाभ्यः|प्रत्युष्टा1|प्रत्युष्टाः	<i>adj</i><br><ol><li>scorched, burnt</li></ol>
प्रथम|प्रथमे|प्रथमेन|प्रथमात्|प्रथमेषु|a-stem|प्रथमायाम्|प्रथमानि|प्रथमान्|प्रथमा1|प्रथमया|प्रथमा|प्रथमाः|प्रथमायै|प्रथमयोः|प्रथमासु|प्रथमाभ्याम्|प्रथमेभिः1|प्रथमाभ्यः|प्रथमाय|प्रथमः|ā-stem|prathamā́ni|prathamá|प्रथमासः1|प्रथमम्|प्रथमाभिः|प्रथमेभ्यः|प्रथमैः|प्रथमायाः|प्रथमाम्|प्रथमस्य|prathamā|प्रथमानाम्|प्रथमौ	<i>adj</i><br><ol><li>foremost, first (in time or in a series or in rank)</li><li>earliest, primary, original, prior, former</li><li>often translatable adverbially in the beginning of a compound; see especially प्रथमम् (prathamam), प्रथमात् (prathamāt)</li></ol><br><i>noun</i><br><ol><li>(grammar) (namely वर्ण (varṇa)) the first consonant of a वर्ग (varga), a surd unaspirate letter</li><li>(grammar) (namely पुरुष (puruṣa)) the first (in Western grammar terminology, the 3rd) person or its terminations</li><li>(namely स्वर (svara)) the first tone</li><li>(mathematics) the sum of the products divided by the difference between the squares of the cosine of the azimuth and the sine of the amplitude</li><li>the first tithi of each lunar fortnight</li></ol>
प्रथमपुरुष|प्रथमपुरुषेषु|प्रथमपुरुषम्|प्रथमपुरुषेभ्यः|प्रथमपुरुषः|प्रथमपुरुषस्य|प्रथमपुरुषाः|प्रथमपुरुषयोः|प्रथमपुरुषाभ्याम्|प्रथमपुरुषान्|प्रथमपुरुषाय|प्रथमपुरुषाणाम्|a-stem|प्रथमपुरुषेण|prathamá-puruṣa|प्रथमपुरुषे|प्रथमपुरुषौ|प्रथमपुरुषात्|प्रथमपुरुषैः	<i>noun</i><br><ol><li>(grammar) third person, but literally the "first person" in Sanskrit grammar tradition</li></ol>
प्रथमम्|prathamám	<i>adv</i><br><ol><li>firstly, at first, for the first time</li><li>just, newly, at once, forthwith</li><li>formerly, previously</li></ol><br><i>prep</i><br><ol><li>before (+ genitive)</li></ol>
प्रथमा विभक्ति|प्रथमा विभक्ती|prathamā vibhakti|प्रथमा विभक्तौ|प्रथमा विभक्त्याम्2|प्रथमा विभक्त्या|प्रथमा विभक्तिम्|प्रथमा विभक्त्याः2|प्रथमा विभक्तयः|प्रथमा विभक्त्ये1|प्रथमा विभक्तीः|प्रथमा विभक्त्यै2|प्रथमा विभक्तेः|प्रथमा विभक्तिभिः|प्रथमा विभक्त्योः|प्रथमा विभक्तिभ्यः|प्रथमा विभक्तये|i-stem|प्रथमा विभक्तिः|प्रथमा विभक्तिषु|प्रथमा विभक्तिभ्याम्|प्रथमा विभक्ते|प्रथमा विभक्तीनाम्	<i>noun</i><br><ol><li>(grammar) nominative case</li></ol>
प्रथस्|प्रथोभिः|प्रथसाम्|प्रथसे|प्रथसोः|प्रथसः|as-stem|प्रथःसु|प्रथसि|प्रथांसि|प्रथसा|प्रथोभ्याम्|práthas|प्रथः|प्रथसी|प्रथोभ्यः	<i>noun</i><br><ol><li>width, extension</li></ol>
प्रदर्शन|pradarśana	<i>noun</i><br><ol><li>look, appearance (often ifc., with f( आ).)</li><li>pointing out, showing, propounding, teaching, explaining</li></ol>
प्रदूषण|प्रदूषणेषु|प्रदूषणा1|प्रदूषणाय|प्रदूषणेभिः1|प्रदूषणैः|प्रदूषणात्|pradūṣaṇa|प्रदूषणेन|प्रदूषणानि|a-stem|प्रदूषणाभ्याम्|प्रदूषणे|प्रदूषणम्|प्रदूषणस्य|प्रदूषणयोः|प्रदूषणानाम्|प्रदूषणेभ्यः	<i>noun</i><br><ol><li>pollution</li></ol>
प्रदेश|प्रदेशाय|प्रदेशाभ्याम्|प्रदेशयोः|pradeśa|प्रदेशात्|प्रदेशाः|a-stem|प्रदेशेन|प्रदेशैः|प्रदेशेभ्यः|प्रदेशानाम्|प्रदेशे|प्रदेशेषु|प्रदेशान्|प्रदेशस्य|प्रदेशम्|प्रदेशः|प्रदेशौ	<i>noun</i><br><ol><li>pointing out, showing, indication, direction, decision, determination</li><li>appeal to a precedent</li><li>example (in grammar, law etc.)</li><li>spot, region, place, country, district (often in compounds with a part of the body, e.g. कण्ठप्रदेश (kaṇṭhapradeśa), हृदयप्रदेश (hṛdayapradeśa) etc.)</li><li>a short while</li><li>wall</li><li>a short span (measured from the tip of the thumb to that of the forefinger)</li><li>(Jainism) one of the obstacles to liberation Sarvad, "atomic individuality"</li><li>being or situated in a district</li></ol>
प्रधान|प्रधानौ|प्रधानेन|प्रधाना|a-stem|प्रधानयोः|प्रधानाः|प्रधानस्य|प्रधानायाः|प्रधानान्|प्रधान|प्रधानाभिः|प्रधानाभ्याम्|प्रधानम्|प्रधानः|प्रधाने|प्रधानया|ā-stem|प्रधानायै|प्रधानाभ्यः|प्रधानानाम्|प्रधानेभ्यः|प्रधानैः|प्रधानाय|प्रधानानि|प्रधानासु|प्रधानायाम्|प्रधानाम्|प्रधानेषु|pradhāna|प्रधानात्	<i>adj</i><br><ol><li>chief, foremost, most important</li><li>pre-eminent</li><li>better, superior (MBh., Kāv., etc.)</li></ol><br><i>noun</i><br><ol><li>name of a king (MBh.)</li><li>chief companion to the king, noble (L.)</li><li>elephant driver (L.)</li><li>the most important or essential part of something (KātyŚr., Mn., MBh., etc.)</li><li>origin of the universe, original matter (IW.)</li><li>base matter (Sarvad.)</li><li>universal soul (L.)</li><li>intellect, understanding (L.)</li><li>(grammar) the primary member of a compound</li></ol>
प्रपद्यते|prapadyate|प्रपद्	<i>verb</i><br><ol><li>to turn out</li></ol>
प्रपा|प्रपाणाम्|प्रपाम्|प्रपया|प्रपाभ्याम्|प्रपाभिः|प्रपायै|प्रपा1|प्रपाभ्यः|प्रपायाः|प्रपायाम्|prapā́|ā-stem|प्रपासु|प्रपे|प्रपयोः|प्रपाः	<i>noun</i><br><ol><li>a reservoir of drinking water; a roadside shed for supplying travellers with drinking water; a place for cattle to drink water; a fountain or cistern of drinking water</li></ol>
प्रपाठक|प्रपाठकेन|प्रपाठकेभ्यः|प्रपाठकस्य|प्रपाठके|प्रपाठकः|a-stem|प्रपाठकाभ्याम्|प्रपाठकम्|प्रपाठकौ|प्रपाठकाय|प्रपाठकयोः|प्रपाठकेषु|प्रपाठकैः|प्रपाठकात्|prapāṭhaka|प्रपाठकान्|प्रपाठकाः|प्रपाठकानाम्	<i>noun</i><br><ol><li>lecture, as a subdivision of a book (TS., Br., etc.)</li></ol>
प्रपितामह|प्रपितामहेषु|प्रपितामहे|प्रपितामहानाम्|प्रपितामहेन|प्रपितामहाय|प्रपितामहेभ्यः|प्रपितामहाभ्याम्|a-stem|प्रपितामहात्|प्रपितामहः|प्रपितामहौ|प्रपितामहैः|प्रपितामहस्य|prapitāmaha|प्रपितामहान्|प्रपितामहयोः|प्रपितामहाः|प्रपितामहम्	<i>noun</i><br><ol><li>a paternal great grandfather</li></ol>
प्रपितामही|prapitāmahī	<i>noun</i><br><ol><li>a paternal great-grandmother</li></ol>
प्रबन्ध|बन्धान्|a-stem|बन्धौ|बन्धाः|bandhá|बन्धेन|बन्धम्|बन्धासः1|बन्धस्य|बन्धानाम्|बन्धः|बन्धात्|बन्धाय|बन्धाभ्याम्|बन्धेभ्यः|prabandha|बन्धैः|बन्धेभिः1|बन्धयोः|बन्ध|बन्धेषु|बन्धे	<i>noun</i><br><ol><li>continuous application or action, continuance, uninterruptedness</li><li>a connected discussion</li><li>a connection, tie, a bond</li><li>the umbilical cord</li><li>a literary composition, particularly a poetical one; a commentary</li></ol>
प्रबुध्|pra-búdh	<i>adj</i><br><ol><li>watchful, attentive</li><li>foreknowing</li></ol>
प्रभव|prabhava	<i>adj</i><br><ol><li>prominent, excelling, distinguished</li></ol><br><i>noun</i><br><ol><li>production, source, origin, cause of existence (as father or mother, also ‘the Creator’), birthplace (often ifc., with f( आ)., springing or rising or derived from, belonging to)</li></ol><br><i>name</i><br><ol><li>name of Vishnu</li><li>name of the first or 35th year in a 60 years' cycle of Jupiter</li></ol>
प्रभा|प्रभाभ्याम्|प्रभा1|प्रभाभिः|प्रभाणाम्|प्रभे|प्रभासु|ā-stem|प्रभाः|prabhā́|प्रभायाम्|प्रभायै|प्रभायाः|प्रभयोः|प्रभाभ्यः|prabhā|प्रभया|प्रभाम्	<i>noun</i><br><ol><li>light, brilliance, radiance, splendour, lustre, luminosity</li><li>beautiful appearance</li><li>sunlight</li><li>the shadow of the gnomon on a sundial</li></ol><br><i>root</i><br><ol><li>to shine forth, begin to become light, shine, gleam</li><li>to appear, seem, look like</li><li>to illuminate, enlighten</li></ol>
प्रभाकर|prabhākara	<i>noun</i><br><ol><li>‘light-maker’, the sun (du. sun and moon) (MBh. Kāv. Kathās.)</li><li>the moon</li><li>fire</li></ol><br><i>name</i><br><ol><li>a name of Siva</li><li>the name of a class of deities under the 8th Manu (MārkP.)</li><li>the name of a serpent-demon (MBh.)</li><li>the name of a sage of the race of Atri (Hariv. Pur.)</li></ol>
प्रभाकीट|प्रभाकीटानाम्|प्रभाकीटौ|a-stem|प्रभाकीटाय|प्रभाकीटः|प्रभाकीटम्|प्रभाकीटान्|प्रभाकीटाभ्याम्|प्रभाकीटेभिः1|प्रभाकीटेन|प्रभाकीटयोः|प्रभाकीटैः|prabhākīṭa|प्रभाकीटेषु|प्रभाकीटात्|प्रभाकीटस्य|प्रभाकीटाः|प्रभाकीटासः1|प्रभाकीटे|प्रभाकीटेभ्यः	<i>noun</i><br><ol><li>(Classical Sanskrit) a firefly</li></ol>
प्रभात|prabhāta	<i>noun</i><br><ol><li>daybreak, dawn, morning</li></ol>
प्रभाति|prabhāti|प्रभासि|prabhāsi|प्रभा	<i>verb</i><br><ol><li>to shine forth, brighten, shine, gleam</li><li>to appear, seem, look like (with or without इव (iva, “like, as if”))</li><li>to illuminate, enlighten</li></ol>
प्रभु|प्रभौ|u-stem|प्रभवे|प्रभ्व्याम्|प्रभ्वः2|प्रभुः|प्रभ्व्याः|प्रभ्वी|प्रभुभ्याम्|प्रभ्व्योः|प्रभ्व्यः|प्रभुभिः|प्रभो|प्रभ्वा1|प्रभुणः1|प्रभ्वे3|प्रभ्वीः|प्रभुणा|प्रभुषु|प्रभुभ्यः|प्रभ्वीः1|प्रभोः|प्रभूणि1|प्रभ्व्यौ|प्रभ्वि|प्रभुणोः|prabhú|प्रभ्वीभ्यः|प्रभ्वः3|प्रभ्वीभ्याम्|प्रभुणी|प्रभुणि|प्रभ्व्या|प्रभ्वीषु|ī-stem|प्रभून्|प्रभ्वोः|प्रभ्व्यै|प्रभू|प्रभूणाम्|प्रभ्वे2|प्रभ्वा2|प्रभ्वीम्|प्रभ्वी1|प्रभवः|प्रभ्वीभिः|प्रभ्वीणाम्|प्रभुम्	<i>adj</i><br><ol><li>good, excelling, mighty, powerful, rich, abundant</li><li>(with ablative) more powerful than</li><li>(with genitive) having power over</li><li>(with locative, infinitive or in compounda) able, capable, having power to</li><li>(with dative) a match for</li><li>constant, eternal</li></ol><br><i>noun</i><br><ol><li>master, lord, king, prince (also applied to gods)</li><li>the chief or leader of a sect</li></ol>
प्रमत्त|pramatta	<i>adj</i><br><ol><li>tipsy</li><li>drunk</li><li>intoxicated</li></ol>
प्रमन्थ|प्रमन्थेन|प्रमन्थेषु|प्रमन्थौ|प्रमन्थैः|प्रमन्थाभ्याम्|प्रमन्थात्|प्रमन्थः|प्रमन्थाय|प्रमन्थे|a-stem|प्रमन्थानाम्|प्रमन्थस्य|प्रमन्थेभ्यः|प्रमन्थयोः|प्रमन्थान्|प्रमन्थम्|प्रमन्थाः|pramantha	<i>noun</i><br><ol><li>a stick used to kindle fire by rubbing</li></ol>
प्रमाण|pramāṇa	<i>noun</i><br><ol><li>proof, authority; any proof, testimony, or evidence</li><li>measurement, dimensions, length; measure of any kind</li><li>accordance of the movements in dancing with music and song</li></ol>
प्रमाथ|pramātha	<i>noun</i><br><ol><li>hurting, injuring</li></ol>
प्रमाद|pramāda	<i>noun</i><br><ol><li>carelessness, heedlessness</li></ol>
प्रमादिन्|pramādin	<i>adj</i><br><ol><li>negligent, careless, indifferent.</li></ol><br><i>name</i><br><ol><li>Name of the 47th (21st) year of a 60 years' cycle of Jupiter.</li></ol>
प्रमुख|pramukha	<i>adj</i><br><ol><li>turning the face towards, facing</li><li>first, foremost, chief, principal, most excellent</li><li>(generally ifc.; f(आ).) having as foremost or chief, headed or preceded by, accompanied by or with</li><li>honourable, respectable</li></ol><br><i>noun</i><br><ol><li>chief, respectable man, sage</li><li>a heap, multitude</li><li>Rottleria tinctoria L.</li><li>mouth</li><li>commencement (of a chapter)</li><li>time being, the present, the same time</li><li>(ibc. or °खे ind.) before the face of, in front of, before, opposite to (with gen. or comp.) MBh. Kāv.</li><li>(with √ कृ) to cause to go before or precede</li></ol>
