(h)eakkë	<i>adv</i><br><ol><li>suddenly</li></ol>
sieplë	<i>noun</i><br><ol><li>slush</li></ol>
sieppë|siep̯p̯ëj|siep̯p̯ëm|sieppës̯ën|siep̯p̯ëk|siep̯p̯ën|siep̯p̯ëjnē|sieppëtē|siep̯p̯ëstē|siep̯p̯ëjstē|sieppënē|siep̯p̯ësnē|siep̯p̯ëjtē|siep̯p̯ëptāk̯ëk|siep̯p̯ëjnë	<i>noun</i><br><ol><li>pubic hair</li></ol>
siesā	<i>noun</i><br><ol><li>paternal aunt</li></ol>
sievnë	<i>noun</i><br><ol><li>ide (fish)</li></ol>
sieŋë|sieŋ̯ëk|sieŋ̯ëj|sieŋ̯ëjtē|sieŋ̯ësnē|sieŋ̯ëjstē|sieŋ̯ën|sieŋ̯ëm|sieŋënē|sieŋës̯ën|sieŋ̯ëjnē|sieŋ̯ëptāk̯ëk|sieŋëtē|sieŋ̯ëstē|sieŋ̯ëjnë	<i>noun</i><br><ol><li>nostril</li></ol>
sieδkë|sieδkëtē|sieδkënē|sieδ̯k̯ëjnē|sieδ̯k̯ëjstē|sieδ̯k̯ëjnë|sieδ̯k̯ëm|sieδkës̯ën|sieδ̯k̯ësnē|sieδ̯k̯ëk|sieδ̯k̯ëptāk̯ëk|sieδ̯k̯ëstē|sieδ̯k̯ëjtē|sieδ̯k̯ëj|sieδ̯k̯ën	<i>noun</i><br><ol><li>willow</li></ol>
sijtë|sij̯t̯ëk|sij̯t̯ëjnë|sijtënē|sij̯t̯ëstē|sij̯t̯ëptāk̯ëk|sij̯t̯ëj|sijtës̯ën|sij̯t̯ëjtē|sij̯t̯ën|sij̯t̯ëjstē|sij̯t̯ëm|sij̯t̯ëjnē|sijtëtē|sij̯t̯ësnē	<i>noun</i><br><ol><li>village, winter village</li></ol>
sikkōtēk	<i>verb</i><br><ol><li>to wipe</li></ol>
silpë|sil̯p̯ëptāk̯ëk|sil̯p̯ëj|sil̯p̯ësnē|sil̯p̯ëstē|silpënē|sil̯p̯ëjstē|silpëtē|sil̯p̯ëk|sil̯p̯ëjnë|silpës̯ën|sil̯p̯ëjnē|sil̯p̯ëm|sil̯p̯ëjtē|sil̯p̯ën	<i>noun</i><br><ol><li>silver</li></ol>
siltē	<i>noun</i><br><ol><li>Atlantic herring, Clupea harengus</li></ol>
silē|silēs	<i>adj</i><br><ol><li>tired</li></ol>
sirtētēk	<i>verb</i><br><ol><li>to move</li></ol>
sirëtēk	<i>verb</i><br><ol><li>to separate</li><li>to spread</li></ol>
sitëtēk	<i>verb</i><br><ol><li>to want</li></ol>
sivlō|siv̯l̯ōn|siv̯l̯ōjstē|sivlus̯ën|siv̯l̯ujnë|siv̯l̯ōsnē|siv̯l̯ōstē|siv̯l̯ōj|siv̯l̯ōm|sivlōnē|siv̯l̯ōjnē|siv̯l̯ōptāk̯ëk|siv̯l̯ōjtē|sivlōtē|siv̯l̯ōk	<i>noun</i><br><ol><li>awl</li></ol>
soajē|soaj̯ēk|soaj̯ijnē|soaj̯ēstē|soajās̯ën|soaj̯ijnë|soaj̯ēptāk̯ëk|soajētē|soaj̯ijtē|soaj̯ij|soaj̯ēsnē|soaj̯ēm|soajēnē|soaj̯ijstē|soaj̯ēn	<i>noun</i><br><ol><li>wing</li><li>sleeve</li></ol>
soakē|soak̯ēn|soak̯ēm|soak̯ijnē|soak̯ijnë|soak̯ēk|soak̯ijstē|soak̯ēsnē|soakās̯ën|soak̯ēptāk̯ëk|soak̯ij|soak̯ijtē|soakēnē|soakētē|soak̯ēstē	<i>noun</i><br><ol><li>birch</li></ol>
soalvē	<i>noun</i><br><ol><li>bend</li></ol>
soalōtēk	<i>verb</i><br><ol><li>to pick one's teeth</li></ol>
soampē|soampās̯ën|soam̯p̯ijtē|soam̯p̯ēsnē|soam̯p̯ēm|soam̯p̯ijstē|soampētē|soam̯p̯ēptāk̯ëk|soam̯p̯ij|soam̯p̯ēstē|soam̯p̯ijnë|soampēnē|soam̯p̯ēn|soam̯p̯ēk|soam̯p̯ijnē	<i>noun</i><br><ol><li>staff, stick</li></ol>
soappë	<i>noun</i><br><ol><li>corner, nook</li></ol>
soarvē|soar̯v̯ijnë|soar̯v̯ijstē|soar̯v̯ēk|soar̯v̯ēstē|soar̯v̯ēsnē|soar̯v̯ijtē|soar̯v̯ēptāk̯ëk|soarvēnē|soar̯v̯ēn|soarvās̯ën|soarvētē|soar̯v̯ēm|soar̯v̯ij|soar̯v̯ijnē	<i>noun</i><br><ol><li>dry pine</li></ol>
soavlē|soav̯l̯ēptāk̯ëk|soav̯l̯ij|soav̯l̯ijnē|soavlās̯ën|soavlētē|soav̯l̯ēk|soav̯l̯ēsnē|soav̯l̯ijstē|soavlēnē|soav̯l̯ēstē|soav̯l̯ijnë|soav̯l̯ēm|soav̯l̯ijtē|soav̯l̯ēn	<i>noun</i><br><ol><li>slush</li></ol>
soaŋō|soaŋ̯ōm|soaŋōtē|soaŋ̯ōj|soaŋōnē|soaŋ̯ōjnē|soaŋus̯ën|soaŋ̯ōk|soaŋ̯ōptāk̯ëk|soaŋ̯ōjtē|soaŋ̯ōn|soaŋ̯ōsnē|soaŋ̯ujnë|soaŋ̯ōjstē|soaŋ̯ōstē	<i>noun</i><br><ol><li>marriage proposal</li></ol>
soaδēs	<i>noun</i><br><ol><li>stick</li></ol>
sojëjēlē|sojëjēlēs	<i>adj</i><br><ol><li>bendable, flexible</li></ol>
sojëtēk	<i>verb</i><br><ol><li>to bend, to become bent</li></ol>
solkē	
somō|som̯ōm|som̯ōj|som̯ōjstē|som̯ujnë|som̯ōjnē|som̯ōstē|som̯ōptāk̯ëk|som̯ōjtē|som̯ōk|som̯ōn|somus̯ën|somōnē|somōtē|som̯ōsnē	<i>noun</i><br><ol><li>fog</li></ol>
sonë	<i>pron</i><br><ol><li>he, she, it</li></ol>
sonōj	<i>pron</i><br><ol><li>they two (dual)</li></ol>
soptë|sop̯t̯ëjtē|sop̯t̯ën|sop̯t̯ëjnē|sop̯t̯ëptāk̯ëk|sop̯t̯ëj|sop̯t̯ësnē|soptëtē|sop̯t̯ëstē|sop̯t̯ëjstē|sop̯t̯ëm|sop̯t̯ëjnë|soptënē|soptës̯ën|sop̯t̯ëk	<i>noun</i><br><ol><li>foam, froth</li></ol>
sopëtēk	<i>verb</i><br><ol><li>to gnaw</li></ol>
sormē|sor̯m̯ijstē|sor̯m̯ēptāk̯ëk|sor̯m̯ēk|sor̯m̯ēstē|sor̯m̯ēn|sor̯m̯ij|sormēnē|sor̯m̯ijnē|sor̯m̯ijtē|sormās̯ën|sor̯m̯ēm|sor̯m̯ēsnē|sormētē|sor̯m̯ijnë	<i>noun</i><br><ol><li>death</li></ol>
soŋkē	
sukëntëtēk	
sukëtēk	<i>verb</i><br><ol><li>to row</li></ol>
sulë	
suntē	<i>noun</i><br><ol><li>melt, thaw</li><li>hole in the ice</li></ol>
suojnē|suoj̯n̯ijtē|suoj̯n̯ēm|suoj̯n̯ij|suoj̯n̯ēn|suojnās̯ën|suoj̯n̯ijnē|suoj̯n̯ēptāk̯ëk|suojnēnē|suoj̯n̯ijstē|suoj̯n̯ēsnē|suoj̯n̯ēstē|suoj̯n̯ijnë|suojnētē|suoj̯n̯ēk	<i>noun</i><br><ol><li>hay</li></ol>
suojpōtēk	<i>verb</i><br><ol><li>to teeter</li></ol>
suojë	
suojē|suoj̯ēk|suoj̯ij|suojēnē|suoj̯ēptāk̯ëk|suojētē|suoj̯ēstē|suoj̯ēsnē|suojās̯ën|suoj̯ēm|suoj̯ēn|suoj̯ijnë|suoj̯ijnē|suoj̯ijtē|suoj̯ijstē	<i>noun</i><br><ol><li>shelter, cover</li></ol>
suoksë|suoksëtē|suok̯s̯ëm|suok̯s̯ëk|suok̯s̯ëj|suok̯s̯ësnē|suok̯s̯ëptāk̯ëk|suok̯s̯ën|suoksës̯ën|suok̯s̯ëjnë|suok̯s̯ëjnē|suok̯s̯ëstē|suoksënē|suok̯s̯ëjtē|suok̯s̯ëjstē	<i>noun</i><br><ol><li>larva</li></ol>
suokë	<i>adj</i><br><ol><li>thick</li></ol>
suokëtē	<i>adj</i><br><ol><li>thick</li></ol>
suolnē|suol̯n̯ēm|suol̯n̯ēk|suol̯n̯ij|suol̯n̯ēstē|suol̯n̯ijnē|suolnās̯ën|suol̯n̯ijnë|suol̯n̯ēn|suol̯n̯ēsnē|suol̯n̯ēptāk̯ëk|suolnēnē|suol̯n̯ijstē|suolnētē|suol̯n̯ijtē	<i>noun</i><br><ol><li>dew</li></ol>
suolëk|suolëk̯ën|suolëk̯ëj|suolëk̯ëjstē|suolëk̯ëjnë|suolëk̯ëjtē|suol̯ëk|suol̯ëk̯s̯ën|suolëk̯ëjnē|suolëk̯ëk|suolëk̯ësnē|suol̯ëktē|suolëk̯ëm|suolëk̯ëptāk̯ëk|suolëk̯ëstē|suol̯ëknē	<i>noun</i><br><ol><li>thief</li></ol>
suolāntëtēk	<i>verb</i><br><ol><li>to steal</li></ol>
suolē|suolētē	<i>noun</i><br><ol><li>thief</li></ol>
suolēn	<i>adv</i><br><ol><li>secretly, in secret</li></ol>
suolētēk	<i>verb</i><br><ol><li>to steal</li></ol>
suolōj	<i>noun</i><br><ol><li>island</li></ol>
suomtēk	<i>noun</i><br><ol><li>clump of roots</li></ol>
suontëtēk	<i>verb</i><br><ol><li>to cut open</li></ol>
suonë|suon̯ëk|suon̯ëjnë|suon̯ëj|suonës̯ën|suon̯ëstē|suon̯ëjnē|suonënē|suon̯ëjtē|suon̯ësnē|suon̯ëptāk̯ëk|suon̯ën|suon̯ëm|suon̯ëjstē|suonëtē	<i>noun</i><br><ol><li>vein</li></ol>
suoppōtēk	<i>verb</i><br><ol><li>to throw</li></ol>
suorkënëtēk	<i>verb</i><br><ol><li>to be scared</li></ol>
suorkē|suor̯k̯ēk|suor̯k̯ijnē|suor̯k̯ēsnē|suor̯k̯ēptāk̯ëk|suor̯k̯ijtē|suorkētē|suor̯k̯ēn|suor̯k̯ēm|suorkās̯ën|suor̯k̯ij|suor̯k̯ijnë|suorkēnē|suor̯k̯ēstē|suor̯k̯ijstē	<i>noun</i><br><ol><li>branch</li></ol>
suormë|suor̯m̯ëk|suormënē|suor̯m̯ëptāk̯ëk|suor̯m̯ëjtē|suor̯m̯ësnē|suor̯m̯ëjnë|suor̯m̯ëm|suormëtē|suor̯m̯ëjstē|suor̯m̯ëjnē|suor̯m̯ën|suor̯m̯ëstē|suormës̯ën|suor̯m̯ëj	<i>noun</i><br><ol><li>finger</li></ol>
suorāmë	<i>noun</i><br><ol><li>nostril</li></ol>
suorē	<i>noun</i><br><ol><li>branch</li></ol>
suoskëtēk	<i>verb</i><br><ol><li>to bite</li></ol>
suosë|suos̯ëm|suos̯ësnē|suos̯ëjnē|suos̯ëjstē|suos̯ëjnë|suos̯ëptāk̯ëk|suosënē|suos̯ëj|suosëtē|suos̯ëstē|suosës̯ën|suos̯ën|suos̯ëk|suos̯ëjtē	<i>noun</i><br><ol><li>frazil ice</li></ol>
suottë	<i>adj</i><br><ol><li>sweet</li><li>pleasant</li></ol>
suovtē|suov̯t̯ēptāk̯ëk|suov̯t̯ijnē|suovtētē|suovtēnē|suovtās̯ën|suov̯t̯ijstē|suov̯t̯ēm|suov̯t̯ēsnē|suov̯t̯ēn|suov̯t̯ēk|suov̯t̯ijnë|suov̯t̯ijtē|suov̯t̯ij|suov̯t̯ēstē	<i>noun</i><br><ol><li>gill</li></ol>
suovë|suovëtē|suov̯ësnē|suov̯ëjnē|suov̯ëjnë|suov̯ëj|suov̯ën|suovënē|suov̯ëjstē|suovës̯ën|suov̯ëk|suov̯ëm|suov̯ëptāk̯ëk|suov̯ëstē|suov̯ëjtē	<i>noun</i><br><ol><li>smoke</li></ol>
suovëstētēk	
suovē|suovētē|suov̯ēm|suov̯ēk|suov̯ij|suov̯ēstē|suov̯ijstē|suov̯ijnē|suov̯ēptāk̯ëk|suovās̯ën|suov̯ēn|suovēnē|suov̯ijnë|suov̯ēsnē|suov̯ijtē	<i>noun</i><br><ol><li>wet or icy snow</li></ol>
suovńē|suovńētē|suov̯ń̯ēn|suovńēnē|suov̯ń̯ēsnē|suov̯ń̯ijtē|suov̯ń̯ij|suov̯ń̯ijstē|suov̯ń̯ēstē|suovńās̯ën|suov̯ń̯ijnë|suov̯ń̯ēptāk̯ëk|suov̯ń̯ēm|suov̯ń̯ēk|suov̯ń̯ijnē	<i>noun</i><br><ol><li>pit in the snow</li></ol>
suońō|suoń̯ōn|suońus̯ën|suoń̯ōjnē|suoń̯ōk|suońōnē|suoń̯ōstē|suoń̯ōjtē|suoń̯ōjstē|suońōtē|suoń̯ōj|suoń̯ōm|suoń̯ujnë|suoń̯ōsnē|suoń̯ōptāk̯ëk	<i>noun</i><br><ol><li>swamp</li></ol>
suoŋkëtēk	<i>verb</i><br><ol><li>to bustle</li></ol>
suoŋēr	<i>noun</i><br><ol><li>rack</li></ol>
suoδëtēk	<i>verb</i><br><ol><li>to hiss</li></ol>
supē|sup̯ijstē|supēnē|sup̯ij|sup̯ēptāk̯ëk|sup̯ijnē|sup̯ēn|sup̯ēstē|sup̯ijnë|supās̯ën|supētē|sup̯ēm|sup̯ijtē|sup̯ēsnē|sup̯ēk	<i>noun</i><br><ol><li>aspen</li></ol>
suttëtēk	<i>verb</i><br><ol><li>to become angry</li></ol>
suvtētēk	<i>verb</i><br><ol><li>to transport by boat</li></ol>
sëjē|sëj̯ēk|sëjētē|sëj̯ēsnē|sëj̯ēn|sëj̯ijstē|sëj̯ēm|sëjās̯ën|sëj̯ij|sëjēnē|sëj̯ijnë|sëj̯ijtē|sëj̯ijnē|sëj̯ēptāk̯ëk|sëj̯ēstē	<i>noun</i><br><ol><li>place</li></ol>
sëjētēk	<i>verb</i><br><ol><li>to hone, to whet, to sharpen</li><li>to grind</li></ol>
sëktëtēk	<i>verb</i><br><ol><li>to toughen (of tree bark)</li></ol>
sëkënëtēk	<i>verb</i><br><ol><li>to be conceived</li></ol>
sëkëtēk	<i>verb</i><br><ol><li>to pant</li></ol>
sëlë|sël̯ëstē|sëlëtē|sël̯ëjnë|sël̯ëjtē|sël̯ëjstē|sëlës̯ën|sël̯ën|sël̯ëj|sël̯ësnē|sël̯ëjnē|sël̯ëm|sël̯ëptāk̯ëk|sëlënē|sël̯ëk	<i>noun</i><br><ol><li>fathom</li><li>lap</li></ol>
sëntētēk	<i>verb</i><br><ol><li>to stretch</li></ol>
sëpēkkē	<i>noun</i><br><ol><li>ski</li></ol>
sërvë|sërvëtē|sër̯v̯ën|sërvënē|sër̯v̯ësnē|sër̯v̯ëj|sër̯v̯ëstē|sërvës̯ën|sër̯v̯ëk|sër̯v̯ëjnë|sër̯v̯ëm|sër̯v̯ëjstē|sër̯v̯ëjtē|sër̯v̯ëjnē|sër̯v̯ëptāk̯ëk	<i>noun</i><br><ol><li>elk, moose, Alces alces</li></ol>
sërvēs	<i>noun</i><br><ol><li>bull elk</li></ol>
sërē|sër̯ij|sër̯ijnë|sër̯ijnē|sërēnē|sër̯ijstē|sër̯ēn|sër̯ēstē|sërās̯ën|sër̯ēk|sër̯ijtē|sër̯ēm|sër̯ēsnē|sërētē|sër̯ēptāk̯ëk	<i>noun</i><br><ol><li>blueberry</li></ol>
sëskëtēk	<i>verb</i><br><ol><li>to jump</li></ol>
sësnē|sësnēnē|sës̯n̯ēm|sës̯n̯ēstē|sësnētē|sës̯n̯ijtē|sës̯n̯ijnë|sës̯n̯ijnē|sës̯n̯ēsnē|sës̯n̯ēptāk̯ëk|sës̯n̯ēk|sës̯n̯ēn|sës̯n̯ijstē|sës̯n̯ij|sësnās̯ën	
sësē|sës̯ēptāk̯ëk|sës̯ēsnē|sës̯ēm|sës̯ēn|sës̯ijstē|sësēnē|sës̯ijnë|sës̯ēk|sësētē|sës̯ij|sës̯ēstē|sës̯ijnē|sës̯ijtē|sësās̯ën	<i>noun</i><br><ol><li>sleeve</li></ol>
sëvsëm	<i>noun</i><br><ol><li>hair</li></ol>
sëvtë	<i>noun</i><br><ol><li>drizzle</li></ol>
sëvētēk	<i>verb</i><br><ol><li>(of a wound) to heal</li></ol>
sëvōn|sëvun̯ëjstē|sëvun̯ëm|sëvun̯ësnē|sëvun̯ëstē|sëvun̯ën|sëv̯un̯s̯ën|sëv̯ōnnē|sëvun̯ëptāk̯ëk|sëvun̯ëjtē|sëvun̯ëjnē|sëv̯ōn|sëv̯ōntē|sëvun̯ëk|sëvun̯ëjnë|sëvun̯ëj	<i>noun</i><br><ol><li>stream pool</li></ol>
sëŋës|sëŋë	<i>adj</i><br><ol><li>thawed, ice-free</li></ol>
sëŋëtēk	<i>verb</i><br><ol><li>to thaw, to become ice-free</li></ol>
sājttē|sājttētē|sājttēnē|sāj̯t̯t̯ēsnē|sāj̯t̯t̯ēstē|sājttās̯ën|sāj̯t̯t̯ijtē|sāj̯t̯t̯ēn|sāj̯t̯t̯ijnë|sāj̯t̯t̯ij|sāj̯t̯t̯ijnē|sāj̯t̯t̯ēptāk̯ëk|sāj̯t̯t̯ēk|sāj̯t̯t̯ijstē|sāj̯t̯t̯ēm	<i>noun</i><br><ol><li>spear</li></ol>
sājδē|sāj̯δ̯ijnë|sāj̯δ̯ij|sāj̯δ̯ijstē|sāj̯δ̯ēn|sāj̯δ̯ēsnē|sājδās̯ën|sāj̯δ̯ēm|sāj̯δ̯ijtē|sājδēnē|sāj̯δ̯ijnē|sāj̯δ̯ēstē|sāj̯δ̯ēptāk̯ëk|sāj̯δ̯ēk|sājδētē	<i>noun</i><br><ol><li>saithe</li></ol>
sāksē	<i>noun</i><br><ol><li>dirt</li></ol>
sākë|sāk̯ëjnë|sāk̯ën|sāk̯ëjstē|sākës̯ën|sāk̯ëjtē|sāk̯ëptāk̯ëk|sāk̯ëm|sāk̯ëk|sākëtē|sākënē|sāk̯ëjnē|sāk̯ëj|sāk̯ësnē|sāk̯ëstē	<i>noun</i><br><ol><li>speech</li><li>message</li></ol>
sālkë|sāl̯k̯ëm|sāl̯k̯ëj|sāl̯k̯ëjtē|sāl̯k̯ëk|sālkëtē|sāl̯k̯ësnē|sālkës̯ën|sāl̯k̯ën|sāl̯k̯ëstē|sāl̯k̯ëjstē|sāl̯k̯ëjnë|sāl̯k̯ëjnē|sālkënē|sāl̯k̯ëptāk̯ëk	<i>noun</i><br><ol><li>seasoning</li></ol>
sāmē|sāmēnē|sām̯ijnë|sāmētē|sām̯ijstē|sām̯ēsnē|sām̯ēn|sām̯ijnē|sām̯ij|sām̯ēstē|sām̯ēptāk̯ëk|sām̯ēm|sām̯ēk|sāmās̯ën|sām̯ijtē	<i>noun</i><br><ol><li>Sami person</li></ol>
sāppē|sāp̯p̯ijnë|sāppēnē|sāp̯p̯ēptāk̯ëk|sāp̯p̯ēstē|sāp̯p̯ij|sāp̯p̯ēk|sāp̯p̯ijnē|sāppās̯ën|sāp̯p̯ēn|sāppētē|sāp̯p̯ēsnē|sāp̯p̯ijstē|sāp̯p̯ijtē|sāp̯p̯ēm	<i>noun</i><br><ol><li>gall</li></ol>
sārkē	<i>noun</i><br><ol><li>cut, slit</li></ol>
sārnōtēk	<i>verb</i><br><ol><li>to talk</li><li>to preach</li></ol>
sārtē	<i>noun</i><br><ol><li>reindeer heart</li><li>piece of meat</li></ol>
sārëtēk	<i>verb</i><br><ol><li>to split</li></ol>
sāttētēk	<i>verb</i><br><ol><li>to accompany</li></ol>
sāvcë|sāv̯c̯ën|sāvcës̯ën|sāv̯c̯ëjnē|sāv̯c̯ëptāk̯ëk|sāv̯c̯ëjtē|sāv̯c̯ëstē|sāvcënē|sāv̯c̯ëj|sāv̯c̯ëm|sāvcëtē|sāv̯c̯ësnē|sāv̯c̯ëk|sāv̯c̯ëjnë|sāv̯c̯ëjstē	<i>noun</i><br><ol><li>sheep</li></ol>
sāvjë	<i>noun</i><br><ol><li>fresh water</li></ol>
sāvlëk	<i>noun</i><br><ol><li>nit</li></ol>
sāvrē|sāvrēs	<i>adj</i><br><ol><li>durable</li></ol>
sāŋkē|sāŋkēnē|sāŋ̯k̯ijtē|sāŋ̯k̯ijstē|sāŋ̯k̯ij|sāŋ̯k̯ēk|sāŋkās̯ën|sāŋkētē|sāŋ̯k̯ēsnē|sāŋ̯k̯ēptāk̯ëk|sāŋ̯k̯ijnē|sāŋ̯k̯ēstē|sāŋ̯k̯ēn|sāŋ̯k̯ijnë|sāŋ̯k̯ēm	<i>noun</i><br><ol><li>stick</li><li>lath</li></ol>
sāδëtēk	<i>verb</i><br><ol><li>to pant</li></ol>
teajvëtēk	<i>verb</i><br><ol><li>to meet</li><li>to encounter</li></ol>
teakkē|teak̯k̯ēn|teak̯k̯ēsnē|teakkēnē|teak̯k̯ijnë|teak̯k̯ēstē|teak̯k̯ijnē|teakkētē|teak̯k̯ēm|teak̯k̯ij|teak̯k̯ijtē|teakkās̯ën|teak̯k̯ijstē|teak̯k̯ēk|teak̯k̯ēptāk̯ëk	<i>noun</i><br><ol><li>thick meat</li></ol>
tealōtēk	<i>verb</i><br><ol><li>to beat leather</li></ol>
teampō|teampus̯ën|team̯p̯ōk|team̯p̯ōn|team̯p̯ōstē|team̯p̯ōj|team̯p̯ōm|team̯p̯ōjnē|team̯p̯ōptāk̯ëk|teampōtē|team̯p̯ōjstē|team̯p̯ōjtē|teampōnē|team̯p̯ujnë|team̯p̯ōsnē	<i>noun</i><br><ol><li>seaweed</li></ol>
teampōtēk	<i>verb</i><br><ol><li>to moisten, to become moist</li></ol>
teamēs	<i>adj</i><br><ol><li>dark</li></ol>
teantētēk	<i>verb</i><br><ol><li>to push, to press</li></ol>
teapčōtēk	<i>verb</i><br><ol><li>to squeeze</li></ol>
tearmē|tearmētē|tear̯m̯ēm|tear̯m̯ijstē|tear̯m̯ijnē|tear̯m̯ijtē|tear̯m̯ēk|tear̯m̯ēn|tear̯m̯ēsnē|tear̯m̯ēstē|tearmēnē|tearmās̯ën|tear̯m̯ēptāk̯ëk|tear̯m̯ijnë|tear̯m̯ij	<i>noun</i><br><ol><li>bank</li></ol>
tearëtēk	<i>verb</i><br><ol><li>to run</li></ol>
tearē	<i>noun</i><br><ol><li>reinforcing piece of leather on a shoe</li></ol>
teavtētēk	<i>verb</i><br><ol><li>to fill</li></ol>
teańčëlëŋkēs	<i>noun</i><br><ol><li>lizard</li></ol>
tiejkō|tiej̯k̯ujnë|tiej̯k̯ōjstē|tiej̯k̯ōm|tiej̯k̯ōk|tiej̯k̯ōptāk̯ëk|tiej̯k̯ōj|tiej̯k̯ōjtē|tiejkōtē|tiej̯k̯ōstē|tiejkus̯ën|tiejkōnē|tiej̯k̯ōsnē|tiej̯k̯ōn|tiej̯k̯ōjnē	<i>noun</i><br><ol><li>forearm</li></ol>
tielō|tielōnē|tiel̯ōjstē|tielus̯ën|tiel̯ujnë|tiel̯ōm|tiel̯ōk|tielōtē|tiel̯ōptāk̯ëk|tiel̯ōsnē|tiel̯ōj|tiel̯ōstē|tiel̯ōn|tiel̯ōjnē|tiel̯ōjtē	<i>noun</i><br><ol><li>table</li></ol>
tienōtēk	
tieppē|tieppētē|tiep̯p̯ēn|tieppēnē|tiep̯p̯ēstē|tiep̯p̯ēptāk̯ëk|tiep̯p̯ēm|tiep̯p̯ijstē|tiep̯p̯ij|tiep̯p̯ijnē|tieppās̯ën|tiep̯p̯ēsnē|tiep̯p̯ēk|tiep̯p̯ijnë|tiep̯p̯ijtē	<i>noun</i><br><ol><li>tassel</li></ol>
tietë	<i>det</i><br><ol><li>that (near the listener)</li></ol>
tietētēk	<i>verb</i><br><ol><li>to know</li></ol>
tievδës|tievδë	<i>adj</i><br><ol><li>full</li></ol>
tijmā	<i>noun</i><br><ol><li>last year</li></ol>
tikkē|tikkēnē|tik̯k̯ēn|tik̯k̯ijstē|tik̯k̯ijnē|tik̯k̯ijtē|tik̯k̯ēk|tik̯k̯ēstē|tikkās̯ën|tik̯k̯ijnë|tik̯k̯ēptāk̯ëk|tikkētē|tik̯k̯ij|tik̯k̯ēm|tik̯k̯ēsnē	<i>noun</i><br><ol><li>tick (insect)</li></ol>
tiljā	<i>noun</i><br><ol><li>seat in a boat</li></ol>
timëtēk	<i>verb</i><br><ol><li>to soften, to become softer</li></ol>
tinnō|tin̯n̯ōjnē|tin̯n̯ujnë|tinnōtē|tin̯n̯ōk|tin̯n̯ōptāk̯ëk|tin̯n̯ōn|tinnōnē|tin̯n̯ōm|tin̯n̯ōjstē|tin̯n̯ōjtē|tin̯n̯ōj|tin̯n̯ōsnē|tinnus̯ën|tin̯n̯ōstē	<i>noun</i><br><ol><li>flint</li></ol>
tintē	<i>noun</i><br><ol><li>young salmon</li></ol>
tivuntëtēk	
tivōtēk	<i>verb</i><br><ol><li>to fix</li></ol>
tiŋë|tiŋës̯ën|tiŋ̯ëjstē|tiŋ̯ëm|tiŋ̯ëjnē|tiŋ̯ëptāk̯ëk|tiŋ̯ëj|tiŋ̯ëjnë|tiŋ̯ëstē|tiŋëtē|tiŋ̯ësnē|tiŋ̯ëk|tiŋënē|tiŋ̯ën|tiŋ̯ëjtē	<i>noun</i><br><ol><li>pumice</li><li>rhinarium</li></ol>
toajvōtēk	<i>verb</i><br><ol><li>to wish</li></ol>
toajētēk	<i>verb</i><br><ol><li>to break</li></ol>
toakkē|toak̯k̯ēk|toak̯k̯ēm|toak̯k̯ijtē|toak̯k̯ēstē|toakkās̯ën|toakkētē|toak̯k̯ijnē|toak̯k̯ēptāk̯ëk|toak̯k̯ij|toakkēnē|toak̯k̯ēn|toak̯k̯ēsnē|toak̯k̯ijstē|toak̯k̯ijnë	<i>noun</i><br><ol><li>flock</li></ol>
toalëjëtēk	<i>verb</i><br><ol><li>to hold a little, quickly</li></ol>
toalëtēk	<i>verb</i><br><ol><li>to hold</li></ol>
toalē|toal̯ijstē|toal̯ij|toal̯ēm|toal̯ēstē|toalētē|toal̯ijnē|toalās̯ën|toalēnē|toal̯ēsnē|toal̯ijnë|toal̯ēptāk̯ëk|toal̯ijtē|toal̯ēn|toal̯ēk	<i>noun</i><br><ol><li>winter road</li></ol>
toamëtēk	<i>verb</i><br><ol><li>to hurry</li></ol>
toapëjëtēk	<i>verb</i><br><ol><li>to take (quickly)</li></ol>
toapōtēk	<i>verb</i><br><ol><li>to snatch, to catch</li></ol>
toarjōtēk	<i>verb</i><br><ol><li>to support</li></ol>
toarkēstētēk	<i>verb</i><br><ol><li>to tremble</li></ol>
toarvē|toar̯v̯ēm|toarvās̯ën|toar̯v̯ijnē|toar̯v̯ijtē|toar̯v̯ij|toar̯v̯ēstē|toar̯v̯ijnë|toar̯v̯ēn|toar̯v̯ēptāk̯ëk|toar̯v̯ēk|toar̯v̯ijstē|toarvēnē|toarvētē|toar̯v̯ēsnē	<i>noun</i><br><ol><li>portion</li></ol>
toarēs	<i>adv</i><br><ol><li>across</li></ol>
toarētētēk	<i>verb</i><br><ol><li>to follow</li></ol>
toarōtēk	<i>verb</i><br><ol><li>to fight</li></ol>
toaŋvōs	<i>noun</i><br><ol><li>padding for a packsaddle</li></ol>
tojtētēk	<i>verb</i><br><ol><li>to rinse</li></ol>
toktëk|toktëk̯ëjnē|toktëk̯ëjnë|tok̯t̯ëk̯s̯ën|tok̯t̯ëktē|toktëk̯ëstē|toktëk̯ën|toktëk̯ëptāk̯ëk|tok̯t̯ëknē|toktëk̯ësnē|toktëk̯ëjtē|tok̯t̯ëk|toktëk̯ëj|toktëk̯ëk|toktëk̯ëm|toktëk̯ëjstē	<i>noun</i><br><ol><li>loon</li></ol>
